name,kinds_held,kinds_at,lean,placed,placed_at,top_kind,travel,banded,off_band,by_wood,world_band,forms,ways,pop,pop_min,ms_step,err,blocked,tooth,wood_stand,browse_stand,grass_stand,wood_share,browse_share,kills,warm_land,btemp_land,open_land,land_temp,temp_day_land,land_drift,death_hunger,death_broken,death_wear,death_thirst,death_suffocation,death_cold,pop_land,pop_surface,pop_bottom,pop_cold,pop_mild,pop_hot,day_temp,wood_yield,wood_food,wood_hard
life10_sets,3,4.666666666666667,4,2,2.5,0.3207332391270215,1.75,2,0,0,hot,1011,"plant/no tooth/stays/land [hot 93%, cold 2%, wood 0%, 5214 bodies]; plant/no tooth/stays/shore [hot 82%, cold 0%, wood 0%, 3813 bodies]; plant/tooth/stays/land [hot 93%, cold 1%, wood 0%, 8171 bodies]",10240.254901960785,7305.0,22.9258431372549,2.81e-14,0.6124509803921568,0.20319607843137255,0.015194416749750748,0.0,0.21724214024592886,0.0005605388051277765,0.0,6.057220728661311e-06,0.06121960784313726,25.56607843137255,0.6085980392156862,21.57549019607843,0.0,0.08744960284726534,0.27669533175642186,0.03426798764771113,0.0006215926363649925,0.5902171264518332,0.07498520609525451,0.02321275541241428,5661.470588235294,1594.5882352941176,2984.1960784313724,248.5686274509804,1479.3725490196077,8512.313725490196,0.0,0.0,0.04,3.0
life11_sets,2,6.666666666666667,6,1,3.8333333333333335,0.19206680584551147,3.5,1,0,0,hot,415,"plant/no tooth/stays/land [hot 94%, cold 1%, wood 0%, 2002 bodies]; plant/no tooth/stays/shore [hot 76%, cold 6%, wood 0%, 3312 bodies]",8807.078431372549,5955.0,19.197686274509802,3.91e-14,0.5590588235294117,0.1803137254901961,0.011956663343303423,0.0,0.1929998449097153,0.00037793526146023403,0.0,5.896510338142823e-06,0.06662156862745099,25.38078431372549,0.5593509803921569,21.57549019607843,0.0,0.0941308843937423,0.2705519255131057,0.04369453535110858,0.00016846605844610392,0.6057114143223535,0.056264758933784124,0.02360889982120191,4231.058823529412,1610.3725490196077,2965.6470588235293,252.54901960784315,1329.764705882353,7224.764705882353,0.0,0.0,0.04,3.0
life9_sets,4,6,5,2,3,0.244726761382922,5.25,0,0,0,hot,738,"mixed/no tooth/roams/land [hot 86%, cold 4%, wood 0%, 3444 bodies]; mixed/no tooth/roams/shore [hot 79%, cold 8%, wood 0%, 5047 bodies]; plant/no tooth/stays/land [hot 89%, cold 4%, wood 0%, 2655 bodies]; plant/no tooth/stays/shore [hot 80%, cold 5%, wood 0%, 3402 bodies]",10343.411764705883,7603.0,28.577333333333332,3.19e-14,0.5361568627450981,0.016588235294117647,0.07972863631328236,0.0,0.2134926775229866,0.00039325254278684544,0.0,6.499293455850907e-06,0.07944117647058824,24.941176470588236,0.745656862745098,21.57549019607843,0.0,0.08366278300197068,0.29239747403115685,0.053461866426262265,7.213567536218569e-05,0.5921800621299906,0.036278861447824017,0.02560960028940402,5097.392156862745,1698.3529411764705,3547.6666666666665,306.1764705882353,1545.5882352941176,8491.64705882353,0.0,0.0,0.04,3.0
life10_ctrl50,4,5,4,2,2.3333333333333335,0.2913486005089059,1.5,2,0,0,hot,673,"plant/no tooth/roams/shore [hot 67%, cold 5%, wood 0%, 748 bodies]; plant/no tooth/stays/land [hot 96%, cold 0%, wood 0%, 3893 bodies]; plant/no tooth/stays/shore [hot 75%, cold 2%, wood 0%, 1786 bodies]; plant/tooth/stays/land [hot 97%, cold 0%, wood 1%, 2845 bodies]",10994.153846153846,7919.0,25.897884615384616,2.9e-14,0.5933076923076923,0.16396153846153846,0.028644936983920035,0.0,0.2244690134724033,0.0016892562593005013,0.0,5.82849919203932e-06,0.07263846153846154,25.24153846153846,0.6513846153846153,21.54153846153846,0.0,0.060086381878342435,0.28243970441210364,0.042918200474167924,0.0003401736145336398,0.5795765394338296,0.06519401383372699,0.02953136823163822,6056.307692307692,1835.7307692307693,3102.1153846153848,279.65384615384613,1540.6538461538462,9173.846153846154,0.0,0.0,0.04,3.0
life11_ctrl50,3,5.666666666666667,5,2,3.3333333333333335,0.23006364657431674,2.75,1,0,0,hot,430,"plant/no tooth/stays/shore [hot 76%, cold 1%, wood 0%, 2349 bodies]; plant/no tooth/stays/surface [hot 65%, cold 2%, wood 0%, 780 bodies]; plant/tooth/stays/land [hot 93%, cold 1%, wood 2%, 2458 bodies]",9909.576923076924,7653.0,25.65257692307692,4.87e-14,0.5513461538461538,0.12273076923076923,0.02620078226857888,0.0,0.17690847457627118,0.0025285562383483367,0.0,5.53158435644617e-06,0.08067692307692308,25.32076923076923,0.6219615384615385,21.54153846153846,0.0,0.06431702340305341,0.2794826997245564,0.06583402549337797,0.0001578753608953908,0.5722492837977268,0.052786255622563324,0.02948986000088019,4903.961538461538,1696.5,3309.1153846153848,262.88461538461536,1608.3846153846155,8038.307692307692,0.0,0.0,0.04,3.0
life9_ctrl50,3,5,4,0,1.6666666666666667,0.334733225159874,4.25,2,0,0,hot,350,"mixed/no tooth/roams/shore [hot 93%, cold 1%, wood 0%, 3507 bodies]; mixed/no tooth/stays/shore [hot 91%, cold 3%, wood 0%, 1094 bodies]; plant/no tooth/stays/shore [hot 74%, cold 4%, wood 0%, 2392 bodies]",11140.5,7918.0,29.201384615384615,3.84e-14,0.5578846153846154,0.026,0.0548290308561495,0.0,0.2155136027813994,0.0008453030256658814,0.0,6.229612916957771e-06,0.08983076923076923,24.87153846153846,0.7914384615384615,21.54153846153846,0.0,0.057840285022173636,0.29115963792999,0.06436339636718413,6.057881463201559e-05,0.5733185393491285,0.04147353184054381,0.02962431569852156,5668.153846153846,1738.7692307692307,3733.576923076923,288.96153846153845,1556.8461538461538,9294.692307692309,0.0,0.0,0.04,3.0
life10_y1e-4,1,3.5,3,1,2,0.5678685982164887,2.25,0,0,1,hot,560,"plant/tooth/stays/land [hot 89%, cold 3%, wood 52%, 16111 bodies]",9657.607843137255,6755.0,21.412372549019608,4.09e-14,0.662607843137255,0.38641176470588234,0.5688348288467929,0.06308709427273734,0.17099918023706656,0.0970283213904191,0.0970283213904191,6.377435312556703e-06,0.04898039215686275,25.66941176470588,0.5803823529411765,21.57549019607843,21.412352941176472,0.08611731696039304,0.25637567834513697,0.02503050395104584,0.0008291627984560551,0.6053749201839623,0.09495689082916767,0.017432843892231206,5255.3725490196075,1511.549019607843,2890.6862745098038,261.3137254901961,1429.9607843137255,7966.333333333333,0.0,0.0001,0.0,2.0
life10_y3e-5,3,6.666666666666667,5,1,4.166666666666667,0.2124038735403019,5.95,0,0,1,hot,367,"plant/no tooth/roams/shore [hot 66%, cold 8%, wood 1%, 1408 bodies]; plant/no tooth/stays/shore [hot 77%, cold 2%, wood 3%, 2983 bodies]; plant/tooth/roams/land [hot 82%, cold 6%, wood 27%, 1792 bodies]",7667.490196078431,5360.0,18.79956862745098,3.73e-14,0.5310784313725491,0.2507843137254902,0.6045486651157638,0.019594106569181344,0.16208512241054615,0.03549860364047779,0.03549860364047779,5.9233653463649e-06,0.06534117647058824,25.336666666666666,0.5355,21.57549019607843,21.412352941176472,0.09523288555198192,0.27649790027799137,0.030450001881953143,4.391224004401978e-05,0.5719452763872235,0.10009212608727602,0.020970783125511937,3407.3137254901962,1561.6666666666667,2698.5098039215686,246.94117647058823,1262.5294117647059,6158.019607843137,0.0,3e-05,0.0,2.0
life11_y1e-4,2,5,3,1,2.6666666666666665,0.47791183081792743,3.75,1,0,1,hot,545,"plant/no tooth/stays/shore [hot 79%, cold 7%, wood 6%, 2067 bodies]; plant/tooth/stays/land [hot 91%, cold 1%, wood 49%, 10418 bodies]",9668.254901960785,7140.0,22.20650980392157,3.89e-14,0.6121960784313726,0.3603529411764706,0.5818555001661682,0.06193653705550017,0.16065634208485655,0.0993013070037642,0.0993013070037642,5.922723246972168e-06,0.05192549019607843,25.46078431372549,0.5480352941176471,21.57549019607843,21.412352941176472,0.08639090202048005,0.27784698166266075,0.02963573064669654,0.0001338682267240967,0.5998874289911639,0.07090495790539689,0.021591032567357886,5328.137254901961,1601.3921568627452,2738.725490196078,270.2352941176471,1317.1764705882354,8080.843137254902,0.0,0.0001,0.0,2.0
life11_y3e-5,2,6.666666666666667,5,1,3.5,0.17413551209045144,7.25,0,0,1,hot,388,"plant/no tooth/roams/shore [hot 66%, cold 5%, wood 4%, 1507 bodies]; plant/tooth/roams/land [hot 83%, cold 6%, wood 34%, 2110 bodies]",7490.725490196079,4659.0,19.201450980392156,2.62e-14,0.5142156862745099,0.243,0.6066843026476126,0.019558054724714745,0.1576210036556996,0.03587346052731436,0.03587346052731436,5.822700967873589e-06,0.07392745098039216,24.968039215686275,0.5503431372549019,21.57549019607843,21.412352941176472,0.0917427967128844,0.2782401098990397,0.027910575301970022,4.0630482442071626e-05,0.5910819940243253,0.0816835219015408,0.02104316839068219,3153.450980392157,1644.7058823529412,2692.5686274509803,240.19607843137254,1233.3529411764705,6017.176470588235,0.0,3e-05,0.0,2.0
