step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake
10000,0,1091,20.71,0.98,5.13,0.71,7.59,0.01,1.29,0.005,0.180,415114.3,197392.5,9,115,3.23,1.33,1.35,30.8996,994.34,34383.4,4.1760,1.2551,5462,24.5369,195,64.2047,363777.1,153.22,2.4569,0.0,0.0000
10000,1,1049,20.89,0.90,5.22,1.09,7.78,0.01,1.28,0.004,0.179,387908.7,187974.7,10,135,3.38,1.28,1.34,28.9270,843.06,38444.2,5.4977,1.3218,5461,24.5324,164,60.1436,336363.5,80.85,17.7065,0.0,0.0000
10000,2,808,19.31,0.69,5.01,0.66,7.42,0.02,1.21,0.010,0.128,352129.0,152676.7,11,106,3.19,1.24,1.27,22.9934,296.76,30781.3,6.1387,1.2874,5461,24.5324,174,51.0770,299600.8,65.92,28.7605,0.0,0.0000
20000,0,1030,20.80,0.33,3.23,1.95,8.41,0.00,1.10,0.000,0.165,220203.8,154456.6,6,104,3.25,1.14,1.12,8.7384,682.29,28356.3,0.5323,3.0628,5462,11.2370,169,34.4093,191104.1,153.22,1.1704,0.0,0.0000
20000,1,726,26.62,0.33,4.05,1.70,12.14,0.00,1.11,0.000,0.151,99869.0,65119.3,6,110,3.76,1.15,1.11,2.9646,557.56,38008.2,0.0001,2.5399,5461,11.2350,196,15.6430,74974.2,80.85,4.3030,0.0,0.0000
20000,2,642,24.57,0.24,4.33,1.18,10.19,0.00,1.10,0.002,0.117,65295.4,39117.9,3,94,3.53,1.11,1.09,1.6012,417.98,46149.3,0.0000,1.9475,5461,11.2350,133,10.9951,46199.6,65.92,6.2713,0.0,0.0000
30000,0,1296,20.37,0.28,5.74,0.48,6.24,0.02,1.11,0.005,0.189,390670.0,350718.9,8,186,2.69,1.15,1.15,24.6759,581.16,36192.9,0.6532,1.7603,5462,25.0095,113,67.7723,370591.7,153.22,2.1430,0.0,0.0000
30000,1,1217,21.31,0.42,6.13,0.38,6.51,0.00,1.16,0.003,0.188,374484.4,338130.8,9,192,2.63,1.20,1.22,23.6093,501.43,35691.3,1.2345,1.9602,5461,25.0049,138,64.8674,353551.9,80.85,16.8563,0.0,0.0000
30000,2,982,22.16,0.45,6.58,0.46,6.26,0.01,1.17,0.004,0.154,332951.9,298200.0,4,162,2.66,1.25,1.15,20.0570,198.44,37178.5,0.9836,2.1471,5461,25.0049,147,56.5792,312181.1,65.92,26.9603,0.0,0.0000
40000,0,1172,21.13,0.22,5.93,0.26,7.27,0.05,1.06,0.026,0.183,230761.8,135238.5,5,164,2.65,1.08,1.06,8.4179,595.59,31133.4,0.0928,3.5444,5462,12.5220,66,34.9803,198051.0,153.22,1.1526,0.0,0.0000
40000,1,906,20.33,0.24,4.77,0.19,8.62,0.06,1.10,0.029,0.143,116672.4,59868.9,5,153,2.79,1.11,1.09,2.7657,449.06,36767.4,0.0037,3.9311,5461,12.5197,85,13.1347,77245.6,80.85,4.1530,0.0,0.0000
40000,2,795,21.99,0.11,5.64,0.39,8.72,0.02,1.04,0.014,0.135,84108.9,38841.4,5,206,2.76,1.05,1.04,1.7553,242.32,44701.9,0.0004,3.0225,5461,12.5197,96,9.7554,54062.7,65.92,6.1787,0.0,0.0000
50000,0,1174,18.16,0.17,5.22,0.23,5.84,0.02,1.07,0.010,0.154,357516.8,205386.8,12,134,2.50,1.08,1.10,15.0012,901.78,32378.0,1.0378,1.8377,5462,26.3803,48,63.6477,336897.5,153.22,2.1099,0.0,0.0000
50000,1,774,20.46,0.29,5.93,0.33,6.22,0.03,1.10,0.018,0.113,360770.8,216383.0,13,147,2.68,1.14,1.15,16.2202,411.00,34616.1,2.0709,2.0328,5461,26.3754,98,65.5691,338561.8,80.85,16.2705,0.0,0.0000
50000,2,915,19.65,0.18,5.42,0.28,6.59,0.03,1.07,0.014,0.130,316160.5,180639.4,12,153,2.62,1.08,1.08,12.7796,353.76,33293.6,1.7607,2.2202,5461,26.3754,104,57.9391,294569.5,65.92,26.6654,0.0,0.0000
60000,0,1032,22.40,0.07,6.53,0.17,7.91,0.01,1.03,0.005,0.173,241005.2,147861.2,10,159,2.93,1.03,1.03,8.7385,632.69,28826.2,0.3485,3.9096,5462,13.3494,58,34.3190,204875.1,153.22,1.1639,0.0,0.0000
60000,1,887,20.35,0.07,5.26,0.08,8.46,0.01,1.03,0.003,0.142,116216.1,61717.2,9,150,2.90,1.04,1.04,2.8968,382.06,38292.7,0.0009,4.0500,5461,13.3469,64,12.3922,75622.4,80.85,4.0387,0.0,0.0000
60000,2,744,21.46,0.11,6.08,0.21,7.67,0.01,1.04,0.007,0.119,95618.5,51585.8,9,160,2.98,1.04,1.03,2.2578,331.76,45432.3,0.0008,4.0334,5461,13.3469,77,9.0348,55522.2,65.92,6.0711,0.0,0.0000
70000,0,1119,21.23,0.60,5.35,0.53,6.67,0.01,1.24,0.004,0.168,359581.2,206942.4,19,140,2.78,1.19,1.30,17.4832,724.16,30503.1,1.2921,1.7603,5462,25.2987,86,64.2152,341194.9,153.22,1.9302,0.0,0.0000
70000,1,924,23.46,0.37,5.94,0.32,7.63,0.02,1.13,0.014,0.151,358777.9,205361.4,19,135,2.87,1.10,1.14,17.2362,838.99,33498.9,3.6022,1.8100,5461,25.2941,100,65.9585,338646.6,80.85,15.1380,0.0,0.0000
70000,2,802,23.51,0.50,5.70,0.19,7.53,0.04,1.19,0.017,0.128,313163.5,180507.0,17,117,2.78,1.18,1.20,14.2779,471.73,33510.6,2.1698,2.9193,5461,25.2941,133,55.4510,285298.3,65.92,26.6005,0.0,0.0000
80000,0,1054,22.95,0.23,6.17,0.17,7.75,0.01,1.09,0.005,0.172,240979.4,140216.9,8,176,2.97,1.10,1.11,8.9880,584.61,28208.7,0.4729,4.5738,5462,13.5337,66,32.6080,197830.2,153.22,0.9395,0.0,0.0000
80000,1,906,20.69,0.23,5.28,0.21,7.90,0.01,1.09,0.006,0.141,126830.2,67415.3,8,110,2.86,1.08,1.11,3.8517,740.75,38190.7,0.0028,4.4731,5461,13.5312,64,13.4386,81790.1,80.85,4.0876,0.0,0.0000
80000,2,775,22.32,0.28,5.44,0.29,8.84,0.01,1.10,0.006,0.132,93831.9,45775.3,8,163,3.11,1.10,1.10,2.1719,252.74,43959.3,0.0007,4.0215,5461,13.5312,68,8.4621,53644.4,65.92,6.0124,0.0,0.0000
90000,0,1060,23.20,0.71,4.28,0.30,8.42,0.03,1.27,0.015,0.166,363224.9,201844.5,13,110,2.84,1.27,1.34,19.7641,952.46,27803.2,2.1278,1.6486,5462,24.7199,59,64.4472,346718.6,153.22,2.4028,0.0,0.0000
90000,1,946,24.12,0.54,4.98,0.17,8.21,0.03,1.22,0.019,0.150,373479.0,221382.1,13,113,2.81,1.22,1.28,19.8334,924.96,28664.8,3.8859,1.9680,5461,24.7154,51,67.3490,354219.9,80.85,15.6627,0.0,0.0000
90000,2,786,21.27,0.34,4.17,0.28,8.46,0.04,1.13,0.017,0.119,315795.1,188233.5,8,100,2.87,1.12,1.15,15.6591,547.35,27826.8,3.1976,2.8454,5461,24.7154,69,51.2461,289154.0,65.92,26.0936,0.0,0.0000
100000,0,910,26.50,0.52,5.08,0.40,9.49,0.04,1.20,0.015,0.161,265327.3,141529.9,5,107,2.96,1.20,1.25,11.9028,1023.96,23388.2,0.7494,5.9404,5462,13.7873,56,31.2691,207684.2,153.22,1.0575,0.0,0.0000
