step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2
1000,3081,0.8760,49329.2,900,985,1117,979,9,11,8,22243,20637,25495,0,0,0
2000,3038,0.8565,82030.3,1798,985,1088,965,10,11,7,11500,8778,15090,0,0,0
3000,2970,0.9226,102285.5,2723,960,1067,943,9,12,8,4931,4088,8509,0,0,0
4000,2819,0.6669,49520.7,692,888,1099,832,30,34,26,24740,18670,24649,0,0,0
5000,2888,0.7289,66845.2,1164,854,1091,943,33,29,32,19646,12209,20570,0,0,0
6000,2790,0.7778,74255.8,1667,856,1072,862,37,26,28,17440,9790,18341,0,0,0
7000,3014,0.6692,52153.9,847,959,1163,892,26,39,38,24167,16734,24792,0,0,0
8000,3038,0.6718,44681.0,875,969,1127,942,23,49,39,30972,19051,25286,0,0,0
9000,2786,0.7416,45290.6,1148,875,1099,812,32,37,38,31754,19283,26439,0,0,0
10000,2593,0.6919,35613.1,976,868,932,793,40,23,41,34575,23080,30750,0,0,0
11000,2079,0.7605,22788.3,914,759,809,511,48,30,36,36776,30554,36790,0,0,0
12000,1537,0.8198,14893.0,1176,662,510,365,31,36,29,37295,36142,40579,0,0,0
13000,1203,0.8063,7963.4,1179,641,333,229,34,27,25,38951,40132,43724,0,0,0
14000,692,0.8555,5022.7,1326,379,207,106,14,26,13,37610,43181,45894,0,0,0
15000,496,0.7964,3914.3,1190,381,103,12,13,18,3,37616,44700,46561,0,0,0
16000,555,0.6396,5828.0,714,415,107,33,12,25,18,36162,46127,47548,0,0,0
17000,672,0.4970,10463.2,613,455,126,91,18,57,61,33144,44575,47411,0,0,0
18000,1188,0.4697,13816.0,523,599,317,272,49,68,98,31295,42209,45941,0,0,0
19000,1539,0.5218,18528.6,527,703,493,343,65,60,67,30559,38889,43287,0,0,0
20000,1742,0.5603,28262.9,693,692,612,438,70,55,62,27445,33979,38109,0,0,0
21000,2086,0.5460,39565.6,784,742,748,596,53,58,67,24646,27180,32494,0,0,0
22000,2175,0.5825,47075.6,910,804,770,601,70,55,62,21679,22460,28890,0,0,0
23000,2486,0.5760,53629.3,908,871,927,688,66,55,65,18574,20817,24387,0,0,0
24000,2623,0.5726,62876.6,946,949,914,760,49,54,50,16426,17885,21913,0,0,0
25000,2814,0.5608,62513.3,881,1019,1047,748,45,58,47,15246,18428,21330,0,0,0
26000,2972,0.5172,52965.3,753,1109,1032,831,75,60,59,16501,20182,24962,0,0,0
27000,2746,0.5936,59299.9,913,967,964,815,77,48,56,16787,19712,23168,0,0,0
28000,2679,0.5875,58976.5,997,995,913,771,67,49,46,17221,20977,23567,0,0,0
29000,2472,0.5473,49456.1,851,886,888,698,72,44,57,19257,24806,26590,0,0,0
