step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2
1000,2791,0.9248,36511.0,926,924,920,947,20,14,24,24516,25770,28441,0,0,0
2000,2805,0.8898,58459.5,1827,931,910,964,20,14,23,16563,17225,20820,0,0,0
3000,2826,0.8804,83048.2,2667,932,988,906,20,15,21,8917,8582,12628,0,0,0
4000,3063,0.5860,37181.1,503,1068,1095,900,56,79,50,28704,24596,26022,0,0,0
5000,3491,0.6053,44243.9,632,1100,1296,1095,74,82,73,25851,22137,23379,0,0,0
6000,3344,0.6489,43737.0,838,1071,1221,1052,70,97,77,28419,20563,23846,0,0,0
7000,3145,0.6083,37338.5,709,955,1200,990,87,77,83,31990,22673,24658,0,0,0
8000,2959,0.6658,38304.1,813,945,1175,839,88,78,89,31359,22796,25819,0,0,0
9000,2557,0.7083,35109.9,976,830,954,773,86,63,82,33545,24211,27089,0,0,0
10000,2441,0.6440,27588.2,836,821,856,764,76,65,76,38514,28484,28535,0,0,0
11000,2037,0.7074,19244.5,808,743,662,632,74,72,86,41192,34407,31895,0,0,0
12000,1526,0.8041,13165.4,992,592,423,511,56,51,74,41753,38014,35855,0,0,0
13000,1200,0.8658,7972.8,1329,552,322,326,42,60,67,41421,40981,39443,0,0,0
14000,869,0.8331,4984.3,1334,487,173,209,16,47,39,40809,43496,42831,0,0,0
15000,540,0.6796,5237.5,900,440,89,11,15,33,5,38086,45312,45615,0,0,0
16000,523,0.6769,8396.8,858,413,87,23,5,44,15,33386,45776,48166,0,0,0
17000,840,0.5857,12035.5,641,583,163,94,34,75,51,29207,44066,49130,0,0,0
18000,1318,0.5850,14627.7,538,726,358,234,59,71,84,27938,41601,48498,0,0,0
19000,1703,0.4915,16505.9,460,764,490,449,66,66,92,29114,38600,45578,0,0,0
20000,2010,0.5328,24316.8,537,774,679,557,57,70,84,28671,33392,41199,0,0,0
21000,2319,0.5201,36445.1,619,872,768,679,70,77,80,26008,27499,34365,0,0,0
22000,2528,0.5633,51388.8,809,930,845,753,88,61,79,22161,21095,27567,0,0,0
23000,2790,0.5262,58442.1,851,998,932,860,86,80,77,18700,18431,24193,0,0,0
24000,2928,0.5389,66475.0,909,1044,986,898,77,95,61,16938,15812,19852,0,0,0
25000,2913,0.5760,68268.3,937,1051,986,876,82,72,62,17226,15472,18101,0,0,0
26000,2837,0.6038,66649.5,1022,940,1010,887,63,68,57,17557,15714,18657,0,0,0
27000,2741,0.5921,67729.7,1030,938,979,824,56,69,59,18078,15628,18831,0,0,0
28000,2886,0.5450,64859.1,892,917,954,1015,57,82,67,19484,16819,18740,0,0,0
29000,2675,0.6262,55158.5,947,898,957,820,61,73,71,24307,22215,21769,0,0,0
30000,2522,0.6324,51190.2,1011,884,904,734,62,65,67,26423,24622,24220,0,0,0
31000,2079,0.6234,42225.1,995,760,691,628,51,58,56,29267,28684,29025,0,0,0
32000,1685,0.6736,27734.7,931,744,509,432,60,55,66,32810,35606,35405,0,0,0
33000,1309,0.6914,18917.7,1002,698,339,272,59,55,62,33601,40798,41405,0,0,0
34000,884,0.6742,12459.3,1029,609,151,124,39,66,63,32765,44116,47128,0,0,0
35000,610,0.5705,8568.5,783,520,61,29,18,43,25,30673,46286,51432,0,0,0
36000,613,0.6281,9453.4,762,481,92,40,13,72,39,27203,46558,53569,0,0,0
37000,755,0.5444,15102.8,838,497,135,123,14,95,104,22788,44455,53610,0,0,0
38000,1322,0.5144,18579.8,626,628,387,307,50,112,134,21532,41197,52046,0,0,0
39000,1888,0.4958,23265.0,562,793,577,518,71,107,121,22827,37334,48030,0,0,0
40000,2290,0.5000,27974.5,525,913,719,658,81,65,83,23203,33508,43169,0,0,0
41000,2732,0.5373,36941.5,574,893,888,951,94,84,121,23920,29019,35789,0,0,0
42000,3119,0.5457,44108.6,658,1026,1045,1048,94,94,119,24072,23806,30196,0,0,0
43000,3028,0.5542,56672.0,793,985,966,1077,85,100,112,23930,19892,22508,0,0,0
