run,kind,share,censuses,held,forms,lineages,top_lineages,born_size,density,open_born,grass,algae,detritus,meat,kills,travel,land,surface,bottom,side,cells,median_breed,median_share,median_store
e069,plant / no tooth / stays / land,0.10784674410048878,5,False,108,102,957:0.24 1498:0.16 1690:0.06,49.0,1.984,0.5714285714285714,0.7524460761538253,0.0030774274324999076,0.004102787205664616,0.2403737092080103,0.10680304707092343,1.46,0.9883040935672515,0.005847953216374269,0.005847953216374269,6,222222224422244442244442244442224422,0.1141,0.4839,6.396
e069,mixed / no tooth / stays / land,0.08120039943238555,5,False,36,35,2295:0.22 1446:0.10 2302:0.09,36,2.0,0.6666666666666666,0.5834846798549597,0.0,0.008223132756033034,0.4082921873890074,0.3060178650223884,4.51,0.9812297734627832,0.0,0.018770226537216828,5,2222222222244424444444444,0.1054,0.548,7.641
e069,mixed / no tooth / roams / land,0.03678982498554685,2,False,18,17,2054:0.32 2295:0.27 1438:0.17,25.0,2.0,0.8,0.5237452495940154,0.0,0.013416361470098679,0.4628383889358859,0.38824979372265106,9.25,0.9742857142857143,0.0,0.025714285714285714,8,2222222222222222222222222224222224444422444444424444444244444442,0.1089,0.5509999999999999,8.025500000000001
e069,mixed / no tooth / stays / shore,0.021705996741472645,1,False,4,4,1322:0.58 2243:0.32 1461:0.09,17,1.983,1.0,0.1304426372377524,0.0,0.3983384432173864,0.4712189195448612,0.29439807330973655,1.5,0.36077481840193704,0.0,0.639225181598063,5,0000000000004400044000000,0.0839,0.4276,3.746
c10,plant / no tooth / roams / shore,0.2387982509755983,6,True,17,8,1227:0.92 3632:0.03 2782:0.03,20,1.0,1.0,0.13763819861544926,0.5112776154442125,0.1556858808507683,0.19539830508957,0.15076276434232705,14.47,0.2252411892104745,0.5646780862374483,0.21008072455207719,6,444444444444222222222222000222000222,0.1,0.5,5.0
c10,plant / no tooth / stays / bottom,0.17527857445107903,5,False,84,75,1406:0.20 2509:0.10 3015:0.08,21.0,1.475,1.0769230769230769,0.009530135013768884,0.0,0.7789457820563648,0.21152408292986632,0.12417264655292187,5.76,0.029774678111587984,0.0,0.970225321888412,6,444222442222442220000000000000000000,0.1,0.5,5.0
c10,plant / no tooth / roams / bottom,0.11693074427570643,6,True,60,55,3015:0.16 1436:0.13 2509:0.09,20,1.211,1.12,0.00957805459312167,0.0,0.805435302311599,0.18498664309527943,0.11169051456864666,9.82,0.025331724969843185,0.0,0.9746682750301568,7,4444444222244422220000000000000000000000000000000,0.1,0.5,5.0
c10,plant / no tooth / roams / surface,0.08966100898020593,4,False,21,6,1227:0.95 2282:0.05 2782:0.00,13,1.0,1.5,0.011076250211988338,0.8611018726169393,0.0,0.1278218771710724,0.12488931602207716,18.46,0.04929208180388044,0.9507079181961196,0.0,6,444444222440002000000000000000000000,0.1,0.5,5.0
c10,plant / no tooth / stays / land,0.08942592505524473,6,True,89,83,2139:0.12 2146:0.12 1227:0.07,57.0,1.973,0.5405405405405406,0.7802747747345558,9.278476871990137e-05,0.009017947371368783,0.2106144931253556,0.08991676887249989,1.25,0.9894847528916929,0.0,0.010515247108307046,11,4444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444,0.1,0.5,5.0
c10,plant / no tooth / stays / shore,0.0774836616672152,3,False,25,22,1227:0.54 2012:0.12 3632:0.08,27.0,1.0625,0.9523809523809523,0.28178242544208215,0.10212140911614001,0.37456881540848086,0.24152735003329703,0.09546050314440549,2.85,0.39745145631067963,0.16808252427184467,0.4344660194174757,8,4444444444444444444444444444444444444444444444444444444444444444,0.1,0.5,5.0
c10,mixed / no tooth / roams / shore,0.0677982039588133,3,False,33,31,1227:0.34 1953:0.20 2491:0.08,24.0,1.999,1.0,0.10799851989075017,0.17890315298207518,0.21458112587057013,0.4985172012566045,0.43368143648618657,14.01,0.31484049930651875,0.2926490984743412,0.3925104022191401,6,444444224442222222220022000000000000,0.1,0.5,5.0
c10,mixed / no tooth / stays / land,0.0429733414829094,1,False,34,30,3267:0.23 2404:0.22 2547:0.13,36.0,2.0,0.6666666666666666,0.5587389298377078,5.509743805890564e-06,0.004553072730431348,0.436702487688055,0.3374707343268604,4.28,0.9912472647702407,0.0010940919037199124,0.007658643326039387,8,4444444444444444444444444444444444444224222222242222222222222222,0.1,0.5,5.0
c10,mixed / no tooth / stays / shore,0.03836569655366966,3,False,20,20,2612:0.37 3314:0.16 3182:0.14,25.0,2.0,1.0,0.21256998818131836,0.008731156935927745,0.28180565553328246,0.4968931993494715,0.37195773486596917,3.5,0.5012254901960784,0.013480392156862746,0.4852941176470588,4,2444244422222222,0.1,0.5,5.0
g10,plant / no tooth / roams / shore,0.4502629114744652,6,True,62,35,1126:0.40 996:0.39 1908:0.07,20,1.0,1.1318840579710145,0.09408401516121834,0.5652273041167756,0.20609665039606104,0.13459203032594502,0.1027720872943981,14.0,0.24140137577987522,0.533194688849784,0.22540393537034076,9,000000000000000000002224000002224400002224400000444400000044000000000000000000000,0.0969,0.5727,5.266
g10,plant / no tooth / roams / bottom,0.20283800331340487,6,True,50,45,996:0.11 1820:0.09 1253:0.09,21.0,1.2475,1.3333333333333333,0.01909071429759405,0.00016727016848060494,0.8032684637706776,0.17747355176324764,0.10841955708180795,13.865,0.060724431818181816,0.0,0.9392755681818182,6,222222222000220000444000444400444444,0.0903,0.603,4.368
g10,plant / no tooth / stays / land,0.07952171720809623,4,False,33,26,996:0.66 1667:0.06 1887:0.05,78.0,0.902,0.4444444444444444,0.7527447693854676,0.01783487157139523,0.001775349679925642,0.22764500936321141,0.042744815628070774,0.5,0.9655797101449275,0.03260869565217391,0.0018115942028985507,9,444444444444444444444444444444444444444444444444444444444444444444444444444444444,0.0856,0.4479,5.121
g10,mixed / no tooth / roams / shore,0.06569185334581863,3,False,17,16,1908:0.28 2120:0.26 1668:0.16,31.0,1.54,1.0769230769230769,0.1902279614621606,0.09886443505784531,0.3131811084100009,0.3977264950699932,0.33126600354861324,11.855,0.4517543859649123,0.14912280701754385,0.3991228070175439,6,222222222222220002444004444444444444,0.1036,0.61675,4.461
g10,plant / no tooth / stays / shore,0.058632860332781096,3,False,21,19,996:0.46 2120:0.15 1126:0.11,28.0,0.984,0.9696969696969697,0.32799107955602935,0.2871717200699071,0.20246894082296504,0.18236825955109842,0.10815124230360335,5.9350000000000005,0.457002457002457,0.3415233415233415,0.20147420147420148,9,000000000000000000022224000022224400022224400000444400000044000000000000000000000,0.0929,0.4722,5.266
g10,plant / no tooth / roams / surface,0.053662753007275084,2,False,14,10,1126:0.33 1721:0.26 1496:0.18,17,0.999,1.2903225806451613,0.012564627898873415,0.8444195065944793,0.0,0.14301586550664722,0.14047578324510063,13.86,0.053691275167785234,0.9463087248322147,0.0,7,4220000422000040000004000000440000044400004440000,0.105,0.7233,5.503
g10,mixed / no tooth / stays / land,0.02276165093999856,1,False,17,16,2107:0.31 2188:0.22 1686:0.12,49.0,1.845,0.6666666666666666,0.5334839554775946,0.0,0.02047653027772157,0.4460395142446837,0.33389562034867215,3.7350000000000003,0.9810126582278481,0.0,0.0189873417721519,9,222222222222222222222220222222200022422000002444000002444400033444443333444444333,0.1006,0.56325,4.4
g10,mixed / no tooth / roams / land,0.01995245984297342,1,False,12,12,2107:0.74 2192:0.06 2196:0.05,76,1.844,0.5652173913043478,0.5004825134917179,0.000674950807767272,0.036040100812221185,0.46280243488829365,0.40811386418943535,10.0,0.9350180505415162,0.0,0.06498194945848375,10,2222222222222222222222222222222222222222222222222242222222224442222222444422222244444222224444442222,0.0995,0.5668,4.045
g10,plant / tooth / stays / land,0.007563206799683066,1,False,8,8,1811:0.59 1781:0.21 1819:0.11,40,1.72,0.5496031746031746,0.7767566918073839,0.0,0.0012493111123975983,0.22199399708021844,0.14916298953870286,3.5,0.9904761904761905,0.0,0.009523809523809525,8,2222220022222000222200002241000044411000444400004444000044400000,0.0822,0.5536,5.398
c11,plant / no tooth / roams / shore,0.22622359608449252,6,True,48,19,1:0.93 1455:0.01 1418:0.01,50,1.0,0.96,0.07794461844038837,0.7727678671487095,0.053345565426324536,0.09594194898457754,0.07514719901039812,12.3,0.20314279207469824,0.7125939421544067,0.08426326577089502,8,4444444444000044440000444400004424400442222222222222222222222222,0.1,0.5,5.0
c11,plant / no tooth / stays / shore,0.15497166409067492,6,True,26,16,1:0.95 2131:0.02 2061:0.01,46.0,1.051,0.9230769230769231,0.2537711356757301,0.13053507757255423,0.37110796613923247,0.24458582061248318,0.08620708314920082,3.25,0.3853058510638298,0.12732712765957446,0.48736702127659576,7,2222244224444400444440003444000004400000000000000,0.1,0.5,5.0
c11,mixed / no tooth / roams / shore,0.13704276146316333,6,True,34,33,1468:0.29 1:0.22 1278:0.13,25.0,1.707,1.0,0.20587863643507828,0.0005381471664667954,0.3548989793853448,0.43868423701311005,0.3479882396247639,11.865,0.43157894736842106,0.0,0.5684210526315789,8,2444444424000044220000442200000422000044222000442222224422222222,0.1,0.5,5.0
c11,plant / no tooth / roams / surface,0.13596084492529623,6,True,12,1,1:1.00,50,1.0,0.96,0.02023652395218135,0.9183828197011712,0.0,0.06138065634664754,0.058350706740647955,15.75,0.09056460780598712,0.9094353921940129,0.0,8,4444444444400444440000444400004424000042224444222222222222222222,0.1,0.5,5.0
c11,plant / no tooth / roams / bottom,0.11597114889232354,6,True,43,42,1297:0.19 1551:0.16 1388:0.13,23,1.399,1.1304347826086956,0.008483182325754374,0.0,0.7743867321744919,0.2171300854997537,0.14460796811304255,12.56,0.0422034651266104,0.0,0.9577965348733896,6,222222222222220022400004440044444444,0.1,0.5,5.0
c11,mixed / no tooth / roams / bottom,0.061463163317877385,2,False,45,40,1418:0.31 2039:0.15 2015:0.08,16,1.999,1.0,0.008834174865377638,0.0,0.5418580541983796,0.4493077709362427,0.36197505455597573,15.32,0.04526404023470243,0.0,0.9547359597652976,4,4444444422222222,0.1,0.5,5.0
c11,plant / no tooth / stays / land,0.04518289541473467,3,False,34,32,1728:0.24 1489:0.24 1527:0.23,49,1.214,0.5714285714285714,0.7330017165653019,0.004824175739393471,0.006313600496701579,0.255860507198603,0.13323240086858265,3.05,0.984036488027366,0.0011402508551881414,0.014823261117445839,6,222222444222444442444444444444444444,0.1,0.5,5.0
c11,plant / tooth / stays / land,0.009582689335394128,1,False,6,4,1805:0.92 1970:0.05 1972:0.01,81.0,1.121,0.30612244897959184,0.823630956662945,0.0,0.0,0.1763690433370551,0.11133221434093232,3.45,1.0,0.0,0.0,8,0000000044400000444440004444440044444401344444323333333233333322,0.1,0.5,5.0
g11,plant / no tooth / roams / shore,0.2705392270307799,6,True,40,15,1:0.97 2180:0.01 2409:0.00,27,1.0,1.4615384615384615,0.058677728453790115,0.7493819413564613,0.09181293852428091,0.10012739166546755,0.07296286819984252,18.25,0.18768177929854576,0.6917023096663816,0.12061591103507271,7,2000002200000220000024000004420002444444444444444,0.1174,0.4475,5.551
g11,plant / no tooth / stays / shore,0.2062948391576024,6,True,24,16,1:0.78 2053:0.07 1825:0.05,36,1.055,0.8461538461538461,0.32832516216588586,0.05927323381262617,0.3878949632594668,0.22450664076202118,0.06116017341300791,1.75,0.4137312093336325,0.07583576396679381,0.5104330266995737,6,444444444444444444444444444444444444,0.1126,0.4504,5.448
g11,plant / no tooth / stays / bottom,0.09085859754686415,6,True,55,55,1826:0.16 1715:0.16 1:0.16,24,1.508,1.1304347826086956,0.012797301162590126,0.0,0.7660853658731176,0.2211173329642922,0.10779127897174418,4.6,0.04228222109016811,0.0,0.9577177789098319,6,444444444444440044220042222222222222,0.0809,0.4632,5.633
g11,plant / no tooth / roams / bottom,0.05332099051145568,3,False,36,34,1826:0.29 1715:0.28 2054:0.11,22.0,1.43,1.2413793103448276,0.002461944890781594,0.0,0.8114308934897564,0.18610716161946203,0.12043622582996157,12.325,0.020833333333333332,0.0,0.9791666666666666,5,4444440004200022000222222,0.0795,0.4746,5.511
g11,mixed / no tooth / roams / shore,0.05077528349919,2,False,25,24,1569:0.26 2276:0.23 1874:0.14,22,1.97,1.0,0.06423698646660274,0.0,0.45640376385222137,0.47935924968117594,0.3692898272257576,12.75,0.203281677301732,0.0,0.796718322698268,4,2222222242224444,0.088,0.3635,6.956
g11,mixed / no tooth / roams / bottom,0.0467947234436473,3,False,45,45,2242:0.20 1715:0.13 1767:0.13,16,1.996,1.0,0.01033916798232227,0.0,0.4696542010808191,0.5200066309368586,0.41878836831234634,15.01,0.051434223541048464,0.0,0.9485657764589516,4,2222222242224444,0.0828,0.2889,8.145
g11,mixed / no tooth / roams / land,0.04573015505669984,3,False,8,8,2181:0.44 1825:0.44 2146:0.07,64.0,1.719,0.5714285714285714,0.5687249792045912,0.0,0.0234970903238834,0.4077779304715255,0.33676096961411306,9.21,0.9524291497975709,0.0,0.04757085020242915,8,2222222222222222222222222222222243222222443322224444224444444444,0.07719999999999999,0.357,6.3565000000000005
g11,mixed / no tooth / stays / shore,0.04184216616523953,3,False,9,8,1825:0.44 1683:0.27 2181:0.13,36.0,1.391,0.6666666666666666,0.44158967986553277,0.0,0.1648174107416709,0.39359290939279623,0.25679435025880615,4.59,0.6792035398230089,0.0,0.32079646017699115,8,2222222222222222222222222244442224444442444444444444444444444444,0.0809,0.4784,5.8
g11,plant / no tooth / stays / land,0.03698218005091414,1,False,31,28,1:0.58 1684:0.19 2055:0.06,81,0.912,0.4,0.7629670473434904,0.0001387039881951468,0.004206769486775843,0.23268747918153848,0.034591867057406356,0.0,0.9937421777221527,0.0,0.006257822277847309,10,4444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444,0.0962,0.5095,5.436
g11,mixed / no tooth / stays / bottom,0.03198333719046517,1,False,27,27,1560:0.24 2273:0.12 1563:0.09,16,1.988,1.0,0.009564126369674636,0.0,0.557188259100195,0.4332476145301304,0.26333459534839915,2.93,0.03328509406657019,0.0,0.9667149059334298,4,2222222244444444,0.0767,0.3565,6.44
g11,plant / no tooth / roams / surface,0.028511918537375606,2,False,6,2,1:1.00 1687:0.00,28.0,1.0,1.5,0.017185979520136556,0.938498308346323,0.0,0.044315712133540436,0.04065185736715551,23.75,0.08279220779220779,0.9172077922077922,0.0,7,2200022200000220000024000002440002444444444444444,0.1174,0.4475,5.551
g11,plant / tooth / roams / shore,0.02744735015042814,1,False,4,1,1:1.00,33,1.0,1.0303030303030303,0.05210689291185658,0.695837132449375,0.0,0.25205597463876833,0.24166436840623295,15.75,0.16020236087689713,0.8397976391231029,0.0,7,1111111220002220000022000002420002444222444444444,0.1174,0.4475,5.551
g11,mixed / no tooth / stays / land,0.025966211525109927,1,False,10,10,2181:0.38 2405:0.18 2096:0.17,36,1.911,0.6666666666666666,0.5772943097640194,0.0,0.01560741032839411,0.4070982799075865,0.3161200121357416,5.15,0.9732620320855615,0.0,0.026737967914438502,5,4222242222422224424444444,0.0565,0.2947,5.738
g11,mixed / tooth / roams / shore,0.018838231890766027,1,False,2,1,1:1.00,33,1.0,1.0,0.04008627555993725,0.5838737692394005,0.0,0.37603995520066236,0.3693906946709125,21.75,0.1891891891891892,0.8108108108108109,0.0,7,1111111220002120000022000004220002442222444444444,0.1174,0.4475,5.551
