step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill
11000,11440,3742,41965,79037,66440,36551,521,29285,4069,16,351828,3849104,26021.735,11855.789,0.3005,5247.296,0.078,0.786,0.074,0.062,0.522,0.338,2766,0.1118,0.7663,0.129,10.4,27.1,52.5,26.37,0.58,8.42,0.82,16.55,6.66,1.161,0.282,0.020,0.021,8.192,0.436,0.0034,157,563,1467,24070,527,13,0.738,6185,45,1226,10169,491,1748,9201,6.52,22.35,9127,13.8490,66705,5233,248098,825.1,-0.0,787729,18.256,2630837.750,1.50e-14,0.00029,16.93,23610,23.956,1.437,22.072,0.447,23.957,3381,3652,4407,0.3856,0.966,1.039,1.608,1.222,0.974,1.270,10169.315,7571.780,11567.293,9943.082,9758.656,2055.612,1957.257,2595.624,0.551,0.521,0.506,0.567,0.361,0.447,3328,7389,0.5212,1.0000,1.0000,0.1450,1.0000,1.0000,0.8593,1.2189,1.1178,0.0286,0.0191,0.0175,0.0000,0.2188,0.9371,0.0473,0.6605,0.9412,0.00249,1376,0.9996,0.9078,0.8770,0.9950,0.0545,0.0752,0.0991,0.1042,0.0974,0.4686,0.4738,0.4474,5.2686,4.9742,5.3780,0.0689
12000,12021,3978,47151,86189,72100,38384,654,33121,4186,8,397838,4352719,28094.150,13344.118,0.2972,5954.062,0.080,0.788,0.075,0.057,0.529,0.335,3331,0.1144,0.7717,0.112,10.0,28.3,53.5,25.93,0.73,8.42,0.72,16.06,6.67,1.188,0.277,0.028,0.031,7.920,0.438,0.0035,155,541,1388,27235,504,11,0.410,6545,245,1437,10339,1084,1394,9543,6.50,21.05,11382,16.8502,66931,4985,232018,820.9,0.0,802908,19.636,2630837.750,3.29e-14,0.00009,31.67,26459,26.144,1.442,24.158,0.543,26.144,4054,3813,4154,0.3723,0.979,1.063,1.633,1.280,0.978,1.292,11024.998,7647.290,13245.971,10778.441,10023.800,2534.600,2245.770,2609.686,0.550,0.527,0.518,0.544,0.343,0.447,3477,7860,0.4586,1.0000,1.0000,0.1279,1.0000,1.0000,0.8307,1.2911,1.1338,0.0372,0.0227,0.0215,0.0000,0.7468,0.9383,0.2621,0.6599,0.9485,0.00244,1395,0.9995,0.9619,0.8917,0.9958,0.0515,0.0696,0.0995,0.1042,0.0979,0.4635,0.4677,0.4396,5.3774,4.9929,5.4048,0.0663
13000,11850,3855,53890,106251,91507,51737,624,33991,4380,10,435328,4395561,32162.394,15891.306,0.2876,8066.494,0.075,0.783,0.074,0.068,0.521,0.344,2596,0.1174,0.7590,0.114,11.4,28.7,51.7,25.90,0.82,7.98,0.72,16.39,6.66,1.189,0.265,0.042,0.050,7.712,0.427,0.0034,145,515,1368,28036,554,12,0.636,6578,421,1398,10031,1026,1774,9050,7.50,20.55,8730,15.9078,66978,4757,218053,1255.8,-0.0,820967,20.065,2630837.750,2.55e-14,0.00025,10.33,34653,28.080,1.429,26.111,0.540,28.080,4287,3743,3820,0.3981,0.973,1.038,1.703,1.282,0.982,1.289,11127.413,7604.341,19514.417,10890.804,9823.668,3169.378,2136.965,2518.468,0.535,0.541,0.488,0.585,0.345,0.441,3333,14507,0.4116,1.0000,0.9999,0.1064,1.0000,1.0000,0.8828,1.2930,1.0644,0.0371,0.0250,0.0302,0.0000,0.0000,0.8274,0.1762,0.6233,0.9563,0.00248,1173,0.9998,0.9578,0.8494,0.9951,0.0515,0.0706,0.0999,0.1044,0.0982,0.4438,0.4708,0.4413,5.2106,5.1274,5.4029,0.0628
14000,10605,3794,41225,76473,64799,34814,434,29766,3312,8,327802,3928950,25333.891,11363.297,0.2915,5391.007,0.063,0.815,0.062,0.060,0.517,0.353,2557,0.1131,0.7651,0.109,11.4,27.5,49.9,25.38,0.87,7.97,0.64,15.90,6.74,1.166,0.276,0.062,0.077,7.977,0.456,0.0035,163,566,1240,24900,535,12,0.761,5964,226,1595,8784,996,831,8778,6.79,20.83,11451,14.3887,67001,4438,207257,608.5,-0.0,832271,18.147,2630837.750,1.43e-14,0.00092,33.24,23962,23.425,1.443,21.582,0.401,23.426,2708,4010,3887,0.4519,0.970,1.016,1.700,1.327,0.983,1.242,11314.013,7110.047,10293.152,11110.725,9321.022,1818.915,1948.369,2205.007,0.498,0.550,0.490,0.562,0.365,0.449,3301,8177,0.5333,1.0000,1.0000,0.1306,0.9999,1.0000,0.9201,1.2818,1.0720,0.0471,0.0293,0.0295,0.0000,0.7572,0.9652,0.0775,0.6548,0.9787,0.00250,1207,0.9995,0.9632,0.8607,0.9961,0.0505,0.0675,0.0970,0.1040,0.0989,0.4367,0.4604,0.4468,5.3296,5.1731,5.3966,0.0633
15000,12533,4210,46125,87981,73918,41455,401,31058,3776,13,372010,4513564,28206.613,12706.691,0.3101,5497.513,0.054,0.836,0.051,0.059,0.536,0.338,2144,0.1019,0.7640,0.105,11.3,27.0,52.6,25.13,0.87,7.73,0.83,15.70,6.58,1.247,0.262,0.057,0.074,7.737,0.447,0.0033,160,551,1299,27713,462,11,0.546,7047,98,1809,10626,610,2046,9877,7.04,19.56,11389,16.2097,67020,4422,200121,974.7,0.0,839713,18.769,2630837.750,3.72e-15,0.00259,23.67,29156,25.778,1.438,23.703,0.637,25.779,4620,4118,3795,0.3814,0.983,1.049,1.841,1.476,0.985,1.252,11131.746,6845.653,14206.095,10873.726,8624.305,3428.944,1671.622,2108.613,0.560,0.567,0.477,0.585,0.325,0.411,3268,8281,0.4930,1.0000,0.9997,0.1097,1.0000,1.0000,0.8910,1.2941,1.0743,0.0404,0.0318,0.0305,0.0000,0.2819,0.9314,0.1919,0.6827,0.9948,0.00250,1069,0.9999,0.9638,0.8841,0.9952,0.0532,0.0739,0.0943,0.1037,0.0995,0.4243,0.4490,0.4420,5.6482,5.2273,5.4959,0.0597
16000,11424,4129,43534,89785,77810,45850,401,31359,2919,5,318012,4231505,29091.383,12589.029,0.3020,6586.393,0.066,0.812,0.049,0.073,0.528,0.349,1825,0.1046,0.7565,0.111,13.1,28.0,51.6,26.82,0.89,7.46,0.81,17.66,6.69,1.176,0.251,0.052,0.067,8.117,0.462,0.0034,167,579,1404,24315,493,9,0.657,6107,77,1557,9790,902,1813,8709,6.50,19.14,8287,12.5291,66938,4720,193066,845.6,-0.0,852087,19.930,2630837.750,4.96e-15,0.00140,15.34,29116,25.947,1.434,24.001,0.512,25.947,3615,4112,3697,0.4456,0.970,1.018,1.752,1.296,0.983,1.272,11309.701,6920.587,15863.501,11083.713,8730.562,2420.068,1481.107,2101.460,0.533,0.568,0.474,0.649,0.333,0.421,3269,9301,0.4343,1.0000,0.9999,0.1120,1.0000,1.0000,0.8045,1.3296,1.1094,0.0403,0.0283,0.0299,0.0000,0.0229,0.9110,0.0494,0.6444,0.9855,0.00253,1059,0.9995,0.9739,0.8909,0.9951,0.0526,0.0694,0.0991,0.1054,0.1011,0.4477,0.4604,0.4429,5.5208,5.4069,5.5876,0.0594
17000,10606,4041,39836,71591,59236,31461,294,30336,2768,9,294350,4237815,24846.259,10421.668,0.3163,4603.477,0.058,0.835,0.044,0.064,0.528,0.353,2029,0.1076,0.7699,0.118,13.0,27.0,50.0,25.19,0.98,7.62,0.66,15.93,6.48,1.230,0.259,0.072,0.087,8.040,0.474,0.0034,177,604,1366,23793,562,8,0.580,5963,51,1233,9322,461,1070,9075,7.70,19.43,11337,14.3123,67026,4619,185288,568.1,-0.0,859107,19.128,2630837.750,3.54e-16,0.00017,36.12,24153,23.900,1.426,21.985,0.489,23.901,3081,3735,3790,0.3993,0.983,1.032,1.877,1.437,0.984,1.303,11135.842,7120.561,9551.259,10904.808,8993.669,2359.429,1295.950,2162.812,0.520,0.574,0.480,0.542,0.347,0.416,3226,6569,0.5820,1.0000,0.9998,0.1216,0.9999,0.9999,0.9197,1.3369,1.1065,0.0505,0.0298,0.0385,0.0000,0.8136,0.9543,0.2285,0.6720,0.9671,0.00249,972,0.9997,0.9660,0.8947,0.9957,0.0496,0.0704,0.0977,0.1074,0.1021,0.4384,0.4738,0.4483,5.5257,5.6144,5.7403,0.0595
18000,11686,4119,41034,77547,66207,36215,298,28151,2500,10,274650,4192080,27341.628,10613.678,0.3094,5303.464,0.056,0.829,0.041,0.073,0.537,0.345,1665,0.0941,0.7610,0.119,13.0,28.9,53.5,26.93,1.14,7.88,0.68,17.23,6.58,1.199,0.257,0.073,0.093,7.940,0.425,0.0032,170,616,1345,23143,656,7,0.652,6437,93,1350,10243,892,2134,8660,7.00,18.68,13605,18.0237,67009,4719,178001,877.1,-0.0,864963,18.514,2630837.750,4.07e-15,0.00032,9.52,25167,23.815,1.434,21.851,0.530,23.817,4187,3661,3838,0.3972,0.977,1.030,1.785,1.301,0.985,1.292,10830.582,7042.652,13333.076,10568.724,8743.292,2099.212,1166.234,2044.769,0.538,0.583,0.483,0.572,0.341,0.423,3395,8238,0.4639,1.0000,0.9999,0.1247,1.0000,1.0000,0.8562,1.3864,1.0897,0.0477,0.0355,0.0418,0.0000,0.0000,0.7510,0.2293,0.6411,0.9510,0.00249,1055,0.9993,0.9663,0.8973,0.9940,0.0533,0.0718,0.0999,0.1078,0.1029,0.4412,0.4790,0.4453,5.6696,5.6687,5.7092,0.0565
19000,11833,4080,48737,103620,91411,54556,327,28991,2706,4,283416,4499394,33211.275,14206.576,0.3127,8667.218,0.059,0.810,0.042,0.089,0.542,0.344,2397,0.0965,0.7401,0.156,12.9,28.7,51.2,26.74,1.18,7.08,0.68,17.79,6.49,1.197,0.243,0.056,0.072,8.263,0.442,0.0030,157,563,1368,23463,628,7,0.763,6048,554,1270,10009,895,1225,9713,7.39,19.00,9124,16.4503,66977,4565,170058,1159.5,-0.0,878424,20.085,2630837.750,1.38e-14,0.00011,24.64,34546,28.049,1.424,26.048,0.577,28.049,3972,3896,3965,0.4160,0.972,1.026,1.887,1.322,0.984,1.282,10658.651,7200.626,22461.298,10403.314,9013.881,2408.558,1184.343,1946.457,0.546,0.582,0.492,0.635,0.324,0.403,3182,15778,0.3745,1.0000,0.9994,0.0910,0.9999,1.0000,0.8160,1.4098,1.1129,0.0618,0.0299,0.0357,0.0000,0.5700,0.9495,0.1120,0.6545,0.9455,0.00251,1111,0.9999,0.9818,0.8947,0.9954,0.0521,0.0665,0.1032,0.1078,0.1018,0.4512,0.4821,0.4516,5.2960,5.5967,5.6846,0.0575
20000,11662,3683,41656,75383,62658,33461,266,27905,3426,8,301593,4119451,24768.535,11442.665,0.3280,5260.111,0.059,0.837,0.040,0.064,0.523,0.357,2587,0.0972,0.7678,0.132,11.0,27.0,48.0,24.01,0.94,7.63,0.51,14.93,6.29,1.246,0.265,0.058,0.070,7.275,0.436,0.0032,167,594,1171,24251,514,8,0.714,6007,502,1031,10129,764,1317,9581,9.25,20.78,12054,16.1204,66983,4361,163906,864.9,-0.0,884367,17.692,2630837.750,3.12e-14,0.00069,20.54,26609,25.320,1.507,23.204,0.609,25.359,3586,4017,4059,0.4026,0.981,1.034,1.945,1.414,0.983,1.359,10108.424,6745.629,11508.632,9892.145,8627.870,2348.719,1287.761,2546.074,0.479,0.582,0.489,0.532,0.337,0.429,3380,9682,0.4767,0.9999,0.9996,0.1153,1.0000,1.0000,0.9339,1.3977,1.1278,0.0480,0.0302,0.0400,0.0000,0.3531,0.9048,0.2450,0.7352,0.9551,0.00248,806,0.9997,0.9615,0.9173,0.9932,0.0506,0.0615,0.1007,0.1076,0.1004,0.4536,0.4877,0.4525,5.4540,5.5290,5.7362,0.0567
