run,lineage,light,land,water,breed,share,store
e067,908,0,544,2921,0.0,0.0,0.0
e067,1709,1,28,563,0.0,0.0,0.0
e067,964,1,123,889,0.0,0.0,0.0
e067,908,1,409,2894,0.0,0.0,0.0
e067,1520,0,32,98,0.0,0.0,0.0
e067,964,0,153,428,0.0,0.0,0.0
e067,1640,0,329,588,0.0,0.0,0.0
e067,1640,1,73,623,0.0,0.0,0.0
e067,1800,1,31,370,0.0,0.0,0.0
e067,1875,0,21,45,0.0,0.0,0.0
e067,1950,0,99,167,0.0,0.0,0.0
e067,1941,1,51,494,0.0,0.0,0.0
e067,2037,1,35,276,0.0,0.0,0.0
e067,2037,0,96,62,0.0,0.0,0.0
e067,1941,0,106,97,0.0,0.0,0.0
e067,2301,1,35,156,0.0,0.0,0.0
e069,1322,0,72,166,0.2800824984573488,0.24984961677989195,0.00829661702473413
e069,1040,0,32,85,-0.12874287589272546,-0.019214564944625583,-0.06870255358681401
e069,957,1,1106,4784,0.0,0.0,0.0
e069,1353,0,23,45,0.04982034866354964,-0.022155501490423498,0.022428499135335546
e069,957,0,1108,2802,0.02245091857074487,-0.07090796942305087,0.05642316023625049
e069,1040,1,58,245,-0.03865649845462659,0.0,0.0
e069,1516,1,39,242,0.0,0.0,0.0
e069,1556,0,47,30,-0.027469538348606555,0.015579969947012745,0.0017555841824942547
e069,1690,0,79,124,0.054168236473149674,0.16732625667755838,-0.08830939425988987
e069,1690,1,151,198,0.08709470685093373,-0.13815603475004565,0.136749704002368
e069,1935,0,195,218,0.038395941263520535,0.023240482617407025,0.010794819136079114
e069,1935,1,285,470,0.0,0.0,0.00035707909681331973
e069,1936,0,23,166,0.0916941476086774,0.03746034142037278,-0.045117391839920945
e069,1840,0,20,43,-0.003703707937484303,0.0,0.012062872449275163
e069,2243,0,66,106,-0.0019474202843956779,0.004494389587839267,-0.0011259149247217393
e069,2295,0,498,35,-0.008474626990972232,0.01448051504776478,-0.1311777074482683
e069,2663,0,114,432,0.12124575902698742,-0.02713806151410583,0.10628936434589684
c10,1953,0,141,142,0.0,0.0,0.0
c10,1227,0,871,1221,0.0,0.0,0.0
c10,1227,1,963,5157,0.0,0.0,0.0
c10,1970,0,22,203,0.0,0.0,0.0
c10,1406,0,26,723,0.0,0.0,0.0
c10,2012,0,40,151,0.0,0.0,0.0
c10,2491,0,88,34,0.0,0.0,0.0
c10,2509,0,31,637,0.0,0.0,0.0
c10,2612,0,193,107,0.0,0.0,0.0
c10,2750,0,23,420,0.0,0.0,0.0
c10,3182,0,85,28,0.0,0.0,0.0
c10,3314,0,53,79,0.0,0.0,0.0
c10,3632,0,40,91,0.0,0.0,0.0
c10,3632,1,49,106,0.0,0.0,0.0
g10,1126,0,133,710,0.0,0.0015387846639905317,0.0
g10,1126,1,282,1799,0.0,0.0,0.0
g10,996,1,1572,1940,-0.005031457155366984,-0.023762965690316065,0.0
g10,1496,0,32,284,-0.00947874395454377,-0.0010749221716522957,0.006645569624104377
g10,996,0,36,329,0.013378125946176269,0.23502983451640544,-0.060841659256245045
g10,1908,0,458,252,0.015429428564861633,-0.0369795632833594,0.04470414442591813
g10,1968,0,42,205,0.01768001853617241,0.1712568102558578,-0.005320447858874368
g10,2107,0,284,20,0.0235658937608339,-0.00018299936001292031,0.027552638925366274
g10,2120,0,68,369,-0.04108291108434587,0.02331736819640099,-0.05142918549368674
c11,1,0,1545,1949,0.0,0.0,0.0
c11,1,1,1035,5907,0.0,0.0,0.0
c11,1418,0,36,391,0.0,0.0,0.0
c11,1278,0,119,216,0.0,0.0,0.0
c11,1468,0,592,182,0.0,0.0,0.0
c11,1551,0,23,333,0.0,0.0,0.0
c11,1639,0,22,73,0.0,0.0,0.0
c11,1688,0,20,114,0.0,0.0,0.0
c11,1738,0,26,96,0.0,0.0,0.0
g11,1,0,1201,2869,0.01558473101669833,0.0004468275320096313,0.011336746028146263
g11,1683,0,148,332,-0.01278789804975584,-0.18414139351094064,-0.031397173572406935
g11,1569,0,62,293,0.02029920447092816,0.004496635106065761,0.011808426166721382
g11,1,1,1712,5773,0.0,0.0,0.0
g11,1634,0,22,64,0.12942105692951195,-0.06160166146426153,0.09156569526235217
g11,1825,0,948,124,0.024640827292205906,0.01982245302799754,0.056847883762615486
g11,1715,0,27,753,-0.006215060403434285,0.03151497154011446,-0.06141839380132766
g11,2080,0,20,180,-0.1295887844825992,-0.0017801517829609459,-0.037340240685737415
g11,2053,0,277,55,0.023045289117884137,-0.07673072214330649,0.0017803678733619296
g11,2116,0,44,63,0.05305903940194952,0.009697045682866773,-0.0024530628396973717
g11,2181,0,729,36,-0.0037735893836393797,0.013749217392392285,0.04415603395945258
g11,2276,0,55,202,0.0033879196719360434,-0.017930831351722017,0.10832523766335445
g11,2425,0,32,73,-0.16496754210080292,0.01080404535334571,0.09061122611743382
