step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill
1000,16338,14080,120440,848630,813407,712383,15807,68266,895,1,145834,5553171,180537.160,66764.266,0.2078,64870.050,0.287,0.251,0.268,0.194,0.652,0.333,438,0.0083,0.7166,0.248,14.2,44.8,83.2,44.96,4.01,4.49,3.65,32.82,7.97,1.025,0.093,0.044,0.044,27.598,0.753,0.0024,164,474,2263,5243,75,0,0.000,8225,5098,3728,7512,1542,5324,9472,0.00,0.34,13502,34.7617,66724,8957,539926,1999.9,-0.0,455554,54.092,2631075.518,3.19e-15,0.00093,30.00,249854,111.795,1.408,108.643,1.745,111.796,12537,1233,2568,0.4522,0.833,1.015,1.231,1.018,0.903,1.121,37435.955,11526.158,177936.173,38010.445,29460.592,1188.104,419.511,286.601,0.728,0.561,0.516,0.892,0.742,0.678,6975,42313,0.5230,0.9995,1.0000,0.0422,1.0000,1.0000,0.5494,0.7911,0.9018,0.1022,0.0353,0.0237,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,16891,0.9999,0.8138,0.7702,0.9985,0.0609,0.0491,0.1007,0.0980,0.1001,0.5008,0.5112,0.4966,5.1938,5.1418,5.1562,0.1339
2000,10900,5618,36778,97577,94457,59717,1082,26529,199,0,48478,1795944,33708.819,11385.032,0.2639,10585.330,0.294,0.296,0.236,0.174,0.591,0.387,242,0.0076,0.6499,0.247,15.1,39.0,85.6,42.29,3.40,4.13,1.90,32.86,7.98,1.047,0.094,0.044,0.044,17.371,0.645,0.0028,222,1292,1924,1985,126,0,0.000,5332,960,1682,8258,442,1283,9175,0.00,1.15,14506,14.1259,66826,7125,495311,1580.4,-0.0,522535,33.888,2631075.518,2.46e-14,0.00068,25.34,31645,32.882,1.424,30.777,0.681,32.883,2956,2354,5590,0.3332,0.854,1.043,1.238,1.035,0.882,1.122,15146.636,12045.713,9020.154,15111.497,20162.498,287.505,299.101,213.095,0.575,0.611,0.589,0.682,0.602,0.622,8641,4687,0.5991,1.0000,1.0000,0.0979,1.0000,1.0000,0.4722,0.6669,0.9038,0.1863,0.0148,0.0207,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,10801,0.9997,0.5022,0.7060,0.9996,0.0651,0.0602,0.1002,0.0954,0.0987,0.5104,0.4975,0.4947,5.1715,4.9989,5.1022,0.0870
3000,17346,5401,44720,116859,111835,70718,1421,27018,679,0,103447,2293792,38984.091,12111.495,0.2370,10579.006,0.230,0.403,0.204,0.163,0.597,0.345,388,0.0159,0.6869,0.202,15.0,36.9,77.5,40.42,2.04,4.67,1.32,32.39,8.13,1.037,0.124,0.029,0.029,12.756,0.440,0.0031,186,578,2544,5373,323,0,0.000,7307,55,2188,15103,1116,2929,13301,0.00,3.57,14421,18.9828,66749,7043,459490,1959.3,-0.0,556984,22.497,2631075.518,1.98e-14,0.00102,14.43,36116,28.269,1.384,25.829,1.056,28.269,5263,4248,7835,0.3834,0.842,1.024,1.250,1.026,0.897,1.119,13799.502,14206.204,14802.069,13694.370,21066.658,596.429,356.831,579.229,0.611,0.578,0.602,0.735,0.548,0.565,6630,2801,0.5843,1.0000,1.0000,0.1537,0.9999,1.0000,0.5682,0.7856,0.9299,0.0885,0.0347,0.0181,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,7776,0.9997,0.7061,0.7807,0.9987,0.0540,0.0618,0.0975,0.0950,0.1003,0.5171,0.4992,0.5135,5.1117,5.2589,5.0858,0.0736
4000,13050,5821,42707,107086,100469,63297,1082,35000,1716,40,179286,3051987,39389.835,14623.920,0.2740,11553.584,0.201,0.465,0.205,0.129,0.562,0.349,840,0.0449,0.6887,0.201,13.2,32.1,72.7,35.50,1.68,5.96,1.27,26.58,8.14,1.049,0.182,0.031,0.033,14.857,0.516,0.0033,205,624,4527,9677,1057,0,0.000,6452,69,2195,10786,889,1532,10629,0.00,7.56,6991,11.9759,66792,6448,426310,978.5,-0.0,599702,29.365,2631075.518,1.19e-14,0.00039,37.93,32939,33.333,1.427,31.295,0.611,33.334,3785,4229,5036,0.4169,0.882,1.025,1.248,1.060,0.925,1.144,13139.915,11670.986,20588.111,12981.507,17373.801,1167.973,800.596,1101.767,0.639,0.523,0.549,0.735,0.463,0.528,5208,4031,0.5681,0.9999,0.9999,0.1107,1.0000,1.0000,0.6209,0.9246,0.9646,0.0893,0.0240,0.0177,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,6216,0.9991,0.8202,0.8214,0.9983,0.0472,0.0724,0.1016,0.0964,0.0990,0.5013,0.5210,0.5162,5.1508,4.9457,5.2189,0.0934
5000,10413,4456,34715,74245,66840,38634,896,28911,2248,62,195765,2489490,26928.464,11062.880,0.3343,6972.365,0.206,0.505,0.197,0.093,0.524,0.356,954,0.0676,0.7374,0.177,11.6,30.5,65.7,33.07,1.29,7.11,1.23,23.44,8.15,1.044,0.223,0.027,0.028,14.794,0.483,0.0034,190,691,5564,13969,1842,27,0.613,5535,63,2021,8329,489,1174,8750,0.00,12.24,9957,12.1151,66752,5630,394496,713.1,-0.0,631393,21.583,2631075.518,2.83e-14,0.00108,12.68,21396,23.984,1.412,22.215,0.356,23.984,2340,3794,4279,0.4473,0.815,1.022,1.271,1.061,0.913,1.151,12716.267,9148.525,7628.179,12521.908,13750.741,719.394,1462.026,1909.095,0.604,0.519,0.501,0.640,0.457,0.547,4671,2522,0.6287,0.9999,1.0000,0.2056,1.0000,1.0000,0.6558,0.9624,1.0090,0.0773,0.0233,0.0188,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,3609,0.9990,0.8389,0.8317,0.9970,0.0460,0.0914,0.1010,0.0952,0.0998,0.5072,0.5184,0.5199,5.1451,4.9003,5.1492,0.1044
6000,12113,4703,41543,89997,81566,47591,863,29514,2452,93,228943,2846164,31091.124,12074.791,0.2984,7804.739,0.190,0.547,0.174,0.090,0.527,0.349,1688,0.0679,0.7486,0.173,12.0,31.1,68.8,34.45,1.42,7.45,1.57,24.01,7.93,1.040,0.240,0.033,0.034,13.084,0.481,0.0033,165,570,5863,13803,2080,34,0.730,6229,133,1381,10599,890,1677,9546,0.25,14.10,10403,16.8888,66762,5098,362836,946.4,-0.0,662354,21.095,2631075.518,5.84e-15,0.00051,23.20,26202,25.459,1.405,23.588,0.466,25.459,3942,4357,3814,0.5080,0.831,0.999,1.275,1.043,0.930,1.163,12061.235,7981.129,15532.526,11917.138,11446.199,1321.396,1377.197,1571.459,0.641,0.490,0.499,0.679,0.376,0.484,4551,5044,0.4877,1.0000,1.0000,0.1539,1.0000,1.0000,0.6088,0.9720,0.9782,0.0637,0.0262,0.0168,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,2740,0.9996,0.9063,0.8370,0.9973,0.0456,0.1023,0.0997,0.0984,0.0992,0.5172,0.5470,0.5222,5.2471,4.7568,5.0675,0.0927
7000,10135,3639,42089,81378,71832,38356,933,30800,2988,90,252247,2834345,28100.270,11863.818,0.3179,6852.412,0.183,0.593,0.147,0.077,0.498,0.358,1887,0.1007,0.7635,0.157,10.9,27.9,61.0,30.12,0.86,8.52,1.17,19.57,7.80,1.073,0.283,0.026,0.029,11.128,0.455,0.0035,156,581,5366,14856,2009,32,0.728,5449,743,1221,8171,965,1321,7849,2.50,18.78,11128,16.6835,66822,4394,331914,976.2,-0.0,694744,20.561,2631075.518,1.10e-14,0.00023,24.47,24272,24.856,1.420,23.078,0.357,24.856,3559,3422,3154,0.4767,0.844,1.012,1.387,1.100,0.943,1.185,10572.988,6740.991,15209.645,10414.251,9328.787,1699.469,1640.193,1671.744,0.616,0.461,0.456,0.608,0.318,0.417,4145,8220,0.4827,1.0000,0.9994,0.1344,1.0000,1.0000,0.7243,1.0192,0.9975,0.0462,0.0103,0.0171,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,1969,0.9996,0.9287,0.8648,0.9983,0.0501,0.1013,0.0943,0.0997,0.0998,0.5157,0.5526,0.5182,5.2411,4.6659,5.1209,0.0896
8000,10829,3643,44176,83825,73903,38787,862,28631,3469,62,281546,2954435,28612.747,11119.652,0.2899,6018.119,0.174,0.640,0.126,0.060,0.499,0.352,1553,0.1006,0.7734,0.150,10.6,27.8,65.5,30.99,0.83,8.93,1.13,20.10,7.82,1.075,0.282,0.028,0.032,9.553,0.469,0.0034,143,517,3898,13925,1448,28,0.774,5661,437,1120,9272,1110,1557,8162,4.37,20.95,9495,15.9852,66721,3771,307102,1111.5,-0.0,721993,18.801,2631075.518,1.24e-15,0.00059,7.77,24405,23.666,1.439,21.856,0.371,23.667,4146,3385,3298,0.4791,0.864,1.010,1.398,1.070,0.947,1.211,10231.458,6037.056,16790.595,10035.044,7805.226,1989.956,1615.832,1495.745,0.592,0.471,0.454,0.601,0.285,0.354,3901,10096,0.4607,1.0000,0.9996,0.1216,1.0000,1.0000,0.6954,1.0101,1.0088,0.0390,0.0142,0.0143,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,1224,0.9997,0.8858,0.8747,0.9978,0.0536,0.0960,0.0974,0.1000,0.0998,0.5335,0.5678,0.5297,5.0256,4.6279,5.1185,0.0808
9000,9192,3265,36377,69812,60964,32868,567,26519,2999,50,290016,2782361,25288.819,10477.291,0.2729,5531.113,0.171,0.658,0.114,0.057,0.507,0.348,1427,0.1051,0.7486,0.145,12.0,29.0,65.5,31.14,0.67,9.44,0.88,20.15,7.61,1.080,0.295,0.034,0.035,9.897,0.475,0.0035,165,566,2597,12364,881,26,0.569,4660,48,1090,8054,875,1351,6966,5.06,21.37,6739,12.0468,66650,3783,284684,632.1,0.0,749303,18.104,2631075.518,2.76e-14,0.00497,30.68,21854,21.999,1.454,20.253,0.292,21.999,3237,3240,2715,0.5071,0.868,0.999,1.425,1.083,0.961,1.220,9142.730,5218.987,15372.950,8956.229,6490.753,2285.710,1519.887,1140.580,0.592,0.464,0.482,0.631,0.277,0.313,3823,6979,0.4932,1.0000,1.0000,0.1124,1.0000,1.0000,0.6801,1.0147,1.0188,0.0315,0.0090,0.0151,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,1467,0.9997,0.9058,0.8888,0.9984,0.0535,0.0951,0.0984,0.1014,0.1010,0.5387,0.5800,0.5290,5.0601,4.6115,5.1113,0.0771
10000,8866,2959,34381,57187,48894,22322,484,25267,3183,27,239215,2600551,21382.697,7950.873,0.2845,3697.487,0.162,0.677,0.114,0.047,0.504,0.343,1781,0.1110,0.7733,0.162,11.0,27.0,60.3,29.00,0.67,9.26,1.04,18.03,7.52,1.095,0.306,0.035,0.037,9.010,0.467,0.0036,155,560,1885,11274,540,22,0.592,4719,25,1023,7818,442,1183,7241,5.77,23.39,8606,11.8513,66670,3681,266296,548.0,-0.0,768385,16.122,2631075.518,6.55e-15,0.00088,11.37,16395,17.873,1.435,16.173,0.266,17.899,2448,3436,2982,0.4855,0.924,1.004,1.443,1.142,0.960,1.211,9593.667,5346.999,9055.143,9395.170,6629.871,1350.065,1823.346,1079.975,0.574,0.465,0.508,0.552,0.287,0.316,3852,5051,0.5491,1.0000,1.0000,0.1485,1.0000,0.9999,0.7302,0.9966,0.9965,0.0345,0.0146,0.0187,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,1179,0.9994,0.8764,0.8685,0.9964,0.0514,0.0898,0.0982,0.0991,0.0981,0.5229,0.5754,0.5283,5.0079,4.7264,5.0756,0.0759
