step,lineage,size,mass,hard,muscle,sensor,digestive,bite_any,tooth,age,plant,meat,shapes
5000,1,6945,30.08,0.61,8.28,1.16,15.71,0.15,0.042,321,14.78,9.84,4100
5000,70,164,28.45,0.29,0.00,0.65,25.73,0.00,0.000,1141,51.91,27.57,97
5000,21,34,44.90,0.00,2.56,1.26,28.62,0.00,0.000,1794,59.94,50.03,26
5000,403,33,38.62,0.00,0.00,0.36,37.52,0.00,0.000,1200,51.15,39.81,20
5000,55,15,38.75,0.00,3.20,2.00,23.93,0.00,0.000,2995,116.33,87.07,13
5000,14,15,7.01,0.00,0.00,0.47,5.87,0.00,0.000,2046,61.71,26.19,15
5000,36,13,9.10,0.00,0.77,0.00,7.46,0.00,0.000,703,30.15,3.14,5
5000,271,11,17.62,3.64,0.00,0.00,9.64,0.00,0.000,704,21.78,23.31,7
5000,48,11,34.92,0.00,0.00,0.00,28.82,0.00,0.000,2330,68.78,56.58,10
5000,531,10,106.20,30.20,16.70,0.00,13.70,5.40,1.000,2827,154.83,5.86,9
5000,76,7,16.73,0.43,0.00,0.00,14.14,0.00,0.000,3029,101.90,112.03,7
5000,16,7,22.10,0.00,2.71,0.00,13.29,0.00,0.000,591,7.55,27.95,7
6000,1,11066,32.76,0.48,10.27,0.87,18.01,0.12,0.033,348,17.70,9.55,6106
6000,70,251,55.35,0.20,0.00,0.91,44.90,0.00,0.000,992,54.06,26.56,120
6000,673,115,71.12,0.00,6.88,0.00,53.30,0.00,0.000,349,26.32,5.79,55
6000,678,108,31.58,0.33,9.50,5.64,24.74,0.11,0.037,265,25.10,6.79,56
6000,21,28,31.75,0.00,1.11,1.96,20.39,0.00,0.000,2077,65.55,74.65,25
6000,36,24,13.96,0.00,0.92,0.00,12.50,0.00,0.000,336,22.94,3.22,12
6000,690,22,34.74,0.00,3.18,0.00,32.77,0.00,0.000,407,21.80,7.87,19
6000,48,18,28.87,0.00,0.00,0.00,24.33,0.00,0.000,1604,54.92,35.32,14
6000,686,12,31.82,0.00,0.67,1.42,23.33,0.00,0.000,3003,85.95,67.23,11
6000,531,9,102.14,30.22,16.11,0.00,12.00,5.00,1.000,4060,218.26,11.74,9
6000,703,9,18.14,0.00,3.67,5.56,9.11,0.00,0.000,470,24.46,1.43,7
6000,76,8,21.92,0.62,0.00,0.00,17.25,0.00,0.000,1056,53.45,35.74,8
6000,403,7,26.60,0.00,0.00,0.14,25.71,0.00,0.000,1585,58.78,54.78,6
6000,55,6,30.56,0.00,1.50,6.33,18.33,0.00,0.000,2719,97.56,89.21,6
7000,1,5141,30.70,0.60,8.51,1.22,15.58,0.17,0.046,376,16.86,11.68,3238
7000,723,1413,22.58,0.12,8.62,1.44,12.85,0.03,0.008,292,16.91,3.91,821
7000,70,107,24.70,0.00,0.00,0.00,21.64,0.00,0.000,1343,64.56,35.55,83
7000,678,69,46.96,0.00,9.20,8.09,36.04,0.00,0.000,325,26.05,14.56,46
7000,725,54,33.88,1.13,13.80,1.02,17.44,0.31,0.074,471,29.28,2.96,38
7000,21,19,46.65,0.00,0.37,0.00,31.84,0.00,0.000,1857,47.61,49.83,16
7000,48,17,26.90,0.00,0.00,0.35,22.76,0.00,0.000,1477,48.92,32.69,14
7000,259,17,25.36,0.47,1.35,0.00,18.76,0.00,0.000,872,26.25,21.59,13
7000,673,17,41.88,0.00,2.47,0.00,29.53,0.00,0.000,919,37.44,14.20,12
7000,531,8,87.76,25.12,13.50,0.00,11.50,4.12,1.000,5520,268.55,22.85,8
8000,1,8448,31.03,0.36,9.96,1.21,17.46,0.10,0.027,389,21.22,7.52,4767
8000,723,149,21.68,0.00,8.16,0.70,12.66,0.00,0.000,416,23.00,2.91,97
8000,325,65,70.96,10.95,10.25,4.63,28.69,1.68,0.446,476,37.38,6.03,38
8000,21,17,36.77,0.00,0.41,1.29,25.06,0.00,0.000,1990,59.73,43.51,13
8000,725,13,39.55,1.92,21.31,0.92,14.46,0.15,0.077,1142,66.44,5.29,12
8000,673,12,44.69,0.00,3.33,0.00,30.83,0.00,0.000,1660,58.50,31.06,12
8000,70,8,18.64,0.00,0.00,0.00,18.75,0.00,0.000,3006,187.68,6.75,8
