step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill
11000,14729,4903,48767,88514,73363,38867,880,32347,7737,9,498393,5109520,29607.297,16452.690,0.3415,5814.876,0.072,0.810,0.049,0.069,0.551,0.326,3826,0.0923,0.7636,0.130,9.5,29.9,49.8,25.53,0.17,9.57,0.98,14.82,7.12,1.332,0.295,0.008,0.011,8.014,0.411,0.0031,165,602,1899,43947,945,7,0.377,8112,37,1712,12980,944,2118,11667,6.75,19.99,9106,14.5347,66676,6091,247776,1127.3,-0.0,789887,20.308,2630837.750,1.31e-14,0.00043,16.93,30944,28.383,1.434,26.037,0.912,28.384,4616,4014,6099,0.3425,0.976,1.116,1.838,1.359,0.979,1.543,11713.656,9695.686,11359.655,11444.046,12618.472,2631.947,1590.865,6415.004,0.518,0.640,0.508,0.471,0.429,0.431,4633,7171,0.4725,1.0000,0.9997,0.1270,1.0000,1.0000,0.8444,1.1759,1.1887,0.0103,0.0016,0.0077,0.0000,0.2188,0.9371,0.0473,0.6605,0.9412,0.00249,622,0.9996,0.9751,0.9281,0.9921,0.0450,0.0575,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0677
12000,14749,5013,57990,108124,89610,49038,1096,36203,8602,3,585845,5560518,32750.315,19336.827,0.3285,7307.921,0.079,0.809,0.045,0.066,0.537,0.333,3442,0.1074,0.7737,0.120,10.6,30.7,48.0,25.94,0.19,9.06,1.04,15.64,7.08,1.329,0.289,0.014,0.019,8.117,0.419,0.0031,149,539,2179,47719,894,8,0.416,8262,268,1748,12733,1043,2180,11526,6.50,19.32,9102,16.6685,66903,6284,231171,1317.7,0.0,807927,21.418,2630837.750,2.83e-15,0.00064,31.67,38594,30.993,1.433,28.593,0.968,30.993,4960,4154,5635,0.3739,0.953,1.096,1.900,1.346,0.981,1.571,11525.630,9312.885,16922.859,11282.593,11852.783,4829.592,1362.258,5837.056,0.515,0.639,0.486,0.523,0.412,0.384,4899,12369,0.4308,0.9998,0.9997,0.0897,1.0000,0.9999,0.8740,1.1835,1.1734,0.0138,0.0016,0.0054,0.0000,0.7468,0.9383,0.2621,0.6599,0.9485,0.00244,793,0.9996,0.9736,0.9302,0.9944,0.0398,0.0525,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0665
13000,12002,4969,53265,93095,75673,38914,916,36585,7578,6,549223,5356696,30831.939,17779.319,0.3308,6422.913,0.087,0.800,0.046,0.067,0.532,0.336,3068,0.1314,0.7670,0.124,10.7,28.3,44.0,23.49,0.18,9.39,0.70,13.22,6.81,1.383,0.309,0.011,0.014,8.514,0.498,0.0032,161,565,2108,46574,866,14,0.364,6523,249,1128,10625,719,908,10375,7.08,20.29,9989,14.3300,66949,5577,216202,798.9,-0.0,825189,22.324,2630837.750,2.09e-14,0.00047,10.33,32764,30.041,1.432,27.948,0.661,30.041,2882,3842,5278,0.3604,0.989,1.125,1.928,1.485,0.984,1.619,12342.183,9435.301,13202.579,12089.867,11962.406,3680.626,1644.939,6030.842,0.495,0.645,0.474,0.468,0.417,0.379,4408,11158,0.5157,1.0000,0.9996,0.1124,1.0000,1.0000,0.9612,1.1679,1.1692,0.0193,0.0023,0.0061,0.0000,0.0000,0.8274,0.1762,0.6233,0.9563,0.00248,685,0.9997,0.9679,0.9240,0.9939,0.0457,0.0513,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0709
14000,13627,4830,48338,82215,67539,33181,696,31745,6188,5,446223,4793595,29194.806,13830.493,0.3249,4769.835,0.073,0.809,0.059,0.060,0.527,0.337,2551,0.1081,0.7728,0.113,11.4,28.0,46.8,24.93,0.37,8.77,0.67,15.13,7.04,1.344,0.287,0.016,0.020,8.080,0.431,0.0031,164,599,1872,37068,932,17,0.576,7337,284,1871,11472,958,1414,11255,7.25,21.83,12306,17.1072,66989,5419,206996,1057.0,-0.0,833018,20.060,2630837.750,1.10e-14,0.00019,33.24,29658,26.737,1.420,24.447,0.871,26.738,4159,4329,5139,0.3963,0.975,1.051,1.943,1.429,0.984,1.578,12102.446,8163.926,12070.524,11834.534,10059.582,3136.483,1520.980,4403.195,0.498,0.640,0.456,0.472,0.377,0.347,4604,8175,0.4771,1.0000,0.9999,0.1055,0.9999,1.0000,0.8597,1.1380,1.1593,0.0350,0.0026,0.0067,0.0000,0.7572,0.9652,0.0775,0.6548,0.9787,0.00250,600,0.9997,0.9655,0.9307,0.9922,0.0465,0.0497,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0666
15000,13663,4981,52736,101365,85997,47797,832,33075,6092,4,436400,5059942,33837.445,17069.069,0.3372,7870.985,0.062,0.787,0.075,0.076,0.534,0.339,2697,0.1047,0.7665,0.127,10.6,28.0,45.0,24.08,0.37,8.46,0.68,14.58,6.82,1.338,0.288,0.012,0.016,8.157,0.465,0.0030,159,568,1939,35835,728,19,0.284,7182,110,1857,11696,563,1612,11488,6.25,21.52,7230,12.5047,67007,4872,198092,809.0,0.0,848418,21.328,2630837.750,7.97e-15,0.00042,23.67,35721,30.427,1.428,28.088,0.910,30.427,3711,4503,5449,0.4044,0.979,1.053,1.969,1.385,0.987,1.597,12226.657,8500.394,18809.970,11994.426,10904.034,2914.791,1423.024,4860.270,0.496,0.652,0.465,0.568,0.388,0.394,3910,12823,0.5785,1.0000,0.9998,0.1061,1.0000,1.0000,0.8660,1.1123,1.1523,0.0371,0.0032,0.0080,0.0000,0.2819,0.9314,0.1919,0.6827,0.9948,0.00250,706,0.9996,0.9418,0.9348,0.9936,0.0484,0.0528,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0683
16000,11696,4297,42418,69338,56219,26274,646,32268,5434,4,366236,4415402,25739.652,11674.803,0.3343,4022.153,0.057,0.793,0.088,0.063,0.516,0.346,2102,0.1214,0.7800,0.133,11.5,28.0,44.8,24.60,0.27,9.05,0.76,14.52,6.85,1.298,0.305,0.016,0.018,8.306,0.460,0.0033,175,620,1979,28210,627,15,0.659,6088,67,1442,10187,658,1328,9710,8.50,27.33,7943,10.9532,66916,4944,190310,733.1,0.0,857701,20.642,2630837.750,2.32e-14,0.00118,15.34,24340,26.272,1.435,24.228,0.609,26.272,2895,4137,4664,0.4171,0.991,1.037,1.977,1.355,0.990,1.537,11877.867,7441.694,8818.414,11661.038,9282.353,2213.613,1203.185,4235.852,0.472,0.651,0.422,0.465,0.340,0.338,3831,5935,0.4922,1.0000,0.9997,0.1274,0.9999,1.0000,0.8922,1.1163,1.1270,0.0212,0.0044,0.0094,0.0000,0.0229,0.9110,0.0494,0.6444,0.9855,0.00253,744,0.9999,0.9343,0.9282,0.9937,0.0501,0.0485,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0703
17000,11960,4559,40402,67323,54751,26340,581,28874,3973,9,330466,4058976,26858.448,10764.482,0.3169,4218.909,0.050,0.789,0.096,0.065,0.508,0.349,2267,0.1166,0.7688,0.129,12.0,28.8,49.3,25.91,0.27,8.76,0.87,16.00,6.90,1.295,0.290,0.017,0.020,8.617,0.453,0.0031,173,618,2285,25565,863,15,0.391,6280,64,1649,10247,686,1631,9643,7.85,27.92,9357,13.5162,67001,4774,182226,783.1,-0.0,865111,19.624,2630837.750,2.51e-14,0.00123,36.12,24605,25.968,1.441,23.832,0.695,25.968,3720,4007,4233,0.4120,0.983,1.037,1.987,1.368,0.987,1.523,11777.592,7356.554,10529.239,11544.175,9003.943,2091.060,1031.458,3423.054,0.466,0.640,0.409,0.489,0.331,0.333,3730,6643,0.4139,1.0000,0.9997,0.1299,0.9999,1.0000,0.8745,1.0954,1.0968,0.0145,0.0064,0.0110,0.0000,0.8136,0.9543,0.2285,0.6720,0.9671,0.00249,639,0.9994,0.9197,0.9268,0.9921,0.0517,0.0482,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0706
18000,12448,4748,44949,79607,66692,34111,547,28672,4314,9,341873,4188732,29633.699,12917.224,0.3340,5780.910,0.047,0.785,0.107,0.061,0.508,0.351,2379,0.1131,0.7582,0.133,12.3,29.0,46.6,25.33,0.32,9.06,0.87,15.07,6.73,1.335,0.298,0.018,0.021,8.452,0.462,0.0030,162,592,2293,23281,601,16,0.401,6461,348,1324,10776,769,1493,10186,7.85,28.51,8641,14.0492,66980,4479,172908,839.7,-0.0,876395,20.056,2630837.750,2.58e-14,0.00061,9.52,28904,28.583,1.483,26.279,0.821,28.584,3676,4032,4740,0.4088,0.978,1.037,1.994,1.391,0.985,1.589,11457.310,7867.951,14561.693,11242.691,9610.225,2301.201,967.816,3867.297,0.483,0.629,0.419,0.532,0.326,0.354,3257,10766,0.4289,1.0000,0.9997,0.1024,0.9999,0.9999,0.8539,1.1149,1.0979,0.0239,0.0061,0.0073,0.0000,0.0000,0.7510,0.2293,0.6411,0.9510,0.00249,700,0.9997,0.9167,0.9320,0.9933,0.0513,0.0493,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0671
19000,11011,4245,41284,72306,59006,30417,605,27760,4446,10,356893,3842932,26303.456,12321.103,0.3322,4911.920,0.041,0.793,0.105,0.061,0.489,0.361,1986,0.1295,0.7613,0.144,12.5,29.9,47.2,26.24,0.45,8.81,0.71,16.27,6.63,1.293,0.287,0.019,0.021,8.401,0.450,0.0030,168,617,2219,22714,720,18,0.471,5688,591,1324,9096,892,1621,8498,8.59,30.32,9855,15.3726,66946,4583,164963,923.4,-0.0,884697,19.152,2630837.750,3.72e-15,0.00003,24.64,26340,27.574,1.513,25.427,0.635,27.575,3805,3354,3852,0.4125,0.963,1.038,1.996,1.299,0.987,1.555,10026.496,6845.947,12991.121,9802.526,8421.728,2853.296,812.534,3743.353,0.470,0.611,0.403,0.508,0.330,0.349,3250,9810,0.4421,0.9999,0.9996,0.0983,1.0000,0.9999,0.7683,1.1159,1.0907,0.0287,0.0076,0.0109,0.0000,0.5700,0.9495,0.1120,0.6545,0.9455,0.00251,695,0.9998,0.8846,0.9199,0.9945,0.0550,0.0525,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0667
20000,11201,3912,40871,75551,63455,34097,583,24344,3494,12,316719,3534375,27733.604,12147.053,0.3214,5785.744,0.048,0.772,0.116,0.065,0.494,0.357,1986,0.1158,0.7498,0.147,13.0,29.8,48.9,25.58,0.30,8.88,0.66,15.73,6.46,1.358,0.290,0.017,0.022,8.446,0.418,0.0028,162,597,2076,18438,811,19,0.590,5557,395,1034,9772,995,1039,9167,8.00,31.67,7440,13.4948,66951,4409,158155,1087.5,-0.0,895371,17.813,2630837.750,1.01e-14,0.00089,20.54,27480,26.307,1.478,24.142,0.687,26.341,3869,3243,4089,0.3657,0.987,1.062,1.998,1.465,0.985,1.551,9475.623,6660.701,16207.813,9282.204,8029.331,2599.021,740.523,3021.765,0.499,0.588,0.407,0.547,0.305,0.367,3358,11985,0.4371,0.9997,0.9999,0.0861,0.9999,1.0000,0.7891,1.1220,1.1012,0.0220,0.0025,0.0088,0.0000,0.3531,0.9048,0.2450,0.7352,0.9551,0.00248,846,0.9996,0.8912,0.9266,0.9953,0.0508,0.0536,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0670
