step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill
1000,16779,14502,128973,908257,875784,761009,18275,70078,1235,2,182749,6343684,183286.551,74531.126,0.2280,71927.286,0.252,0.259,0.249,0.240,0.680,0.304,640,0.0102,0.7241,0.248,14.1,44.2,81.2,43.28,4.02,4.30,2.71,32.25,7.70,1.029,0.086,0.048,0.050,25.691,0.760,0.0023,166,484,2293,6321,79,0,0.000,8277,5281,3840,7658,1613,5420,9746,0.00,0.44,11253,33.3480,66725,9059,538592,1966.7,-0.0,460460,55.973,2631002.543,2.57e-14,0.00093,30.00,265277,108.072,1.367,105.097,1.608,108.073,12643,1169,2967,0.4431,0.833,1.019,1.237,1.017,0.907,1.129,37129.857,12567.817,184663.564,37670.725,32879.549,1718.353,395.605,489.881,0.739,0.592,0.551,0.892,0.735,0.697,6743,46522,0.5261,1.0000,0.9998,0.0422,1.0000,1.0000,0.5545,0.7494,0.9070,0.1056,0.0537,0.0301,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,18333,0.9999,0.7754,0.7565,0.9986,0.0590,0.0572,0.1013,0.1011,0.0987,0.5034,0.4958,0.4923,5.0766,5.2057,5.2031,0.1302
2000,16722,6942,47842,115732,108579,66619,1271,29770,2133,0,217751,2653554,37887.965,16963.824,0.2869,13059.414,0.245,0.356,0.195,0.204,0.599,0.340,1410,0.0192,0.6766,0.252,11.5,34.4,71.6,35.06,2.40,4.78,1.23,26.65,7.67,1.071,0.132,0.029,0.031,13.225,0.566,0.0027,210,1234,1954,9500,118,0,0.000,8235,1155,2884,12683,757,1282,14683,0.00,2.54,12429,12.5997,66826,7392,492085,1560.0,-0.0,527420,34.619,2631002.543,2.92e-14,0.00068,25.34,36393,33.306,1.379,30.731,1.196,33.307,3264,3773,9685,0.3074,0.915,1.055,1.249,1.054,0.935,1.130,16354.521,15730.015,8385.512,16290.896,26270.972,534.457,926.074,2443.878,0.581,0.607,0.603,0.665,0.548,0.594,7291,4433,0.6164,1.0000,1.0000,0.1060,1.0000,1.0000,0.5257,0.8625,0.9691,0.1820,0.0346,0.0183,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,11563,0.9989,0.6935,0.7054,0.9990,0.0509,0.0554,0.1029,0.1038,0.0997,0.5059,0.5267,0.5183,5.2269,5.3299,5.3443,0.0774
3000,17324,5352,47959,107936,99550,58729,1248,34390,3558,2,277797,3314585,35595.294,15455.629,0.3334,9666.790,0.167,0.501,0.160,0.172,0.566,0.326,1903,0.0451,0.7221,0.205,10.3,30.3,64.8,31.56,1.62,6.07,1.10,22.77,7.36,1.092,0.201,0.023,0.025,10.931,0.436,0.0033,200,634,2506,17604,357,0,0.000,8611,67,2799,14458,779,2539,14006,0.00,8.14,17171,18.8175,66749,7025,456217,1716.5,-0.0,559227,25.996,2631002.543,1.98e-14,0.00102,14.43,32539,27.352,1.337,25.001,1.013,27.353,4169,5060,8095,0.3645,0.908,1.061,1.316,1.104,0.936,1.183,14221.027,14936.133,8882.630,14123.608,22255.847,840.059,719.068,4229.712,0.556,0.569,0.567,0.642,0.510,0.540,5399,2840,0.5246,1.0000,1.0000,0.1913,1.0000,1.0000,0.6780,0.9451,0.9834,0.1091,0.0337,0.0197,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,6567,0.9994,0.7487,0.8005,0.9984,0.0482,0.0552,0.0995,0.1024,0.1011,0.4812,0.5349,0.5050,5.4423,5.4168,5.5852,0.0722
4000,14959,5645,58522,153805,140923,93948,1335,38839,4900,37,391973,4506954,43624.472,22281.499,0.3274,14261.557,0.129,0.605,0.147,0.119,0.553,0.327,2670,0.0818,0.7291,0.188,11.0,31.5,62.7,31.81,1.28,6.99,0.53,23.01,7.25,1.098,0.232,0.019,0.022,11.331,0.487,0.0032,172,550,3499,25004,654,0,0.000,7661,73,2651,12235,1313,2103,11543,0.25,12.39,6970,14.9078,66792,6269,425102,1443.5,-0.0,601208,28.029,2631002.543,1.59e-14,0.00039,37.93,47554,32.375,1.368,30.163,0.844,32.376,4581,4430,5948,0.4193,0.886,1.040,1.361,1.087,0.949,1.216,13473.147,10970.365,28236.212,13294.489,16355.328,2282.199,1203.791,4533.951,0.611,0.561,0.516,0.728,0.473,0.496,4787,12792,0.5114,1.0000,0.9999,0.0971,1.0000,1.0000,0.6566,1.0336,1.0265,0.0653,0.0199,0.0237,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,4319,0.9992,0.8470,0.8604,0.9985,0.0420,0.0651,0.1012,0.1029,0.1020,0.4882,0.5254,0.4922,5.3171,5.5176,5.6552,0.0747
5000,11625,4419,40814,79589,68770,37963,812,33237,3976,48,302797,3746009,27620.944,12625.463,0.3356,6274.953,0.100,0.653,0.140,0.107,0.540,0.324,2753,0.1028,0.7598,0.157,10.1,27.3,55.8,27.93,1.09,7.93,0.73,18.18,7.03,1.115,0.262,0.021,0.025,10.782,0.457,0.0034,196,663,3359,22327,862,17,0.674,6445,51,1874,9700,405,1230,9990,2.75,17.05,10569,12.3073,66771,5496,393599,748.5,-0.0,633642,22.835,2631002.543,7.08e-15,0.00099,12.68,24416,22.116,1.334,20.309,0.473,22.117,2355,4382,4888,0.4280,0.933,1.036,1.391,1.153,0.959,1.236,13309.654,9739.136,7093.320,13133.724,13668.853,1034.248,1412.669,3903.594,0.523,0.564,0.528,0.545,0.446,0.486,4411,4077,0.6590,1.0000,1.0000,0.1789,0.9999,0.9999,0.7387,1.0414,1.0182,0.0783,0.0230,0.0268,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,2810,0.9989,0.8602,0.8663,0.9973,0.0443,0.0717,0.1049,0.1052,0.1038,0.4919,0.5165,0.4806,5.4892,5.6763,5.7350,0.0787
6000,14122,4814,46701,95575,83542,48118,756,30203,3316,49,323905,4039553,33721.179,14157.100,0.3099,7883.658,0.090,0.690,0.140,0.080,0.548,0.324,2288,0.0825,0.7482,0.146,11.0,30.6,63.6,30.19,0.99,8.20,0.56,20.44,7.02,1.143,0.257,0.031,0.035,9.869,0.445,0.0031,168,584,3160,21237,924,20,0.743,7574,333,2056,11733,1271,1967,10884,2.92,18.34,9032,17.4432,66781,5071,362290,1410.0,-0.0,665180,21.259,2631002.543,5.66e-15,0.00002,23.20,30009,23.148,1.331,21.148,0.669,23.148,5903,3840,4379,0.3625,0.939,1.081,1.416,1.184,0.965,1.244,12038.276,8254.315,18449.570,11837.899,11317.369,2051.780,1271.219,2950.443,0.582,0.559,0.519,0.612,0.366,0.460,4183,7909,0.4469,1.0000,0.9998,0.1336,0.9999,0.9999,0.7126,1.1068,0.9989,0.0448,0.0149,0.0240,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,2727,0.9996,0.8702,0.8435,0.9976,0.0481,0.0848,0.1037,0.1054,0.1036,0.4840,0.5285,0.4874,5.4749,5.6753,5.7728,0.0663
7000,10555,4213,37700,71100,60209,32829,571,28530,2596,28,273136,3580870,27058.656,11574.694,0.3217,6082.732,0.095,0.696,0.136,0.073,0.528,0.332,1892,0.1121,0.7474,0.143,11.6,27.9,60.5,28.77,0.84,9.10,0.52,18.32,6.94,1.132,0.288,0.028,0.033,10.365,0.487,0.0032,189,645,2621,18804,723,18,0.548,5816,540,1046,8969,838,1318,8399,3.75,20.93,10056,14.6043,66852,4357,331101,734.4,-0.0,699624,20.696,2631002.543,1.42e-14,0.00036,24.47,22658,19.757,1.312,18.077,0.367,19.757,3447,3679,3429,0.4248,0.942,1.036,1.439,1.205,0.969,1.232,10843.177,7097.269,12984.137,10651.795,9505.456,1939.417,1266.357,2286.188,0.591,0.531,0.480,0.574,0.331,0.454,4152,7999,0.4592,1.0000,0.9998,0.1164,1.0000,0.9999,0.7263,1.0912,0.9870,0.0433,0.0160,0.0228,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,2114,0.9992,0.9079,0.8360,0.9984,0.0552,0.0870,0.1046,0.1064,0.1043,0.4907,0.5304,0.4965,5.6390,5.6810,5.7492,0.0705
8000,11270,3784,39118,71255,59722,31706,431,25590,2992,18,297254,3240555,27295.473,10966.628,0.2957,5473.780,0.078,0.706,0.139,0.077,0.518,0.334,2263,0.1038,0.7474,0.150,11.8,30.2,57.6,28.84,0.75,9.84,0.60,17.64,6.83,1.132,0.311,0.026,0.031,9.528,0.444,0.0031,170,608,2413,16248,718,22,0.632,6452,829,1461,8980,1011,1879,8380,4.85,24.22,9407,15.3211,66753,4542,306406,976.8,-0.0,726263,18.408,2631002.543,1.82e-14,0.00035,7.77,22159,18.395,1.304,16.647,0.444,18.395,4450,3372,3448,0.3845,0.952,1.057,1.433,1.185,0.973,1.217,9881.277,6552.539,14853.126,9685.996,8230.131,1965.189,1753.630,1774.028,0.575,0.518,0.468,0.545,0.311,0.411,3908,8319,0.4399,1.0000,1.0000,0.1132,1.0000,1.0000,0.7889,1.0850,0.9980,0.0334,0.0177,0.0220,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,1484,0.9998,0.8913,0.8486,0.9981,0.0581,0.0902,0.1039,0.1033,0.1046,0.4788,0.5386,0.4965,5.5409,5.6254,5.7107,0.0662
9000,10149,3548,38957,68856,56041,29500,399,26715,3572,31,331962,3259657,25301.980,11385.744,0.3017,5127.180,0.079,0.718,0.126,0.076,0.507,0.334,2971,0.1274,0.7573,0.147,11.2,28.0,53.9,27.03,0.59,9.86,0.47,16.12,6.80,1.126,0.323,0.021,0.025,9.086,0.439,0.0032,169,579,2194,20639,666,22,0.465,5766,71,1075,9003,818,1635,7696,6.00,24.67,10505,14.2082,66718,4647,283015,708.1,0.0,751473,18.092,2631002.543,2.80e-14,0.00945,30.68,22223,17.954,1.320,16.265,0.370,17.955,3267,3323,3559,0.4316,0.962,1.027,1.447,1.166,0.977,1.229,10237.719,6770.484,11591.063,10040.439,8797.658,2017.799,2217.978,2022.787,0.525,0.517,0.481,0.528,0.335,0.401,3727,8161,0.5015,1.0000,0.9997,0.1109,1.0000,1.0000,0.8377,1.0977,0.9871,0.0285,0.0172,0.0189,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,1599,0.9995,0.9232,0.8421,0.9981,0.0512,0.0814,0.1029,0.1048,0.1045,0.4810,0.5277,0.4962,5.6341,5.5768,5.7857,0.0668
10000,11297,4315,47389,95225,81010,47303,533,26781,4149,27,401221,3850479,31075.152,15298.615,0.3009,7751.993,0.070,0.740,0.111,0.078,0.530,0.320,3472,0.1213,0.7544,0.121,11.4,29.7,58.7,28.74,0.80,9.41,0.53,18.00,6.94,1.131,0.298,0.033,0.037,9.457,0.457,0.0029,150,517,2143,22657,831,19,0.735,6389,42,1223,10032,814,1753,8730,4.80,21.81,6385,13.3261,66732,4509,262423,1095.4,-0.0,776565,18.394,2631002.543,7.79e-15,0.00878,11.37,30679,21.341,1.357,19.511,0.473,21.376,4011,3609,3677,0.4222,0.942,1.035,1.477,1.168,0.972,1.247,10829.491,7229.967,18494.183,10665.286,9667.676,2738.884,2216.273,2591.464,0.561,0.534,0.498,0.586,0.359,0.461,3572,13436,0.4830,0.9999,0.9998,0.0970,1.0000,1.0000,0.7501,1.1198,1.0349,0.0387,0.0193,0.0193,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,1848,0.9994,0.9045,0.8495,0.9985,0.0515,0.0737,0.1036,0.1054,0.1036,0.4880,0.5340,0.4934,5.4856,5.5307,5.7246,0.0688
