run,medium,grown,breed,breed_p10,breed_p90,share,share_p10,share_p90,store,store_p10,store_p90,fat_fill,kids
e067,land,779.1666666666666,0.1,0.1,0.1,0.5,0.5,0.5,5.0,5.0,5.0,0.06460714285714285,
e067,surface,1103.8333333333333,0.1,0.1,0.1,0.5,0.5,0.5,5.0,5.0,5.0,0.1127991565629942,
e067,bottom,979.0,0.1,0.1,0.1,0.5,0.5,0.5,5.0,5.0,5.0,0.10048326997521415,
e069,land,1277.5,0.1042,0.074,0.1384,0.4781,0.3216,0.665,6.159,4.905,8.771,0.04783661037230426,2.3956947162426614
e069,surface,1013.1666666666666,0.0975,0.0975,0.1091,0.4768,0.4768,0.5663,5.97,5.602,5.97,0.11122278056951423,4.006086527389373
e069,bottom,880.5,0.1047,0.0741,0.1179,0.4507,0.3985,0.6111,6.148,4.203,7.061,0.11554770412315837,2.3161082718152564
c10,land,1027.8333333333333,0.1,0.1,0.1,0.5,0.5,0.5,5.0,5.0,5.0,0.0579117937156545,2.3178206583427925
c10,surface,900.1666666666666,0.1,0.1,0.1,0.5,0.5,0.5,5.0,5.0,5.0,0.11656000000000001,4.52693945565636
c10,bottom,1616.8333333333333,0.1,0.1,0.1,0.5,0.5,0.5,5.0,5.0,5.0,0.11984112149532711,2.6312751262756415
g10,land,727.1666666666666,0.0897,0.0761,0.1178,0.5248,0.3701,0.7154,5.121,3.957,5.965,0.07029990748393074,2.5789594315837725
g10,surface,781.1666666666666,0.0983,0.0793,0.108,0.547,0.3701,0.7531,5.503,5.266,5.985,0.13724798962006413,3.947514401536164
g10,bottom,805.5,0.0938,0.0775,0.113,0.603,0.483,0.7198,4.875,4.058,6.492,0.134437213029646,2.4090626939788953
c11,land,958.3333333333334,0.1,0.1,0.1,0.5,0.5,0.5,5.0,5.0,5.0,0.06356824908693318,2.432695652173913
c11,surface,990.8333333333334,0.1,0.1,0.1,0.5,0.5,0.5,5.0,5.0,5.0,0.07613877551020408,3.6400336417157275
c11,bottom,1285.8333333333333,0.1,0.1,0.1,0.5,0.5,0.5,5.0,5.0,5.0,0.08896793002915451,2.587556707712249
g11,land,1094.3333333333333,0.0963,0.0542,0.1185,0.4475,0.3054,0.5429,5.551,4.782,7.03,0.05468334535116262,2.4491318915625953
g11,surface,968.3333333333334,0.1174,0.1174,0.1174,0.4475,0.4475,0.4476,5.551,5.551,5.551,0.08132021916508123,3.5430292598967297
g11,bottom,1538.1666666666667,0.0872,0.0674,0.119,0.4449,0.2773,0.5405,5.723,5.031,8.935,0.07043357699535517,2.6616101419438727
