arm,seeds,form_held,form,null_medium,lineage_e060,top_lineage,pop,breed,share,store,gap_breed,gap_share,gap_store
constants,9 10 11,4,6.111111111111112,5.2,2.7222222222222223,0.5166666666666666,8445.62,0.1,0.5,5.0,0.0,0.0,0.0
genome,9 10 11,2.3333333333333335,5.055555555555555,4.7555555555555555,2.2222222222222223,0.5245666666666666,7743.386666666666,0.10026666666666667,0.499,5.595666666666666,0.014195085875880238,0.02459463805051259,0.019377453311589788
