run,seed,arm,censuses,grown,lineage_e060,forms,form,form_low,form_high,form_held,null_medium,null_medium_held,null_whole,null_whole_held,groups,grouped,breed,breed_p10,breed_p90,gap_breed,gap_breed_null_max,share,share_p10,share_p90,gap_share,gap_share_null_max,store,store_p10,store_p90,gap_store,gap_store_null_max,steps,pop,pop_min,pop_max,lineages,top_lineage,births_per_body,blocked,no_room,age_death_p50,fat_mean,kills,deaths_hunger,deaths_broken,deaths_wear,deaths_thirst,deaths_suffocation
e067,9,constants,6,2862.0,2.5,351,6.166666666666667,5,8,4,5.066666666666666,3,4.566666666666666,1.4,16,0.7474959235965525,0.1,0.1,0.1,0.0,0.0,0.5,0.5,0.5,0.0,0.0,5.0,5.0,5.0,0.0,0.0,100000,8072.7,6900.0,9628.0,14.82,0.43002,3.7403198434228946,0.4691,0.3913593510946448,160.1,8.63036,0.11819128743336615,0.6581504883772503,0.05196625215557902,0.0002482432651602162,0.2744643737815393,0.015170642420471133
e069,9,genome,6,3171.1666666666665,2,362,4.166666666666667,4,5,2,4,2,3.8000000000000003,1,17,0.7414200872444421,0.0993,0.087,0.1224,0.02385612832782308,0.006066108737740144,0.4768,0.3925,0.6052,0.033426600197828595,0.0074764442976166115,5.97,4.866,7.935,0.03168904937274337,0.006508720516418235,100000,7771.84,6595.0,10137.0,13.66,0.56466,3.433205006793758,0.51812,0.4963304026892259,167.14,9.9729,0.08838556080264215,0.5964147010751398,0.039620477140158046,0.0005330714210739402,0.35328764863770634,0.010144101725921817
c10,10,constants,6,3544.8333333333335,2.5,540,6.166666666666667,5,7,3,5.533333333333333,3,5.966666666666667,3.6,14,0.5512247872490479,0.1,0.1,0.1,0.0,0.0,0.5,0.5,0.5,0.0,0.0,5.0,5.0,5.0,0.0,0.0,100000,9779.94,8108.0,12374.0,34.28,0.53098,4.1864796716544275,0.46716,0.37971675460074555,135.9,8.6625,0.15817706629565612,0.6498359627798131,0.10661198433759533,0.0006275314913371353,0.23045642294352803,0.012468098447726382
g10,10,genome,6,2313.8333333333335,2.1666666666666665,282,4.5,3,7,2,4.266666666666667,3,3.3666666666666667,2,9,0.6349492184686307,0.0929,0.0793,0.1109,0.007513954056567228,0.0030797227577543562,0.5727,0.3701,0.7531,0.028729344701918052,0.0046468323545872554,5.266,4.065,6.22,0.010057254657679857,0.0032382833527243504,100000,6285.6,4451.0,7646.0,14.04,0.4078,4.203102329133257,0.3766,0.36465677206733255,135.8,8.32478,0.10482121137849124,0.7072166774802384,0.042880039004565926,0.0006170171046226316,0.2385350272660994,0.01075123914447361
c11,11,constants,6,3235.0,3.1666666666666665,350,6,5,7,5,5,4,5.1,3,9,0.653219989696033,0.1,0.1,0.1,0.0,0.0,0.5,0.5,0.5,0.0,0.0,5.0,5.0,5.0,0.0,0.0,100000,7484.22,6009.0,9058.0,26.64,0.589,3.073431833911884,0.46366,0.41523931161557204,188.9,10.81794,0.13479940413922914,0.6310202634104279,0.06251738453193886,0.00038593660904273814,0.2675097005688219,0.03856671487976858
g11,11,genome,6,3600.8333333333335,2.5,371,6.5,5,9,3,6,2,4.7,2,13,0.7449201573709789,0.1086,0.0682,0.1179,0.011215175243250407,0.007118722249599115,0.4475,0.306,0.5257,0.011627969251791116,0.004613069547720795,5.551,5.027,7.53,0.016386055904346136,0.0059438980775451304,100000,9172.72,7607.0,11642.0,21.98,0.60124,3.4339694223741706,0.4994,0.44598663213248124,177.44,9.01048,0.12144665543801997,0.680938318544539,0.051176800544173486,0.00029822940567321166,0.24524419277548784,0.0223424587301265
