step,lineage,size,mass,hard,muscle,sensor,digestive,bite_any,tooth,age,plant,meat,shapes
7000,34,33,37.25,3.21,13.67,0.00,20.00,0.33,0.061,1242,68.63,16.59,28
7000,351,31,39.58,0.00,1.06,0.00,37.23,0.00,0.000,1427,82.82,22.26,23
7000,308,25,34.53,1.40,0.28,2.40,27.80,0.08,0.040,1620,78.46,57.11,15
7000,2,24,36.25,3.50,0.08,3.17,25.21,0.00,0.000,481,20.53,9.56,15
7000,150,21,41.92,0.00,0.00,0.00,39.52,0.00,0.000,1529,53.76,51.92,17
7000,764,20,11.34,0.00,0.00,0.00,9.00,0.00,0.000,1819,49.45,23.77,15
7000,786,18,36.26,1.28,0.00,3.11,24.33,0.00,0.000,773,33.46,29.94,12
7000,165,17,64.58,0.06,0.00,0.00,54.41,0.00,0.000,1820,72.88,55.43,10
7000,694,13,59.57,9.69,0.54,0.08,31.77,0.08,0.000,2860,117.76,97.89,12
7000,10,12,41.42,0.17,0.00,0.00,32.33,0.00,0.000,2616,64.98,63.72,9
7000,54,11,36.25,0.00,0.55,0.00,27.64,0.00,0.000,424,18.72,12.35,2
7000,530,7,26.91,0.00,2.57,1.14,18.14,0.00,0.000,2092,77.52,26.41,7
7000,18,7,31.00,0.29,8.29,0.00,16.14,0.00,0.000,1068,44.06,9.52,7
7000,167,7,40.21,0.43,0.00,0.00,27.14,0.00,0.000,1355,56.48,26.34,5
7000,481,6,16.58,0.67,0.00,0.00,11.33,0.00,0.000,3534,101.97,49.25,6
7000,299,6,20.60,0.67,0.00,0.00,17.50,0.00,0.000,2183,47.04,32.61,6
7000,506,6,30.67,0.33,7.83,0.00,16.00,0.00,0.000,1712,57.10,42.77,6
8000,1,8346,31.25,0.74,8.60,1.06,19.66,0.11,0.029,326,19.18,6.18,3988
8000,270,715,52.69,0.21,14.92,0.02,22.17,0.02,0.007,592,25.72,15.27,465
8000,693,239,29.93,1.21,10.54,0.38,16.20,0.35,0.100,445,23.43,4.68,139
8000,718,230,33.23,0.63,6.12,4.24,24.32,0.07,0.022,209,16.55,4.73,159
8000,743,221,27.90,0.89,8.38,0.00,17.67,0.06,0.014,478,23.30,9.27,106
8000,128,97,29.19,0.29,9.36,1.87,13.37,0.08,0.021,398,18.29,4.92,60
8000,198,30,49.30,3.33,8.33,0.33,29.30,0.13,0.033,786,41.06,8.62,22
8000,686,24,15.55,0.08,0.00,0.00,13.50,0.00,0.000,1681,40.46,27.19,16
8000,764,24,11.53,0.00,0.00,0.00,9.21,0.00,0.000,1317,34.04,18.97,17
8000,34,22,35.42,4.50,6.91,0.00,20.00,0.77,0.136,1897,94.76,34.53,17
8000,165,20,67.09,0.05,0.00,1.55,54.50,0.00,0.000,874,31.21,28.24,12
8000,150,17,35.53,0.88,1.41,0.00,30.12,0.00,0.000,1391,42.79,36.08,11
8000,299,16,31.19,0.12,2.12,0.00,27.06,0.00,0.000,486,12.52,11.51,9
8000,694,11,48.95,6.73,0.09,0.00,29.27,0.00,0.000,3830,144.47,150.69,9
8000,786,11,38.79,0.00,0.00,0.00,30.45,0.00,0.000,1355,56.30,61.76,7
8000,308,11,57.66,7.09,2.73,6.00,35.18,0.91,0.364,2306,123.28,54.82,11
8000,10,9,42.02,0.22,0.00,0.00,32.89,0.00,0.000,3053,79.95,66.82,9
8000,226,9,27.10,0.00,0.00,0.00,20.67,0.00,0.000,3073,104.00,59.33,9
8000,167,7,40.54,0.00,0.00,0.00,27.86,0.00,0.000,2178,68.98,33.58,7
8000,54,6,35.65,0.00,0.00,0.00,28.00,0.00,0.000,536,16.69,9.85,1
9000,1,5189,30.00,0.35,10.23,0.87,18.31,0.07,0.018,311,17.80,5.14,2243
9000,270,756,54.93,0.30,14.25,0.06,23.63,0.04,0.015,593,28.55,13.89,488
9000,693,399,31.38,1.29,10.89,0.19,17.56,0.43,0.118,444,24.96,3.66,218
9000,743,160,23.59,0.31,5.49,0.00,17.07,0.03,0.006,481,20.55,7.72,101
9000,718,135,29.96,0.61,10.54,2.81,16.34,0.16,0.044,200,14.22,3.68,106
9000,128,32,26.91,0.00,7.47,2.34,13.00,0.00,0.000,903,38.82,7.53,25
9000,764,24,15.29,0.00,0.00,0.33,12.17,0.00,0.000,1018,35.04,10.85,14
9000,226,22,31.45,0.00,0.00,0.00,23.64,0.00,0.000,1341,40.19,35.65,15
9000,34,18,46.61,1.89,3.67,0.00,37.39,0.44,0.056,1282,63.72,38.13,12
9000,786,15,50.36,1.53,0.00,0.00,34.00,0.00,0.000,511,11.70,14.23,7
9000,10,10,44.41,0.20,0.00,0.00,33.80,0.00,0.000,1480,51.67,25.46,7
9000,198,7,26.57,3.86,1.29,0.86,11.14,0.00,0.000,2240,81.55,15.35,7
