run,lineage,grown,land,surface,bottom,breed,share,store,born_size,density
e067,908,0.3941299790356394,0.1408096926713948,0.42760047281323876,0.4315898345153664,0.1,0.5,5.0,19.0,1.007
e067,1640,0.09393198229676217,0.24922504649721017,0.3862368257904526,0.36453812771233723,0.1,0.5,5.0,29,1.017
e067,964,0.09276729559748427,0.17325800376647835,0.5580665411173886,0.26867545511613306,0.1,0.5,5.0,30,1.0
e067,1941,0.043559282552993246,0.20989304812834225,0.660427807486631,0.12967914438502673,0.1,0.5,5.0,38.0,1.0
e067,1709,0.042802236198462615,0.05170068027210884,0.7659863945578231,0.18231292517006803,0.1,0.5,5.0,35,1.0
e067,1800,0.028767761472163988,0.08299595141700405,0.7489878542510121,0.1680161943319838,0.1,0.5,5.0,34.0,1.0
e067,2037,0.02731190309806662,0.279317697228145,0.5884861407249466,0.13219616204690832,0.1,0.5,5.0,39,1.0
e067,1950,0.015490333100395994,0.37218045112781956,0.0,0.6278195488721805,0.1,0.5,5.0,24.0,1.93
e069,957,0.515057549797656,0.22591836734693876,0.4881632653061225,0.28591836734693876,0.0975,0.4768,5.97,21.0,1.0
e069,1935,0.061386450833026754,0.410958904109589,0.4023972602739726,0.18664383561643835,0.1091,0.5663,5.602,30.0,1.0
e069,2663,0.031218794344878332,0.25925925925925924,0.013468013468013467,0.7272727272727273,0.1113,0.4144,7.004,22.0,1.133
e069,1690,0.02901140484574552,0.4166666666666667,0.35688405797101447,0.22644927536231885,0.1091,0.5663,5.602,34.0,1.0
e069,2295,0.028012823881852104,0.9343339587242027,0.0,0.06566604127579738,0.071,0.5759,8.615,25,2.0
e069,1040,0.022073894991328114,0.21428571428571427,0.5833333333333334,0.20238095238095238,0.1091,0.5663,5.602,27.0,1.0
e069,1516,0.019971619277868294,0.1368421052631579,0.6368421052631579,0.22631578947368422,0.1199,0.5767,4.762,22.0,1.0
e069,1498,0.017396331528880014,1.0,0.0,0.0,0.1435,0.2908,8.013,36,1.996
c10,1227,0.3861018383562932,0.223331709693132,0.6268874817340477,0.14978080857282025,0.1,0.5,5.0,20.0,1.0
c10,1406,0.03521557195918943,0.03471295060080107,0.0,0.965287049399199,0.1,0.5,5.0,18,1.408
c10,3015,0.03225351450467817,0.016034985422740525,0.0,0.9839650145772595,0.1,0.5,5.0,19.0,1.722
c10,2509,0.03140721237481781,0.04640718562874251,0.0,0.9535928143712575,0.1,0.5,5.0,22.0,1.607
c10,2750,0.020828435751563307,0.05191873589164785,0.0,0.9480812641083521,0.1,0.5,5.0,22,1.194
c10,1436,0.015562555832432177,0.02416918429003021,0.0030211480362537764,0.972809667673716,0.1,0.5,5.0,16,1.17
c10,2146,0.015139404767501998,0.9968944099378882,0.0,0.003105590062111801,0.1,0.5,5.0,49.0,2.0
c10,2881,0.01415205228266491,0.0,0.0,1.0,0.1,0.5,5.0,21,1.182
g10,996,0.2792624072606785,0.41475367552231107,0.5003868970853753,0.08485942739231364,0.0793,0.3701,5.266,22,0.778
g10,1126,0.21061730173593604,0.14192886456908343,0.615595075239398,0.24247606019151846,0.108,0.7531,5.503,18.0,1.0
