run,lineage,grown,land,surface,bottom,breed,share,store,born_size,density
g10,1908,0.05135777569689549,0.6437587657784011,0.002805049088359046,0.3534361851332398,0.1035,0.5993,4.202,34,1.59
g10,1496,0.03486278181949146,0.08264462809917356,0.3305785123966942,0.5867768595041323,0.0945,0.4843,6.3855,12.0,1.0205
g10,2120,0.031477346394871424,0.15560640732265446,0.0,0.8443935926773455,0.1073,0.525,4.415,30,1.58
g10,2107,0.02189728444860621,0.9342105263157895,0.0,0.06578947368421052,0.0991,0.5465,4.045,73.0,1.847
g10,1721,0.01851184902398617,0.07392996108949416,0.7159533073929961,0.21011673151750973,0.108,0.7531,5.503,19,1.0
g10,1968,0.01843981848303681,0.1640625,0.03515625,0.80078125,0.0903,0.5896,4.124,27.0,1.119
c11,1,0.5376609994848016,0.2472211575316213,0.5654465312380222,0.18733231123035646,0.1,0.5,5.0,50.0,1.0
c11,1468,0.03987635239567233,0.7648578811369509,0.0,0.2351421188630491,0.1,0.5,5.0,25.0,1.739
c11,1489,0.028026790314270994,0.9944852941176471,0.0,0.0055147058823529415,0.1,0.5,5.0,49.0,1.034
c11,1418,0.02199896960329727,0.08430913348946135,0.0,0.9156908665105387,0.1,0.5,5.0,16,1.998
c11,1297,0.02153529108706852,0.0430622009569378,0.0,0.9569377990430622,0.1,0.5,5.0,24.0,1.323
c11,1388,0.019732096857290056,0.0391644908616188,0.0,0.9608355091383812,0.1,0.5,5.0,28,1.369
c11,1551,0.01834106130860381,0.06460674157303371,0.0,0.9353932584269663,0.1,0.5,5.0,16.0,1.845
c11,1278,0.017259144770736732,0.35522388059701493,0.0,0.6447761194029851,0.1,0.5,5.0,33,1.588
g11,1,0.5348299004859987,0.25209865858935526,0.49961055819991346,0.24829078321073128,0.1174,0.4475,5.551,30,1.0
g11,1825,0.050543855588984034,0.8818681318681318,0.004578754578754579,0.11355311355311355,0.0942,0.4945,5.402,49.0,1.3675000000000002
g11,1715,0.03610275399213145,0.03461538461538462,0.0,0.9653846153846154,0.0802,0.44095,5.778,24.0,1.5775000000000001
g11,2181,0.03540847026151354,0.9529411764705882,0.0,0.047058823529411764,0.0531,0.312,6.945,64,1.93
g11,1826,0.030224485072899793,0.022970903522205207,0.0,0.9770290964777948,0.0795,0.5398,5.424,21,1.283
g11,1683,0.02230965054385559,0.3070539419087137,0.004149377593360996,0.6887966804979253,0.0787,0.4979,5.778,26.0,1.381
g11,1569,0.016523952788706317,0.17366946778711484,0.0056022408963585435,0.8207282913165266,0.0842,0.3009,8.67,16,1.998
g11,2053,0.015366813237676464,0.8343373493975904,0.0,0.16566265060240964,0.0816,0.39485000000000003,6.1785,36.0,1.646
