step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill
1000,16723,14435,118208,829953,796771,696401,15344,65032,883,0,141689,5584183,180657.386,67335.788,0.1970,65591.050,0.287,0.256,0.261,0.196,0.656,0.329,362,0.0084,0.7114,0.256,14.1,45.5,84.3,45.20,4.06,4.63,3.67,32.83,7.95,1.024,0.094,0.046,0.047,27.402,0.749,0.0023,164,470,2237,4817,49,0,0.000,8351,4989,3722,8012,1572,5365,9786,0.00,0.36,13859,34.7370,66723,8805,539953,1873.9,-0.0,455195,53.064,2631075.518,1.45e-14,0.00093,30.00,242608,108.714,1.355,105.604,1.755,108.715,12380,1491,2852,0.4534,0.830,1.017,1.230,1.015,0.915,1.119,37677.115,11838.174,177165.870,38300.986,30781.580,1033.464,474.190,237.084,0.729,0.558,0.539,0.893,0.736,0.680,6952,41705,0.5373,1.0000,1.0000,0.0399,1.0000,1.0000,0.5383,0.7882,0.8892,0.1021,0.0458,0.0295,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,18129,1.0000,0.7057,0.7499,0.9992,0.0628,0.0527,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.1348
2000,14200,5874,41367,100735,94661,58328,1040,27488,2037,0,162409,2119904,35132.430,13511.005,0.2462,11012.325,0.280,0.347,0.201,0.172,0.541,0.396,735,0.0213,0.6643,0.245,10.2,34.4,81.3,38.27,2.77,4.58,1.81,29.12,8.07,1.033,0.126,0.036,0.036,14.925,0.559,0.0027,210,1296,2034,9304,95,0,0.000,7072,1045,1665,11490,452,1450,12298,0.00,2.39,14204,13.9118,66824,6889,495185,1656.7,-0.0,522486,34.324,2631075.518,6.19e-15,0.00068,25.34,34261,35.819,1.378,33.402,1.038,35.819,3271,3745,7184,0.3629,0.840,1.037,1.213,1.037,0.881,1.110,15621.499,12586.539,9261.164,15594.592,21288.999,394.367,1394.577,709.736,0.559,0.494,0.568,0.681,0.536,0.613,8440,4152,0.6001,0.9999,1.0000,0.0958,1.0000,0.9999,0.4895,0.8251,0.8989,0.1650,0.0329,0.0219,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,10213,0.9991,0.7106,0.7217,0.9994,0.0638,0.0568,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0867
3000,14388,5377,45324,106602,98741,60107,1171,31546,2010,0,191442,2663073,36557.530,13760.000,0.2704,10524.804,0.235,0.451,0.156,0.158,0.545,0.365,812,0.0387,0.7075,0.210,9.6,33.8,73.8,36.36,1.80,5.76,1.30,27.49,7.67,1.053,0.168,0.039,0.039,13.337,0.492,0.0032,188,591,2543,12926,383,0,0.000,7371,100,2111,12177,713,2332,11343,0.00,6.66,14919,17.6230,66747,6483,458172,1413.3,-0.0,558403,25.079,2631075.518,1.77e-16,0.00102,14.43,35736,31.383,1.370,29.005,1.008,31.384,3907,3968,6513,0.3865,0.873,1.034,1.260,1.043,0.913,1.144,13738.698,13549.935,12551.153,13613.516,20917.664,547.825,1301.611,1385.761,0.620,0.477,0.567,0.687,0.506,0.553,5672,2880,0.6091,1.0000,1.0000,0.1550,0.9999,1.0000,0.5582,0.8938,0.9514,0.0897,0.0277,0.0198,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,8700,0.9992,0.7489,0.7770,0.9986,0.0511,0.0589,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0852
4000,15190,5874,44465,108097,98320,62780,852,31512,2610,34,238716,2950595,39067.460,14721.515,0.2838,10487.620,0.203,0.509,0.150,0.138,0.536,0.357,1325,0.0480,0.6984,0.189,11.0,35.0,76.4,38.03,2.10,6.43,1.60,27.90,7.65,1.043,0.185,0.048,0.051,13.344,0.457,0.0032,195,624,3924,16258,842,0,0.000,7880,71,1883,13236,1115,1869,12206,0.00,7.31,9551,16.3984,66790,6093,427420,1534.7,-0.0,593848,25.249,2631075.518,1.77e-14,0.00039,37.93,35248,32.461,1.439,30.055,0.967,32.462,5001,4441,5748,0.4531,0.862,1.014,1.251,1.027,0.931,1.142,13331.283,10566.784,20445.786,13155.861,15953.434,921.073,1723.379,1589.443,0.673,0.473,0.522,0.742,0.453,0.508,4944,3433,0.6082,1.0000,1.0000,0.1165,1.0000,1.0000,0.5266,0.9504,0.9867,0.0875,0.0266,0.0233,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,6074,0.9993,0.7685,0.8157,0.9984,0.0453,0.0761,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0818
5000,12030,4962,39090,80554,71114,40768,696,31914,2916,49,237711,3113721,30753.898,12150.584,0.2972,7734.620,0.187,0.566,0.142,0.105,0.533,0.362,1434,0.0625,0.7133,0.202,9.4,31.6,68.0,33.40,1.43,7.25,1.12,23.60,7.49,1.052,0.216,0.046,0.047,13.933,0.481,0.0034,191,671,4646,15980,1278,29,0.345,6704,45,2032,9953,477,1495,10058,0.50,10.36,9625,12.1460,66768,5861,395613,814.8,-0.0,630046,24.988,2631075.518,3.45e-14,0.00099,12.68,27109,27.711,1.374,25.691,0.646,27.711,2916,4366,4748,0.4446,0.867,1.019,1.255,1.077,0.928,1.150,13024.795,9928.020,10977.249,12855.343,14655.927,865.000,1808.539,1742.424,0.655,0.494,0.520,0.671,0.416,0.505,4445,2731,0.6049,1.0000,0.9999,0.1478,1.0000,1.0000,0.6156,0.9990,1.0024,0.0758,0.0265,0.0232,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,4640,0.9986,0.8506,0.8434,0.9978,0.0457,0.0833,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0920
6000,12022,4917,42273,86277,75364,43303,701,30539,3603,61,294378,3545429,31746.466,13021.719,0.2914,7660.110,0.144,0.656,0.121,0.079,0.527,0.361,1891,0.0760,0.7271,0.192,10.0,32.6,66.8,33.07,1.52,8.46,1.22,21.87,7.32,1.066,0.243,0.053,0.054,13.306,0.464,0.0033,174,599,5224,19636,1565,37,0.297,6876,174,1354,10494,628,1808,9586,1.50,12.26,8472,14.4367,66778,5416,363217,1156.3,-0.0,664252,22.549,2631075.518,4.96e-15,0.00002,23.20,29597,27.223,1.357,25.209,0.658,27.223,3785,3841,4396,0.4395,0.918,1.020,1.272,1.079,0.953,1.153,12236.412,8563.136,15297.143,12043.097,12066.335,1251.527,2349.566,1760.516,0.651,0.471,0.520,0.651,0.365,0.478,4247,5224,0.5131,1.0000,1.0000,0.1420,1.0000,0.9999,0.6367,1.0365,1.0369,0.0723,0.0223,0.0292,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,2854,0.9994,0.8543,0.8467,0.9976,0.0476,0.0914,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0900
7000,11733,4763,39805,73055,62179,32748,502,28824,3249,69,283943,3607790,29172.948,11512.226,0.2958,6263.470,0.130,0.700,0.109,0.061,0.531,0.350,1917,0.0847,0.7351,0.202,11.0,32.7,62.9,32.98,1.45,8.49,1.21,21.83,7.35,1.062,0.244,0.055,0.058,12.539,0.480,0.0032,172,618,5133,18030,2119,40,0.294,6991,932,1408,9393,679,1509,9545,3.00,14.76,9591,15.0118,66848,4830,331550,920.2,-0.0,696663,21.052,2631075.518,2.04e-14,0.00051,24.47,25365,26.358,1.395,24.360,0.604,26.359,3711,3569,4453,0.4507,0.914,1.017,1.257,1.043,0.966,1.155,11400.971,8414.621,12828.289,11201.083,11407.046,1540.619,1927.844,1780.292,0.638,0.478,0.526,0.580,0.338,0.432,3898,5314,0.4577,1.0000,1.0000,0.1420,1.0000,1.0000,0.6764,1.0359,1.0521,0.0724,0.0205,0.0271,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,2638,0.9994,0.8703,0.8454,0.9971,0.0502,0.0868,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0873
8000,10849,4242,36237,69722,59335,32966,519,26217,2787,74,258862,3386763,27303.604,10816.348,0.2993,5973.786,0.123,0.720,0.103,0.054,0.528,0.354,1461,0.0855,0.7302,0.201,11.3,33.0,64.8,32.77,1.47,9.76,0.96,20.59,7.34,1.082,0.273,0.056,0.058,11.944,0.475,0.0032,176,645,3889,18380,1511,38,0.324,6503,289,1096,9464,959,1097,8793,4.03,16.76,10251,15.0734,66746,4724,306632,875.7,-0.0,722900,19.828,2631075.518,1.26e-14,0.00032,7.77,23835,23.943,1.370,22.063,0.510,23.944,3262,3469,4118,0.4204,0.952,1.025,1.284,1.095,0.974,1.163,10396.251,7413.301,13142.116,10198.380,9936.894,1597.494,1560.127,1684.940,0.632,0.483,0.509,0.615,0.333,0.436,3741,5756,0.4613,1.0000,0.9997,0.1435,1.0000,1.0000,0.7158,1.0394,1.0550,0.0714,0.0254,0.0277,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,2287,0.9995,0.8729,0.8768,0.9979,0.0582,0.0877,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0817
9000,11016,4393,38654,77045,66511,37951,440,25618,2751,39,287461,3648472,28929.629,12269.032,0.2917,7028.821,0.117,0.743,0.097,0.043,0.547,0.342,1724,0.0811,0.7254,0.195,10.5,32.9,65.0,32.52,1.48,8.91,1.16,20.98,7.16,1.085,0.256,0.052,0.052,11.295,0.473,0.0031,167,598,3480,21039,1598,36,0.352,6684,77,1442,9497,538,1680,8798,3.26,15.01,8662,14.7344,66739,4426,286611,1083.6,0.0,745884,19.052,2631075.518,1.79e-14,0.00123,30.68,25721,24.338,1.402,22.385,0.551,24.339,3458,3661,3897,0.4395,0.945,1.020,1.322,1.115,0.974,1.163,10434.771,7081.917,16124.552,10261.816,9572.083,1725.615,1926.709,1587.887,0.640,0.494,0.534,0.615,0.358,0.433,3657,8037,0.4500,1.0000,1.0000,0.1245,1.0000,1.0000,0.6758,1.0506,1.0344,0.0641,0.0290,0.0338,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,2042,0.9998,0.8762,0.8515,0.9977,0.0558,0.0862,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0811
10000,10628,3933,36283,63788,52117,27120,385,26425,3265,47,314470,3514558,25263.803,11044.489,0.3045,5059.514,0.110,0.758,0.094,0.037,0.533,0.348,1986,0.0891,0.7336,0.200,11.1,30.7,62.4,30.72,1.21,9.41,0.92,19.18,7.14,1.098,0.271,0.048,0.044,9.908,0.465,0.0033,178,638,2792,21977,1062,35,0.568,6345,39,1097,9492,652,1428,8548,5.25,17.17,9718,13.5107,66755,4502,268471,696.5,-0.0,765432,18.705,2631075.518,1.04e-14,0.00165,11.37,21740,23.107,1.398,21.131,0.578,23.137,2988,3572,4068,0.4164,0.936,1.030,1.382,1.138,0.968,1.183,10175.419,7019.606,10957.498,10004.533,9361.285,1963.788,1951.461,2069.726,0.589,0.500,0.533,0.545,0.336,0.411,3627,5046,0.5199,1.0000,1.0000,0.1473,0.9999,1.0000,0.7230,1.0492,1.0684,0.0566,0.0242,0.0333,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,1888,0.9997,0.8845,0.8828,0.9971,0.0518,0.0761,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0737
