step,lineage,size,mass,hard,muscle,sensor,digestive,bite_any,tooth,age,plant,meat,shapes
5000,1,4113,34.99,1.67,6.29,1.64,23.28,0.18,0.054,457,27.70,7.07,2007
5000,392,390,44.65,0.76,8.81,0.23,32.51,0.41,0.115,205,17.97,5.91,210
5000,7,287,24.92,0.11,2.93,0.03,21.53,0.05,0.017,247,14.73,2.76,105
5000,38,237,17.90,0.05,4.15,0.86,20.83,0.00,0.000,214,14.77,0.70,157
5000,572,214,45.93,0.16,0.22,0.29,41.11,0.00,0.000,1113,45.70,25.00,118
5000,2,212,30.06,0.68,7.04,1.60,18.61,0.00,0.000,283,16.21,3.23,127
5000,69,78,30.87,0.00,2.45,0.51,27.81,0.00,0.000,918,38.69,21.65,54
5000,108,50,36.07,4.82,0.96,0.02,21.28,0.08,0.020,941,36.51,24.24,31
5000,368,43,42.39,0.35,0.00,0.00,34.14,0.00,0.000,1665,62.00,34.66,28
5000,297,35,46.55,0.00,0.00,4.20,34.77,0.00,0.000,1406,49.62,40.94,22
5000,135,33,43.84,0.00,17.79,0.00,20.00,0.00,0.000,653,30.30,20.76,18
5000,400,32,60.54,1.91,15.91,10.09,18.69,0.53,0.125,628,28.80,29.11,18
5000,116,31,49.75,0.00,1.10,4.10,47.61,0.00,0.000,713,49.14,17.30,18
5000,45,24,49.00,0.00,0.00,1.83,45.25,0.00,0.000,1941,87.61,31.05,12
5000,252,22,34.14,0.00,0.00,7.91,26.18,0.00,0.000,695,39.71,11.63,8
5000,59,22,37.67,0.00,2.27,0.00,28.45,0.00,0.000,1778,67.61,54.25,21
5000,171,17,29.58,4.41,11.88,2.35,8.41,1.71,0.824,1660,82.45,2.16,11
5000,40,16,20.28,0.25,0.69,4.38,12.31,0.00,0.000,1889,55.06,37.27,15
5000,43,16,26.26,0.88,11.19,1.75,9.75,0.19,0.000,474,18.02,11.63,16
5000,686,14,57.90,0.50,0.00,3.14,54.36,0.00,0.000,966,76.96,39.81,7
5000,281,11,79.78,7.73,7.82,4.55,43.82,1.82,0.455,1830,156.70,42.09,9
5000,185,11,36.77,0.00,0.00,1.64,25.55,0.00,0.000,2410,61.04,63.33,7
