run,bx,by,land,stand,lawn
w0r0,30,0,0.188,0.000,1.000
w0r0,31,0,1.000,0.000,1.000
w0r0,32,0,1.000,0.000,1.000
w0r0,33,0,1.000,0.000,1.000
w0r0,34,0,1.000,0.000,1.000
w0r0,35,0,1.000,0.000,1.000
w0r0,36,0,1.000,0.000,1.000
w0r0,37,0,1.000,0.000,1.000
w0r0,38,0,1.000,0.000,1.000
w0r0,39,0,1.000,0.000,1.000
w0r0,40,0,1.000,0.000,1.000
w0r0,41,0,1.000,0.000,1.000
w0r0,42,0,1.000,0.000,1.000
w0r0,43,0,1.000,0.000,1.000
w0r0,44,0,1.000,0.000,0.812
w0r0,45,0,1.000,0.000,0.000
w0r0,46,0,1.000,0.000,0.000
w0r0,47,0,1.000,0.000,0.250
w0r0,48,0,1.000,0.000,0.188
w0r0,49,0,1.000,0.000,0.000
w0r0,50,0,1.000,0.000,0.000
w0r0,51,0,1.000,0.000,0.188
w0r0,52,0,1.000,0.000,0.000
w0r0,53,0,1.000,0.000,0.188
w0r0,54,0,1.000,0.000,0.062
w0r0,55,0,1.000,0.000,0.312
w0r0,56,0,1.000,0.000,0.000
w0r0,57,0,1.000,0.000,0.000
w0r0,58,0,1.000,0.000,0.000
w0r0,59,0,1.000,0.000,0.000
w0r0,60,0,0.312,0.000,0.000
w0r0,70,0,0.188,0.000,1.000
w0r0,71,0,1.000,0.000,1.000
w0r0,72,0,1.000,0.000,1.000
w0r0,73,0,1.000,0.000,1.000
w0r0,74,0,1.000,0.000,1.000
w0r0,75,0,1.000,0.000,1.000
w0r0,76,0,1.000,0.000,1.000
w0r0,77,0,1.000,0.000,1.000
w0r0,78,0,1.000,0.000,1.000
w0r0,79,0,1.000,0.000,1.000
w0r0,80,0,1.000,0.000,1.000
w0r0,81,0,1.000,0.000,1.000
w0r0,82,0,1.000,0.000,1.000
w0r0,83,0,1.000,0.000,1.000
w0r0,84,0,1.000,0.000,1.000
w0r0,85,0,1.000,0.000,1.000
w0r0,86,0,1.000,0.000,0.938
w0r0,87,0,1.000,0.000,0.750
w0r0,88,0,1.000,0.000,0.250
w0r0,89,0,1.000,0.000,0.000
w0r0,90,0,1.000,0.000,0.000
w0r0,91,0,1.000,0.000,0.000
w0r0,92,0,1.000,0.000,0.000
w0r0,93,0,1.000,0.000,0.000
w0r0,94,0,1.000,0.000,0.000
w0r0,95,0,1.000,0.000,0.000
w0r0,96,0,1.000,0.000,0.000
w0r0,97,0,1.000,0.000,0.000
w0r0,98,0,1.000,0.000,0.000
w0r0,99,0,1.000,0.000,0.000
w0r0,100,0,1.000,0.000,0.188
w0r0,101,0,0.812,0.000,0.462
w0r0,31,1,0.688,0.000,1.000
w0r0,32,1,1.000,0.000,1.000
w0r0,33,1,1.000,0.000,1.000
w0r0,34,1,1.000,0.000,1.000
w0r0,35,1,1.000,0.000,1.000
w0r0,36,1,1.000,0.000,1.000
w0r0,37,1,1.000,0.000,1.000
w0r0,38,1,1.000,0.000,1.000
w0r0,39,1,1.000,0.000,1.000
w0r0,40,1,1.000,0.000,1.000
w0r0,41,1,1.000,0.000,1.000
w0r0,42,1,1.000,0.000,1.000
