run,lat,land,stand,lawn,rain,fill
w1r0,-40,8081,0.0532,0.8024,2445.2,0.3491
w1r0,-30,8177,0.2793,0.4735,4272.6,0.4785
w1r0,-20,8219,0.5798,0.2315,5355.5,0.6081
w1r0,-10,8224,0.6081,0.2547,5835.0,0.6267
w1r0,0,8367,0.6302,0.2470,5558.4,0.6098
w1r0,10,9445,0.4602,0.3616,4432.7,0.5049
w1r0,20,8445,0.2651,0.5197,3000.5,0.4043
w1r0,30,9274,0.1074,0.7256,2082.3,0.3448
w1r0,40,8170,0.0633,0.8050,1325.1,0.3291
w1r0,50,5716,0.0026,0.8907,576.4,0.2345
w1r0,60,3855,0.0000,0.9995,100.9,0.0962
w1r0,70,4656,0.0000,1.0000,27.2,0.0613
w1r0,80,3564,0.0000,1.0000,11.2,0.0471
w1r1,-60,7734,0.6936,0.1336,1014.0,0.6634
w1r1,-50,8698,0.4533,0.3379,1465.6,0.5070
w1r1,-40,8081,0.3211,0.4524,2215.8,0.4171
w1r1,-30,8177,0.6446,0.2165,3595.1,0.5678
w1r1,-20,8219,0.7954,0.1307,4509.1,0.6744
w1r1,-10,8224,0.7544,0.1762,4922.3,0.6698
w1r1,0,8367,0.7418,0.1817,4620.9,0.6480
w1r1,10,9445,0.6318,0.2418,3609.2,0.5471
w1r1,20,8445,0.5635,0.3333,2449.5,0.4762
w1r1,30,9274,0.4256,0.4184,1803.2,0.4247
w1r1,40,8170,0.4092,0.4093,1111.2,0.3998
w1r1,50,5716,0.1763,0.5546,451.5,0.2589
w1r1,60,3855,0.0163,0.7128,99.1,0.1011
w1r1,70,4656,0.0067,0.8789,26.8,0.0630
w1r1,80,3564,0.0000,0.9767,11.2,0.0477
w2r1,-60,7734,0.3726,0.2546,153.3,0.4199
w2r1,-50,8698,0.2908,0.5207,313.8,0.3568
w2r1,-40,8081,0.1926,0.7370,731.8,0.2789
w2r1,-30,8177,0.3347,0.6445,461.1,0.3702
w2r1,-20,8219,0.4788,0.5155,278.5,0.4925
w2r1,-10,8224,0.4833,0.5137,313.3,0.4972
w2r1,0,8367,0.5097,0.4892,199.1,0.5152
w2r1,10,9445,0.3558,0.6412,226.3,0.3677
w2r1,20,8445,0.3505,0.5950,281.5,0.3774
w2r1,30,9274,0.2721,0.6114,306.0,0.3201
w2r1,40,8170,0.2709,0.5081,252.2,0.3319
w2r1,50,5716,0.1770,0.5462,201.0,0.2569
w2r1,60,3855,0.0252,0.7175,89.2,0.1061
w2r1,70,4656,0.0135,0.8537,24.9,0.0655
w2r1,80,3564,0.0031,0.9728,11.2,0.0486
