step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority
10000,648,4.778,0.157,7.57,69751,34665,0,35936,31,3657,956851.8,185501.1,0.024,0.472,0.365,0.071,0.068,4568,63.23,3.28,37.68,10.54,8.44,10.36,0.00,0.00,17.11,2.10,8.44,10.36,0.132,0.162,65,0.148,0.796,0.182,0.000,0.022,30428,26201,1,1.000,0.000,0.000,128112,0.162,0.281,0.129,93.49,17068,13,5.16,0.928,0.040
20000,848,4.681,0.094,7.33,80652,50764,1,29549,138,2043,1472235.4,165285.4,0.001,0.484,0.250,0.146,0.120,3358,60.63,13.70,41.62,12.72,2.70,7.24,0.06,0.57,16.24,5.13,2.68,7.20,0.042,0.113,98,0.202,0.930,0.058,0.000,0.012,44494,26343,3,0.689,0.107,0.014,23159,0.151,0.184,0.054,144.43,22384,23,5.59,0.896,0.012
30000,823,4.741,0.079,7.10,69146,54343,17,14642,169,757,1575160.9,74291.3,0.002,0.481,0.268,0.133,0.117,3976,62.86,5.86,42.04,9.10,2.36,6.73,0.00,0.05,18.46,5.11,2.04,5.81,0.037,0.106,137,0.219,0.919,0.052,0.000,0.029,42387,29791,3,0.882,0.030,0.002,34312,0.162,0.168,0.040,156.62,20506,39,5.07,0.866,0.016
40000,819,4.763,0.089,6.98,68673,50813,2,17861,1,1212,1580238.4,117664.3,0.001,0.431,0.277,0.152,0.139,4116,63.77,1.86,43.30,8.07,2.56,7.21,0.07,0.51,17.85,4.47,2.28,6.51,0.041,0.115,85,0.518,0.929,0.054,0.000,0.017,42626,30291,2,0.904,0.000,0.020,21403,0.169,0.172,0.043,156.32,19751,22,6.59,0.886,0.029
50000,797,4.761,0.077,7.09,59468,46640,3,12847,0,728,1590104.6,73742.9,0.000,0.409,0.260,0.173,0.158,4156,63.91,1.02,43.79,7.77,2.43,6.94,0.04,0.73,17.66,3.93,2.38,6.88,0.038,0.108,76,0.538,0.940,0.054,0.000,0.006,38733,29307,2,0.898,0.000,0.003,28224,0.149,0.168,0.042,156.38,17213,16,5.74,0.915,0.015
60000,821,4.797,0.075,7.18,54498,43006,7,11460,1,753,1579885.2,64426.9,0.001,0.380,0.252,0.191,0.176,4420,63.89,0.93,44.47,7.32,1.66,5.80,0.00,0.00,17.76,4.90,1.64,5.78,0.026,0.091,76,0.336,0.950,0.043,0.000,0.007,37881,29774,2,0.934,0.000,0.000,12269,0.160,0.163,0.039,156.07,15028,15,5.62,0.922,0.012
70000,805,4.775,0.074,7.49,52550,42514,2,10049,1,476,1594337.9,53830.9,0.002,0.401,0.270,0.169,0.157,4300,63.90,0.85,43.73,7.63,2.87,7.57,0.01,0.19,17.29,3.33,2.85,7.51,0.045,0.118,56,0.425,0.914,0.070,0.000,0.016,34999,25455,2,0.878,0.000,0.002,11770,0.189,0.165,0.039,158.34,14670,14,5.36,0.934,0.012
80000,827,4.756,0.073,7.39,58141,47399,8,10712,0,542,1616000.6,58203.9,0.005,0.444,0.266,0.143,0.143,3823,63.87,1.29,43.82,7.29,2.41,6.94,0.03,0.42,17.62,3.15,2.33,6.82,0.038,0.109,63,0.432,0.925,0.063,0.000,0.012,37093,20475,2,0.903,0.000,0.004,11451,0.163,0.153,0.032,159.25,15350,15,5.43,0.929,0.019
90000,814,4.822,0.087,7.79,57439,46797,17,10637,1,456,1618213.5,57359.8,0.005,0.461,0.277,0.126,0.131,4186,63.81,1.51,43.75,7.83,2.06,6.55,0.00,0.08,18.00,5.35,2.04,6.48,0.032,0.102,65,0.488,0.932,0.052,0.000,0.016,35249,19827,2,0.913,0.000,0.002,12573,0.194,0.176,0.045,159.37,13891,14,5.39,0.934,0.015
100000,834,4.660,0.086,7.64,61063,50159,9,10875,0,554,1608438.4,59467.5,0.005,0.438,0.256,0.145,0.155,3845,63.88,1.11,44.32,7.40,1.80,6.11,0.00,0.03,17.75,4.94,1.70,5.85,0.028,0.096,73,0.522,0.940,0.042,0.000,0.018,37793,22655,2,0.929,0.000,0.001,18066,0.185,0.169,0.041,158.61,15275,15,5.47,0.930,0.018
