step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority
10000,468,4.726,0.176,10.60,68597,43697,0,25908,30,2938,1021765.8,117735.3,0.046,0.176,0.069,0.389,0.320,2886,63.96,0.44,30.66,8.10,12.61,8.70,0.19,1.68,20.49,4.39,11.89,8.19,0.197,0.136,67,0.618,0.733,0.233,0.000,0.034,31354,24408,3,0.682,0.000,0.034,198868,0.132,0.303,0.149,102.24,20150,9,4.54,0.952,0.000
20000,911,4.471,0.098,12.84,86364,56288,0,29631,2,2041,1373031.1,191564.4,0.020,0.181,0.127,0.259,0.413,1629,62.19,7.91,34.17,10.52,6.42,9.32,1.46,2.61,20.14,6.93,6.04,8.72,0.101,0.146,253,0.191,0.764,0.172,0.001,0.063,47090,24929,2,0.581,0.170,0.319,775006,0.141,0.199,0.059,137.56,32976,20,6.46,0.888,0.131
30000,849,4.476,0.112,12.55,129677,51634,0,77366,739,4912,1382685.0,490189.9,0.035,0.115,0.112,0.293,0.444,1035,63.69,3.51,36.77,9.40,5.61,9.08,0.46,2.75,20.85,7.65,4.95,7.87,0.088,0.142,255,0.092,0.799,0.143,0.000,0.059,77488,49704,3,0.200,0.617,0.074,636674,0.155,0.213,0.071,138.63,51625,28,6.34,0.851,0.072
40000,830,4.214,0.094,13.19,89384,51687,0,37698,18,1676,1483574.8,276689.2,0.066,0.127,0.120,0.308,0.379,1397,62.80,5.61,36.25,10.63,6.30,9.42,0.66,3.08,19.59,6.43,6.16,9.26,0.099,0.147,190,0.260,0.770,0.200,0.001,0.029,55584,31557,6,0.419,0.041,0.113,1052602,0.200,0.178,0.046,147.55,36229,27,7.34,0.854,0.070
50000,898,4.439,0.091,13.02,70456,50900,0,19477,11,1001,1560633.4,138206.5,0.064,0.163,0.175,0.309,0.289,1537,62.93,6.41,39.23,9.04,3.44,7.63,0.45,2.47,19.80,4.87,3.38,7.58,0.055,0.122,186,0.148,0.878,0.100,0.000,0.022,41969,20024,4,0.445,0.148,0.097,850519,0.160,0.169,0.041,156.74,31705,26,7.10,0.836,0.029
60000,889,4.654,0.079,11.47,76950,54152,0,22799,8,1274,1571547.4,163576.5,0.085,0.163,0.205,0.279,0.267,1534,63.61,2.64,41.48,7.45,1.48,5.29,0.37,2.76,20.27,5.16,1.39,4.93,0.023,0.083,203,0.112,0.947,0.033,0.000,0.020,46243,20875,4,0.393,0.238,0.055,748833,0.189,0.154,0.032,158.08,32610,26,7.17,0.848,0.018
70000,876,4.585,0.084,10.82,79487,56934,0,22484,82,1501,1572763.1,152555.6,0.086,0.183,0.238,0.238,0.254,1614,63.74,1.87,39.51,9.34,4.32,8.88,0.22,1.15,19.68,4.87,4.09,8.35,0.068,0.139,179,0.129,0.881,0.113,0.001,0.005,48755,22350,2,0.420,0.188,0.057,324862,0.192,0.162,0.038,158.64,31951,29,6.79,0.838,0.067
80000,925,4.338,0.074,12.77,78878,52758,5,25938,128,1823,1601855.8,172032.8,0.085,0.248,0.265,0.182,0.220,1548,62.45,6.95,41.53,10.66,2.79,7.57,0.39,1.82,17.74,4.22,2.52,6.84,0.044,0.119,173,0.158,0.920,0.068,0.000,0.012,48827,22601,5,0.591,0.011,0.077,516811,0.186,0.135,0.021,159.90,31264,34,6.63,0.805,0.050
90000,932,4.494,0.069,13.05,71893,53179,16,18648,43,1366,1633203.2,142844.7,0.073,0.303,0.250,0.175,0.199,1485,61.40,8.47,39.05,11.46,3.59,8.34,0.45,2.54,18.32,4.67,3.20,7.45,0.058,0.135,168,0.236,0.884,0.092,0.000,0.024,45707,23227,3,0.660,0.071,0.061,635410,0.237,0.130,0.019,161.99,28931,37,7.66,0.795,0.065
100000,907,4.326,0.072,13.80,66052,52018,26,14026,7,1091,1634466.0,105951.2,0.056,0.296,0.238,0.189,0.221,1456,61.98,5.98,40.05,9.41,1.57,5.60,0.33,1.72,20.03,7.30,1.43,5.12,0.025,0.090,213,0.257,0.947,0.040,0.000,0.013,42543,18954,5,0.531,0.034,0.084,363082,0.185,0.131,0.019,162.19,27876,33,7.55,0.811,0.025
