step,lineage,size,hard,muscle,sensor,digestive,attack,bodies,age,plant,meat
5000,1,364,34.1,0.0,0.7,28.7,0.0,100,205,44.79,0.00
5000,5,51,24.0,18.0,0.0,22.0,15.0,1,341,66.68,19.17
6000,1,446,35.4,0.0,0.1,27.6,0.0,109,200,44.13,0.00
6000,5,54,24.0,18.1,0.0,21.7,15.0,2,296,56.13,16.02
7000,1,233,35.1,0.1,0.0,25.8,0.1,60,198,40.70,0.00
7000,5,46,24.3,18.0,0.0,21.8,15.0,2,246,46.50,14.54
8000,1,374,32.6,0.0,0.0,24.6,0.0,106,215,42.13,0.00
8000,5,38,25.5,17.9,0.0,20.5,14.9,4,277,52.41,14.99
9000,13,228,33.2,0.0,0.2,26.5,0.0,66,158,34.77,0.00
9000,1,185,34.8,0.0,0.0,27.1,0.0,63,192,40.45,0.00
9000,16,105,33.5,0.0,0.0,29.8,0.0,36,189,42.13,0.00
9000,5,85,28.0,16.4,0.0,19.3,14.6,12,128,23.16,12.36
10000,13,198,34.6,0.0,0.1,25.3,0.0,55,193,41.67,0.00
10000,1,174,36.3,0.0,0.0,27.0,0.0,38,199,43.93,0.00
10000,16,79,36.7,0.0,0.0,27.3,0.0,8,213,44.44,0.00
10000,5,51,24.6,18.5,0.0,20.7,16.2,3,219,41.09,13.58
10000,19,19,35.7,0.4,0.2,27.7,0.4,5,176,42.06,0.00
11000,1,169,35.9,0.0,0.0,27.7,0.0,23,229,48.51,0.00
11000,16,155,37.2,0.0,0.0,26.8,0.0,32,259,54.39,0.00
11000,13,130,32.2,0.0,0.3,31.1,0.0,36,231,50.23,0.00
11000,21,86,38.5,0.0,0.0,25.1,0.0,24,164,39.12,0.00
11000,5,52,24.5,18.3,0.0,21.2,15.8,2,265,49.81,15.72
11000,22,35,31.3,0.0,0.0,32.7,0.0,7,197,45.93,0.00
11000,19,5,34.0,0.0,0.0,30.0,0.0,1,179,38.25,0.00
12000,16,155,34.5,0.0,0.0,29.5,0.0,36,260,54.51,0.00
12000,1,150,36.6,0.0,0.0,27.1,0.0,24,260,55.07,0.00
12000,21,93,38.7,0.0,0.2,24.9,0.0,29,155,37.02,0.00
12000,13,79,33.0,0.0,0.1,30.3,0.0,33,107,25.85,0.00
12000,5,66,26.3,17.6,0.0,20.0,15.6,6,199,37.32,13.42
12000,22,17,27.6,15.2,0.2,21.1,13.1,5,104,17.71,6.55
13000,16,202,34.6,0.0,0.0,29.2,0.0,46,223,47.88,0.00
13000,1,141,36.0,0.0,0.0,27.3,0.0,30,252,54.58,0.00
13000,13,107,31.4,0.0,0.0,32.6,0.0,21,174,39.60,0.00
13000,5,77,25.2,17.7,0.5,20.4,15.2,8,224,42.07,15.32
13000,21,23,38.7,0.0,0.0,24.9,0.0,6,239,58.85,0.00
14000,1,241,35.4,0.0,0.0,28.0,0.0,40,205,44.55,0.00
14000,16,209,34.0,0.0,0.0,29.6,0.0,51,205,44.55,0.00
14000,13,177,31.2,0.0,0.2,31.9,0.0,54,201,43.34,0.00
14000,5,58,26.4,17.4,0.1,19.6,15.4,6,184,33.45,14.86
14000,31,33,33.0,0.0,0.3,28.1,0.0,6,217,45.66,0.00
14000,21,33,39.4,0.0,0.0,24.5,0.0,6,126,30.56,0.00
14000,32,18,29.1,0.0,0.1,31.0,0.0,5,103,23.12,0.00
15000,1,281,35.5,0.0,0.0,28.1,0.0,49,224,48.26,0.00
15000,16,151,37.4,0.0,0.0,26.3,0.0,32,213,45.13,0.00
15000,35,91,36.7,0.0,0.0,22.2,0.0,26,205,44.17,0.00
15000,13,86,34.0,0.0,0.2,29.1,0.0,27,149,33.48,0.00
15000,21,77,38.8,0.0,0.1,25.0,0.0,13,153,37.10,0.00
15000,5,71,25.5,18.8,0.0,19.7,16.8,6,173,30.54,15.61
15000,31,69,34.9,0.0,0.4,22.1,0.0,14,237,47.93,0.00
15000,32,24,38.5,0.4,1.0,20.3,0.4,6,73,19.16,0.00
16000,1,213,36.2,0.0,0.0,27.5,0.0,37,284,59.63,0.00
16000,16,159,36.2,0.0,0.0,27.8,0.0,40,250,53.46,0.00
16000,35,136,36.1,0.0,0.1,21.8,0.0,34,198,41.24,0.00
16000,31,86,34.7,0.0,0.5,27.1,0.0,15,228,48.58,0.00
16000,21,85,37.0,0.0,0.0,26.1,0.0,25,134,33.15,0.00
16000,13,71,36.6,0.0,0.2,27.0,0.0,22,183,40.42,0.00
16000,5,51,24.8,17.8,0.0,19.2,16.2,7,230,38.90,15.51
16000,32,35,25.9,0.0,0.6,20.8,0.0,12,84,17.17,0.00
17000,16,179,36.3,0.1,0.0,27.5,0.1,43,218,46.84,0.00
17000,1,165,34.8,0.0,0.2,25.9,0.0,36,290,60.15,0.07
17000,35,157,36.8,0.0,0.1,22.0,0.0,37,222,47.72,0.00
17000,21,79,38.4,0.0,0.0,25.5,0.0,23,141,34.27,0.00
17000,31,63,35.0,0.0,2.0,25.8,0.0,25,162,36.91,0.00
17000,5,59,25.7,18.3,0.0,20.0,16.1,5,220,40.86,13.57
17000,13,57,36.7,0.0,0.0,26.6,0.0,14,194,40.14,0.00
17000,32,9,34.8,0.0,1.9,16.0,0.0,5,116,22.93,0.00
18000,1,270,0.1,0.0,0.1,6.3,0.0,50,132,3.61,0.00
18000,16,236,37.1,0.0,0.0,26.9,0.0,46,227,48.33,0.00
18000,35,158,36.2,0.0,0.1,22.5,0.0,45,185,39.60,0.00
18000,13,154,31.6,0.0,0.1,31.7,0.0,42,158,35.11,0.03
18000,21,57,39.3,0.0,0.0,24.0,0.0,18,162,38.17,0.00
18000,5,48,23.8,19.5,0.3,18.6,16.1,6,284,50.86,17.59
