step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority
10000,781,4.427,0.114,14.46,88124,44353,0,43455,1064,2225,961381.7,129988.6,0.162,0.256,0.145,0.132,0.306,2185,63.92,0.85,38.35,10.26,4.07,8.05,0.20,0.64,21.29,6.43,3.82,7.51,0.064,0.126,215,0.132,0.862,0.118,0.000,0.020,46899,31139,1,0.727,0.273,0.145,395574,0.150,0.218,0.074,94.85,30233,28,2.99,0.830,0.018
20000,836,4.708,0.088,13.33,78043,53466,0,24522,0,1222,1501611.2,95562.9,0.125,0.155,0.156,0.203,0.361,1563,63.97,0.52,35.27,10.62,6.36,10.77,0.16,0.76,22.19,4.03,4.91,8.27,0.099,0.168,145,0.246,0.864,0.126,0.000,0.011,48467,23506,3,0.510,0.087,0.099,1442599,0.115,0.178,0.047,151.33,30380,18,3.90,0.914,0.007
30000,800,4.720,0.088,12.86,68368,46017,0,22387,0,1242,1564362.0,84429.8,0.173,0.148,0.177,0.181,0.322,1806,63.69,1.90,34.85,10.10,6.32,10.59,0.03,0.54,22.48,4.29,4.96,8.30,0.099,0.165,131,0.252,0.848,0.132,0.000,0.020,43364,19292,4,0.327,0.025,0.007,228401,0.106,0.174,0.045,157.57,26303,13,3.77,0.955,0.005
40000,627,5.175,0.127,13.65,82129,51349,1,30952,0,1535,1540838.5,125856.0,0.073,0.180,0.218,0.190,0.339,1752,64.00,0.08,30.64,10.86,16.64,10.98,0.00,0.08,16.71,3.18,16.52,10.96,0.260,0.172,47,0.625,0.630,0.359,0.000,0.011,50060,29192,2,0.992,0.000,0.002,72613,0.169,0.239,0.091,155.43,28782,29,4.07,0.865,0.096
50000,782,4.729,0.072,13.62,71255,45023,0,26077,0,1432,1488617.9,98315.7,0.007,0.250,0.272,0.166,0.306,1827,63.99,0.36,39.75,10.88,5.90,10.00,0.01,0.14,18.32,3.28,5.61,9.53,0.092,0.156,106,0.248,0.835,0.143,0.000,0.022,45138,28360,2,0.533,0.253,0.006,42501,0.111,0.160,0.036,149.66,23899,13,3.77,0.941,0.005
60000,762,4.881,0.084,13.52,77719,47853,0,29886,0,1249,1579074.8,119391.0,0.008,0.215,0.254,0.193,0.330,1465,63.98,0.35,43.49,10.09,4.51,9.28,0.00,0.04,15.98,3.56,4.44,9.21,0.071,0.145,82,0.206,0.885,0.093,0.000,0.022,52066,24353,4,0.396,0.000,0.001,55965,0.105,0.182,0.051,155.29,28568,21,3.99,0.912,0.008
70000,760,5.012,0.080,13.18,55771,39326,17,16430,0,759,1589984.2,60129.5,0.005,0.239,0.280,0.185,0.291,2018,63.98,0.34,42.43,10.65,5.88,10.27,0.01,0.11,15.67,2.03,5.86,10.27,0.092,0.160,53,0.387,0.849,0.132,0.000,0.020,37880,19999,4,0.492,0.000,0.003,12511,0.164,0.176,0.046,155.97,20830,6,3.66,0.984,0.004
80000,776,4.839,0.086,13.23,51553,35864,31,15642,0,722,1589199.0,56753.3,0.005,0.242,0.284,0.189,0.281,2154,64.00,0.00,42.43,10.66,5.82,10.32,0.00,0.11,15.74,2.03,5.77,10.22,0.091,0.161,54,0.330,0.863,0.122,0.000,0.014,34644,19738,3,0.559,0.000,0.001,12223,0.155,0.179,0.045,155.55,18808,5,3.63,0.988,0.001
90000,802,4.826,0.085,13.14,50542,35406,30,15080,0,712,1600972.1,55076.9,0.004,0.239,0.282,0.194,0.281,2195,63.98,0.35,44.18,9.30,4.02,8.92,0.01,0.32,15.78,2.11,3.98,8.85,0.063,0.139,65,0.375,0.890,0.097,0.000,0.012,33287,16931,3,0.637,0.000,0.001,14080,0.152,0.163,0.040,156.96,19088,6,3.65,0.986,0.004
100000,804,4.843,0.088,13.14,51135,36156,25,14952,0,691,1600092.2,54652.7,0.004,0.231,0.270,0.201,0.294,2003,63.99,0.16,43.68,9.75,4.56,9.36,0.00,0.11,15.75,2.09,4.51,9.32,0.071,0.146,59,0.424,0.873,0.112,0.000,0.015,33658,16761,3,0.587,0.000,0.001,11543,0.157,0.162,0.037,156.78,19896,6,3.66,0.986,0.006
110000,789,4.712,0.091,13.12,50007,35873,25,14124,0,546,1601551.0,52541.0,0.003,0.221,0.257,0.210,0.308,2026,63.97,0.82,44.33,8.93,3.81,8.71,0.00,0.04,15.82,1.42,3.81,8.71,0.060,0.136,50,0.447,0.904,0.091,0.000,0.005,32409,14305,3,0.714,0.000,0.001,12922,0.152,0.170,0.042,157.00,19260,8,3.72,0.977,0.001
120000,817,4.868,0.089,12.91,51055,36546,19,14462,0,681,1601031.1,53820.9,0.003,0.223,0.250,0.211,0.313,2098,63.98,0.42,44.46,9.37,3.71,8.64,0.01,0.12,15.80,3.23,3.69,8.60,0.058,0.135,69,0.463,0.890,0.088,0.000,0.022,33030,14665,3,0.665,0.000,0.004,12952,0.130,0.169,0.041,157.06,19799,8,3.72,0.978,0.007
130000,792,5.020,0.088,12.49,51472,37307,33,14157,0,557,1609633.1,52740.6,0.003,0.238,0.277,0.193,0.289,2150,63.98,0.39,44.87,8.59,3.19,8.14,0.00,0.00,15.92,2.64,3.15,8.05,0.050,0.127,52,0.466,0.915,0.074,0.000,0.010,33315,14621,4,0.331,0.000,0.000,10203,0.156,0.166,0.041,157.74,19205,8,3.73,0.973,0.006
140000,797,4.763,0.077,12.54,50285,36158,49,14073,0,651,1609123.6,51952.8,0.003,0.246,0.281,0.191,0.278,2175,63.98,0.21,44.11,9.58,3.96,8.88,0.02,0.60,15.89,3.20,3.94,8.87,0.062,0.139,57,0.408,0.890,0.094,0.000,0.016,33262,15135,4,0.474,0.000,0.001,8229,0.150,0.159,0.037,157.58,18898,7,3.69,0.983,0.009
150000,782,4.895,0.089,12.47,50598,35879,31,14703,0,695,1607043.8,53988.7,0.004,0.239,0.279,0.197,0.281,2219,63.98,0.36,44.54,8.98,3.63,8.56,0.00,0.00,15.81,2.54,3.63,8.56,0.057,0.134,50,0.326,0.887,0.098,0.000,0.014,33728,14906,4,0.332,0.000,0.000,6878,0.140,0.164,0.040,157.53,18783,7,3.67,0.982,0.003
160000,801,4.779,0.097,12.56,50595,36437,20,14119,0,669,1600719.1,52773.0,0.003,0.235,0.275,0.200,0.286,2186,63.99,0.23,45.11,8.56,3.04,7.86,0.01,0.35,15.82,2.65,2.99,7.78,0.047,0.123,72,0.247,0.906,0.076,0.000,0.017,32753,14152,4,0.453,0.009,0.001,8815,0.153,0.177,0.049,157.20,18931,9,3.74,0.966,0.002
170000,814,4.770,0.085,12.69,50577,36323,19,14222,0,610,1597727.2,53200.7,0.003,0.233,0.271,0.200,0.294,2242,63.95,0.94,45.14,8.14,2.97,7.82,0.00,0.00,15.85,2.00,2.95,7.78,0.046,0.122,64,0.310,0.918,0.071,0.000,0.011,32903,14852,5,0.442,0.000,0.000,13970,0.135,0.157,0.036,156.88,18838,9,3.74,0.966,0.004
180000,789,4.718,0.085,12.66,50929,37149,5,13800,0,619,1588376.6,51082.6,0.004,0.229,0.258,0.207,0.303,2234,63.97,0.36,44.25,9.29,3.89,8.82,0.00,0.00,15.84,2.53,3.83,8.74,0.061,0.138,66,0.297,0.901,0.082,0.000,0.016,34634,15150,5,0.280,0.000,0.000,8528,0.163,0.172,0.043,155.97,19605,7,3.70,0.976,0.001
190000,786,4.807,0.070,12.49,48795,36230,33,12535,0,519,1592914.4,45995.5,0.005,0.216,0.244,0.215,0.320,2301,63.98,0.36,44.31,9.49,3.84,8.80,0.00,0.11,15.83,2.80,3.77,8.72,0.060,0.138,49,0.417,0.884,0.098,0.000,0.018,34787,15989,4,0.385,0.009,0.001,5201,0.166,0.160,0.037,155.79,17809,6,3.67,0.986,0.004
200000,755,4.905,0.071,12.47,52803,38637,4,14193,0,676,1532297.0,51882.5,0.006,0.205,0.234,0.221,0.333,1922,63.99,0.18,44.37,8.92,3.70,8.60,0.00,0.00,15.92,2.16,3.70,8.60,0.058,0.134,64,0.264,0.893,0.093,0.000,0.015,39923,21500,5,0.395,0.000,0.000,3344,0.156,0.172,0.043,150.45,19324,5,3.66,0.987,0.005
