step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority
10000,1139,3.513,0.080,9.41,94479,57074,1,36599,1172,1782,1347536.6,141750.5,0.126,0.092,0.105,0.415,0.261,2012,47.05,24.33,27.57,18.69,3.36,7.34,0.19,1.28,15.93,6.99,3.30,7.22,0.054,0.121,261,0.058,0.833,0.127,0.000,0.040,55760,33015,4,0.118,0.752,0.031,1118225,0.178,0.181,0.046,133.67,34154,47,3.87,0.752,0.032
20000,1226,3.338,0.098,10.25,112798,56384,6,52667,3654,1395,1477344.2,145867.4,0.141,0.070,0.077,0.439,0.273,1631,40.89,27.98,22.85,19.25,3.69,7.81,0.06,0.63,14.29,8.49,3.67,7.79,0.058,0.122,220,0.107,0.835,0.139,0.001,0.024,72604,41336,10,0.255,0.064,0.024,464319,0.126,0.198,0.061,149.37,42774,72,2.77,0.682,0.025
30000,921,4.151,0.108,10.46,117327,52679,10,60484,4459,1153,1483150.5,155245.6,0.156,0.080,0.084,0.426,0.254,1367,55.01,20.55,32.67,16.12,5.19,9.14,0.05,0.68,17.10,6.78,5.18,9.13,0.082,0.146,170,0.157,0.790,0.188,0.000,0.022,76840,45248,11,0.194,0.132,0.007,188180,0.205,0.211,0.070,149.10,45052,82,2.57,0.657,0.018
40000,1237,3.395,0.097,9.32,105430,48677,15,52534,3888,980,1492337.1,138585.7,0.198,0.104,0.107,0.337,0.253,1590,40.51,28.06,22.77,20.40,4.02,8.43,0.07,0.72,13.65,7.68,4.01,8.43,0.063,0.132,185,0.119,0.816,0.158,0.000,0.025,72086,46451,6,0.408,0.120,0.017,131592,0.243,0.202,0.060,148.65,39510,61,2.64,0.671,0.039
50000,915,3.871,0.111,10.44,111021,47864,13,59584,3882,1186,1466790.9,135021.9,0.141,0.108,0.120,0.374,0.256,1558,52.49,22.28,32.29,18.24,4.05,8.46,0.31,1.45,15.84,5.84,3.97,8.35,0.065,0.133,178,0.195,0.813,0.163,0.000,0.024,72608,44719,6,0.354,0.213,0.141,486991,0.150,0.218,0.072,147.26,41448,67,2.27,0.664,0.024
60000,939,4.092,0.103,10.55,110751,44712,8,63615,2392,2979,1496330.5,137165.8,0.088,0.137,0.189,0.333,0.253,1480,53.24,20.31,32.43,17.60,4.44,8.77,0.64,2.17,15.74,5.84,4.23,8.50,0.086,0.149,130,0.341,0.820,0.160,0.000,0.020,67658,39682,4,0.537,0.099,0.429,3155969,0.122,0.202,0.062,148.83,39583,55,2.16,0.695,0.015
70000,914,4.197,0.108,10.90,91739,43541,7,46709,1507,1462,1477837.8,115271.5,0.104,0.143,0.218,0.294,0.241,1650,53.29,20.89,33.06,17.46,4.37,8.89,0.61,1.48,15.27,5.91,4.05,8.54,0.077,0.144,135,0.422,0.832,0.149,0.000,0.020,57345,37961,4,0.617,0.061,0.464,3890372,0.112,0.212,0.069,148.10,32878,46,2.47,0.732,0.020
80000,847,4.250,0.105,11.25,75258,41237,4,33644,440,1967,1488707.5,101421.2,0.107,0.153,0.234,0.260,0.247,1819,58.41,14.25,35.84,14.91,5.06,9.33,0.69,2.07,16.82,4.92,4.83,9.02,0.087,0.148,111,0.426,0.797,0.185,0.000,0.018,46020,32230,3,0.660,0.066,0.465,3955806,0.111,0.207,0.066,148.80,26723,40,3.01,0.769,0.018
90000,896,4.314,0.102,10.87,60302,40396,3,19795,59,993,1471511.9,70878.9,0.103,0.176,0.265,0.232,0.225,2323,56.16,16.44,35.36,15.28,4.31,8.68,0.57,1.72,15.92,4.31,4.19,8.64,0.075,0.140,130,0.333,0.806,0.173,0.000,0.021,36977,25601,3,0.647,0.116,0.407,3848182,0.109,0.201,0.060,146.99,21587,30,3.58,0.830,0.027
100000,1659,2.716,0.095,12.19,78596,41474,9,34773,1577,906,1418319.4,110320.9,0.096,0.163,0.210,0.283,0.248,1477,29.31,29.00,15.43,19.89,3.85,8.70,0.23,1.01,9.80,6.66,3.75,8.50,0.061,0.137,235,0.122,0.823,0.142,0.000,0.035,50483,30865,2,0.224,0.610,0.160,3285956,0.116,0.208,0.065,142.95,30517,53,3.17,0.736,0.021
110000,1564,2.887,0.089,11.34,138909,45654,15,88217,5118,951,1430532.9,184571.3,0.093,0.076,0.106,0.416,0.308,854,30.97,29.85,17.81,21.19,3.50,8.40,0.12,0.86,9.55,6.75,3.49,8.40,0.055,0.132,146,0.157,0.859,0.121,0.000,0.020,92724,49933,5,0.273,0.350,0.074,1444826,0.129,0.202,0.061,142.89,59931,64,2.09,0.681,0.013
120000,1523,2.913,0.086,10.62,124546,43511,49,76870,4157,756,1449946.1,145433.8,0.124,0.081,0.094,0.411,0.290,1007,31.15,29.19,16.18,20.01,4.73,9.41,0.05,0.75,10.19,7.31,4.66,9.36,0.076,0.152,183,0.177,0.799,0.175,0.001,0.025,85548,48058,6,0.537,0.023,0.007,621974,0.138,0.204,0.058,144.49,51399,68,1.89,0.684,0.039
130000,1232,3.477,0.085,10.88,109917,46540,161,59735,3772,1194,1424969.9,113659.1,0.204,0.077,0.088,0.362,0.270,1188,41.72,28.25,27.49,22.49,2.99,7.77,0.04,0.53,11.20,6.33,2.85,7.56,0.052,0.136,148,0.176,0.869,0.099,0.001,0.032,77463,47308,6,0.252,0.110,0.011,174557,0.183,0.194,0.056,143.15,44142,65,1.90,0.691,0.010
140000,1315,3.249,0.085,10.89,99989,43633,126,53188,2959,1161,1461086.4,107332.0,0.147,0.067,0.099,0.392,0.295,1230,37.69,28.46,22.39,21.90,3.85,8.59,0.16,1.33,11.29,6.24,3.67,8.52,0.073,0.160,210,0.176,0.817,0.145,0.001,0.037,66783,36642,6,0.215,0.357,0.026,171388,0.172,0.194,0.056,145.37,41917,65,2.02,0.698,0.029
150000,1207,3.342,0.098,11.65,98868,40565,8,55770,2633,1137,1492524.8,113374.3,0.091,0.089,0.134,0.346,0.340,1302,40.14,28.71,24.41,22.19,4.06,8.91,0.12,1.37,11.54,5.91,3.94,8.72,0.065,0.142,154,0.221,0.820,0.151,0.000,0.029,64418,35065,6,0.313,0.226,0.019,186793,0.189,0.208,0.064,148.08,39774,62,2.03,0.676,0.022
160000,892,4.294,0.111,11.52,100152,41265,7,57298,1897,1233,1523022.6,107854.5,0.065,0.138,0.162,0.306,0.328,1399,54.24,21.25,35.40,18.56,4.43,8.96,0.30,2.41,14.11,4.51,4.33,8.92,0.075,0.150,115,0.496,0.795,0.179,0.000,0.026,64019,34455,6,0.350,0.084,0.029,223092,0.199,0.216,0.075,150.37,39353,49,1.88,0.715,0.024
