step,lineage,size,hard,muscle,sensor,digestive,attack,bodies,age,plant,meat
5000,8,630,30.8,4.1,0.3,26.2,3.8,172,101,23.93,0.74
6000,8,752,31.6,2.6,0.1,26.0,2.5,177,86,20.69,1.05
7000,8,701,31.3,2.3,0.1,25.6,2.2,166,85,19.92,0.93
8000,8,492,31.5,0.1,0.1,24.8,0.1,112,82,19.18,0.02
9000,8,558,32.8,0.3,0.2,23.7,0.2,94,89,20.80,0.00
9000,11,146,35.3,0.1,0.0,28.5,0.1,23,234,49.98,0.00
10000,8,593,31.7,0.2,0.2,24.7,0.2,98,82,19.44,0.03
10000,11,179,34.8,0.2,0.6,28.1,0.1,25,238,49.79,0.01
11000,8,598,32.1,0.1,0.1,23.5,0.1,140,87,19.92,0.00
11000,11,163,35.5,0.1,0.5,27.2,0.1,27,235,49.02,0.01
12000,8,484,32.9,0.0,0.0,24.2,0.0,132,86,20.48,0.01
12000,11,265,30.0,9.3,0.2,24.1,8.5,35,149,29.17,5.42
12000,14,52,31.2,14.8,0.1,17.9,14.4,8,102,21.21,6.25
13000,8,670,34.1,0.1,0.3,23.4,0.1,133,93,22.17,0.01
13000,11,89,33.6,2.9,0.6,25.7,2.8,20,217,45.43,2.70
13000,14,89,31.9,14.7,0.0,17.4,14.6,8,93,19.00,9.25
14000,8,681,30.5,0.1,0.5,24.0,0.0,182,95,20.94,0.04
14000,11,190,28.4,17.7,0.1,17.9,17.6,15,62,8.25,9.67
15000,8,372,28.2,0.0,0.8,24.7,0.0,127,87,18.65,0.00
15000,11,130,26.0,19.0,0.0,19.0,19.0,1,73,9.20,9.46
16000,8,700,34.5,0.0,0.8,23.2,0.0,172,91,21.66,0.00
16000,11,63,27.0,18.6,0.0,18.4,18.6,3,60,7.72,9.84
17000,8,609,33.7,0.0,1.5,21.7,0.0,142,112,25.05,0.00
17000,11,75,26.1,19.8,0.1,18.0,18.5,6,65,7.72,13.66
18000,8,426,35.1,0.0,2.0,20.5,0.0,90,127,27.95,0.00
18000,11,78,26.3,18.9,0.0,18.8,18.9,3,73,9.49,10.60
19000,8,289,40.6,0.0,1.1,19.7,0.0,47,136,31.08,0.00
19000,11,89,26.9,19.9,0.0,17.2,18.5,9,75,8.39,11.78
20000,8,162,39.0,0.0,1.9,20.5,0.0,64,78,20.58,0.00
20000,11,82,24.9,22.9,0.0,16.2,18.0,7,69,8.50,11.09
20000,26,68,19.3,16.8,5.0,22.6,16.8,3,112,26.66,5.65
21000,8,200,35.0,0.1,1.1,19.5,0.1,71,100,22.79,0.03
21000,11,61,26.0,20.9,0.1,17.0,19.2,5,32,3.14,7.79
21000,26,21,19.4,16.7,5.2,22.7,16.7,2,87,20.11,7.33
21000,28,10,3.5,0.0,0.0,6.5,0.0,4,90,3.38,0.00
22000,8,72,41.0,0.0,0.5,22.0,0.0,16,133,33.70,0.00
23000,31,449,34.2,8.0,0.1,21.6,6.5,58,147,35.23,2.22
23000,8,113,41.3,0.0,0.1,21.7,0.0,27,128,30.36,0.00
24000,31,555,35.4,8.2,0.2,19.9,6.6,78,109,27.11,2.40
24000,8,261,42.6,0.0,0.1,20.6,0.0,53,128,31.23,0.00
25000,31,587,38.7,4.4,0.1,20.5,3.6,86,128,32.66,1.53
25000,8,199,42.0,0.0,0.3,20.8,0.0,49,138,33.63,0.00
26000,31,780,41.2,5.4,0.0,17.1,4.8,83,155,37.47,1.77
26000,8,20,46.0,0.0,0.0,18.0,0.0,4,174,40.18,0.00
27000,31,818,41.7,4.6,0.0,17.5,4.1,110,165,39.07,1.37
27000,8,6,44.2,0.0,0.0,19.8,0.0,3,239,60.62,0.00
28000,31,841,41.8,3.6,0.1,18.3,3.3,106,165,39.04,1.14
29000,31,634,32.0,15.2,0.1,16.7,14.8,52,102,24.70,5.34
30000,31,528,40.3,6.4,0.0,17.1,5.9,49,173,40.47,1.86
31000,31,489,40.2,6.1,0.0,17.3,5.9,50,175,41.46,2.57
32000,31,799,43.7,2.7,0.2,17.2,2.6,90,174,41.57,0.99
33000,31,425,39.9,6.5,0.0,17.6,6.3,35,195,45.61,2.63
34000,31,502,40.4,5.9,0.0,17.5,5.5,45,185,42.75,1.77
35000,31,366,40.2,6.1,0.0,17.7,5.8,34,235,52.33,2.54
