step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority
10000,798,4.771,0.089,11.15,84408,55634,0,29470,35,2051,1326329.2,134371.1,0.101,0.221,0.226,0.162,0.289,2242,63.31,1.80,37.28,7.89,4.65,8.27,0.04,0.52,21.34,4.32,4.01,6.95,0.073,0.129,192,0.180,0.888,0.098,0.000,0.014,45930,23992,1,0.198,0.802,0.009,621359,0.176,0.176,0.045,131.83,29757,28,4.56,0.843,0.010
20000,817,4.647,0.075,12.38,75343,56334,2,18988,0,692,1581552.2,83640.6,0.031,0.150,0.228,0.290,0.302,1893,63.98,0.21,40.00,5.70,1.68,5.49,0.20,0.67,22.11,4.73,1.66,5.41,0.026,0.086,156,0.119,0.938,0.049,0.000,0.013,43432,17277,5,0.667,0.169,0.135,494549,0.128,0.157,0.033,157.58,29962,19,4.40,0.906,0.012
30000,814,4.699,0.074,13.08,72102,50905,6,21194,0,667,1584460.6,103486.2,0.029,0.166,0.225,0.312,0.269,1673,63.98,0.60,39.71,7.71,3.47,7.75,0.05,0.43,20.75,5.02,3.36,7.61,0.054,0.121,142,0.301,0.887,0.097,0.000,0.016,45141,18415,6,0.294,0.520,0.029,1002916,0.121,0.150,0.030,157.86,30637,29,4.88,0.860,0.031
40000,863,4.661,0.078,12.76,73761,49155,3,24554,0,1251,1567476.2,126089.1,0.087,0.158,0.218,0.299,0.238,1590,63.96,0.38,39.65,7.47,2.94,7.63,0.05,0.56,21.33,4.82,2.60,6.70,0.046,0.119,188,0.144,0.912,0.068,0.002,0.017,45068,16479,6,0.400,0.187,0.013,405252,0.115,0.148,0.028,157.74,31197,35,5.14,0.815,0.027
50000,834,4.768,0.061,13.16,64402,49103,4,15324,0,637,1574722.9,74764.4,0.054,0.153,0.201,0.338,0.255,1597,63.99,0.12,42.14,6.95,1.88,6.10,0.07,0.78,19.90,4.87,1.77,5.69,0.029,0.095,196,0.138,0.939,0.047,0.000,0.014,40574,15376,6,0.321,0.125,0.014,196434,0.161,0.135,0.023,159.51,28824,30,4.88,0.834,0.013
60000,858,4.618,0.066,13.02,57152,44776,9,12343,0,503,1596346.4,55781.9,0.074,0.144,0.175,0.341,0.266,1749,64.00,0.00,42.77,6.38,2.27,6.55,0.02,0.39,18.94,3.36,2.26,6.55,0.035,0.102,129,0.218,0.913,0.068,0.000,0.020,38557,11869,6,0.267,0.142,0.007,118050,0.202,0.141,0.025,161.34,25267,23,4.52,0.870,0.014
70000,867,4.633,0.057,13.06,57498,44229,16,13244,0,664,1610788.4,68878.7,0.081,0.170,0.192,0.316,0.241,1701,64.00,0.00,40.67,6.41,2.37,6.89,0.14,0.73,20.82,3.54,2.16,6.26,0.037,0.108,167,0.100,0.920,0.068,0.000,0.012,36805,10675,8,0.386,0.024,0.059,499679,0.197,0.126,0.017,161.66,25584,36,5.20,0.834,0.009
80000,866,4.699,0.062,13.26,59668,44148,9,15512,0,635,1614529.8,76708.1,0.082,0.171,0.207,0.310,0.230,1630,63.98,0.40,41.06,6.55,2.62,7.24,0.35,1.02,19.95,2.99,2.31,6.26,0.041,0.113,163,0.088,0.932,0.062,0.000,0.006,38189,11545,8,0.361,0.237,0.141,792179,0.125,0.131,0.019,161.79,26058,30,4.95,0.887,0.005
90000,869,4.677,0.072,13.19,56426,42232,6,14185,0,582,1592556.6,66117.1,0.078,0.171,0.225,0.289,0.237,1767,63.98,0.30,43.21,5.64,1.66,5.68,0.06,0.37,19.06,3.04,1.66,5.68,0.026,0.089,152,0.097,0.937,0.043,0.000,0.021,36005,9751,5,0.434,0.150,0.038,322811,0.140,0.141,0.026,161.29,24761,25,4.66,0.888,0.007
100000,856,4.745,0.076,13.39,52404,40616,10,11791,0,525,1602900.5,49416.0,0.082,0.169,0.219,0.289,0.242,1694,64.00,0.03,43.08,5.59,1.64,5.68,0.46,0.91,18.82,2.76,1.62,5.60,0.026,0.089,149,0.185,0.938,0.048,0.000,0.014,33513,11496,8,0.591,0.023,0.359,2082636,0.084,0.149,0.028,161.41,23131,15,4.19,0.922,0.012
