step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority
10000,883,4.396,0.095,7.77,90450,66970,0,24051,90,1676,1302795.9,102757.9,0.123,0.230,0.157,0.164,0.326,2889,59.11,5.96,32.18,5.47,1.94,5.12,0.24,1.47,24.74,6.97,1.92,5.07,0.031,0.080,129,0.300,0.899,0.072,0.000,0.028,47635,28135,2,0.672,0.126,0.062,758323,0.138,0.191,0.056,129.30,26640,27,4.27,0.829,0.009
20000,1019,3.929,0.097,9.93,108466,71771,1,36097,461,1014,1501642.1,151109.9,0.099,0.207,0.124,0.217,0.352,2235,50.51,21.12,25.71,16.04,6.51,10.19,1.06,2.83,17.23,7.03,5.49,8.56,0.102,0.159,218,0.128,0.791,0.162,0.000,0.047,63693,36823,3,0.159,0.694,0.300,1481331,0.215,0.198,0.061,151.44,33572,46,4.19,0.744,0.107
30000,813,4.841,0.096,12.49,89094,58766,0,30451,83,2213,1580610.5,136504.8,0.035,0.252,0.164,0.198,0.350,1942,63.80,1.91,42.35,9.64,4.23,9.22,0.14,0.64,17.07,4.06,3.89,8.48,0.067,0.146,101,0.298,0.876,0.092,0.000,0.032,50057,29316,1,0.651,0.349,0.101,974288,0.145,0.179,0.050,157.75,28136,30,4.48,0.859,0.009
40000,822,4.941,0.092,12.95,78929,58551,0,20368,1,1419,1619679.4,83783.8,0.040,0.288,0.175,0.163,0.334,1844,63.93,1.23,42.43,9.26,3.88,8.89,0.24,1.33,17.38,3.50,3.67,8.35,0.061,0.139,106,0.382,0.899,0.088,0.000,0.013,44749,23537,2,0.594,0.043,0.086,1005725,0.094,0.157,0.034,159.85,26256,13,4.11,0.939,0.022
50000,857,4.818,0.083,12.72,80150,59560,0,20555,0,1335,1626290.1,83769.3,0.033,0.268,0.171,0.164,0.363,1806,63.94,1.09,42.78,9.00,3.57,8.51,0.12,1.14,17.48,3.68,3.40,8.10,0.056,0.133,78,0.380,0.895,0.074,0.000,0.032,45310,23390,2,0.553,0.000,0.061,720905,0.096,0.151,0.032,160.44,26562,12,4.08,0.950,0.019
60000,843,4.909,0.088,12.80,81760,60843,3,20926,2,1462,1621758.4,86344.3,0.035,0.266,0.168,0.170,0.361,1872,63.35,4.56,42.47,9.90,3.05,7.83,0.24,0.66,17.59,4.58,2.92,7.60,0.048,0.123,112,0.311,0.890,0.078,0.000,0.032,46212,25741,3,0.584,0.019,0.193,1283665,0.089,0.154,0.033,160.28,26202,13,4.13,0.940,0.015
70000,842,4.985,0.086,12.94,79223,58698,11,20513,2,1241,1620914.9,86030.2,0.043,0.261,0.182,0.163,0.352,1724,63.89,1.60,43.32,8.87,2.98,7.98,0.58,1.44,17.00,4.21,2.82,7.48,0.047,0.125,120,0.219,0.895,0.077,0.000,0.027,44591,23934,3,0.645,0.036,0.404,2678194,0.083,0.150,0.029,160.56,26623,14,4.19,0.929,0.010
80000,837,4.857,0.080,12.90,77652,55484,14,22156,3,1540,1607452.9,94248.6,0.044,0.257,0.185,0.165,0.349,1648,63.83,1.80,41.38,8.96,3.41,7.77,0.73,1.16,18.30,3.77,3.35,7.67,0.054,0.125,139,0.210,0.888,0.087,0.001,0.024,43438,22799,3,0.648,0.020,0.583,3576821,0.081,0.151,0.032,160.36,26398,16,4.25,0.924,0.013
90000,819,4.987,0.090,13.15,82076,58188,10,23896,0,2049,1609818.8,108530.2,0.036,0.260,0.189,0.163,0.351,1581,63.93,0.86,42.45,9.37,3.82,9.18,0.44,0.87,17.22,4.10,3.39,8.08,0.060,0.143,88,0.316,0.906,0.079,0.000,0.015,45578,25743,3,0.701,0.000,0.374,3616059,0.082,0.163,0.039,159.39,28473,22,4.54,0.901,0.012
100000,850,4.868,0.087,12.76,78763,59358,1,19373,0,1265,1626359.9,79883.4,0.035,0.264,0.180,0.168,0.353,1593,63.55,3.85,42.33,10.42,3.53,8.76,0.50,1.89,17.20,4.97,3.16,7.84,0.056,0.141,122,0.220,0.887,0.087,0.000,0.026,44107,24185,3,0.575,0.000,0.224,2580605,0.082,0.156,0.037,160.74,27622,13,4.12,0.935,0.009
