step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority
10000,872,4.430,0.072,9.72,70874,54254,1,17223,68,901,1551794.2,57877.0,0.116,0.225,0.244,0.203,0.212,2108,62.70,3.76,35.51,5.16,1.09,4.34,0.04,0.44,26.06,4.72,0.96,3.84,0.017,0.068,198,0.097,0.931,0.050,0.000,0.018,39479,17378,5,0.234,0.394,0.009,829621,0.219,0.138,0.024,154.82,28883,37,3.36,0.787,0.007
20000,1127,3.662,0.075,10.53,70765,47574,1,22326,609,194,1595656.8,53984.9,0.128,0.226,0.247,0.182,0.217,2112,47.82,23.96,26.12,16.63,2.56,6.42,0.22,1.11,18.92,8.72,2.43,6.07,0.040,0.100,277,0.130,0.846,0.127,0.000,0.028,43398,17152,7,0.192,0.177,0.072,312820,0.177,0.145,0.026,161.44,29348,56,2.42,0.707,0.028
30000,1142,3.731,0.068,9.87,128224,49445,9,76017,2738,272,1599444.1,115676.1,0.131,0.197,0.226,0.200,0.246,1261,48.05,21.77,28.16,15.19,1.74,5.10,0.25,1.65,17.91,7.92,1.63,4.77,0.027,0.080,280,0.104,0.868,0.109,0.000,0.023,82815,40005,9,0.186,0.112,0.063,505648,0.178,0.129,0.019,161.80,49920,55,1.52,0.658,0.010
40000,1123,3.737,0.070,9.70,96354,51477,5,43188,1703,153,1603709.6,69722.5,0.077,0.249,0.254,0.188,0.231,1696,47.80,21.99,28.33,15.10,1.55,4.58,0.18,0.98,17.74,8.15,1.50,4.36,0.024,0.072,243,0.110,0.880,0.095,0.000,0.025,53648,21255,12,0.197,0.034,0.090,698233,0.146,0.126,0.018,161.84,35630,50,1.61,0.686,0.009
50000,1086,3.766,0.069,9.61,87121,51897,6,33962,1293,150,1602863.6,57473.6,0.079,0.249,0.258,0.186,0.227,1868,49.77,21.54,29.41,14.45,1.69,4.53,0.35,1.11,18.31,7.94,1.63,4.32,0.027,0.071,231,0.097,0.880,0.103,0.000,0.017,50182,20330,12,0.144,0.140,0.186,1387426,0.123,0.131,0.020,161.99,31698,53,1.69,0.674,0.007
60000,967,4.188,0.070,9.78,86592,52846,10,32675,1180,184,1607657.2,57330.8,0.055,0.240,0.268,0.201,0.236,1884,54.84,17.06,32.09,11.39,1.77,4.61,0.70,2.15,20.28,6.98,1.71,4.34,0.028,0.072,193,0.103,0.887,0.096,0.000,0.017,50176,20315,9,0.241,0.107,0.273,2275263,0.142,0.127,0.019,162.17,31335,52,1.75,0.674,0.004
70000,990,4.145,0.067,9.82,78337,52609,9,25048,648,272,1611450.5,48219.9,0.043,0.248,0.272,0.203,0.234,2051,54.52,16.93,32.23,11.69,1.83,4.60,0.63,1.63,19.83,6.76,1.77,4.39,0.029,0.072,212,0.120,0.868,0.110,0.000,0.022,45469,19099,6,0.275,0.075,0.269,2895375,0.144,0.125,0.018,162.37,28821,49,1.93,0.699,0.010
80000,975,4.145,0.062,9.84,76622,52141,7,23964,525,150,1611113.0,45773.8,0.039,0.246,0.266,0.206,0.243,2025,54.30,15.87,32.58,10.71,1.35,3.76,0.72,1.93,19.65,6.56,1.33,3.63,0.022,0.059,230,0.175,0.892,0.095,0.000,0.012,44367,18105,6,0.362,0.156,0.252,2616371,0.145,0.120,0.015,162.40,27881,51,1.91,0.693,0.003
90000,1010,3.987,0.063,9.87,76399,55322,3,20470,569,160,1602671.9,41297.6,0.039,0.266,0.262,0.196,0.237,1939,52.99,17.94,31.13,11.88,1.20,4.08,0.82,2.19,19.84,7.66,1.16,3.91,0.019,0.064,232,0.148,0.909,0.073,0.000,0.018,46931,18883,10,0.238,0.150,0.273,2502649,0.152,0.121,0.017,162.45,29223,75,2.02,0.629,0.007
100000,951,4.306,0.071,10.15,67882,53299,9,14452,181,96,1611267.5,36452.3,0.046,0.221,0.259,0.221,0.253,2038,57.71,5.07,35.24,5.00,1.10,3.86,0.76,2.10,20.61,4.82,1.03,3.56,0.018,0.061,193,0.245,0.943,0.040,0.000,0.017,43086,17483,8,0.356,0.008,0.306,2851914,0.168,0.125,0.017,162.25,26441,54,2.52,0.702,0.002
110000,948,4.297,0.070,10.34,60597,49901,37,10654,8,85,1610772.2,32686.5,0.066,0.206,0.266,0.221,0.242,2072,57.07,6.07,35.49,5.47,1.23,4.08,0.70,1.84,19.66,4.58,1.17,3.86,0.021,0.066,179,0.247,0.936,0.050,0.000,0.015,39471,14904,8,0.410,0.000,0.359,3071562,0.137,0.121,0.014,162.50,23892,28,3.07,0.827,0.007
120000,977,4.156,0.063,10.48,59558,48564,48,10908,9,136,1610018.8,33841.4,0.079,0.189,0.251,0.226,0.254,2204,56.91,4.40,35.39,5.03,1.28,4.44,0.44,1.41,19.80,4.48,1.23,4.22,0.020,0.070,184,0.208,0.934,0.055,0.000,0.010,39316,16582,7,0.485,0.000,0.232,3123482,0.132,0.117,0.013,162.43,24168,26,3.10,0.840,0.007
130000,980,4.235,0.061,10.58,57392,46612,101,10665,11,85,1608313.1,32824.8,0.091,0.181,0.247,0.228,0.252,2204,56.94,4.33,35.54,4.64,1.31,4.65,0.62,2.77,19.47,4.13,1.21,4.11,0.021,0.073,196,0.138,0.930,0.048,0.000,0.022,38766,14725,6,0.509,0.087,0.252,2804099,0.139,0.117,0.014,162.42,23547,28,3.08,0.832,0.002
140000,952,4.214,0.061,10.56,57168,46424,102,10656,14,137,1608787.2,31888.8,0.090,0.178,0.248,0.228,0.256,2240,57.55,4.69,35.60,4.88,0.75,3.10,0.58,2.28,20.62,4.98,0.72,2.97,0.012,0.049,193,0.154,0.956,0.026,0.000,0.018,38409,13395,5,0.540,0.050,0.274,2562664,0.133,0.118,0.015,162.44,23444,30,2.99,0.823,0.003
150000,934,4.302,0.054,10.79,55271,46244,69,8956,20,61,1616053.2,28032.7,0.064,0.164,0.235,0.239,0.298,2282,58.56,4.87,36.44,4.08,0.62,3.35,0.83,2.30,20.67,4.11,0.58,3.18,0.010,0.052,188,0.170,0.955,0.026,0.000,0.019,36349,11649,6,0.512,0.000,0.330,2221630,0.133,0.103,0.008,162.67,22506,28,3.13,0.829,0.002
160000,914,4.356,0.051,11.09,55330,46472,42,8828,8,54,1618402.2,28397.1,0.037,0.159,0.255,0.243,0.306,2044,59.77,4.45,36.28,4.08,0.90,4.02,1.82,2.65,20.77,3.90,0.85,3.81,0.014,0.063,179,0.161,0.947,0.039,0.000,0.013,36192,12316,6,0.239,0.000,0.598,4435093,0.184,0.106,0.011,162.87,22705,25,3.22,0.844,0.005
170000,916,4.217,0.047,11.22,54688,46042,65,8563,16,53,1624366.8,27386.1,0.029,0.162,0.257,0.248,0.304,2033,57.88,13.01,33.93,9.48,1.43,4.99,2.03,3.06,20.49,4.95,1.34,4.71,0.024,0.085,215,0.124,0.918,0.062,0.000,0.020,37565,12031,6,0.266,0.175,0.532,5290513,0.189,0.100,0.008,162.87,23101,27,3.20,0.834,0.016
180000,1187,3.601,0.056,10.51,94729,46213,36,45446,2763,209,1615757.9,72248.0,0.045,0.172,0.203,0.260,0.320,1417,44.08,25.14,25.13,16.81,1.51,5.14,1.45,3.20,15.99,7.54,1.43,4.85,0.024,0.085,239,0.095,0.906,0.067,0.000,0.026,60042,22565,8,0.300,0.036,0.420,4637081,0.197,0.113,0.013,162.81,38539,50,1.59,0.694,0.020
190000,1130,3.735,0.051,10.60,99472,48621,50,47909,2949,216,1611786.0,78849.0,0.055,0.195,0.204,0.255,0.291,1471,46.98,23.69,26.14,17.01,1.98,5.87,1.19,2.63,17.68,7.28,1.79,5.30,0.031,0.092,283,0.059,0.881,0.092,0.000,0.027,69847,31619,9,0.165,0.140,0.317,4315543,0.183,0.108,0.011,162.60,37988,54,1.65,0.674,0.026
200000,1170,3.603,0.054,10.47,96423,48581,62,44674,3066,167,1620140.0,73589.2,0.024,0.180,0.268,0.244,0.284,1521,44.22,25.33,23.96,17.23,1.82,5.78,1.43,2.62,17.00,7.82,1.60,5.09,0.029,0.090,245,0.095,0.897,0.082,0.000,0.021,62928,24295,8,0.325,0.003,0.295,3519370,0.219,0.107,0.010,162.82,37675,54,1.65,0.668,0.016
210000,1228,3.520,0.048,10.57,108602,50581,61,54840,3062,180,1618023.2,85030.7,0.013,0.176,0.258,0.255,0.298,1422,43.77,25.97,24.07,17.36,1.53,5.30,1.58,2.71,16.58,8.59,1.36,4.71,0.026,0.090,263,0.101,0.900,0.074,0.000,0.026,67941,24790,11,0.240,0.087,0.347,3803998,0.235,0.100,0.009,162.88,41230,55,1.55,0.662,0.029
220000,979,4.036,0.060,10.96,99959,49586,18,48419,2185,815,1614645.5,91482.7,0.021,0.197,0.290,0.227,0.266,1570,53.76,18.71,31.44,14.76,1.77,6.13,1.99,3.72,18.55,6.32,1.41,4.84,0.033,0.103,261,0.081,0.886,0.090,0.000,0.025,61656,24259,7,0.218,0.105,0.350,3971284,0.236,0.120,0.016,162.78,37395,58,1.89,0.670,0.037
230000,1115,3.766,0.055,10.54,89617,52123,26,35637,1695,854,1615378.4,60921.9,0.072,0.173,0.274,0.220,0.260,1578,48.04,23.42,28.25,15.96,0.97,4.37,1.59,2.83,17.24,8.16,0.79,3.68,0.018,0.080,245,0.174,0.944,0.034,0.000,0.022,55434,22827,7,0.299,0.064,0.330,4030972,0.252,0.106,0.008,162.87,32451,70,1.71,0.632,0.007
240000,1020,3.989,0.067,11.24,92553,52384,19,38881,1364,668,1607913.4,78282.8,0.067,0.181,0.316,0.202,0.234,1631,51.86,23.68,31.82,17.82,2.18,6.57,0.89,2.80,16.97,7.59,2.03,6.15,0.035,0.107,186,0.200,0.908,0.080,0.000,0.012,54406,23378,4,0.216,0.420,0.207,3609360,0.238,0.128,0.019,162.21,33914,70,2.01,0.644,0.021
250000,1079,3.716,0.073,10.43,93621,47916,45,43789,1812,423,1609878.1,83335.9,0.060,0.195,0.347,0.195,0.203,1523,48.32,25.43,28.37,19.03,2.40,6.69,0.84,3.60,16.71,7.57,2.28,6.50,0.042,0.123,176,0.128,0.888,0.088,0.000,0.024,55043,24388,6,0.284,0.061,0.220,2825700,0.168,0.139,0.026,162.39,33203,49,1.90,0.710,0.023
