step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority
10000,793,4.742,0.095,12.68,88954,57269,0,32372,64,1736,1486149.2,127892.5,0.020,0.103,0.210,0.331,0.335,1460,63.55,1.80,41.05,6.57,2.78,6.60,0.86,2.13,18.86,4.61,2.76,6.51,0.044,0.103,231,0.079,0.897,0.088,0.000,0.015,50224,24648,5,0.362,0.194,0.232,2898303,0.149,0.181,0.049,146.80,36465,37,3.95,0.796,0.011
20000,821,4.614,0.091,15.91,60016,46210,16,13759,3,391,1564851.1,54269.7,0.032,0.076,0.172,0.362,0.358,1629,63.48,2.27,41.68,7.73,2.11,6.25,1.52,1.93,18.18,5.76,2.10,6.25,0.033,0.098,217,0.124,0.909,0.078,0.000,0.013,37340,17847,3,0.587,0.000,0.580,4884212,0.143,0.174,0.047,157.70,25523,30,3.94,0.838,0.009
30000,864,4.605,0.083,16.26,56405,43561,5,12789,7,276,1593801.9,49445.9,0.031,0.092,0.172,0.335,0.371,1576,63.86,1.56,42.94,6.73,1.64,5.82,1.45,2.78,17.82,3.97,1.59,5.55,0.026,0.091,171,0.206,0.939,0.052,0.000,0.009,34957,17669,3,0.399,0.450,0.525,4901285,0.137,0.147,0.029,159.57,25273,25,3.87,0.863,0.005
40000,1234,3.476,0.076,15.49,60685,45116,10,14743,446,318,1603219.6,44740.1,0.038,0.087,0.153,0.369,0.353,1342,42.74,28.55,27.66,21.19,1.34,5.10,1.06,2.06,12.68,7.26,1.30,5.06,0.023,0.086,203,0.212,0.924,0.057,0.000,0.019,37327,17293,5,0.411,0.097,0.420,5183675,0.141,0.146,0.030,160.91,27697,52,3.03,0.746,0.011
50000,1182,3.637,0.075,15.33,63006,43358,21,18884,795,454,1617035.0,47100.3,0.054,0.081,0.143,0.376,0.347,1265,45.02,26.73,27.97,20.65,1.88,6.08,1.12,1.81,14.04,6.95,1.86,6.06,0.030,0.096,251,0.223,0.909,0.079,0.000,0.012,39304,20138,4,0.364,0.338,0.435,5482182,0.148,0.142,0.027,161.31,29247,75,2.49,0.657,0.016
60000,1001,4.064,0.075,15.69,66569,44307,11,21609,823,347,1612546.2,53108.0,0.040,0.105,0.164,0.344,0.346,1134,53.85,22.06,34.98,16.98,1.68,5.70,1.18,2.46,16.01,6.42,1.66,5.70,0.027,0.091,155,0.213,0.911,0.075,0.000,0.014,40749,19083,4,0.350,0.244,0.494,5086624,0.150,0.134,0.022,161.59,30982,59,2.46,0.687,0.004
70000,828,4.585,0.081,16.25,62801,44374,14,17965,621,330,1613230.9,47283.6,0.039,0.106,0.165,0.326,0.364,1162,63.76,1.49,42.70,6.60,1.28,4.99,1.30,2.62,18.48,5.22,1.26,4.96,0.020,0.078,140,0.279,0.930,0.048,0.000,0.022,37731,17239,3,0.441,0.221,0.563,5121460,0.145,0.145,0.027,161.76,29308,56,2.63,0.713,0.006
80000,1041,4.036,0.061,15.29,84806,49392,7,33838,1356,1077,1606928.6,64451.3,0.061,0.088,0.132,0.321,0.399,1132,53.56,18.99,32.49,15.48,0.60,1.82,1.80,3.51,18.67,7.61,0.53,1.41,0.012,0.041,328,0.118,0.901,0.085,0.000,0.013,55144,26799,5,0.384,0.210,0.531,5225879,0.165,0.124,0.017,161.70,35830,63,1.90,0.646,0.004
90000,841,4.580,0.074,16.59,79229,59405,2,19460,562,905,1610560.2,52235.0,0.048,0.119,0.160,0.274,0.399,985,63.28,2.88,36.66,9.37,2.16,5.46,2.28,3.73,22.18,8.28,2.02,5.06,0.034,0.085,332,0.056,0.906,0.082,0.000,0.012,46656,19462,6,0.334,0.166,0.471,4930858,0.224,0.136,0.023,161.49,37882,70,2.68,0.638,0.045
100000,888,4.396,0.064,17.28,89521,64384,0,25072,18,1013,1589287.5,100397.7,0.026,0.153,0.203,0.254,0.364,719,60.52,4.69,34.53,7.90,1.30,3.98,0.78,3.56,23.92,7.84,1.13,3.27,0.022,0.067,359,0.084,0.932,0.044,0.000,0.024,51467,22264,4,0.771,0.044,0.093,1961449,0.195,0.118,0.014,159.51,45098,39,4.00,0.786,0.006
110000,845,4.660,0.069,16.50,87830,64711,0,23160,2,957,1620982.1,88726.1,0.011,0.145,0.207,0.258,0.379,862,63.39,2.32,38.85,6.51,3.16,7.13,0.85,2.44,20.53,3.83,3.08,6.94,0.050,0.112,184,0.176,0.884,0.101,0.000,0.015,50621,22699,3,0.901,0.000,0.222,996879,0.166,0.126,0.016,161.94,42142,26,3.83,0.870,0.012
120000,840,4.600,0.071,16.48,83581,56625,0,26957,4,1343,1613988.2,104160.6,0.013,0.123,0.177,0.287,0.400,980,63.64,2.15,40.57,8.78,3.24,7.40,0.24,1.53,19.60,4.23,3.11,7.10,0.051,0.116,191,0.292,0.898,0.087,0.000,0.015,48123,21846,2,0.901,0.074,0.080,1452713,0.171,0.135,0.023,161.34,36803,24,3.86,0.887,0.017
