step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority
10000,870,4.350,0.108,7.64,74441,51275,0,23679,146,2075,1437823.0,71479.9,0.143,0.155,0.121,0.312,0.269,2999,61.19,6.42,36.09,6.92,3.69,7.29,0.94,2.52,20.46,4.94,3.52,6.81,0.058,0.114,161,0.098,0.841,0.134,0.000,0.024,40342,20560,4,0.669,0.000,0.222,1428534,0.210,0.207,0.067,142.64,23464,31,3.02,0.820,0.001
20000,909,4.522,0.085,7.91,61742,48587,3,13055,58,3493,1569563.2,40559.8,0.155,0.134,0.129,0.336,0.245,3998,60.56,6.23,35.96,6.28,2.76,5.58,0.14,1.29,21.71,4.03,2.61,5.25,0.043,0.087,149,0.336,0.877,0.120,0.000,0.003,33993,16891,4,0.411,0.200,0.024,702245,0.211,0.165,0.039,157.30,16877,34,3.11,0.824,0.000
30000,945,4.290,0.075,9.89,52361,41642,33,10624,26,2661,1594300.2,33096.6,0.182,0.145,0.151,0.265,0.257,3164,59.78,6.71,35.37,6.78,3.64,7.10,0.36,1.55,20.41,4.91,3.42,6.56,0.058,0.113,211,0.168,0.876,0.107,0.000,0.017,31782,15432,7,0.290,0.000,0.154,1120056,0.185,0.149,0.030,159.78,16360,31,3.12,0.871,0.003
40000,892,4.517,0.088,8.56,50593,41483,10,9134,19,2296,1596293.9,29775.7,0.223,0.152,0.167,0.227,0.230,3203,63.38,2.57,38.34,5.49,2.02,4.92,0.47,1.42,22.55,4.07,1.94,4.76,0.032,0.077,160,0.237,0.913,0.077,0.000,0.010,30065,14929,4,0.457,0.035,0.203,1688356,0.181,0.161,0.035,159.57,16488,27,3.26,0.883,0.006
50000,918,4.446,0.069,10.48,48535,39703,8,8778,20,2450,1602446.4,29046.7,0.249,0.162,0.176,0.207,0.205,2889,63.22,3.05,38.43,5.16,2.11,5.36,0.13,1.27,22.54,3.57,2.06,5.28,0.033,0.084,167,0.155,0.911,0.078,0.000,0.011,30177,14786,4,0.603,0.054,0.033,1027671,0.195,0.140,0.024,160.56,16159,17,3.31,0.914,0.001
60000,943,4.366,0.071,10.09,47914,38457,15,9411,6,1717,1606754.5,30936.2,0.267,0.164,0.185,0.186,0.198,2817,62.30,5.96,37.76,6.89,3.17,6.89,0.14,1.25,21.23,3.59,3.06,6.58,0.050,0.108,163,0.144,0.891,0.094,0.000,0.015,32756,13942,5,0.468,0.017,0.036,530502,0.202,0.143,0.026,160.92,18069,15,3.29,0.930,0.002
70000,943,4.441,0.065,9.72,44345,35841,33,8454,17,1824,1612187.2,26512.5,0.272,0.166,0.185,0.186,0.191,2752,61.24,4.44,37.18,6.22,1.93,5.15,0.23,1.34,21.90,3.50,1.82,4.86,0.031,0.083,177,0.166,0.910,0.082,0.000,0.008,28848,11796,5,0.354,0.038,0.083,737555,0.199,0.131,0.018,161.96,15915,33,3.14,0.860,0.002
80000,976,4.323,0.067,10.18,46442,37601,34,8764,10,2199,1612355.2,28108.1,0.264,0.171,0.196,0.185,0.185,2770,61.16,3.96,37.45,5.54,2.84,6.82,0.18,1.64,20.70,3.31,2.64,6.19,0.045,0.107,162,0.179,0.889,0.099,0.000,0.011,29864,13190,4,0.562,0.019,0.039,548042,0.211,0.135,0.022,162.11,16690,27,3.21,0.872,0.001
90000,907,4.603,0.074,11.33,51315,37861,27,13481,15,2620,1603163.0,44992.9,0.234,0.176,0.223,0.180,0.187,2292,62.70,3.12,41.47,6.30,2.31,5.90,0.02,0.70,18.90,3.55,1.96,5.07,0.037,0.096,203,0.163,0.920,0.065,0.000,0.015,31700,11973,3,0.423,0.358,0.002,249852,0.219,0.140,0.024,161.89,19158,52,3.34,0.778,0.002
100000,881,4.758,0.078,13.92,58503,41868,1,16647,13,1699,1615471.8,57625.5,0.104,0.222,0.317,0.163,0.194,1699,62.94,5.49,43.54,8.73,1.83,6.11,0.00,0.00,17.58,4.82,1.50,5.32,0.034,0.121,168,0.275,0.926,0.041,0.000,0.033,36646,18442,3,0.922,0.020,0.000,6823,0.295,0.145,0.026,160.58,24768,35,3.46,0.850,0.008
