step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority
10000,902,3.987,0.075,7.86,83062,59604,0,23886,176,1389,1491223.1,81883.4,0.047,0.205,0.227,0.312,0.209,3573,58.32,14.33,35.05,13.57,1.43,4.95,0.78,3.02,21.06,5.59,1.30,4.56,0.023,0.080,189,0.085,0.909,0.070,0.000,0.021,48893,33509,4,0.749,0.004,0.182,676260,0.230,0.167,0.039,147.44,21396,43,3.43,0.727,0.012
20000,949,4.113,0.079,8.19,71778,57931,0,13739,61,789,1580872.6,47302.8,0.032,0.184,0.273,0.289,0.222,3099,57.05,9.31,31.01,5.79,2.82,4.25,0.24,1.05,22.97,7.60,2.69,3.96,0.045,0.072,198,0.179,0.869,0.112,0.000,0.019,46372,23580,2,0.453,0.119,0.064,2038215,0.187,0.152,0.031,158.90,22407,41,3.44,0.756,0.011
30000,818,4.406,0.078,9.99,79800,59319,0,20602,10,1194,1579239.0,81746.9,0.023,0.185,0.308,0.258,0.226,2636,63.57,2.98,36.82,8.07,3.63,7.12,0.85,1.75,22.27,4.96,3.47,6.64,0.057,0.111,175,0.147,0.884,0.089,0.000,0.027,51210,24968,4,0.429,0.082,0.275,1782820,0.162,0.151,0.031,158.73,24683,38,3.97,0.802,0.007
40000,880,4.364,0.068,9.62,68242,57256,4,10914,6,555,1597207.0,40532.3,0.003,0.209,0.269,0.277,0.242,2543,60.83,4.67,34.95,4.20,1.72,4.57,0.48,1.40,23.68,5.71,1.64,4.31,0.027,0.071,237,0.076,0.924,0.056,0.000,0.020,44926,19212,4,0.358,0.314,0.169,1817899,0.176,0.126,0.018,160.15,24212,24,3.71,0.882,0.007
50000,914,4.093,0.071,9.59,65031,51822,10,13153,12,903,1598845.8,48694.3,0.002,0.210,0.236,0.276,0.276,2680,59.83,6.31,34.31,6.24,0.83,3.12,0.83,2.41,23.86,6.63,0.79,3.03,0.013,0.050,278,0.060,0.951,0.037,0.000,0.012,41378,16604,9,0.307,0.081,0.317,1730668,0.129,0.134,0.021,159.96,22388,36,3.70,0.845,0.002
60000,851,4.281,0.072,9.24,67192,52552,3,14677,23,427,1608519.2,55928.5,0.003,0.212,0.253,0.277,0.255,2436,62.42,3.30,36.74,6.67,2.12,5.57,0.22,1.06,23.34,4.15,1.90,4.87,0.033,0.087,189,0.095,0.927,0.060,0.000,0.013,42769,20126,5,0.371,0.016,0.113,2207009,0.136,0.132,0.019,160.84,24097,40,3.81,0.812,0.006
70000,822,4.517,0.080,9.26,63084,43533,12,19557,11,893,1590472.9,74753.3,0.002,0.213,0.259,0.258,0.268,2891,63.67,3.18,39.53,7.61,2.21,6.07,0.37,1.84,21.55,4.07,2.07,5.68,0.035,0.095,141,0.178,0.915,0.073,0.000,0.012,40081,21524,5,0.377,0.023,0.137,615658,0.139,0.153,0.031,159.03,19854,32,3.82,0.836,0.004
80000,833,4.574,0.066,9.78,54969,43093,25,11830,10,607,1602044.6,45378.0,0.002,0.219,0.250,0.267,0.262,2856,63.41,5.13,36.85,7.13,1.68,5.16,0.61,1.84,24.27,4.37,1.54,4.68,0.026,0.081,165,0.104,0.918,0.065,0.000,0.017,34906,13207,7,0.311,0.070,0.170,1112608,0.184,0.130,0.019,160.53,19403,25,3.84,0.883,0.013
90000,822,4.478,0.067,9.86,57056,45563,21,11476,7,513,1607488.0,42822.0,0.002,0.224,0.258,0.263,0.254,2519,63.65,2.39,36.34,7.35,2.71,6.33,0.70,1.44,23.91,3.94,2.46,5.65,0.042,0.099,187,0.103,0.916,0.073,0.000,0.011,36586,13172,7,0.257,0.009,0.275,1973828,0.188,0.132,0.018,161.19,20474,21,3.73,0.899,0.009
100000,811,4.548,0.074,9.85,60175,44576,12,15594,4,629,1598892.0,62073.6,0.002,0.214,0.245,0.282,0.258,2397,63.75,1.11,31.78,9.59,6.34,9.24,0.36,1.01,25.27,2.73,5.71,8.31,0.099,0.144,119,0.313,0.831,0.157,0.000,0.012,38386,14712,5,0.313,0.173,0.195,1791024,0.133,0.135,0.023,160.68,21459,32,3.98,0.861,0.000
