step,lineage,size,hard,muscle,sensor,digestive,attack,bodies,age,plant,meat
30000,16,112,43.9,0.1,0.1,18.8,0.1,21,273,59.98,0.00
31000,22,514,37.1,0.2,1.6,24.9,0.2,146,167,41.71,0.04
31000,16,79,40.8,0.0,0.5,18.7,0.0,21,276,61.52,0.02
31000,21,78,27.3,16.8,0.0,19.9,16.4,10,68,16.98,5.36
31000,25,43,37.3,0.6,1.2,24.9,0.3,15,129,32.35,0.00
32000,22,471,36.7,0.4,1.1,25.6,0.2,154,144,35.48,0.03
32000,16,86,37.3,0.5,0.2,22.7,0.2,21,155,36.71,0.00
32000,21,69,26.8,17.0,0.0,20.2,17.0,6,76,16.52,6.23
32000,25,43,37.1,0.3,0.3,26.3,0.3,12,115,27.38,0.00
33000,22,513,36.6,0.7,1.1,25.5,0.7,132,152,37.48,0.20
33000,16,98,38.8,0.2,0.6,23.0,0.1,21,134,31.01,0.00
33000,21,65,26.3,17.3,0.7,19.3,16.6,7,84,19.89,7.86
33000,28,32,41.8,0.0,0.0,22.0,0.0,10,96,23.37,0.00
33000,25,22,38.1,0.0,0.0,25.9,0.0,5,163,38.02,0.00
34000,22,563,35.9,1.1,1.3,25.4,1.1,158,158,38.51,0.22
34000,16,202,37.6,0.7,0.3,23.6,0.4,56,158,36.09,0.16
34000,28,27,42.8,0.0,0.0,21.2,0.0,7,155,36.23,0.00
34000,29,23,33.6,0.1,3.2,25.5,0.1,9,144,34.91,0.00
34000,21,21,24.8,17.4,0.0,20.5,16.0,3,55,11.19,10.02
35000,22,443,37.2,0.8,1.0,24.6,0.8,130,148,35.96,0.31
35000,16,254,37.9,0.1,0.3,22.6,0.1,66,156,35.21,0.01
35000,28,86,40.5,0.3,0.0,22.9,0.1,28,139,32.19,0.05
35000,21,42,24.9,18.8,0.0,20.3,18.8,3,82,17.82,5.59
35000,29,7,31.9,0.0,5.1,27.0,0.0,2,161,37.68,0.00
36000,22,444,35.7,1.6,0.7,25.4,1.4,130,164,39.21,0.48
36000,16,248,37.9,0.1,0.4,21.1,0.1,71,202,44.81,0.00
36000,28,91,39.6,0.2,0.0,23.8,0.1,25,135,31.50,0.00
37000,22,465,34.0,3.2,0.7,25.8,3.2,132,164,38.89,0.96
37000,16,258,37.5,1.6,0.2,22.2,1.5,62,171,38.19,0.94
37000,28,62,38.4,0.1,1.0,24.4,0.1,17,148,34.25,0.00
38000,22,405,34.6,3.8,0.9,24.4,3.7,123,203,46.55,1.31
38000,16,277,38.3,0.1,0.1,23.3,0.1,79,199,45.46,0.00
38000,28,66,40.4,0.1,0.0,22.7,0.1,19,146,34.50,0.00
39000,22,407,33.5,4.2,0.7,25.4,3.9,95,197,45.46,1.95
39000,16,274,37.8,0.0,0.2,22.4,0.0,62,168,37.13,0.00
39000,28,30,38.1,0.0,0.0,25.9,0.0,7,175,39.56,0.00
40000,22,315,34.5,1.0,1.0,27.4,1.0,85,219,50.96,0.02
40000,16,141,37.0,0.0,0.1,20.7,0.0,41,221,45.79,0.00
40000,35,128,34.9,0.0,0.4,17.6,0.0,39,338,64.68,0.00
40000,28,20,39.5,0.0,0.0,22.5,0.0,8,200,43.85,0.00
41000,35,163,34.4,0.0,0.9,17.5,0.0,40,321,59.47,0.00
41000,22,144,33.6,0.3,0.2,29.4,0.3,37,166,38.87,0.03
41000,16,138,36.4,0.0,0.3,20.2,0.0,32,261,53.68,0.02
41000,28,8,40.2,0.0,0.0,21.5,0.0,2,334,69.82,0.00
42000,16,242,35.8,0.0,0.1,20.4,0.0,58,195,39.97,0.00
42000,22,206,33.9,1.2,0.9,28.0,1.2,43,194,45.05,0.17
42000,35,166,33.9,0.0,0.7,17.4,0.0,45,309,56.57,0.00
42000,28,14,40.4,0.0,0.0,20.3,0.0,3,229,50.89,0.00
43000,16,230,36.4,0.0,0.2,19.8,0.0,68,219,45.03,0.00
