step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority
240000,858,4.659,0.071,17.12,55203,47490,19,7711,0,372,1631462.2,58599.6,0.039,0.155,0.209,0.247,0.350,1132,63.95,0.47,44.02,6.88,1.25,5.10,0.12,0.58,18.56,4.95,1.25,5.10,0.020,0.080,113,0.172,0.959,0.030,0.000,0.010,36132,16043,6,0.402,0.042,0.043,619317,0.165,0.131,0.020,161.89,27024,27,7.60,0.871,0.015
250000,867,4.642,0.080,17.03,57619,47233,21,10356,0,435,1632666.0,75187.6,0.052,0.162,0.212,0.233,0.341,1226,63.96,0.57,45.15,6.30,1.63,5.89,0.00,0.00,17.18,3.14,1.63,5.89,0.025,0.092,83,0.240,0.946,0.042,0.000,0.013,38402,17424,5,0.386,0.140,0.000,231303,0.217,0.142,0.026,161.67,26839,25,7.26,0.875,0.014
260000,874,4.643,0.074,16.79,54658,45883,16,8752,0,353,1637406.6,53339.3,0.048,0.161,0.210,0.232,0.349,1286,63.98,0.48,44.20,7.36,2.38,7.05,0.00,0.03,17.39,3.36,2.35,6.96,0.037,0.110,99,0.181,0.936,0.053,0.000,0.011,35985,15574,6,0.336,0.106,0.001,10298,0.172,0.135,0.023,161.83,25707,18,6.09,0.888,0.033
270000,858,4.585,0.062,17.28,52826,43305,62,9474,1,381,1643230.8,57485.2,0.045,0.160,0.223,0.231,0.340,1354,63.98,0.33,44.87,6.39,1.68,5.97,0.00,0.03,17.43,3.26,1.67,5.95,0.026,0.093,75,0.417,0.944,0.044,0.000,0.012,35928,14654,6,0.351,0.000,0.001,6755,0.162,0.124,0.017,162.09,24460,18,6.07,0.888,0.019
280000,882,4.648,0.069,17.20,54301,44878,46,9353,0,318,1638904.9,54051.4,0.052,0.164,0.229,0.230,0.325,1213,63.97,0.43,44.72,6.16,1.87,6.31,0.00,0.03,17.39,1.92,1.84,6.21,0.029,0.099,76,0.339,0.938,0.053,0.000,0.009,37721,15878,5,0.364,0.012,0.001,7254,0.133,0.128,0.019,161.81,25782,16,5.78,0.908,0.026
290000,841,4.734,0.065,17.45,53972,44555,46,9412,0,393,1642963.0,52169.2,0.052,0.166,0.228,0.232,0.321,1214,64.00,0.08,45.06,5.85,1.67,5.97,0.02,0.52,17.25,1.64,1.67,5.97,0.026,0.093,58,0.352,0.941,0.048,0.000,0.012,38346,16353,4,0.364,0.006,0.001,10337,0.182,0.131,0.020,161.82,26910,14,5.54,0.931,0.013
300000,834,4.673,0.063,17.29,55108,44746,46,10323,0,336,1630923.4,53717.7,0.062,0.160,0.205,0.237,0.336,1182,63.97,0.44,44.64,6.47,2.09,6.58,0.00,0.00,17.24,2.08,2.09,6.58,0.033,0.103,69,0.321,0.929,0.060,0.000,0.011,40152,16834,4,0.442,0.010,0.000,16072,0.166,0.129,0.020,161.04,27231,12,5.20,0.941,0.006
310000,864,4.644,0.068,17.52,52124,44520,63,7511,0,261,1639862.5,44800.3,0.049,0.153,0.207,0.245,0.347,1139,63.97,0.58,44.06,7.05,1.88,6.32,0.00,0.10,18.03,4.15,1.85,6.22,0.029,0.099,108,0.366,0.934,0.049,0.000,0.017,35850,14871,5,0.316,0.111,0.001,25051,0.179,0.133,0.021,161.97,25273,17,5.96,0.906,0.020
320000,856,4.649,0.061,16.75,56336,47296,34,9014,0,394,1636660.1,58742.0,0.051,0.147,0.206,0.250,0.346,1126,63.96,0.45,42.27,8.43,2.38,6.98,0.11,0.45,19.21,6.26,2.38,6.98,0.037,0.109,128,0.229,0.929,0.061,0.000,0.011,39616,15193,5,0.401,0.221,0.054,132080,0.188,0.124,0.017,161.67,27416,20,6.52,0.893,0.023
330000,872,4.580,0.061,16.66,55799,45368,47,10368,0,368,1639192.8,72486.6,0.053,0.164,0.216,0.236,0.331,1285,63.95,0.66,43.00,9.53,2.09,6.60,0.28,1.48,18.57,6.66,2.09,6.60,0.033,0.103,126,0.179,0.923,0.061,0.000,0.016,39818,15124,7,0.237,0.036,0.057,383088,0.195,0.126,0.019,161.79,26901,24,6.99,0.882,0.021
