step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth
160000,3705,4.194,0.160,10.55,219666,73592,1556,142610,1787,6707,6173611.0,332278.2,0.006,0.184,0.303,0.328,0.178,767,57.84,14.52,37.94,16.06,3.89,7.85,0.28,1.49,15.72,3.55,3.71,7.58,0.067,0.132,446,0.173,0.778,0.204,0.000,0.019,63872,31602,5,0.368,0.041,0.125,3669849,0.087,0.128,0.017,655.34
170000,3809,3.985,0.165,10.91,275618,72964,1404,199324,1822,6000,6170751.5,430179.2,0.005,0.164,0.321,0.366,0.144,640,53.94,18.29,32.91,17.81,5.41,9.20,0.30,1.34,15.32,4.23,5.11,8.79,0.091,0.152,454,0.125,0.737,0.241,0.000,0.022,83239,44907,5,0.310,0.167,0.145,5121227,0.086,0.136,0.024,655.34
180000,3892,3.985,0.161,10.26,280591,75590,1423,201151,2344,5379,6154388.5,427826.4,0.007,0.165,0.336,0.350,0.142,636,52.34,20.62,32.47,18.21,4.98,9.10,0.26,1.67,14.63,4.09,4.92,9.00,0.078,0.143,478,0.149,0.705,0.275,0.000,0.020,86412,47722,4,0.256,0.277,0.083,4227434,0.085,0.129,0.018,655.34
190000,3725,4.045,0.164,10.80,342463,78594,1190,260878,1968,3115,6114652.0,515397.1,0.011,0.142,0.362,0.368,0.118,568,53.75,18.86,31.99,17.38,6.43,10.06,0.21,1.32,15.11,3.67,6.37,10.01,0.101,0.158,425,0.189,0.650,0.327,0.000,0.022,111961,64517,6,0.277,0.023,0.075,3036350,0.102,0.131,0.021,655.34
200000,3963,3.863,0.160,10.57,342811,78241,1135,262059,1138,2919,6123331.5,518803.7,0.011,0.142,0.364,0.367,0.116,531,50.97,20.61,30.84,18.31,5.23,9.58,0.24,1.73,14.65,4.01,5.17,9.46,0.082,0.150,469,0.207,0.702,0.275,0.000,0.023,108849,61942,5,0.294,0.002,0.063,2457514,0.100,0.130,0.019,655.34
210000,3807,4.045,0.160,10.76,346307,79592,1183,264483,1205,2733,6112160.0,511915.0,0.011,0.136,0.381,0.365,0.107,557,53.28,19.26,31.54,17.84,6.57,10.46,0.23,1.49,14.93,3.20,6.53,10.41,0.103,0.164,373,0.256,0.641,0.338,0.000,0.021,108960,61988,6,0.277,0.076,0.084,2506158,0.099,0.127,0.016,655.35
220000,3689,4.129,0.163,10.95,326018,82955,1173,240919,1089,2556,6140491.0,458071.3,0.011,0.145,0.379,0.352,0.114,594,55.93,17.55,35.26,17.10,5.38,9.75,0.25,1.82,15.05,3.42,5.35,9.73,0.085,0.153,355,0.274,0.694,0.287,0.000,0.019,102732,58495,5,0.307,0.111,0.061,2281949,0.101,0.129,0.018,655.34
230000,4215,3.686,0.150,10.39,319718,82706,1225,234256,1005,2793,6183473.5,447507.8,0.010,0.148,0.375,0.349,0.118,607,49.28,20.93,29.77,18.88,4.41,9.14,0.21,1.40,14.90,4.12,4.28,8.98,0.070,0.144,587,0.228,0.753,0.217,0.000,0.030,100442,55442,5,0.242,0.320,0.050,1645538,0.111,0.123,0.013,655.34
240000,3786,3.987,0.162,10.92,329659,83219,1247,244087,1535,2543,6176923.5,461228.0,0.010,0.137,0.375,0.368,0.110,588,53.69,19.30,32.88,17.99,5.52,9.92,0.22,1.63,15.06,3.78,5.46,9.83,0.087,0.157,468,0.297,0.705,0.270,0.000,0.024,104631,58641,7,0.272,0.090,0.044,1093271,0.120,0.129,0.018,655.34
250000,3970,3.857,0.159,10.70,325693,81509,1159,241351,1490,2789,6166702.0,448948.4,0.009,0.145,0.378,0.350,0.118,559,52.14,20.38,31.72,18.12,5.60,9.98,0.13,1.04,14.69,3.82,5.53,9.89,0.088,0.156,468,0.244,0.693,0.284,0.000,0.023,103770,57663,6,0.257,0.035,0.044,1611793,0.109,0.130,0.020,655.34
260000,3713,4.045,0.165,10.89,328077,80693,1123,244824,1694,2434,6211565.0,464860.6,0.008,0.146,0.378,0.350,0.119,596,54.91,17.96,33.10,17.32,6.36,10.41,0.17,1.64,15.28,3.43,6.28,10.34,0.100,0.163,394,0.249,0.665,0.308,0.000,0.027,102309,57025,7,0.301,0.037,0.055,1457680,0.109,0.132,0.020,655.34
270000,3936,3.913,0.155,10.79,324829,81767,1128,240384,1327,2423,6155213.0,459590.3,0.007,0.141,0.381,0.360,0.111,588,52.64,19.95,32.04,18.05,5.74,9.98,0.29,1.68,14.57,3.53,5.60,9.85,0.091,0.158,444,0.216,0.667,0.303,0.000,0.030,102520,59656,7,0.291,0.011,0.100,3580107,0.101,0.124,0.014,655.34
280000,3654,4.163,0.163,11.25,321117,83505,1219,234793,1882,3166,6181047.5,453027.3,0.007,0.137,0.395,0.360,0.101,579,57.05,16.15,36.09,16.44,5.47,9.83,0.29,1.86,15.21,3.09,5.43,9.78,0.086,0.155,341,0.274,0.687,0.294,0.000,0.020,99622,56626,7,0.390,0.004,0.100,4324310,0.099,0.130,0.019,655.34
290000,3882,3.845,0.157,11.11,328718,83212,1238,242199,1841,3395,6100760.0,457694.1,0.006,0.131,0.380,0.381,0.101,567,52.88,19.89,32.87,17.94,5.24,9.67,0.25,1.71,14.51,4.20,5.09,9.52,0.084,0.154,466,0.265,0.691,0.287,0.000,0.022,106283,62410,6,0.368,0.044,0.085,3923864,0.097,0.126,0.016,655.35
300000,3759,4.036,0.161,11.02,313028,84399,1283,226138,1331,3282,6199688.0,423251.4,0.006,0.139,0.382,0.373,0.101,556,54.82,17.74,35.39,17.29,4.27,8.72,0.17,1.17,14.99,3.67,4.17,8.57,0.068,0.137,480,0.275,0.699,0.275,0.000,0.026,100205,58093,5,0.402,0.018,0.092,3679536,0.095,0.127,0.017,655.35
