step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth
10000,3419,4.380,0.166,7.94,228530,106601,215,123725,635,8364,6419934.0,371202.6,0.020,0.211,0.284,0.328,0.158,603,63.66,3.79,44.05,8.23,1.68,5.76,0.08,1.61,17.85,4.09,1.57,5.40,0.026,0.090,283,0.425,0.933,0.056,0.000,0.011,63518,30805,5,0.571,0.039,0.006,911598,0.169,0.134,0.022,651.69
20000,3659,4.059,0.156,9.84,233195,84898,851,144662,2544,7302,6035856.5,274963.0,0.009,0.161,0.290,0.325,0.214,502,56.85,16.68,35.16,15.34,3.92,7.90,0.06,0.73,17.70,4.50,3.62,7.39,0.066,0.133,418,0.344,0.780,0.199,0.000,0.022,71483,38897,5,0.568,0.039,0.016,464879,0.148,0.130,0.020,655.32
30000,3723,4.057,0.151,9.45,235031,98251,575,134384,1757,8031,6084096.0,258142.9,0.006,0.147,0.320,0.321,0.206,515,56.97,16.28,34.36,13.49,2.96,6.91,0.10,1.22,19.55,5.35,2.69,6.36,0.052,0.126,549,0.103,0.806,0.171,0.000,0.023,68550,38266,4,0.562,0.059,0.014,760558,0.150,0.127,0.018,655.33
40000,3761,4.039,0.156,9.95,241843,94435,512,145102,1756,7939,6126860.0,288214.1,0.005,0.159,0.321,0.300,0.215,488,55.33,18.25,33.94,15.45,3.38,7.60,0.10,1.01,17.90,4.60,3.13,7.07,0.055,0.125,541,0.140,0.800,0.172,0.000,0.028,68373,36038,4,0.564,0.080,0.024,695964,0.163,0.131,0.021,655.29
50000,3644,4.130,0.154,10.27,244191,100906,522,141243,1637,3231,6150916.5,264570.9,0.005,0.149,0.344,0.313,0.188,460,57.94,15.72,35.94,13.98,3.39,7.39,0.06,0.71,18.56,4.38,3.18,6.92,0.053,0.116,515,0.215,0.797,0.183,0.000,0.020,72024,38309,4,0.618,0.057,0.013,679587,0.120,0.127,0.017,655.32
60000,3842,3.948,0.147,10.59,239749,100858,718,136126,1849,2896,6120540.5,260763.4,0.006,0.135,0.362,0.314,0.183,513,54.29,18.03,32.57,14.90,3.12,7.06,0.07,0.68,18.53,5.13,2.92,6.58,0.052,0.112,638,0.144,0.809,0.170,0.000,0.021,68933,35162,7,0.545,0.081,0.022,463063,0.126,0.125,0.016,655.34
70000,3699,4.166,0.149,10.32,240671,100824,791,137142,2057,2774,6083704.5,265136.6,0.005,0.122,0.368,0.327,0.178,548,57.35,15.97,35.28,13.69,2.63,6.34,0.04,0.65,19.41,5.02,2.47,5.91,0.043,0.103,500,0.207,0.806,0.173,0.000,0.021,68726,33930,5,0.623,0.009,0.008,310834,0.124,0.125,0.015,655.34
80000,3772,3.964,0.149,10.36,272151,98483,684,169721,3190,5393,6089757.5,316831.5,0.004,0.146,0.346,0.299,0.205,519,55.76,18.12,33.82,16.07,3.45,7.53,0.10,1.52,18.38,4.33,3.18,6.99,0.057,0.125,525,0.217,0.765,0.216,0.000,0.018,80322,42142,4,0.542,0.138,0.015,352828,0.127,0.125,0.016,655.30
90000,3912,3.984,0.147,10.37,274713,98722,675,172441,2735,4650,6052391.0,304922.7,0.003,0.155,0.345,0.291,0.206,585,53.85,19.99,32.10,16.44,3.36,7.44,0.05,0.70,18.35,4.97,3.08,6.89,0.055,0.123,569,0.122,0.785,0.190,0.000,0.025,82523,44267,4,0.556,0.050,0.015,763350,0.101,0.124,0.014,655.33
100000,3706,4.106,0.147,10.42,275785,95017,636,178213,2125,5977,6103415.5,329975.9,0.004,0.155,0.333,0.303,0.206,546,56.83,16.52,35.04,14.20,3.22,7.10,0.03,0.71,18.54,4.43,3.03,6.67,0.052,0.115,481,0.290,0.800,0.181,0.000,0.019,79910,40824,6,0.602,0.002,0.009,750450,0.100,0.123,0.014,655.32
110000,3662,4.184,0.150,10.43,250817,97493,760,150152,2456,3279,6084093.0,284616.1,0.003,0.137,0.345,0.319,0.196,689,57.03,16.17,34.49,14.14,3.37,7.30,0.07,0.82,19.10,4.44,3.09,6.69,0.055,0.120,495,0.136,0.795,0.187,0.000,0.018,70126,34477,4,0.594,0.031,0.034,782516,0.090,0.126,0.016,655.33
120000,3824,3.978,0.150,10.32,245681,97252,767,145129,2371,3746,6105597.5,279827.8,0.003,0.141,0.339,0.325,0.192,743,55.05,17.84,34.00,14.46,2.66,6.43,0.07,0.80,18.32,5.02,2.51,6.07,0.043,0.103,582,0.131,0.820,0.161,0.000,0.019,69333,34050,4,0.581,0.099,0.017,1134488,0.080,0.127,0.017,655.33
130000,3756,4.077,0.150,10.43,273247,96451,772,172636,3456,4518,6106145.0,315518.9,0.004,0.149,0.331,0.323,0.194,702,56.70,17.17,35.89,14.60,2.61,6.51,0.05,0.70,18.14,4.88,2.46,6.16,0.044,0.110,432,0.292,0.823,0.159,0.000,0.017,83536,44803,5,0.628,0.102,0.012,706121,0.086,0.124,0.015,655.33
140000,3912,3.859,0.145,10.28,262226,97637,936,160657,2840,4127,6057052.5,300746.3,0.005,0.142,0.340,0.326,0.186,758,53.43,19.81,32.12,16.29,3.66,7.68,0.06,0.73,17.60,4.86,3.43,7.18,0.058,0.122,507,0.249,0.782,0.200,0.000,0.018,76641,40951,5,0.518,0.001,0.020,575870,0.100,0.123,0.014,655.34
150000,3653,4.183,0.147,10.45,243632,98757,839,141796,2499,4551,6028365.0,265012.7,0.003,0.142,0.341,0.326,0.187,734,57.59,15.45,34.94,12.82,3.37,7.15,0.12,0.91,19.16,4.91,3.19,6.73,0.054,0.115,519,0.128,0.783,0.201,0.000,0.016,67556,33757,4,0.532,0.062,0.054,1071948,0.076,0.122,0.013,655.34
160000,3637,4.250,0.151,10.35,234748,100360,734,131334,2336,3625,6103856.0,257243.0,0.003,0.127,0.358,0.335,0.176,824,58.51,14.35,36.21,12.39,2.93,6.69,0.12,0.63,19.25,4.73,2.77,6.25,0.047,0.107,478,0.134,0.809,0.175,0.000,0.016,63556,29355,5,0.612,0.051,0.092,2797037,0.064,0.126,0.016,655.34
170000,4048,3.805,0.149,10.42,259551,95490,709,159408,3533,4446,6089826.0,315345.4,0.003,0.151,0.327,0.315,0.204,750,51.29,22.37,30.28,18.48,3.51,7.39,0.10,1.22,17.40,5.25,3.20,6.95,0.065,0.136,578,0.198,0.797,0.182,0.000,0.021,72810,35351,7,0.512,0.080,0.028,2277680,0.071,0.127,0.018,655.31
180000,3539,4.341,0.155,10.96,260733,95528,750,161300,3664,5219,6143467.0,298333.3,0.003,0.132,0.355,0.333,0.176,687,58.95,13.60,35.98,13.73,4.21,7.96,0.05,0.64,18.71,4.24,3.78,7.26,0.074,0.139,426,0.271,0.778,0.203,0.000,0.019,78924,40713,6,0.605,0.028,0.017,1025126,0.098,0.128,0.017,655.33
190000,3815,4.029,0.144,10.86,261129,94078,827,163856,2092,5367,6110250.0,337294.8,0.002,0.180,0.352,0.309,0.158,645,55.16,17.11,33.89,15.20,2.99,6.24,0.06,0.60,18.23,4.57,2.92,6.03,0.052,0.108,655,0.291,0.791,0.186,0.000,0.022,75732,35166,6,0.549,0.083,0.037,1421199,0.077,0.120,0.012,655.34
200000,3894,4.057,0.157,10.76,270269,95038,881,172312,1959,4946,6112422.5,346806.2,0.003,0.192,0.336,0.309,0.159,630,53.99,18.82,32.86,16.39,3.12,6.52,0.18,1.17,17.83,5.28,2.91,6.18,0.055,0.114,768,0.256,0.767,0.210,0.000,0.023,78113,37159,6,0.519,0.146,0.078,2315042,0.065,0.137,0.026,655.34
210000,3412,4.472,0.162,11.33,217233,88262,758,128014,681,3507,6356247.0,296677.8,0.002,0.167,0.345,0.311,0.176,695,62.65,3.01,41.48,10.17,3.19,7.36,0.01,0.28,17.97,3.62,2.92,6.74,0.056,0.129,389,0.124,0.882,0.104,0.000,0.014,57554,25095,2,0.785,0.022,0.003,1756310,0.066,0.133,0.022,655.23
220000,3643,4.159,0.157,11.30,313052,80663,936,226531,4691,9426,6009268.5,440063.2,0.007,0.213,0.279,0.239,0.262,487,56.71,16.12,35.50,15.83,3.80,7.41,0.10,1.04,17.31,4.31,3.44,6.72,0.068,0.132,577,0.133,0.786,0.197,0.000,0.017,108965,64267,3,0.652,0.089,0.032,898575,0.111,0.129,0.018,655.31
230000,3677,4.261,0.153,12.32,199100,88494,887,107928,1757,3456,6046733.0,231470.5,0.003,0.180,0.294,0.257,0.266,701,58.02,9.55,35.73,11.11,4.04,7.92,0.06,0.89,18.19,4.11,3.63,7.04,0.070,0.138,700,0.139,0.832,0.154,0.000,0.014,57520,28231,5,0.526,0.041,0.016,1164329,0.083,0.130,0.019,655.33
240000,3480,4.394,0.165,11.71,217432,82425,774,132663,1767,4231,6192673.5,305263.0,0.001,0.189,0.286,0.265,0.259,667,61.01,5.92,38.78,11.46,4.73,8.67,0.03,0.47,17.47,3.52,4.22,7.67,0.081,0.149,540,0.153,0.840,0.149,0.000,0.011,60801,28030,3,0.598,0.014,0.005,517641,0.099,0.136,0.023,655.30
250000,3588,4.337,0.154,11.17,241262,84795,793,152810,2756,4204,6011008.5,322318.8,0.002,0.192,0.327,0.251,0.228,549,58.71,12.70,37.67,13.62,3.37,7.30,0.06,0.55,17.61,4.17,3.03,6.52,0.059,0.128,625,0.104,0.814,0.172,0.000,0.014,71308,34320,7,0.693,0.020,0.037,674777,0.076,0.126,0.016,655.31
260000,3750,4.142,0.149,11.85,208573,87781,914,117935,1781,2666,6113136.5,255849.5,0.002,0.170,0.340,0.279,0.209,725,55.52,14.69,34.18,14.49,3.84,7.82,0.10,0.73,17.40,4.08,3.42,6.96,0.069,0.140,643,0.164,0.808,0.180,0.000,0.011,56161,23092,3,0.514,0.031,0.047,2058489,0.061,0.124,0.015,655.34
270000,3652,4.145,0.162,11.19,212038,86535,716,123563,1322,4239,6240545.0,295753.6,0.001,0.206,0.322,0.236,0.236,688,56.35,16.44,34.99,16.36,4.95,8.75,0.02,0.46,16.40,4.14,4.43,7.90,0.088,0.155,515,0.172,0.797,0.186,0.000,0.017,56916,23899,4,0.571,0.048,0.004,964825,0.070,0.136,0.024,655.27
280000,3719,4.093,0.163,11.29,273785,73391,793,195824,3710,7476,6075632.5,421259.4,0.003,0.230,0.302,0.209,0.256,545,55.81,16.64,33.54,17.45,6.65,9.66,0.03,0.64,15.59,3.23,6.11,8.97,0.117,0.171,337,0.220,0.740,0.246,0.000,0.014,89070,50476,5,0.384,0.181,0.008,333598,0.124,0.137,0.025,655.07
290000,3792,4.036,0.161,11.06,328247,66480,1208,253785,6701,9473,6058179.5,485060.8,0.004,0.246,0.290,0.186,0.275,537,53.96,18.27,31.62,18.45,6.41,9.32,0.12,0.93,15.81,3.82,5.70,8.51,0.116,0.168,408,0.204,0.756,0.230,0.000,0.014,114851,70941,7,0.326,0.040,0.033,355797,0.113,0.134,0.022,655.24
300000,3875,3.936,0.160,11.17,330752,67529,1149,257078,4913,10107,6098059.5,504265.5,0.005,0.266,0.266,0.166,0.297,448,51.85,20.03,29.48,18.80,6.99,9.70,0.06,0.69,15.32,4.46,6.29,8.80,0.124,0.172,440,0.199,0.727,0.253,0.000,0.019,121427,76171,5,0.345,0.291,0.019,619283,0.105,0.134,0.022,655.27
310000,4019,3.814,0.154,10.63,387202,69599,1026,309732,6701,7892,6023216.5,582362.0,0.003,0.286,0.259,0.160,0.293,444,49.73,21.43,27.16,18.75,6.72,9.35,0.12,1.32,15.72,4.48,6.24,8.80,0.120,0.167,457,0.164,0.717,0.264,0.000,0.019,152957,104050,6,0.370,0.025,0.016,611680,0.117,0.131,0.020,655.24
320000,3524,4.266,0.152,11.14,355033,88624,595,260024,6285,6495,6089314.0,445252.5,0.002,0.229,0.330,0.200,0.238,561,60.29,11.33,38.07,12.61,3.29,7.13,0.26,1.09,18.67,3.60,3.01,6.55,0.058,0.127,481,0.108,0.768,0.215,0.000,0.016,130136,85185,5,0.784,0.013,0.100,1429035,0.101,0.126,0.016,655.32
330000,3707,4.118,0.148,11.03,247769,96841,857,146981,2907,6044,6068858.0,282046.9,0.002,0.139,0.397,0.278,0.183,735,56.94,15.68,34.47,14.86,3.62,7.40,0.19,1.19,18.66,5.21,3.26,6.73,0.067,0.136,510,0.131,0.787,0.193,0.000,0.020,77389,43314,5,0.697,0.006,0.057,3246540,0.100,0.123,0.015,655.34
340000,3688,4.138,0.152,10.80,259239,93468,795,160761,4234,3994,6039262.5,304171.5,0.003,0.161,0.357,0.269,0.210,732,56.20,16.37,34.02,15.51,4.11,7.66,0.19,1.12,17.87,4.89,3.78,7.01,0.072,0.135,548,0.134,0.732,0.248,0.000,0.020,81816,47002,3,0.645,0.027,0.072,2394833,0.105,0.128,0.017,655.33
350000,3785,4.047,0.147,10.70,280064,92181,863,182907,4016,4103,6067987.0,359175.5,0.003,0.137,0.370,0.283,0.206,682,55.33,17.20,33.62,15.74,3.62,7.51,0.16,0.67,17.92,4.88,3.37,7.01,0.063,0.131,508,0.106,0.773,0.210,0.000,0.017,84242,45369,3,0.656,0.027,0.072,2028186,0.102,0.122,0.013,655.33
360000,3824,4.069,0.148,10.77,272235,90012,1002,177039,4143,2867,6054087.0,340608.5,0.003,0.162,0.347,0.269,0.219,765,54.82,17.61,32.28,15.86,4.72,8.12,0.14,0.93,17.68,4.71,4.60,7.95,0.082,0.141,442,0.182,0.750,0.230,0.000,0.020,80733,43958,3,0.590,0.100,0.049,2338836,0.104,0.126,0.016,655.33
370000,3685,4.210,0.149,10.97,271747,89294,830,176891,4871,3365,6026845.5,344890.0,0.003,0.181,0.340,0.262,0.214,742,57.73,15.26,35.61,14.70,3.45,6.95,0.16,1.17,18.51,4.98,3.38,6.82,0.060,0.121,496,0.204,0.790,0.194,0.000,0.016,81282,44680,3,0.626,0.130,0.047,2226203,0.108,0.124,0.014,655.33
380000,3848,3.986,0.149,11.27,207239,85555,826,118176,2519,3910,6033548.0,281602.9,0.002,0.159,0.361,0.286,0.193,804,53.72,18.27,30.52,16.48,5.31,8.13,0.09,0.79,17.80,4.86,5.23,8.09,0.096,0.146,598,0.279,0.767,0.219,0.000,0.015,56099,27682,3,0.520,0.161,0.025,884525,0.117,0.128,0.018,655.17
390000,3856,3.955,0.145,11.43,251803,84425,661,162564,4145,5075,6079301.0,327549.2,0.003,0.257,0.271,0.217,0.252,614,54.60,17.18,32.34,15.49,4.18,7.55,0.04,0.46,18.04,4.71,4.06,7.39,0.076,0.138,598,0.145,0.795,0.189,0.000,0.016,79706,44008,5,0.456,0.140,0.021,463645,0.106,0.124,0.015,655.31
400000,3740,4.112,0.150,13.11,258023,85259,884,168914,3082,4699,5989975.0,330074.9,0.002,0.356,0.174,0.139,0.328,479,54.93,14.37,32.05,13.58,5.17,8.11,0.08,0.50,17.63,4.39,5.10,8.02,0.093,0.146,702,0.126,0.703,0.280,0.000,0.018,80119,44342,3,0.299,0.398,0.045,1499365,0.098,0.127,0.017,655.33
410000,3856,4.058,0.143,13.98,226280,86612,824,137395,1333,4068,5991023.0,290720.0,0.002,0.359,0.188,0.131,0.319,529,54.62,11.40,33.56,11.95,3.68,6.94,0.17,1.13,17.20,3.44,3.59,6.81,0.068,0.128,880,0.137,0.791,0.196,0.000,0.012,66004,33168,3,0.573,0.067,0.079,2051495,0.089,0.119,0.011,655.33
420000,3639,4.151,0.157,12.46,225246,85549,567,137927,1420,4675,6177108.0,323966.7,0.002,0.361,0.170,0.121,0.346,521,57.08,11.87,34.30,13.99,6.05,8.93,0.07,0.59,16.65,3.06,5.92,8.75,0.109,0.160,528,0.229,0.724,0.264,0.000,0.013,61362,30636,5,0.308,0.275,0.030,2187507,0.091,0.132,0.021,655.28
430000,3865,4.019,0.146,12.30,233563,78243,898,151832,2364,4955,6005705.5,314158.3,0.004,0.320,0.217,0.134,0.325,604,53.37,16.04,32.52,15.10,4.86,8.07,0.06,0.65,15.92,3.73,4.75,7.92,0.090,0.151,548,0.205,0.719,0.269,0.000,0.012,71576,39602,8,0.283,0.005,0.016,796233,0.111,0.123,0.014,655.31
440000,3787,4.054,0.144,13.18,196881,86625,876,108411,1047,4302,6020047.0,224768.0,0.004,0.326,0.209,0.124,0.337,635,55.70,11.81,34.33,12.00,3.68,6.99,0.09,0.75,17.58,3.76,3.64,6.92,0.067,0.128,786,0.161,0.771,0.216,0.000,0.013,56466,27760,4,0.395,0.037,0.045,822905,0.099,0.120,0.013,655.33
450000,4018,3.913,0.147,12.52,210939,92491,742,116462,1013,3582,6104324.5,257819.9,0.004,0.333,0.206,0.120,0.337,527,52.61,17.24,31.99,15.12,3.86,7.22,0.06,0.69,16.69,4.37,3.76,7.08,0.072,0.135,829,0.147,0.768,0.213,0.000,0.019,59840,27814,4,0.318,0.146,0.023,1878719,0.083,0.126,0.016,655.33
