step,lineage,size,hard,muscle,sensor,digestive,attack,bodies
5000,1,1293,46.1,0.7,0.1,17.0,0.6,123
5000,2,571,46.4,0.0,0.1,17.4,0.0,84
5000,4,324,23.2,19.8,0.0,18.1,19.4,42
5000,5,73,29.6,14.5,0.0,19.9,14.0,22
5000,12,66,1.7,1.1,0.0,10.3,0.1,26
5000,6,44,20.0,17.7,0.0,16.6,14.7,3
5000,30,13,20.6,7.5,0.0,27.9,6.6,8
6000,1,1429,44.1,1.4,0.1,17.6,1.4,197
6000,2,832,46.0,0.0,0.1,17.8,0.0,116
6000,55,247,45.9,1.3,0.3,16.3,1.1,29
6000,5,183,26.3,14.9,0.1,22.4,13.8,42
6000,4,181,21.4,18.4,0.0,18.8,17.9,15
6000,61,40,5.9,0.6,0.6,10.5,0.0,18
6000,12,34,3.1,1.3,0.0,10.4,0.6,20
6000,6,22,19.1,17.7,0.5,16.0,14.3,2
6000,58,8,0.0,0.0,0.0,11.6,0.0,6
7000,1,1123,42.1,1.2,0.1,16.9,1.1,174
7000,2,910,45.7,0.0,0.1,18.0,0.0,133
7000,55,283,47.1,0.9,0.0,15.7,0.8,24
7000,115,224,35.0,10.3,0.2,18.5,9.1,75
7000,5,214,26.2,15.4,0.0,22.3,13.6,65
7000,4,107,22.4,20.1,0.0,18.0,20.0,12
7000,12,52,2.5,0.1,0.1,11.6,0.0,20
7000,61,11,12.5,0.0,0.0,9.5,0.0,3
8000,1,897,45.0,1.5,0.0,17.1,1.4,133
8000,2,886,45.6,0.0,0.1,18.1,0.0,159
8000,115,444,34.4,11.0,0.6,18.1,10.1,163
8000,55,398,46.8,0.7,0.1,15.8,0.7,33
8000,5,125,27.6,18.1,0.0,18.3,17.7,27
8000,4,20,23.0,22.1,0.0,17.9,21.5,8
8000,132,13,45.8,0.0,0.0,18.2,0.0,3
8000,149,10,29.7,17.9,0.0,16.4,13.9,5
9000,115,642,35.0,11.5,0.4,17.1,10.5,231
9000,2,620,44.9,0.0,0.0,18.7,0.0,143
9000,1,584,45.7,1.3,0.1,16.8,1.3,91
9000,55,455,46.7,0.9,0.3,15.9,0.7,33
9000,5,256,26.2,19.4,0.0,18.4,18.3,41
9000,4,132,24.0,23.9,0.0,15.9,23.0,11
9000,168,66,11.8,0.0,0.4,15.8,0.0,27
9000,164,58,4.2,0.9,0.0,11.4,0.0,25
9000,132,6,46.0,0.0,0.0,18.0,0.0,1
10000,115,701,34.1,12.8,0.1,16.9,11.8,197
10000,55,667,47.0,1.0,0.1,15.7,0.8,51
10000,2,514,46.1,0.0,0.1,17.6,0.0,93
10000,1,473,46.5,0.1,0.0,17.3,0.1,67
10000,5,309,25.6,20.2,0.0,18.1,20.0,30
10000,4,70,23.1,23.7,0.0,16.7,22.7,7
10000,164,27,5.3,0.6,0.4,13.7,0.0,13
10000,198,18,7.6,9.6,0.5,9.4,0.0,13
10000,168,13,16.7,0.0,0.0,12.4,0.0,4
11000,2,831,45.3,0.0,0.1,18.4,0.0,135
11000,55,731,46.5,1.0,0.1,16.3,1.0,36
11000,115,643,35.1,11.7,0.2,16.9,10.9,195
11000,1,417,46.7,0.1,0.0,17.1,0.1,60
11000,5,164,24.7,21.5,0.0,17.6,21.1,16
11000,4,55,24.0,22.9,0.0,16.9,22.9,4
11000,222,5,19.0,9.4,0.0,11.4,5.2,3
12000,115,856,32.1,14.8,0.1,16.9,13.2,174
12000,2,652,45.4,0.0,0.1,18.1,0.0,128
12000,55,534,47.1,1.1,0.0,15.7,1.1,31
12000,1,476,47.4,0.0,0.0,16.6,0.0,61
12000,5,185,25.6,20.6,0.0,17.6,20.4,18
12000,4,62,23.5,24.3,0.0,15.6,23.4,6
12000,259,40,15.1,0.0,0.1,16.7,0.0,20
12000,237,13,22.8,18.4,0.0,22.8,13.8,5
13000,283,814,10.4,1.7,0.0,15.2,0.5,326
13000,2,702,44.7,0.0,0.2,18.8,0.0,132
13000,115,559,32.1,15.2,0.1,16.5,13.1,113
13000,55,507,46.3,1.6,0.3,15.6,1.6,38
13000,1,503,47.3,0.0,0.1,16.6,0.0,62
13000,5,202,24.8,22.0,0.0,17.0,20.8,16
13000,4,81,23.6,23.9,0.0,16.4,23.4,4
13000,259,44,8.9,1.0,0.0,13.4,0.0,22
13000,237,12,34.2,10.0,0.1,19.7,9.2,4
14000,2,828,45.0,0.0,0.1,18.5,0.0,126
14000,1,728,47.7,0.0,0.1,16.2,0.0,54
14000,55,450,46.9,1.2,0.0,15.6,1.2,33
14000,115,389,26.6,21.2,0.0,16.3,18.1,32
14000,259,272,8.8,0.0,0.1,15.4,0.0,99
14000,5,149,24.5,21.5,0.0,17.7,20.4,11
14000,283,115,9.0,0.1,0.0,12.9,0.0,56
14000,4,53,24.0,23.2,0.0,16.5,23.2,5
15000,2,1063,44.3,0.0,0.3,19.0,0.0,188
15000,1,839,47.2,0.0,0.1,16.7,0.0,75
15000,55,455,45.7,1.5,0.1,16.4,1.4,48
15000,115,367,27.1,20.7,0.0,16.2,17.8,31
15000,283,144,10.4,0.8,0.0,13.5,0.0,60
15000,313,105,43.0,4.9,0.2,15.0,4.8,19
15000,259,58,10.1,0.0,0.0,11.9,0.0,19
15000,4,34,24.0,23.5,0.0,16.2,23.1,4
15000,5,8,24.6,20.4,0.0,18.9,17.1,3
15000,319,5,12.0,12.2,0.0,10.4,0.0,3
16000,2,1204,43.4,0.0,0.4,19.7,0.0,219
16000,1,618,46.7,0.1,0.2,17.1,0.1,70
16000,115,428,26.6,21.4,0.0,16.0,18.4,38
16000,55,428,45.2,1.8,0.1,16.7,1.8,46
16000,313,119,42.8,6.0,0.0,14.9,6.0,26
16000,283,56,11.4,0.3,0.4,12.0,0.0,26
16000,4,50,23.6,23.7,0.0,16.4,23.0,4
16000,5,8,29.0,13.8,0.0,21.2,13.8,3
17000,2,1218,44.1,0.0,0.4,19.0,0.0,216
17000,1,925,47.3,0.0,0.1,16.6,0.0,79
17000,115,437,26.6,21.2,0.0,16.1,19.0,31
17000,55,379,46.2,1.4,0.0,16.0,1.4,35
17000,4,66,23.9,23.7,0.0,16.2,23.7,2
17000,332,49,15.7,0.5,0.0,12.8,0.2,22
17000,313,41,44.2,4.7,0.0,15.0,4.7,8
18000,2,1113,44.0,0.0,0.3,19.0,0.0,198
18000,1,986,47.3,0.0,0.1,16.6,0.0,91
18000,55,459,46.1,1.6,0.1,16.0,1.6,34
18000,115,439,27.8,20.2,0.0,15.9,18.0,39
18000,313,78,43.4,4.4,0.0,15.4,4.4,9
18000,349,57,2.4,0.6,0.2,10.4,0.0,22
18000,332,40,13.2,0.5,0.0,13.8,0.2,18
18000,4,27,23.5,24.0,0.0,16.4,22.7,3
18000,342,16,45.6,0.0,0.0,18.4,0.0,7
19000,2,1177,44.6,0.0,0.3,18.6,0.0,198
19000,115,718,27.0,20.9,0.0,16.1,18.6,54
19000,1,714,47.6,0.0,0.1,16.3,0.0,66
19000,55,393,45.6,1.7,0.3,16.1,1.7,39
19000,349,125,10.8,0.1,0.1,14.9,0.0,36
19000,313,81,44.2,4.6,0.0,15.0,4.6,11
19000,4,38,24.3,22.7,0.0,17.0,22.7,4
19000,332,17,14.5,0.0,0.1,13.5,0.0,7
20000,2,1020,44.2,0.0,0.4,18.9,0.0,197
20000,115,861,27.5,20.6,0.0,16.0,18.4,68
20000,1,640,47.5,0.0,0.0,16.4,0.0,58
20000,55,397,45.9,2.0,0.0,16.0,2.0,40
20000,349,90,9.6,0.0,0.0,16.1,0.0,30
20000,313,51,44.2,4.8,0.0,15.0,4.8,5
20000,4,46,23.7,23.9,0.0,16.2,23.7,3
21000,2,928,44.3,0.0,0.4,18.9,0.0,121
21000,115,863,27.2,20.8,0.0,16.0,18.9,61
21000,55,431,45.5,2.2,0.0,16.1,2.2,41
21000,1,320,47.5,0.0,0.1,16.5,0.0,34
21000,349,157,9.8,0.1,0.0,16.8,0.0,69
21000,313,83,44.0,4.3,0.0,15.6,4.3,8
21000,377,80,10.8,0.7,0.0,14.1,0.1,33
21000,4,46,23.1,23.3,0.0,16.9,21.2,11
22000,2,1045,44.6,0.0,0.3,18.7,0.0,163
22000,115,798,27.7,20.6,0.0,15.6,18.4,67
22000,1,689,47.5,0.0,0.1,16.4,0.0,50
22000,349,333,11.9,0.1,0.2,16.7,0.0,131
22000,55,242,45.8,2.0,0.3,15.7,2.0,31
22000,381,240,8.7,1.0,0.0,16.9,0.5,109
22000,4,111,23.9,24.4,0.0,15.5,22.8,13
22000,313,80,43.7,3.3,0.0,16.4,3.3,13
23000,2,1235,44.3,0.0,0.4,18.8,0.0,195
23000,1,732,47.4,0.1,0.0,16.4,0.0,55
23000,115,620,27.1,21.0,0.0,15.9,18.8,41
23000,55,405,45.9,2.0,0.0,16.0,1.9,28
23000,349,309,4.4,0.3,0.0,14.2,0.0,127
23000,381,186,3.5,0.5,0.0,11.1,0.1,68
23000,313,74,44.9,2.8,0.0,16.3,2.8,17
23000,4,43,23.7,23.8,0.0,16.3,23.0,3
23000,389,9,18.6,0.0,0.0,11.6,0.0,4
24000,2,1109,44.3,0.0,0.5,18.8,0.0,177
24000,115,764,26.9,21.2,0.0,15.9,18.9,64
24000,1,645,47.1,0.1,0.2,16.7,0.0,58
24000,55,397,45.5,2.4,0.2,15.6,2.3,39
24000,349,307,5.2,0.4,0.1,12.9,0.1,117
24000,381,158,10.9,0.4,0.0,15.4,0.2,59
24000,313,55,43.4,3.2,0.0,17.5,2.5,14
24000,4,42,24.0,24.9,0.0,15.0,23.0,7
24000,389,31,17.4,0.0,0.0,15.5,0.0,14
25000,115,1072,27.5,20.5,0.0,16.1,18.6,83
25000,1,994,47.9,0.0,0.0,16.0,0.0,59
25000,2,626,45.0,0.1,0.4,18.1,0.1,111
25000,381,336,7.0,0.2,0.1,17.4,0.0,118
25000,55,293,47.7,1.1,0.0,15.0,1.1,33
25000,349,190,4.4,0.2,0.2,12.1,0.0,82
25000,389,34,5.6,1.4,0.0,12.7,1.4,16
25000,313,10,45.0,2.7,0.0,16.3,2.7,4
25000,4,5,24.8,19.4,0.0,19.8,19.4,2
26000,1,1060,47.7,0.1,0.0,16.2,0.1,78
26000,2,744,45.9,0.2,0.4,17.2,0.2,128
26000,115,738,26.7,21.3,0.0,16.0,19.4,50
26000,55,475,47.3,1.2,0.1,15.1,1.2,44
26000,381,261,5.6,0.5,0.0,14.8,0.1,107
26000,389,109,5.5,0.6,0.0,11.3,0.4,50
26000,349,44,6.4,4.9,0.0,8.8,1.8,16
27000,1,1031,47.5,0.1,0.0,16.3,0.1,81
27000,2,651,45.4,0.0,0.6,17.1,0.0,113
27000,115,557,27.2,20.7,0.0,16.1,18.9,44
27000,55,476,47.0,1.5,0.2,15.2,1.5,37
27000,381,411,6.9,1.0,0.0,15.2,0.2,146
28000,1,939,47.1,0.1,0.1,16.6,0.1,71
28000,115,541,26.7,21.1,0.0,16.2,19.4,42
28000,55,469,46.9,2.3,0.1,14.6,2.3,37
28000,381,376,8.1,0.0,0.0,13.1,0.0,139
28000,2,369,45.9,0.0,1.0,16.8,0.0,52
29000,1,695,47.0,0.1,0.0,16.9,0.1,59
29000,115,666,26.1,21.6,0.0,16.2,19.8,46
29000,2,463,45.9,0.0,0.9,16.7,0.0,65
29000,55,425,46.3,2.3,0.4,14.8,2.1,37
29000,381,349,8.3,0.2,0.0,11.6,0.0,147
29000,413,22,12.8,0.7,0.0,18.0,0.0,6
30000,420,724,10.9,0.2,0.1,12.9,0.0,183
30000,1,574,46.7,0.2,0.1,17.0,0.1,55
30000,115,554,26.3,21.6,0.0,16.1,19.4,57
30000,2,494,45.7,0.0,1.0,17.0,0.0,66
30000,55,452,46.7,2.4,0.2,14.6,2.4,35
30000,381,336,6.5,0.2,0.3,13.3,0.0,153
30000,413,47,14.0,1.8,0.0,19.6,0.2,19
31000,420,833,7.2,0.3,0.2,12.3,0.0,206
31000,115,623,25.6,22.1,0.0,16.2,19.9,61
31000,2,525,45.6,0.0,1.1,16.9,0.0,79
31000,55,429,45.9,2.9,0.3,14.5,2.7,43
31000,431,383,46.0,0.0,0.1,17.9,0.0,26
31000,1,365,47.2,0.0,0.0,16.7,0.0,25
31000,381,192,9.3,0.3,0.8,13.4,0.1,71
31000,433,6,47.0,0.0,0.0,17.0,0.0,2
32000,420,959,7.1,0.4,0.1,11.1,0.1,229
32000,115,687,25.9,21.5,0.0,16.6,19.6,64
32000,431,482,45.9,0.1,0.1,17.9,0.1,41
32000,55,458,45.9,2.4,0.4,15.1,2.4,36
32000,2,429,45.8,0.0,1.2,16.7,0.0,72
32000,1,320,47.2,0.0,0.0,16.8,0.0,28
32000,381,229,10.1,0.9,0.3,11.9,0.4,87
32000,439,34,46.2,0.0,0.0,17.8,0.0,5
33000,115,618,25.2,22.1,0.0,16.7,20.1,45
33000,420,561,8.6,0.4,0.2,12.1,0.1,176
33000,431,559,45.9,0.1,0.1,17.9,0.1,50
33000,55,502,46.0,2.2,0.3,15.1,2.2,45
33000,2,465,45.8,0.0,1.1,16.7,0.0,73
33000,1,333,47.0,0.0,0.0,17.0,0.0,26
33000,381,120,11.1,0.2,0.2,11.8,0.1,48
33000,439,42,43.3,0.0,0.0,20.7,0.0,6
33000,433,6,46.0,0.0,0.0,18.0,0.0,1
34000,115,905,25.2,22.2,0.0,16.6,20.2,48
34000,431,718,46.1,0.0,0.2,17.7,0.0,61
34000,2,576,45.8,0.0,1.1,16.6,0.0,113
34000,420,415,6.2,0.2,0.2,12.4,0.0,123
34000,55,334,46.3,1.9,0.5,15.3,1.7,38
34000,1,218,47.1,0.1,0.1,16.7,0.0,24
34000,381,54,7.1,0.0,1.0,16.0,0.0,27
34000,439,19,45.7,0.0,0.0,17.7,0.0,5
34000,433,16,46.6,0.0,0.1,17.2,0.0,4
35000,115,1275,25.7,21.8,0.0,16.4,19.6,64
35000,1,644,48.1,0.0,0.0,15.9,0.0,40
35000,431,507,46.7,0.0,0.2,17.1,0.0,58
35000,2,318,46.0,0.0,1.0,16.6,0.0,59
35000,55,299,47.9,0.9,0.1,15.0,0.9,16
35000,420,235,5.8,0.0,0.0,12.4,0.0,52
35000,439,16,46.7,0.0,0.0,17.3,0.0,6
35000,433,11,46.5,0.0,0.1,17.4,0.0,3
35000,460,6,43.0,0.0,2.7,18.3,0.0,3
36000,420,1175,3.8,0.1,0.4,13.6,0.0,261
36000,115,1056,25.4,22.0,0.0,16.6,19.6,67
36000,1,746,48.1,0.0,0.0,15.9,0.0,37
36000,431,422,47.2,0.1,0.1,16.6,0.1,52
36000,55,341,47.8,0.9,0.0,14.9,0.9,15
36000,2,227,46.2,0.0,1.0,16.6,0.0,47
36000,439,24,46.4,0.0,0.0,17.6,0.0,3
36000,433,10,44.6,0.0,0.0,18.9,0.0,7
37000,115,1077,25.8,21.6,0.0,16.5,19.3,69
37000,420,870,3.5,0.1,0.2,13.4,0.0,181
37000,1,612,48.0,0.0,0.0,16.0,0.0,34
37000,431,537,47.4,0.1,0.1,16.4,0.1,62
37000,55,425,47.4,1.1,0.1,15.3,1.1,30
37000,2,216,46.3,0.1,0.7,16.3,0.1,51
37000,439,29,47.2,0.0,0.0,16.8,0.0,7
38000,115,899,25.7,21.7,0.0,16.5,19.3,62
38000,420,757,4.2,0.1,0.4,11.8,0.0,154
38000,431,619,47.2,0.1,0.1,16.5,0.1,65
38000,1,584,48.2,0.0,0.0,15.8,0.0,34
38000,55,544,47.2,1.4,0.1,15.2,1.4,43
38000,2,195,46.0,0.0,0.9,16.6,0.0,45
38000,439,8,47.0,0.0,0.0,16.6,0.0,2
39000,115,857,25.1,22.1,0.0,16.7,19.6,47
39000,431,644,47.0,0.1,0.2,16.7,0.1,72
39000,1,597,47.9,0.0,0.0,16.0,0.0,35
39000,55,559,47.3,2.0,0.1,14.5,2.0,47
