step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth
170000,213,4.378,0.096,10.58,13529,9845,1,3673,0,119,395114.1,12933.3,0.039,0.285,0.161,0.233,0.283,7241,64.00,0.00,43.84,7.78,3.05,7.81,0.00,0.00,17.11,2.86,2.92,7.48,0.048,0.122,30,0.582,0.892,0.103,0.000,0.005,8572,5364,3,0.723,0.000,0.000,2112,0.232,0.166,0.042,39.39
180000,207,4.565,0.100,10.40,13850,9841,1,4014,0,123,393091.2,14287.6,0.040,0.273,0.149,0.240,0.298,6950,64.00,0.00,41.44,9.62,5.54,9.92,0.00,0.00,17.02,3.04,5.29,9.49,0.087,0.155,30,0.512,0.836,0.140,0.000,0.024,8832,5771,3,0.628,0.000,0.000,2598,0.234,0.168,0.039,39.19
190000,201,4.590,0.100,10.45,13622,9886,0,3742,0,148,393867.6,13163.6,0.040,0.273,0.153,0.236,0.298,6917,64.00,0.07,40.94,9.67,4.97,9.56,0.00,0.00,18.09,4.77,4.75,9.16,0.078,0.149,29,0.488,0.826,0.144,0.000,0.030,8750,5770,3,0.627,0.000,0.000,1941,0.207,0.179,0.053,39.26
200000,197,4.775,0.103,10.40,13676,9787,0,3893,0,129,394406.7,13805.5,0.039,0.270,0.150,0.240,0.301,6984,64.00,0.00,42.09,9.10,4.66,9.33,0.01,0.07,17.24,3.24,4.44,8.91,0.073,0.146,27,0.467,0.868,0.122,0.000,0.010,8877,5823,3,0.599,0.000,0.005,2228,0.230,0.182,0.051,39.32
210000,206,4.709,0.092,10.37,13558,9742,0,3807,0,106,393228.2,13441.3,0.043,0.265,0.152,0.238,0.302,6961,64.00,0.00,41.78,9.37,4.73,9.38,0.00,0.00,17.50,2.53,4.46,8.88,0.074,0.147,23,0.471,0.874,0.126,0.000,0.000,8655,5515,3,0.597,0.000,0.000,2188,0.198,0.166,0.043,39.19
220000,192,4.593,0.113,10.46,13525,9793,1,3745,0,117,393327.1,13214.7,0.041,0.267,0.146,0.242,0.305,6720,63.93,0.87,42.55,8.95,4.07,8.91,0.05,0.65,17.26,3.03,3.85,8.46,0.064,0.139,30,0.490,0.880,0.120,0.000,0.000,8653,5815,3,0.615,0.000,0.005,2646,0.233,0.208,0.068,39.22
230000,203,4.488,0.100,10.53,13500,9807,0,3682,0,92,394243.0,13016.9,0.038,0.275,0.150,0.243,0.294,7291,63.96,0.56,42.06,8.87,3.12,7.87,0.00,0.00,18.77,5.46,2.97,7.54,0.049,0.123,33,0.448,0.916,0.074,0.000,0.010,8643,5895,3,0.685,0.000,0.000,2878,0.248,0.184,0.052,39.30
240000,208,4.604,0.099,10.46,13437,9636,3,3793,0,115,393473.4,13475.6,0.041,0.270,0.149,0.243,0.298,6862,63.99,0.14,41.93,9.28,4.89,9.62,0.00,0.00,17.17,2.14,4.68,9.22,0.076,0.150,21,0.529,0.856,0.125,0.000,0.019,8605,5604,3,0.668,0.000,0.000,2901,0.222,0.169,0.044,39.23
250000,202,4.677,0.097,10.43,13290,9612,2,3682,0,119,394184.9,13176.2,0.037,0.283,0.154,0.243,0.282,7499,64.00,0.00,41.47,9.59,5.43,9.97,0.00,0.00,17.10,2.20,5.21,9.56,0.085,0.156,20,0.475,0.856,0.139,0.000,0.005,8535,5802,3,0.668,0.000,0.000,1177,0.267,0.174,0.046,39.31
260000,207,4.455,0.101,10.45,13329,9685,6,3633,0,107,394078.4,12907.0,0.036,0.282,0.151,0.248,0.283,6953,63.95,0.63,41.68,9.32,5.13,9.81,0.00,0.07,17.14,1.66,4.85,9.28,0.080,0.153,21,0.556,0.879,0.116,0.000,0.005,8466,6042,3,0.657,0.000,0.005,2164,0.213,0.179,0.048,39.30
