step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth
10000,3778,4.101,0.067,9.46,323404,218089,3,106799,800,6043,5933488.5,316931.8,0.071,0.158,0.237,0.318,0.216,451,56.89,17.59,33.18,15.27,2.86,7.12,0.25,1.11,20.60,6.25,2.77,6.87,0.046,0.114,665,0.130,0.881,0.088,0.000,0.030,185013,89193,6,0.612,0.004,0.119,3056525,0.166,0.137,0.023,598.09
20000,3555,4.341,0.061,9.42,260542,188717,23,70864,1161,2582,6272484.0,200330.0,0.040,0.172,0.233,0.312,0.243,466,59.65,14.35,34.85,11.86,3.59,7.59,0.33,1.12,20.87,5.86,3.57,7.56,0.059,0.124,470,0.172,0.856,0.124,0.000,0.019,157709,58263,8,0.398,0.074,0.213,5766634,0.125,0.130,0.021,645.45
30000,3497,4.375,0.062,9.77,267708,192605,21,73676,1464,2480,6321326.5,200682.7,0.036,0.175,0.234,0.305,0.250,420,60.92,12.87,36.07,11.49,3.53,7.65,0.09,0.55,21.23,5.32,3.45,7.52,0.056,0.123,522,0.152,0.872,0.108,0.000,0.019,167136,64254,12,0.169,0.178,0.056,3937695,0.126,0.133,0.022,644.55
40000,3623,4.247,0.057,10.23,265795,186803,27,77699,1140,3055,6338700.0,227628.6,0.036,0.177,0.232,0.309,0.247,418,59.50,15.28,36.28,12.93,2.76,6.88,0.06,0.42,20.40,5.73,2.73,6.77,0.044,0.109,592,0.117,0.895,0.088,0.000,0.017,170606,64580,21,0.130,0.137,0.035,1419676,0.138,0.122,0.016,642.96
50000,3568,4.233,0.053,10.60,255412,185185,34,68969,1279,2302,6357121.0,192717.9,0.035,0.203,0.236,0.285,0.241,392,60.03,14.68,36.24,12.12,2.66,6.85,0.20,1.32,20.93,5.60,2.62,6.74,0.042,0.109,530,0.122,0.895,0.087,0.000,0.018,167877,61000,21,0.156,0.175,0.071,2068827,0.138,0.114,0.014,646.33
60000,3316,4.476,0.060,11.23,271519,183549,39,86825,1358,2916,6457502.5,248384.9,0.028,0.213,0.237,0.282,0.240,411,63.03,5.07,40.05,9.31,3.31,7.73,0.08,0.58,19.59,4.12,3.28,7.65,0.052,0.121,514,0.112,0.883,0.099,0.000,0.018,181899,63846,18,0.178,0.079,0.031,1658559,0.167,0.129,0.019,644.43
70000,3403,4.441,0.057,11.33,233677,177917,91,55303,279,2799,6512409.5,180331.0,0.031,0.235,0.248,0.255,0.231,454,63.10,5.81,40.70,9.61,2.80,7.27,0.06,0.56,19.54,4.67,2.74,7.15,0.044,0.114,475,0.119,0.890,0.088,0.000,0.022,162792,55685,18,0.174,0.094,0.030,1350816,0.140,0.122,0.016,643.60
80000,3389,4.467,0.062,11.75,223051,170245,168,52399,253,2314,6551959.0,165516.6,0.033,0.229,0.238,0.261,0.240,517,63.33,5.75,41.72,8.78,2.13,6.50,0.04,0.42,19.44,4.07,2.09,6.40,0.033,0.102,453,0.094,0.914,0.068,0.000,0.017,153415,47472,16,0.157,0.110,0.031,1398484,0.109,0.124,0.017,647.34
90000,3375,4.453,0.055,11.94,219864,168407,224,50991,256,2238,6540682.5,162501.3,0.025,0.235,0.237,0.263,0.239,509,63.06,6.58,41.48,8.98,2.13,6.46,0.12,0.51,19.33,3.53,2.09,6.40,0.034,0.104,454,0.105,0.918,0.066,0.000,0.015,154264,50786,20,0.097,0.113,0.087,2210579,0.102,0.117,0.014,647.57
100000,3478,4.418,0.055,11.76,233122,168168,198,63803,850,2769,6511808.5,180445.3,0.027,0.218,0.222,0.281,0.252,489,61.03,12.58,39.41,11.79,2.82,7.48,0.10,0.51,18.69,4.32,2.74,7.21,0.044,0.117,399,0.122,0.900,0.087,0.000,0.013,165595,56436,22,0.124,0.119,0.088,2897470,0.102,0.113,0.013,647.62
110000,3778,4.136,0.055,12.22,266858,170690,236,92734,2898,2518,6450216.0,203531.2,0.019,0.192,0.212,0.313,0.264,474,56.14,19.88,36.27,15.73,1.97,6.25,0.11,0.49,17.80,6.46,1.94,6.17,0.031,0.098,574,0.086,0.905,0.076,0.000,0.019,176899,60616,28,0.120,0.147,0.076,2612814,0.106,0.112,0.012,648.14
120000,3969,3.911,0.052,12.23,267560,175379,292,88631,3067,2631,6442315.0,195001.8,0.014,0.203,0.222,0.295,0.265,456,52.37,21.93,32.86,17.25,2.13,6.23,0.22,1.00,17.15,6.39,2.08,6.10,0.033,0.097,622,0.071,0.896,0.085,0.000,0.018,176001,61032,25,0.145,0.158,0.077,2010746,0.121,0.111,0.012,648.15
130000,3680,4.164,0.055,12.29,248925,168112,339,78616,2147,2370,6448160.0,186870.1,0.014,0.214,0.234,0.280,0.257,489,57.65,18.06,36.55,14.73,2.45,6.69,0.21,0.91,18.44,6.42,2.40,6.56,0.038,0.105,527,0.085,0.893,0.089,0.000,0.018,165205,55426,24,0.174,0.014,0.073,2683327,0.164,0.115,0.014,648.33
140000,3554,4.291,0.052,12.57,246605,168891,347,75233,2260,2440,6445160.5,180833.8,0.022,0.209,0.231,0.281,0.257,488,60.15,14.01,38.30,12.73,2.25,6.22,0.12,0.68,19.48,6.30,2.10,6.03,0.035,0.097,564,0.082,0.898,0.086,0.000,0.016,163741,56908,23,0.158,0.028,0.048,2020533,0.145,0.111,0.012,647.68
150000,3540,4.312,0.050,12.87,233146,171880,363,59900,1017,2288,6454676.0,169698.6,0.019,0.216,0.229,0.277,0.259,462,60.40,10.32,38.83,10.96,1.93,5.97,0.07,0.66,19.57,4.47,1.89,5.93,0.030,0.093,648,0.094,0.918,0.067,0.000,0.016,162645,54805,22,0.158,0.153,0.014,1516827,0.182,0.110,0.012,647.54
160000,3395,4.454,0.051,12.90,240703,176887,312,62155,1494,2465,6417374.0,174686.5,0.012,0.202,0.212,0.295,0.279,454,62.39,6.36,40.11,8.85,2.38,6.53,0.07,0.97,19.83,4.27,2.27,6.29,0.037,0.102,546,0.078,0.904,0.080,0.000,0.016,174258,64482,27,0.170,0.042,0.012,552599,0.233,0.112,0.013,645.69
170000,3398,4.510,0.051,12.95,234902,172457,419,60616,1407,2280,6434024.0,164842.4,0.010,0.196,0.210,0.299,0.285,465,62.49,4.56,39.65,7.99,2.64,6.43,0.00,0.05,20.19,4.06,2.60,6.32,0.042,0.101,599,0.078,0.901,0.084,0.000,0.015,169023,58460,25,0.097,0.133,0.001,241302,0.234,0.110,0.012,648.21
180000,3376,4.404,0.057,12.97,209780,162712,470,46420,200,2214,6452053.5,148880.5,0.010,0.206,0.224,0.279,0.281,509,62.00,5.50,39.10,9.06,2.74,7.11,0.01,0.19,20.15,4.65,2.65,6.90,0.044,0.113,580,0.101,0.892,0.092,0.000,0.016,149336,45306,31,0.104,0.047,0.002,151564,0.116,0.130,0.018,648.02
190000,3509,4.307,0.052,13.20,209742,158750,554,50041,264,3015,6458313.0,158021.5,0.009,0.203,0.220,0.280,0.288,514,61.59,8.81,40.05,9.08,2.10,6.15,0.01,0.16,19.44,4.44,2.05,6.08,0.033,0.096,486,0.091,0.912,0.074,0.000,0.014,146027,45016,28,0.119,0.020,0.008,250644,0.173,0.108,0.010,649.41
200000,3725,4.215,0.052,12.80,235374,158117,526,74091,2424,2324,6436355.0,186480.4,0.010,0.200,0.212,0.283,0.294,441,56.41,18.03,35.97,14.59,2.22,6.49,0.06,0.64,18.15,5.75,2.18,6.34,0.035,0.102,573,0.087,0.904,0.080,0.000,0.016,163372,56994,29,0.110,0.045,0.012,494269,0.182,0.109,0.010,649.54
210000,3641,4.235,0.050,13.12,234812,152454,516,80009,1917,2306,6429871.0,191898.3,0.011,0.198,0.210,0.289,0.291,474,58.79,14.90,38.06,12.21,2.00,6.01,0.05,0.48,18.68,5.44,1.96,5.95,0.032,0.094,558,0.081,0.907,0.079,0.000,0.014,160237,54284,26,0.112,0.035,0.018,725199,0.233,0.106,0.011,650.11
220000,3451,4.444,0.050,13.25,210596,152612,619,57098,457,1987,6497876.5,171040.8,0.013,0.202,0.221,0.280,0.282,512,62.63,4.73,40.57,7.78,2.09,6.23,0.07,0.49,19.91,3.91,2.04,6.11,0.033,0.097,539,0.085,0.916,0.065,0.000,0.019,146328,44357,22,0.158,0.094,0.030,775692,0.181,0.107,0.010,649.65
230000,3375,4.525,0.053,13.03,206427,151302,700,54067,434,1914,6479417.0,163342.0,0.013,0.205,0.221,0.278,0.283,526,63.13,4.14,40.69,7.87,2.16,6.39,0.08,0.67,20.20,3.85,2.12,6.29,0.034,0.100,521,0.085,0.914,0.071,0.000,0.015,142802,38662,23,0.171,0.035,0.028,1188154,0.172,0.111,0.012,650.35
240000,3426,4.464,0.057,13.08,201002,149753,634,50241,323,1947,6471909.5,152581.0,0.009,0.206,0.223,0.283,0.279,551,62.39,8.12,40.38,9.17,1.85,5.87,0.20,0.80,19.96,4.59,1.81,5.76,0.029,0.092,530,0.074,0.918,0.070,0.000,0.012,133392,35331,20,0.105,0.133,0.069,1879131,0.206,0.112,0.011,650.68
250000,3503,4.399,0.054,12.85,216498,152543,410,62762,706,2199,6474009.5,170981.4,0.009,0.205,0.223,0.287,0.275,504,60.35,13.29,38.90,11.76,2.33,6.59,0.11,0.50,19.02,4.59,2.32,6.58,0.036,0.103,462,0.091,0.903,0.082,0.000,0.015,141606,39489,19,0.135,0.037,0.054,2035985,0.181,0.113,0.012,650.06
260000,3722,4.252,0.052,12.76,216036,150738,453,63827,799,1969,6449103.0,174249.3,0.009,0.194,0.208,0.297,0.292,526,57.70,17.51,36.93,14.27,2.31,6.66,0.12,0.53,18.34,5.70,2.26,6.50,0.036,0.104,509,0.090,0.910,0.074,0.000,0.016,142514,41012,26,0.111,0.077,0.067,2520344,0.165,0.107,0.011,650.23
270000,3679,4.266,0.052,12.78,223157,153450,459,68266,1025,2224,6469453.0,177322.0,0.009,0.192,0.207,0.298,0.295,514,58.51,16.05,37.79,13.36,2.21,6.48,0.08,0.38,18.44,5.07,2.18,6.44,0.035,0.102,487,0.087,0.908,0.076,0.000,0.017,147230,43440,28,0.135,0.045,0.048,2406252,0.149,0.107,0.009,649.97
