step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth
10000,3664,4.274,0.169,9.06,314142,102944,352,211635,1695,6964,6225530.5,493173.3,0.017,0.140,0.340,0.245,0.258,573,57.52,15.36,35.89,14.50,3.44,7.60,0.13,1.28,18.07,4.23,3.28,7.25,0.054,0.119,487,0.206,0.751,0.233,0.000,0.017,87164,39137,7,0.552,0.080,0.024,2176890,0.119,0.142,0.029,651.05
20000,3551,4.438,0.165,8.33,291391,96373,758,192371,2002,1930,6252232.5,369551.0,0.003,0.076,0.459,0.256,0.206,645,59.45,12.05,37.69,12.50,4.09,7.75,0.11,1.18,17.55,3.71,3.95,7.40,0.064,0.121,435,0.229,0.691,0.295,0.000,0.014,71368,30743,2,0.865,0.002,0.017,593274,0.122,0.135,0.023,655.33
30000,3829,4.130,0.160,8.18,264143,89461,940,171841,1623,2624,6037059.0,367425.7,0.003,0.064,0.404,0.257,0.271,645,54.52,17.40,34.64,15.86,3.49,7.76,0.12,1.16,16.27,4.05,3.34,7.36,0.055,0.122,598,0.109,0.740,0.243,0.000,0.017,66566,29297,2,0.757,0.141,0.024,534937,0.127,0.132,0.020,655.07
40000,3743,4.179,0.155,8.35,263984,90094,1410,170440,2126,2152,6037265.5,344239.8,0.003,0.084,0.358,0.230,0.325,646,55.54,16.54,35.50,15.10,3.32,7.43,0.07,1.20,16.65,3.92,3.16,7.04,0.053,0.117,555,0.112,0.748,0.231,0.000,0.021,69554,30048,2,0.662,0.134,0.009,589335,0.131,0.127,0.016,655.34
50000,3633,4.292,0.156,8.62,247662,91950,1476,152718,1628,4115,6139439.0,324225.3,0.002,0.088,0.357,0.231,0.322,624,58.99,13.15,37.95,12.56,3.51,7.42,0.03,0.67,17.51,3.93,3.21,6.76,0.057,0.122,459,0.187,0.753,0.227,0.000,0.020,60567,23137,4,0.549,0.107,0.004,370122,0.144,0.125,0.014,655.35
60000,3504,4.393,0.180,8.60,256627,92388,1534,160635,2199,6205,6184207.0,335452.5,0.001,0.087,0.369,0.242,0.300,683,58.18,13.17,34.79,14.14,5.79,9.25,0.06,1.10,17.55,4.08,5.24,8.41,0.101,0.161,485,0.110,0.735,0.242,0.000,0.023,63774,25872,5,0.366,0.102,0.005,374310,0.150,0.157,0.043,655.34
70000,3684,4.298,0.161,9.16,275541,74166,1123,198030,2042,8296,6151180.5,479132.9,0.001,0.093,0.345,0.237,0.323,525,55.79,16.11,35.83,16.93,4.20,7.72,0.02,0.50,15.73,4.00,3.90,7.18,0.079,0.146,593,0.173,0.730,0.249,0.000,0.021,72840,29189,5,0.509,0.340,0.004,289470,0.124,0.130,0.018,655.27
80000,3871,4.142,0.162,9.42,278830,72672,1972,201005,2994,6134,6178955.0,424192.6,0.001,0.095,0.322,0.246,0.336,550,53.78,18.76,35.44,17.80,3.34,7.25,0.04,0.59,14.97,3.96,3.14,6.81,0.058,0.125,579,0.207,0.764,0.215,0.000,0.021,75583,32159,8,0.523,0.068,0.008,279557,0.133,0.131,0.020,655.34
90000,3864,4.100,0.159,9.66,280412,67681,2170,207471,3097,4730,6168941.0,420826.0,0.001,0.085,0.290,0.231,0.393,569,53.63,18.35,34.39,18.20,3.96,7.80,0.05,0.66,15.24,3.42,3.77,7.48,0.070,0.139,458,0.223,0.757,0.223,0.000,0.020,78129,36777,7,0.530,0.105,0.014,241650,0.130,0.129,0.020,655.34
100000,3765,4.188,0.164,9.76,274346,72467,2104,196175,3699,5057,6148054.0,391369.1,0.001,0.089,0.292,0.237,0.381,542,53.86,18.20,34.17,17.82,4.79,8.44,0.01,0.25,14.89,3.78,4.56,8.13,0.087,0.153,434,0.206,0.712,0.266,0.000,0.022,79820,40247,7,0.505,0.003,0.002,174546,0.107,0.133,0.021,655.34
110000,3839,4.116,0.160,9.33,266877,69996,2070,191104,3633,6712,6154456.0,390067.0,0.000,0.080,0.289,0.242,0.388,673,54.90,17.33,36.03,17.27,3.81,7.81,0.02,0.41,15.03,3.44,3.65,7.52,0.068,0.139,418,0.232,0.749,0.229,0.000,0.021,75132,36835,6,0.566,0.040,0.004,112837,0.109,0.130,0.019,655.34
120000,3625,4.377,0.168,9.93,256328,68919,2090,182434,3099,5246,6174577.0,377185.7,0.001,0.080,0.286,0.247,0.387,669,56.34,15.54,36.18,16.65,4.69,8.00,0.03,0.75,15.44,3.72,4.43,7.57,0.085,0.146,461,0.166,0.719,0.260,0.000,0.021,72319,34641,5,0.545,0.000,0.004,145394,0.111,0.135,0.023,655.34
130000,3761,4.125,0.166,9.46,264533,71212,1988,188101,3096,4867,6180365.0,386653.3,0.001,0.091,0.287,0.251,0.371,719,54.47,17.50,34.81,18.17,4.02,8.02,0.02,0.38,15.63,3.57,3.78,7.68,0.072,0.142,448,0.136,0.751,0.231,0.000,0.018,73648,34546,5,0.500,0.027,0.003,134444,0.113,0.137,0.025,655.33
140000,3595,4.413,0.168,9.43,253691,72370,2035,176713,2739,3904,6219020.0,363394.9,0.000,0.092,0.292,0.255,0.361,857,58.68,13.46,39.47,15.04,3.39,7.39,0.03,0.62,15.78,3.32,3.20,6.97,0.059,0.129,463,0.143,0.814,0.170,0.000,0.016,68474,31360,5,0.668,0.000,0.003,109720,0.138,0.134,0.022,655.33
150000,3781,4.203,0.161,9.32,261879,73749,1932,183298,2714,4760,6198481.5,383903.8,0.000,0.086,0.289,0.257,0.367,749,54.69,17.93,35.21,17.66,4.35,8.68,0.04,0.94,15.08,3.10,4.21,8.48,0.072,0.143,440,0.131,0.727,0.252,0.000,0.021,70988,29901,5,0.493,0.019,0.004,205573,0.126,0.130,0.018,655.34
160000,3898,4.006,0.162,9.43,289344,73916,1901,210389,3021,5540,6149296.0,418989.1,0.000,0.108,0.274,0.246,0.371,779,51.69,19.41,31.63,18.46,5.08,8.95,0.02,0.35,14.96,3.90,4.78,8.53,0.089,0.157,426,0.105,0.702,0.273,0.000,0.025,79690,34833,6,0.372,0.003,0.006,140778,0.132,0.135,0.023,655.34
