step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth
10000,216,4.271,0.084,10.88,19860,13464,0,6537,29,573,322406.4,21137.4,0.033,0.161,0.453,0.100,0.254,5721,63.29,4.92,33.71,7.43,2.49,5.33,0.10,0.71,26.99,8.16,1.75,4.47,0.039,0.083,80,0.231,0.866,0.106,0.000,0.028,8490,4629,2,0.935,0.000,0.032,364819,0.240,0.156,0.035,31.85
20000,196,4.528,0.111,12.78,22621,19287,0,3339,15,352,398525.4,9310.0,0.002,0.198,0.428,0.205,0.168,4705,59.63,5.33,33.89,7.64,6.62,6.15,0.16,0.85,18.96,5.79,6.17,5.87,0.110,0.101,87,0.097,0.796,0.168,0.000,0.036,12902,5826,1,0.663,0.337,0.061,427229,0.232,0.207,0.072,39.89
30000,215,4.388,0.076,9.49,21945,18823,0,3074,29,139,390413.1,8788.0,0.025,0.138,0.427,0.204,0.205,5481,61.81,5.67,26.27,8.08,1.75,3.84,2.44,4.05,31.34,8.69,0.44,1.21,0.031,0.069,86,0.177,0.926,0.037,0.000,0.037,12014,6690,2,0.921,0.014,0.377,415089,0.200,0.135,0.022,39.07
40000,214,4.172,0.097,9.31,16132,13910,0,2223,0,86,390556.9,7558.1,0.014,0.171,0.286,0.232,0.297,8083,61.79,3.80,32.94,3.01,2.93,5.14,1.51,2.49,24.42,4.68,1.40,3.21,0.046,0.080,76,0.145,0.916,0.051,0.000,0.033,8838,4387,3,0.477,0.336,0.318,528442,0.260,0.186,0.051,39.11
50000,226,4.044,0.089,10.10,17012,14677,0,2322,1,90,394482.1,7189.9,0.002,0.167,0.317,0.218,0.296,7289,57.06,4.32,33.73,3.73,2.19,4.17,0.94,2.01,20.19,3.99,2.07,4.00,0.036,0.065,81,0.075,0.885,0.093,0.000,0.022,10006,4413,3,0.473,0.075,0.407,712355,0.231,0.159,0.035,39.50
60000,399,2.695,0.059,10.77,18114,14351,5,3563,22,158,395618.7,10125.6,0.001,0.182,0.288,0.204,0.325,7504,32.76,10.02,17.65,7.50,0.62,2.01,0.20,1.57,14.29,5.49,0.16,0.58,0.016,0.049,140,0.123,0.927,0.058,0.000,0.015,11346,5971,2,0.937,0.000,0.043,938099,0.171,0.124,0.017,39.60
70000,180,4.343,0.150,9.74,17267,11830,0,5625,31,276,334579.6,17210.9,0.001,0.143,0.258,0.235,0.364,7155,60.63,5.79,30.78,10.98,9.43,8.66,0.09,0.68,20.34,5.92,9.37,8.68,0.153,0.149,23,0.489,0.750,0.222,0.000,0.028,8741,5795,1,1.000,0.000,0.033,379416,0.192,0.264,0.112,33.52
80000,199,4.011,0.121,9.31,20342,13978,0,6341,4,346,338075.7,20593.1,0.027,0.088,0.377,0.352,0.157,6245,59.12,6.07,30.01,9.10,8.42,8.95,0.00,0.00,20.69,5.25,8.34,8.96,0.132,0.141,20,0.462,0.839,0.146,0.000,0.015,9443,6529,2,0.513,0.000,0.000,16725,0.103,0.228,0.081,33.84
90000,189,4.120,0.131,9.42,21074,14006,0,7065,13,454,353048.6,23320.4,0.059,0.086,0.333,0.300,0.222,6467,62.02,3.27,29.04,9.66,10.71,8.95,0.07,0.94,22.20,5.43,10.70,8.93,0.167,0.140,24,0.566,0.735,0.238,0.000,0.026,10092,6138,2,0.603,0.000,0.005,16641,0.108,0.242,0.093,35.29
100000,179,4.161,0.141,9.46,20613,13737,0,6883,3,487,334559.3,23162.3,0.045,0.057,0.442,0.171,0.285,7078,62.10,3.15,26.21,8.38,12.90,8.08,0.28,0.49,22.71,3.96,12.89,8.07,0.202,0.126,9,0.704,0.709,0.257,0.000,0.034,8671,5611,2,0.721,0.000,0.274,223535,0.053,0.253,0.106,33.44
