step,lineage,size,hard,muscle,sensor,digestive,attack,bodies
71000,33,161,31.8,8.3,0.0,21.2,8.3,16
72000,33,174,29.4,10.4,0.0,21.8,10.3,19
73000,33,181,29.7,8.6,0.1,22.3,8.6,24
74000,33,94,21.2,17.5,0.1,25.0,17.2,8
75000,33,101,21.1,18.0,0.1,24.5,17.7,5
76000,33,72,21.4,17.5,0.2,23.8,17.2,8
77000,33,85,21.5,18.1,0.0,24.4,18.0,3
78000,54,109,38.6,0.0,0.0,15.7,0.0,17
78000,33,92,22.1,17.2,0.0,24.3,17.2,4
79000,54,92,38.5,0.0,0.1,15.9,0.0,21
79000,33,92,21.5,17.5,0.1,24.9,17.3,7
80000,54,102,38.1,0.0,0.0,17.2,0.0,15
80000,33,97,21.5,17.3,0.0,24.3,17.1,5
81000,54,113,37.3,0.0,0.0,16.7,0.0,28
81000,33,79,22.4,16.3,0.1,24.6,15.9,8
82000,54,114,38.0,0.0,0.0,16.6,0.0,25
82000,33,73,21.5,17.8,0.0,24.6,17.8,4
83000,54,125,37.6,0.0,0.1,14.1,0.0,20
83000,33,67,22.0,17.7,0.0,24.3,17.6,5
84000,54,109,38.4,0.0,0.0,14.1,0.0,19
84000,33,88,21.3,17.7,0.0,24.6,17.5,5
85000,54,200,31.0,7.4,0.0,19.7,7.4,19
86000,54,76,22.1,17.9,0.0,23.5,17.7,10
87000,54,97,22.1,17.4,0.0,23.5,17.2,9
88000,54,93,21.1,17.8,0.2,24.7,17.8,3
89000,54,101,21.1,17.4,0.1,24.5,17.4,5
90000,54,114,22.1,17.8,0.0,24.0,17.7,6
90000,55,75,39.5,0.0,0.2,19.5,0.0,18
91000,54,106,21.8,17.7,0.1,24.4,17.7,5
91000,55,55,39.2,0.0,0.0,21.6,0.0,9
92000,54,109,22.3,17.1,0.0,24.0,17.1,7
92000,55,71,37.3,0.0,0.0,23.8,0.0,19
93000,54,108,21.4,17.8,0.1,24.7,17.6,6
93000,55,70,38.2,0.0,0.0,20.0,0.0,16
94000,54,134,21.5,17.9,0.0,24.5,17.8,6
94000,55,33,39.3,0.1,0.8,17.9,0.1,8
95000,54,100,22.3,17.5,0.0,23.8,17.1,7
