step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth
10000,3178,4.513,0.087,13.51,318287,195414,16,125183,644,8019,5436683.0,404284.2,0.069,0.226,0.295,0.196,0.214,353,63.25,4.05,38.94,9.92,4.29,8.61,0.18,1.08,19.83,5.41,4.16,8.35,0.068,0.135,500,0.129,0.868,0.117,0.000,0.015,176047,89748,5,0.306,0.502,0.057,2666099,0.182,0.181,0.048,536.12
20000,3291,4.595,0.080,12.07,257614,176483,5,81007,6,3082,6336135.0,288485.5,0.010,0.269,0.325,0.212,0.183,295,63.70,1.34,41.60,7.67,2.79,7.08,0.11,0.69,19.20,3.02,2.76,7.00,0.044,0.112,430,0.139,0.915,0.070,0.000,0.015,158535,68219,9,0.440,0.033,0.049,1087289,0.152,0.160,0.037,623.91
30000,3308,4.700,0.069,11.75,229837,171132,43,58644,1,1853,6525950.0,207316.1,0.005,0.335,0.318,0.191,0.152,382,63.67,1.45,42.18,6.85,2.20,6.44,0.08,0.61,19.21,3.08,2.18,6.37,0.035,0.102,481,0.156,0.923,0.060,0.000,0.018,146678,59903,10,0.543,0.046,0.028,1309524,0.150,0.144,0.026,640.05
40000,3367,4.606,0.066,12.04,235614,179085,95,56303,72,1833,6430198.0,193343.5,0.011,0.362,0.319,0.171,0.137,388,62.97,4.55,39.76,8.17,2.36,6.38,0.08,0.65,20.77,4.88,2.34,6.33,0.037,0.101,604,0.196,0.922,0.061,0.000,0.017,150335,59066,6,0.418,0.144,0.024,1141746,0.158,0.136,0.023,641.94
50000,3522,4.509,0.069,12.07,255159,180348,88,73984,584,1832,6497262.5,229048.9,0.005,0.363,0.308,0.169,0.155,358,59.20,15.21,37.90,13.42,2.74,7.16,0.05,0.54,18.51,4.44,2.66,6.98,0.043,0.113,480,0.231,0.898,0.089,0.000,0.013,152615,64999,7,0.374,0.181,0.013,531035,0.198,0.144,0.027,642.72
60000,3680,4.333,0.063,11.91,306868,178921,86,123825,3878,2367,6420747.0,272488.8,0.005,0.342,0.308,0.182,0.162,354,56.17,19.35,35.43,15.85,3.22,7.70,0.04,0.75,17.47,5.27,3.20,7.66,0.051,0.121,450,0.139,0.872,0.113,0.000,0.015,181780,79886,7,0.326,0.133,0.006,358729,0.171,0.137,0.024,641.04
70000,3841,4.145,0.060,12.07,314370,171377,97,138110,4625,2597,6359625.0,326809.6,0.002,0.341,0.286,0.196,0.176,373,54.31,21.46,34.76,16.93,2.68,7.20,0.03,0.56,16.84,5.96,2.61,6.98,0.042,0.115,483,0.094,0.899,0.084,0.000,0.017,187632,82582,9,0.160,0.173,0.007,293976,0.167,0.136,0.023,638.20
80000,3662,4.298,0.067,11.93,322409,179990,77,137111,5410,2658,6368538.5,295895.3,0.001,0.335,0.291,0.204,0.169,396,56.00,19.22,35.40,15.90,2.55,6.89,0.06,0.70,17.99,5.96,2.45,6.68,0.041,0.112,567,0.096,0.890,0.089,0.000,0.020,192956,83574,10,0.135,0.138,0.011,313301,0.160,0.143,0.026,640.97
90000,3940,4.110,0.066,11.65,331244,170394,73,155906,4593,3127,6207327.5,348041.2,0.002,0.319,0.286,0.205,0.188,413,52.10,23.54,32.97,18.43,3.69,8.28,0.04,0.60,15.40,6.02,3.66,8.23,0.058,0.132,485,0.116,0.859,0.123,0.000,0.017,194441,85192,17,0.193,0.075,0.010,369236,0.150,0.140,0.025,635.53
100000,3730,4.224,0.065,11.61,325283,161527,58,157184,6724,2521,6123535.5,317131.9,0.003,0.319,0.291,0.195,0.193,414,55.24,20.59,35.77,16.83,2.75,7.26,0.05,0.75,16.68,6.33,2.71,7.16,0.044,0.117,436,0.089,0.867,0.117,0.000,0.016,188707,83776,13,0.230,0.047,0.010,354209,0.137,0.138,0.024,638.04
110000,3530,4.447,0.066,11.83,259301,155327,119,100522,3533,2212,6257782.0,244592.0,0.001,0.341,0.281,0.189,0.188,517,58.35,17.11,38.23,14.52,3.02,7.52,0.03,0.48,17.08,4.81,2.97,7.44,0.048,0.119,425,0.092,0.871,0.115,0.000,0.014,155563,67601,13,0.165,0.027,0.007,400760,0.135,0.140,0.025,639.95
120000,3570,4.340,0.065,11.98,240633,151148,113,86081,3251,1809,6289545.5,209780.7,0.000,0.326,0.276,0.201,0.197,547,58.45,17.20,38.90,14.20,2.63,7.06,0.02,0.33,16.90,4.93,2.62,7.04,0.041,0.112,387,0.065,0.883,0.101,0.000,0.017,145388,58526,12,0.204,0.025,0.005,197006,0.147,0.139,0.025,641.22
130000,3638,4.277,0.061,11.93,240448,153653,105,83873,2749,1839,6311871.5,213869.5,0.001,0.309,0.268,0.210,0.212,529,57.31,18.61,37.76,15.29,2.83,7.31,0.02,0.35,16.70,5.18,2.79,7.24,0.044,0.114,408,0.075,0.868,0.118,0.000,0.015,153549,60996,14,0.190,0.072,0.005,209057,0.149,0.133,0.022,640.56
140000,3753,4.288,0.069,12.09,256209,158779,74,94569,2672,2114,6321043.5,243788.0,0.001,0.291,0.255,0.222,0.230,504,55.16,21.05,36.57,17.03,3.03,7.66,0.03,0.45,15.53,5.34,3.01,7.59,0.047,0.120,403,0.107,0.870,0.114,0.000,0.016,160811,62689,14,0.146,0.291,0.006,261450,0.155,0.144,0.027,639.74
150000,3706,4.254,0.067,12.34,264680,147965,123,111218,5421,2118,6008431.0,244991.8,0.001,0.269,0.245,0.244,0.242,476,55.58,20.60,37.59,16.74,2.24,6.67,0.03,0.61,15.71,5.19,2.21,6.59,0.035,0.104,366,0.090,0.875,0.108,0.000,0.016,157214,56681,17,0.138,0.189,0.005,206791,0.165,0.139,0.024,642.34
160000,3651,4.337,0.066,12.61,243524,144736,210,94574,4059,1860,6031692.5,218497.7,0.001,0.270,0.249,0.238,0.242,523,57.15,18.99,38.88,15.56,2.30,6.80,0.01,0.22,15.96,4.83,2.28,6.73,0.036,0.108,379,0.131,0.890,0.098,0.000,0.012,148172,50703,18,0.114,0.097,0.004,177755,0.163,0.136,0.023,642.39
170000,3563,4.432,0.063,12.70,246028,149342,180,93202,3392,1847,6060113.5,221963.9,0.001,0.282,0.253,0.229,0.235,509,58.27,17.31,39.23,14.85,2.65,7.26,0.04,0.68,16.35,4.56,2.63,7.22,0.041,0.113,352,0.144,0.890,0.096,0.000,0.014,149846,53165,19,0.121,0.005,0.005,150792,0.162,0.136,0.022,642.77
180000,3538,4.470,0.063,12.86,242087,151591,154,87010,3357,1716,6067881.0,213854.5,0.001,0.284,0.250,0.224,0.241,516,59.33,15.71,40.06,13.69,2.39,6.85,0.02,0.46,16.85,4.41,2.37,6.81,0.038,0.108,392,0.228,0.897,0.093,0.000,0.010,147268,49312,19,0.135,0.058,0.006,265459,0.124,0.132,0.021,643.48
190000,3753,4.251,0.064,12.48,256743,148518,221,102401,5388,1931,6026611.5,229764.1,0.004,0.280,0.256,0.226,0.234,500,55.50,20.86,37.26,16.79,2.62,7.17,0.01,0.34,15.62,5.47,2.61,7.15,0.041,0.113,412,0.222,0.886,0.102,0.000,0.013,153082,53852,19,0.125,0.062,0.002,176429,0.150,0.136,0.023,643.59
200000,3812,4.292,0.063,12.38,270657,149304,302,114167,6825,1754,6023699.0,235957.9,0.002,0.277,0.256,0.233,0.232,459,55.22,21.09,37.19,16.96,2.36,6.79,0.03,0.52,15.64,5.60,2.32,6.69,0.037,0.107,391,0.192,0.864,0.120,0.000,0.015,158390,57369,15,0.109,0.064,0.004,150631,0.146,0.129,0.019,645.33
210000,3688,4.428,0.065,12.51,249679,148804,232,95865,4902,1662,6038189.0,211727.0,0.002,0.286,0.260,0.225,0.227,521,56.92,19.28,38.68,15.73,2.27,6.75,0.01,0.40,15.96,4.92,2.19,6.54,0.035,0.105,350,0.190,0.881,0.108,0.000,0.011,141803,50050,14,0.117,0.036,0.002,144644,0.135,0.132,0.021,645.11
