step,lineage,size,hard,muscle,sensor,digestive,attack,bodies
5000,1,794,38.9,3.0,0.4,19.6,2.8,193
6000,1,677,41.7,0.2,0.1,21.3,0.2,188
7000,1,784,41.2,0.2,0.2,21.6,0.2,171
8000,1,786,39.9,0.2,0.1,22.0,0.2,164
9000,1,859,36.4,0.3,0.1,20.6,0.3,219
10000,1,650,38.4,0.5,0.1,20.8,0.5,138
10000,6,35,26.7,21.1,0.0,15.1,19.5,3
10000,5,11,29.0,19.0,0.0,16.0,19.0,1
11000,1,549,41.2,0.4,0.0,21.3,0.3,112
11000,6,16,28.1,19.8,0.0,16.1,18.9,2
11000,5,13,29.0,19.0,0.0,16.0,19.0,1
12000,1,637,40.3,0.1,0.0,22.1,0.1,132
12000,6,17,27.0,21.0,0.0,16.0,20.0,1
12000,5,12,29.0,19.0,0.0,16.0,19.0,1
13000,1,657,40.6,0.0,0.1,21.6,0.0,131
13000,5,20,29.6,16.9,0.0,17.5,16.9,4
13000,6,6,27.0,21.0,0.0,16.0,20.0,1
14000,1,436,33.5,0.0,0.2,19.8,0.0,110
14000,5,20,29.8,16.6,0.0,15.3,16.6,4
14000,6,11,27.0,21.0,0.0,16.0,20.0,1
15000,1,372,25.1,0.0,0.1,14.7,0.0,88
15000,5,153,29.0,18.6,0.0,16.1,18.6,5
15000,8,12,40.2,0.0,0.0,23.8,0.0,5
15000,6,9,20.9,12.3,0.0,28.8,11.8,3
16000,1,512,33.8,0.0,0.1,19.0,0.0,101
16000,5,150,29.1,19.0,0.0,16.0,19.0,2
16000,8,18,41.1,0.0,0.0,22.9,0.0,3
17000,1,602,29.6,0.0,0.1,18.5,0.0,120
17000,5,92,28.8,18.8,0.0,16.3,18.8,4
17000,8,31,41.5,0.0,0.0,22.5,0.0,4
18000,1,592,24.6,0.0,0.2,18.1,0.0,137
18000,13,143,39.6,0.4,0.6,18.7,0.3,50
18000,5,90,28.9,18.8,0.0,15.9,18.8,6
18000,8,40,42.0,0.4,0.0,21.6,0.4,10
19000,1,421,34.0,0.0,0.2,21.0,0.0,82
19000,13,167,39.9,0.0,0.5,18.7,0.0,49
19000,5,123,29.3,18.7,0.0,15.7,18.7,5
19000,16,76,43.9,0.0,0.0,20.0,0.0,18
19000,8,33,41.9,0.1,0.0,22.0,0.1,10
20000,1,482,34.1,0.0,0.2,21.3,0.0,98
20000,13,141,39.7,0.0,0.4,20.1,0.0,36
20000,16,131,43.0,0.0,0.0,20.9,0.0,22
20000,5,93,29.0,19.0,0.0,16.0,19.0,1
20000,8,20,42.0,0.0,0.0,22.0,0.0,7
21000,1,311,38.6,0.0,0.2,23.9,0.0,59
21000,16,176,43.0,0.1,0.0,20.9,0.1,27
21000,13,170,40.1,0.0,0.6,20.1,0.0,51
21000,5,118,29.2,18.8,0.0,16.0,18.7,5
21000,8,29,41.5,0.0,0.0,22.5,0.0,7
22000,1,345,39.4,0.0,0.1,23.4,0.0,49
22000,13,191,39.5,0.0,0.7,21.1,0.0,48
22000,5,135,29.1,18.9,0.0,15.9,18.9,3
22000,16,109,42.6,0.1,0.1,21.2,0.1,16
22000,8,9,41.0,0.2,0.0,22.8,0.2,4
23000,1,326,39.2,0.0,0.1,23.8,0.0,55
23000,13,212,39.1,0.2,0.6,20.6,0.1,55
23000,16,129,41.9,0.0,0.0,22.1,0.0,24
23000,5,95,29.0,18.8,0.0,15.9,18.6,4
23000,8,22,38.9,1.8,0.0,23.4,1.8,8
24000,1,315,38.8,0.0,0.2,24.1,0.0,49
24000,13,236,39.4,0.4,0.8,19.9,0.4,71
24000,16,107,42.2,0.0,0.1,21.7,0.0,21
24000,5,68,29.1,18.7,0.0,16.0,18.7,5
24000,8,46,38.6,2.3,0.0,23.1,2.3,18
25000,26,214,4.6,0.0,0.0,10.8,0.0,77
25000,16,205,42.0,0.0,0.0,22.0,0.0,28
25000,13,184,40.9,0.1,1.6,18.0,0.1,38
25000,1,101,43.5,0.0,0.1,20.4,0.0,18
25000,8,79,39.8,1.8,0.0,22.3,1.8,24
25000,5,72,28.4,19.3,0.0,16.1,19.2,4
26000,1,200,42.6,0.0,0.1,21.0,0.0,24
26000,16,176,41.9,0.0,0.3,21.8,0.0,20
26000,26,104,6.5,0.0,0.5,13.2,0.0,51
26000,13,96,41.3,0.1,3.1,18.4,0.1,12
26000,5,73,28.4,19.6,0.0,16.0,19.6,2
26000,8,67,40.2,2.8,0.1,20.9,2.4,22
27000,1,250,43.2,0.0,0.0,20.5,0.0,36
27000,16,184,41.9,0.0,0.0,22.0,0.0,24
27000,13,163,40.3,0.0,1.8,18.8,0.0,24
27000,26,145,5.8,0.0,0.0,9.5,0.0,62
27000,5,80,28.3,19.7,0.0,16.0,19.7,2
27000,8,48,40.5,1.5,0.0,22.0,1.5,8
28000,1,238,42.4,0.0,0.1,21.1,0.0,35
28000,16,162,42.3,0.0,0.0,21.6,0.0,20
28000,26,158,4.2,0.0,0.1,8.8,0.0,65
28000,13,115,40.1,0.0,0.5,18.2,0.0,24
28000,5,85,28.5,19.5,0.0,16.0,19.5,2
28000,8,34,40.5,2.8,0.0,20.7,2.6,7
29000,1,298,42.2,0.0,0.2,21.3,0.0,44
29000,13,180,40.9,0.0,0.7,18.2,0.0,33
29000,16,153,42.1,0.0,0.0,21.8,0.0,20
29000,26,121,6.1,0.0,0.1,13.4,0.0,49
29000,5,73,28.6,19.4,0.0,15.9,19.4,5
29000,31,68,41.0,1.9,0.5,20.4,1.9,24
29000,8,28,40.4,2.2,0.0,21.4,2.2,5
30000,1,357,40.2,0.0,0.3,23.2,0.0,58
30000,16,220,41.7,0.0,0.1,22.3,0.0,31
30000,13,216,40.3,0.7,0.5,19.2,0.7,42
30000,5,32,28.6,19.7,0.0,15.7,19.7,3
30000,8,30,39.3,2.2,0.0,22.5,2.2,6
31000,1,381,35.6,0.0,0.2,27.6,0.0,73
31000,16,218,41.8,0.0,0.2,21.9,0.0,31
31000,13,167,40.1,0.1,0.5,18.9,0.0,23
31000,5,29,28.4,20.0,0.0,15.5,19.9,3
31000,8,12,40.0,2.1,0.0,21.9,2.1,3
32000,1,343,32.3,0.0,0.3,30.5,0.0,81
32000,16,209,41.9,0.0,0.0,22.1,0.0,23
32000,13,148,40.2,0.0,0.4,18.3,0.0,25
32000,5,29,28.1,19.8,0.0,16.1,19.6,3
32000,8,27,40.9,2.2,0.3,20.6,2.2,6
33000,1,297,38.7,0.0,0.1,24.6,0.0,58
33000,16,235,42.1,0.0,0.0,21.8,0.0,36
33000,13,135,39.8,0.2,0.3,18.8,0.0,26
33000,5,26,28.0,20.0,0.0,16.0,20.0,1
33000,8,24,39.6,2.8,0.0,21.6,2.8,11
34000,1,202,40.8,0.0,0.2,22.7,0.0,50
34000,13,166,40.4,0.0,0.1,18.7,0.0,23
34000,16,112,42.8,0.0,0.0,21.2,0.0,17
34000,5,75,27.6,19.9,0.0,16.4,19.7,4
35000,1,372,41.2,0.0,0.0,22.3,0.0,73
35000,13,147,39.3,0.0,0.6,19.0,0.0,26
35000,16,127,41.8,0.0,0.0,22.2,0.0,17
35000,37,56,41.0,2.1,1.0,19.1,2.1,13
35000,5,48,27.9,19.9,0.0,16.1,19.9,2
36000,1,274,41.7,0.0,0.1,21.6,0.0,48
36000,38,273,0.1,0.1,0.0,9.6,0.0,72
