step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth
10000,270,3.720,0.129,8.38,22936,8296,15,14476,253,601,412531.8,27804.4,0.021,0.120,0.144,0.624,0.091,7227,50.88,8.90,31.75,8.78,1.36,4.00,0.15,1.01,17.62,2.71,1.31,3.99,0.023,0.064,39,0.548,0.833,0.152,0.000,0.015,8095,5740,1,0.804,0.196,0.037,234760,0.201,0.110,0.004,40.76
20000,304,3.485,0.128,8.97,20243,7229,141,12636,203,393,409522.5,21168.0,0.021,0.149,0.233,0.554,0.044,7418,44.36,11.31,29.46,9.75,0.50,2.28,0.17,1.47,14.23,4.66,0.42,1.84,0.009,0.040,63,0.421,0.901,0.079,0.000,0.020,6600,4416,2,0.891,0.000,0.016,145556,0.166,0.104,0.001,40.96
30000,318,3.286,0.124,9.74,18425,8902,118,9287,104,599,409991.1,17398.9,0.027,0.192,0.282,0.381,0.117,7769,41.37,14.02,23.58,10.72,2.97,5.37,0.14,0.84,14.68,5.06,2.91,5.39,0.059,0.101,69,0.267,0.742,0.226,0.000,0.031,5836,3660,2,0.513,0.173,0.041,182390,0.177,0.108,0.005,40.96
40000,302,3.417,0.129,10.03,21135,7503,113,13220,315,178,411219.3,24291.7,0.025,0.154,0.305,0.390,0.126,6186,42.45,20.67,22.23,15.32,4.47,8.20,0.12,0.97,15.63,6.35,4.01,7.40,0.071,0.130,48,0.417,0.772,0.205,0.000,0.023,7259,4810,2,0.474,0.288,0.020,160521,0.159,0.106,0.005,40.96
50000,317,3.377,0.134,8.96,27114,7276,122,18809,892,168,410926.7,29060.2,0.020,0.141,0.287,0.404,0.148,4919,41.38,18.57,24.50,15.82,1.91,5.70,0.24,1.94,14.74,5.75,1.44,4.83,0.042,0.108,56,0.508,0.915,0.076,0.000,0.009,9971,6779,2,0.650,0.265,0.032,90462,0.165,0.111,0.007,40.96
60000,283,3.739,0.139,9.49,21507,7482,81,13678,300,207,410765.7,25083.4,0.031,0.179,0.276,0.394,0.120,5988,46.98,13.75,29.82,11.56,2.01,5.98,0.28,1.72,14.86,4.57,1.78,5.37,0.033,0.097,41,0.336,0.880,0.095,0.000,0.025,7376,5331,2,0.901,0.000,0.042,216119,0.165,0.112,0.009,40.96
70000,264,3.873,0.170,11.12,29581,6861,83,21701,955,737,410863.5,33987.2,0.022,0.141,0.214,0.288,0.335,4706,49.25,19.90,30.26,17.90,3.87,5.97,0.42,2.00,14.70,5.52,3.41,5.68,0.071,0.112,62,0.186,0.640,0.322,0.000,0.038,11629,8140,2,0.390,0.235,0.083,123888,0.148,0.142,0.031,40.95
80000,210,4.435,0.329,14.41,26093,7093,93,18332,629,646,409353.1,29070.5,0.030,0.139,0.232,0.268,0.330,4878,63.74,1.37,30.27,9.19,16.98,7.10,0.06,0.70,16.43,2.99,16.98,7.10,0.265,0.111,19,0.743,0.457,0.533,0.000,0.010,10445,7924,1,1.000,0.000,0.019,109840,0.166,0.247,0.236,40.79
90000,224,4.186,0.179,14.31,9022,4962,70,3842,134,45,408684.5,9276.0,0.031,0.007,0.434,0.408,0.119,8008,62.37,1.69,42.17,4.56,0.67,3.65,1.87,1.73,17.67,3.12,0.67,3.65,0.010,0.057,45,0.326,0.960,0.031,0.000,0.009,2912,2427,1,1.000,0.000,0.598,900881,0.112,0.149,0.036,40.81
100000,213,4.275,0.164,15.03,8643,6058,45,2550,1,35,410409.4,9006.2,0.011,0.002,0.428,0.252,0.307,8233,63.98,0.22,41.48,6.29,1.68,5.69,0.05,0.48,20.78,3.87,1.68,5.69,0.026,0.089,63,0.286,0.934,0.061,0.000,0.005,2100,813,2,0.554,0.366,0.009,206463,0.116,0.142,0.030,40.96
