step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth
10000,166,4.191,0.142,12.93,23935,16116,0,8033,6,628,324905.9,27628.0,0.018,0.021,0.543,0.209,0.209,4619,62.33,3.44,31.57,7.85,8.28,8.95,0.13,1.25,22.35,4.36,8.22,8.90,0.129,0.140,46,0.446,0.777,0.193,0.000,0.030,10600,6157,2,0.500,0.096,0.012,101785,0.182,0.244,0.099,32.18
20000,211,4.455,0.092,15.34,20202,14173,0,5982,2,406,354034.5,21008.6,0.010,0.054,0.408,0.244,0.284,4559,62.42,7.48,38.83,8.87,2.42,7.30,0.51,1.29,20.66,5.56,1.99,5.99,0.038,0.114,75,0.100,0.924,0.047,0.000,0.028,10330,4513,2,0.464,0.436,0.171,146585,0.187,0.172,0.045,35.39
30000,253,3.653,0.076,15.23,28437,18898,0,9199,298,244,391737.6,20294.2,0.019,0.278,0.245,0.207,0.252,2515,51.70,16.39,24.06,12.55,1.43,5.23,0.68,2.95,25.52,8.12,1.03,3.85,0.023,0.082,112,0.111,0.929,0.047,0.000,0.024,17897,6498,1,0.150,0.850,0.111,439347,0.193,0.151,0.031,39.21
40000,273,3.569,0.082,10.89,28579,16335,4,11831,389,215,383564.1,28484.9,0.018,0.514,0.213,0.120,0.135,2940,45.62,23.65,23.26,15.38,1.41,3.72,0.51,2.28,20.44,10.56,1.38,3.61,0.022,0.058,106,0.172,0.864,0.099,0.000,0.037,16796,9757,3,0.703,0.004,0.084,279764,0.179,0.152,0.032,38.43
50000,266,3.819,0.087,11.82,22120,14842,10,7034,241,145,391137.2,17750.7,0.043,0.447,0.316,0.090,0.103,4065,50.12,25.42,29.12,16.86,3.23,6.98,0.33,1.70,17.45,8.97,3.23,6.98,0.050,0.109,70,0.158,0.838,0.117,0.000,0.045,12383,8109,5,0.383,0.000,0.094,272332,0.209,0.155,0.030,39.15
60000,312,3.281,0.096,12.76,21758,14285,5,7054,368,106,392682.3,16438.8,0.040,0.257,0.534,0.078,0.091,3675,40.44,28.32,22.35,18.78,1.18,5.07,0.75,4.59,16.16,11.18,0.96,4.06,0.022,0.097,105,0.131,0.926,0.042,0.000,0.032,12703,7035,5,0.346,0.224,0.115,435702,0.169,0.191,0.056,39.33
70000,214,4.438,0.073,13.78,18796,15385,1,3432,76,145,402065.8,8098.8,0.035,0.284,0.401,0.125,0.154,4635,63.39,2.22,33.91,6.65,1.64,4.06,1.98,3.19,25.86,5.21,1.18,2.10,0.026,0.063,105,0.084,0.925,0.042,0.000,0.033,10657,5225,3,0.313,0.449,0.579,583697,0.158,0.124,0.013,40.21
80000,237,4.043,0.063,15.18,16698,14141,3,2522,9,138,405800.2,7408.1,0.017,0.269,0.233,0.198,0.284,4995,58.84,6.30,31.08,6.24,2.29,4.51,2.63,3.14,22.84,5.47,1.90,3.17,0.036,0.071,106,0.118,0.886,0.093,0.000,0.021,10053,5034,2,0.667,0.000,0.561,1234482,0.208,0.114,0.013,40.63
90000,235,4.137,0.066,14.11,16909,14361,1,2548,1,231,406076.7,7968.5,0.010,0.194,0.207,0.235,0.354,4154,59.43,6.23,32.58,6.47,1.26,4.34,3.14,3.58,22.45,5.09,0.72,1.89,0.021,0.071,102,0.064,0.915,0.060,0.000,0.026,10604,4685,1,0.323,0.677,0.753,1396924,0.198,0.111,0.010,40.65
100000,240,4.269,0.065,14.52,17661,14481,0,3173,2,137,406771.4,9336.2,0.017,0.207,0.253,0.222,0.300,4341,56.28,6.80,30.68,6.23,2.14,4.86,2.96,3.20,20.49,5.05,1.90,4.19,0.034,0.076,89,0.075,0.871,0.100,0.000,0.029,11224,4492,3,0.367,0.229,0.729,1852355,0.169,0.117,0.013,40.68
110000,234,4.146,0.075,14.35,17306,13817,2,3490,3,123,406465.1,10509.6,0.024,0.245,0.252,0.202,0.278,3944,56.66,6.16,32.95,5.83,1.33,4.49,3.32,3.82,19.05,5.96,1.07,3.55,0.022,0.073,65,0.162,0.919,0.056,0.000,0.026,10931,4860,3,0.483,0.325,0.675,1894176,0.195,0.133,0.022,40.66
120000,255,3.996,0.067,14.28,16552,13876,0,2653,2,126,406764.2,7638.0,0.020,0.165,0.213,0.246,0.355,3859,53.07,7.16,29.53,7.42,0.67,2.62,3.68,5.12,19.20,3.90,0.64,2.46,0.013,0.049,95,0.114,0.914,0.059,0.000,0.027,10210,4670,2,0.475,0.278,0.671,1746027,0.187,0.112,0.010,40.68
130000,249,3.859,0.068,13.73,18409,14752,0,3661,2,123,406120.8,10565.4,0.010,0.116,0.151,0.315,0.408,4135,53.92,6.35,31.24,6.26,1.05,2.35,2.79,4.68,18.84,3.71,1.00,2.11,0.018,0.039,93,0.189,0.904,0.080,0.000,0.016,11269,5219,1,0.378,0.622,0.719,1669543,0.165,0.122,0.014,40.60
140000,295,3.530,0.054,15.00,20614,16354,0,4203,11,260,406896.6,10831.3,0.003,0.178,0.174,0.305,0.340,3472,45.98,8.23,27.02,6.63,1.78,4.11,1.37,3.24,15.81,4.31,1.35,2.96,0.034,0.073,115,0.068,0.898,0.088,0.000,0.014,13087,5257,2,0.403,0.464,0.261,1595973,0.165,0.103,0.010,40.69
150000,288,3.598,0.055,14.86,20457,17236,1,3212,15,92,407063.2,7374.8,0.005,0.261,0.212,0.259,0.263,3174,46.03,6.76,27.49,4.78,0.76,2.64,2.38,2.96,15.40,3.66,0.59,1.71,0.016,0.051,103,0.115,0.938,0.052,0.000,0.010,14339,5121,4,0.299,0.226,0.646,1495322,0.197,0.098,0.007,40.76
160000,265,3.764,0.059,13.88,21167,16672,4,4464,50,185,407311.5,9930.6,0.008,0.134,0.140,0.370,0.348,3054,49.48,4.98,25.64,6.15,1.72,3.41,4.31,4.92,17.82,2.98,1.41,2.39,0.033,0.061,98,0.174,0.906,0.091,0.000,0.004,14032,7045,2,0.694,0.000,0.894,1431000,0.147,0.105,0.009,40.74
170000,276,3.501,0.058,14.07,18947,15704,2,3228,2,184,407357.7,8529.4,0.003,0.167,0.177,0.289,0.364,3502,47.61,5.67,25.92,5.12,1.25,2.85,2.62,3.94,17.82,2.60,1.06,2.18,0.023,0.048,81,0.261,0.877,0.101,0.000,0.022,12830,6784,2,0.449,0.127,0.757,2253216,0.145,0.102,0.009,40.77
180000,247,3.933,0.060,12.99,17795,14392,0,3432,0,83,406355.9,9932.9,0.014,0.248,0.145,0.261,0.332,4114,52.32,4.60,28.33,5.06,0.46,2.02,3.21,3.40,20.32,4.33,0.41,1.65,0.008,0.034,83,0.235,0.951,0.032,0.000,0.016,11296,5477,2,0.619,0.053,0.870,1924599,0.173,0.102,0.008,40.65
190000,267,3.657,0.059,13.51,23346,17524,0,5765,37,135,406628.8,14486.6,0.039,0.273,0.139,0.239,0.311,3535,52.49,13.73,28.35,11.59,0.74,2.89,4.08,5.04,19.32,4.98,0.42,1.48,0.013,0.047,109,0.150,0.910,0.071,0.000,0.019,14543,8215,2,0.809,0.037,0.745,1192948,0.162,0.103,0.007,40.66
200000,252,3.922,0.059,14.54,17444,13683,4,3761,11,119,406459.8,10408.5,0.003,0.118,0.130,0.301,0.448,4076,54.98,8.75,30.78,5.60,1.47,3.49,2.33,4.08,20.40,5.28,1.06,2.47,0.024,0.056,83,0.103,0.921,0.075,0.000,0.004,10836,5479,2,0.905,0.000,0.583,1629185,0.164,0.101,0.008,40.70
210000,239,4.140,0.069,14.15,18906,14741,6,4165,7,204,407295.3,11212.8,0.006,0.118,0.191,0.286,0.398,3648,52.24,7.35,29.62,5.83,2.38,4.45,2.09,2.29,18.15,4.12,2.00,3.32,0.044,0.079,87,0.117,0.837,0.151,0.000,0.013,12385,6119,1,0.879,0.121,0.594,1767999,0.168,0.121,0.016,40.69
220000,302,3.337,0.051,13.37,18953,14833,3,4037,17,176,407337.2,10002.0,0.004,0.113,0.161,0.311,0.411,3559,42.80,10.22,23.77,7.83,0.97,3.83,1.18,3.20,16.88,4.88,0.59,2.04,0.019,0.075,113,0.232,0.904,0.086,0.000,0.010,12540,6116,2,0.666,0.232,0.275,1454190,0.174,0.094,0.007,40.73
230000,221,4.364,0.077,14.75,26731,20040,2,6722,48,192,405777.7,14647.1,0.013,0.150,0.119,0.296,0.421,2837,60.90,2.97,36.97,5.17,1.53,3.74,1.56,2.64,20.85,2.69,1.33,3.00,0.025,0.059,73,0.208,0.910,0.090,0.000,0.000,18510,8179,2,0.973,0.000,0.584,738467,0.187,0.134,0.020,40.64
240000,335,3.214,0.049,13.09,19671,15619,3,3934,1,681,406438.9,11351.9,0.028,0.164,0.178,0.272,0.358,3372,41.83,4.46,21.18,4.24,1.98,2.10,0.52,2.30,18.15,2.59,1.74,1.51,0.046,0.044,85,0.373,0.863,0.122,0.000,0.015,13286,8330,2,0.913,0.078,0.093,978145,0.200,0.088,0.005,40.67
250000,275,3.865,0.057,13.66,22007,17134,2,4921,10,514,405227.7,12346.9,0.022,0.143,0.160,0.299,0.376,3251,47.35,6.30,28.63,6.56,1.53,3.80,1.32,3.01,15.88,3.53,1.23,2.97,0.028,0.069,92,0.135,0.876,0.102,0.000,0.022,14921,10474,1,1.000,0.000,0.404,709813,0.150,0.100,0.005,40.65
260000,295,3.513,0.054,13.34,20519,16593,3,3884,19,501,406630.8,9262.0,0.032,0.149,0.164,0.293,0.363,3269,44.18,8.15,24.96,5.63,2.53,3.26,0.53,1.65,16.16,4.60,2.28,2.45,0.054,0.062,114,0.247,0.824,0.173,0.000,0.003,13929,7426,3,0.756,0.037,0.193,1352819,0.127,0.095,0.004,40.67
270000,228,4.266,0.075,12.54,21655,16113,4,5585,20,694,400885.3,15644.6,0.021,0.108,0.214,0.301,0.356,3495,61.79,3.44,38.94,5.06,1.66,4.12,2.37,2.91,18.81,4.49,1.22,3.06,0.026,0.065,92,0.202,0.925,0.053,0.000,0.022,14534,7750,2,0.961,0.000,0.566,717670,0.170,0.124,0.015,40.20
280000,251,3.962,0.066,13.25,19265,16540,0,2692,10,366,406063.2,8234.7,0.023,0.281,0.314,0.172,0.210,4068,54.68,6.70,32.79,5.81,2.09,3.42,1.12,2.14,18.69,5.47,1.83,2.53,0.037,0.058,106,0.100,0.896,0.080,0.000,0.024,12623,6820,2,0.347,0.410,0.474,1243717,0.164,0.117,0.013,40.57
