step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth
10000,3263,4.430,0.087,9.54,296761,218958,0,80574,152,5782,5589467.0,279580.7,0.031,0.266,0.253,0.183,0.268,433,61.70,6.68,37.83,10.35,2.21,6.14,0.80,2.90,20.86,5.70,1.92,5.58,0.036,0.100,623,0.168,0.907,0.071,0.000,0.022,166587,92699,5,0.500,0.096,0.127,3139063,0.196,0.189,0.052,554.40
20000,3200,4.531,0.071,9.01,260685,205083,20,55578,67,1872,6064652.5,193152.9,0.026,0.309,0.294,0.162,0.208,414,63.36,2.65,39.03,8.77,1.52,5.57,1.81,4.48,21.01,4.98,1.41,5.14,0.024,0.087,569,0.070,0.933,0.044,0.000,0.023,162933,75617,11,0.368,0.156,0.289,5946441,0.232,0.166,0.039,608.40
30000,3701,4.093,0.070,9.30,268241,194488,39,71722,1491,1928,5921372.5,230852.1,0.031,0.296,0.272,0.179,0.221,413,54.72,20.18,32.21,16.85,2.22,6.02,1.10,3.10,19.19,7.06,1.99,5.46,0.035,0.094,697,0.060,0.890,0.087,0.000,0.023,169456,74750,12,0.149,0.191,0.238,8933664,0.228,0.159,0.034,608.43
40000,3500,4.446,0.062,10.99,304369,189459,98,108733,6280,2309,5982120.0,269731.4,0.061,0.245,0.245,0.194,0.254,340,61.52,11.03,36.00,10.84,1.58,5.13,1.99,3.65,21.95,6.83,1.52,4.95,0.025,0.080,824,0.085,0.907,0.069,0.000,0.024,193886,97497,17,0.129,0.199,0.420,12462905,0.227,0.143,0.026,625.91
50000,3911,4.070,0.061,10.83,297826,177008,231,113758,6418,2505,5982885.0,283851.9,0.090,0.223,0.235,0.205,0.248,323,54.63,19.98,32.35,16.53,2.59,6.75,1.09,2.79,18.60,6.62,2.44,6.32,0.040,0.106,785,0.060,0.859,0.111,0.000,0.030,198850,97387,20,0.153,0.138,0.241,11161590,0.211,0.130,0.020,631.18
60000,3359,4.580,0.057,12.60,280468,181528,126,97929,1437,2738,6330026.5,287997.3,0.051,0.209,0.239,0.222,0.280,363,63.98,0.52,40.79,6.53,1.73,5.75,0.82,2.24,20.64,4.52,1.65,5.48,0.027,0.090,581,0.077,0.927,0.056,0.000,0.017,187124,86480,21,0.291,0.139,0.244,10315886,0.207,0.121,0.016,645.73
70000,3400,4.584,0.057,13.37,228583,174795,121,53623,3,1492,6346812.5,191711.0,0.044,0.199,0.238,0.233,0.286,428,63.94,0.52,41.30,7.55,1.66,5.68,1.36,2.88,19.61,4.74,1.60,5.48,0.026,0.089,617,0.057,0.931,0.051,0.000,0.018,151632,55840,19,0.309,0.183,0.369,7611109,0.200,0.114,0.013,647.29
80000,3404,4.549,0.057,13.79,222887,167611,156,55016,100,1409,6419829.5,189310.9,0.049,0.213,0.252,0.222,0.264,432,63.98,0.43,41.03,7.28,2.17,6.46,1.72,3.02,19.05,3.87,2.10,6.27,0.034,0.101,605,0.055,0.915,0.071,0.000,0.015,150864,46287,19,0.372,0.075,0.489,14368573,0.210,0.114,0.012,649.81
90000,3411,4.580,0.059,13.89,222375,161119,135,61100,14,1992,6469783.5,217162.8,0.058,0.228,0.237,0.214,0.263,461,63.59,3.89,42.41,8.65,1.77,5.93,1.67,3.20,17.75,4.37,1.74,5.86,0.028,0.093,585,0.070,0.932,0.055,0.000,0.013,152047,53196,20,0.328,0.304,0.485,15590701,0.213,0.122,0.016,646.60
100000,4522,3.747,0.055,13.13,380605,170567,191,201530,7206,6538,6105698.5,389380.2,0.076,0.238,0.241,0.194,0.251,302,46.86,25.59,29.09,20.23,2.61,7.12,1.08,2.48,14.08,5.92,2.41,6.83,0.049,0.131,758,0.085,0.883,0.094,0.000,0.023,248173,102743,17,0.293,0.191,0.372,17017227,0.219,0.114,0.013,648.71
