step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,invaders,invaders_land,invader_grown,invader_lineages
1000,11275,8955,115785,726680,696104,601316,9579,52370,1234,0,181313,4056864,181003.524,64152.874,0.2006,61879.162,0.228,0.242,0.304,0.225,0.639,0.335,383,0.0165,0.6725,0.104,15.4,50.4,95.8,50.64,4.13,5.22,3.64,37.65,8.12,1.041,0.098,0.049,0.050,26.587,0.684,0.0023,143,453,1869,7896,51,0,0.000,5539,3527,3004,4744,809,3955,6511,0.00,0.49,13374,35.6119,66711,9691,540532,2778.8,-0.0,461390,55.358,2631075.518,7.08e-16,0.00093,30.00,214350,84.152,1.582,81.757,0.813,84.152,9062,698,1515,0.4213,0.840,1.026,1.262,1.037,0.892,1.133,37222.524,11452.276,173314.390,37842.409,31725.888,1258.648,732.119,282.944,0.701,0.567,0.531,0.884,0.738,0.641,7317,51140,0.7013,0.6160,0.6185,0.9999,0.0569,0.0468,0.5238,0.6711,0.7732,0.0902,0.0510,0.0276,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,16296,0.9999,0.8139,0.7049,0.9990,0.0569,0.0468,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1551,5.1031,5.2352,0.1226,0.2548,0.2131,0.502,0.510,0.555,0.456,7734,0.1638,0.0096,0.0127,0.00236,0.00164,0.00147,23.37,28.18,27.95,56.0673,0.0142,68.8360,33.3456,22.0129,1078654,1531909,0.6603,0.0065,1744.5,56.0673,21.62,0,0,0,0
2000,12503,3287,38658,90175,85603,50690,827,13766,695,0,87790,1454762,30256.786,11313.083,0.2596,9888.513,0.218,0.377,0.230,0.175,0.587,0.342,455,0.0175,0.6265,0.092,14.2,39.4,74.9,41.51,1.80,6.01,1.96,31.73,7.77,1.033,0.157,0.032,0.033,11.375,0.385,0.0023,129,1160,1165,4823,52,0,0.000,5634,865,2275,9363,558,1055,10890,0.00,3.07,15156,15.1050,66811,12781,504644,2950.2,-0.0,519975,21.285,2631075.518,9.03e-15,0.00071,25.34,29541,18.587,1.539,16.419,0.629,18.587,2741,3542,6220,0.3820,0.835,1.033,1.221,1.030,0.886,1.118,13109.636,10515.971,9215.404,13068.285,17861.610,597.910,399.419,427.241,0.546,0.615,0.603,0.531,0.573,0.572,17554,14466,0.5899,0.4865,0.5661,0.9996,0.0631,0.0556,0.5399,0.7635,0.8804,0.1021,0.0222,0.0173,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,7270,0.9993,0.6128,0.6776,0.9994,0.0631,0.0556,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1285,5.0438,5.0691,0.0602,0.1496,0.1296,0.269,0.300,0.353,0.252,1233,0.0982,0.0017,0.0019,0.00224,0.00075,0.00055,26.28,28.43,27.67,111.2211,0.0191,31.1894,14.8248,6.4599,1092855,1526961,1.4005,0.0556,3098.2,111.2211,26.00,0,0,0,0
3000,9551,2593,66526,157906,147394,90078,1302,21543,3035,1,248279,2488135,44132.816,20107.443,0.2562,16132.368,0.144,0.523,0.181,0.152,0.554,0.318,1801,0.0758,0.6853,0.080,13.5,36.8,76.0,39.63,1.79,6.67,1.32,29.84,7.62,1.064,0.178,0.059,0.060,10.263,0.398,0.0028,94,358,1216,16539,128,0,0.000,4757,38,2114,7399,608,1045,7898,0.00,7.68,16535,18.3562,66734,10247,466101,2779.3,-0.0,554342,17.425,2631075.518,2.18e-14,0.00159,14.43,51098,23.200,1.558,21.269,0.373,23.200,2835,2262,4454,0.3651,0.896,1.027,1.293,1.047,0.938,1.139,16119.437,18621.437,13441.123,15998.321,30825.740,762.625,1415.204,1797.247,0.560,0.523,0.571,0.620,0.518,0.593,13197,35144,0.6918,0.3713,0.4174,0.9990,0.0474,0.0377,0.5024,0.8315,0.9491,0.0744,0.0295,0.0174,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,8994,0.9991,0.6593,0.7520,0.9987,0.0474,0.0377,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2237,5.0515,5.4167,0.0556,0.1372,0.1011,0.173,0.189,0.244,0.149,761,0.0660,0.0024,0.0029,0.00235,0.00125,0.00101,21.64,26.48,27.05,430.2987,0.0322,47.3146,5.4701,11.9551,1095386,1527808,1.9022,0.1109,3920.5,430.2987,22.38,0,0,0,0
4000,8492,2715,44490,94088,85259,49127,471,16396,1817,5,213753,2376568,33100.542,12343.926,0.2514,8984.827,0.105,0.663,0.130,0.102,0.570,0.312,860,0.0721,0.6588,0.080,14.6,40.8,83.4,41.69,2.27,8.46,1.07,29.89,7.63,1.081,0.197,0.124,0.127,11.967,0.402,0.0029,103,408,1218,9190,138,0,0.000,4436,32,1911,6549,271,1258,6963,0.50,8.69,14092,17.6250,66774,14162,444245,1929.3,0.0,586397,14.511,2631075.518,8.32e-15,0.00123,37.93,32196,17.583,1.571,15.736,0.276,17.583,3109,2289,3094,0.3559,0.929,1.043,1.280,1.119,0.946,1.143,10339.754,9181.823,17791.071,10241.371,14052.927,1285.906,1073.626,999.567,0.679,0.497,0.538,0.641,0.457,0.468,20450,22581,0.6681,0.3317,0.3857,0.9996,0.0467,0.0531,0.5286,0.8259,0.8342,0.0961,0.0113,0.0190,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,3641,0.9996,0.6632,0.7356,0.9990,0.0467,0.0531,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2882,4.9669,5.2337,0.0591,0.0870,0.0782,0.220,0.130,0.157,0.188,1109,0.0914,0.0042,0.0033,0.00215,0.00069,0.00062,26.86,26.77,26.62,1196.8399,0.0456,24.7096,6.6546,7.8567,1096157,1526908,1.9739,0.1293,3907.5,1196.8399,25.42,0,0,0,0
5000,11018,3093,54683,139121,130603,83400,1038,14994,1267,3,193161,2428355,43052.225,15715.191,0.2606,12569.055,0.109,0.597,0.119,0.176,0.589,0.303,813,0.0491,0.6496,0.092,16.0,44.4,78.2,41.36,2.10,8.29,0.65,30.32,7.79,1.075,0.183,0.144,0.147,10.572,0.338,0.0024,91,387,1467,12265,246,7,0.665,5704,64,2210,8744,402,1345,9271,1.50,8.28,16952,17.4971,66766,11759,415440,3830.2,-0.0,614240,14.258,2631075.518,3.40e-14,0.00049,12.68,46844,22.198,1.624,20.109,0.465,22.198,3328,3182,4508,0.3575,0.905,1.038,1.295,1.132,0.930,1.134,16512.760,17692.787,12177.904,16342.593,27100.783,1331.145,835.558,979.433,0.664,0.546,0.563,0.514,0.561,0.659,19388,28915,0.6325,0.2847,0.3173,0.9986,0.0423,0.0593,0.5536,0.7861,0.8461,0.1037,0.0159,0.0215,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,6146,0.9969,0.5971,0.6777,0.9990,0.0426,0.0594,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.2866,4.8523,5.0664,0.0539,0.0741,0.0654,0.126,0.117,0.158,0.096,832,0.0641,0.0027,0.0025,0.00235,0.00109,0.00103,26.80,27.37,27.66,1938.1431,0.0485,44.0586,5.8979,8.3605,1098152,1523284,1.4014,0.0941,3283.2,1938.1431,23.03,0,0,0,0
6000,9674,3500,48883,114014,105999,64471,660,15137,1415,12,188222,2448201,40259.382,14486.361,0.2555,11480.642,0.089,0.649,0.142,0.121,0.582,0.312,747,0.0561,0.6198,0.072,20.0,53.1,91.0,47.11,2.93,9.99,0.81,33.38,7.87,1.116,0.200,0.209,0.215,12.527,0.392,0.0025,87,407,1744,10595,435,9,0.420,5588,218,1470,7986,975,1496,7203,1.25,8.28,12933,17.7722,66775,13906,388188,2314.0,-0.0,648953,15.040,2631075.518,3.36e-15,0.00013,23.20,38857,20.167,1.584,18.170,0.412,20.167,4276,1921,3477,0.2672,0.924,1.086,1.352,1.163,0.932,1.158,12125.901,11763.007,21524.812,12006.634,18208.577,1214.179,776.461,1015.080,0.672,0.496,0.562,0.662,0.488,0.542,22407,27833,0.5859,0.3004,0.3333,0.9993,0.0482,0.0688,0.5294,0.7301,0.8184,0.0985,0.0247,0.0212,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,4989,0.9995,0.6642,0.7090,0.9994,0.0482,0.0690,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3416,5.0093,5.1895,0.0522,0.0789,0.0680,0.114,0.158,0.159,0.097,841,0.0543,0.0027,0.0036,0.00213,0.00079,0.00078,23.48,27.42,27.32,1775.7917,0.0503,30.6593,7.6173,7.4227,1098394,1522980,0.7393,0.0286,2946.1,1775.7917,19.40,0,0,0,0
7000,8529,3120,47833,102258,94018,53752,673,14072,1271,7,198243,2358967,38673.052,13352.720,0.2478,10282.533,0.100,0.670,0.124,0.106,0.579,0.305,707,0.0686,0.6059,0.077,21.6,50.4,89.7,45.77,3.13,10.98,0.57,31.09,7.74,1.120,0.220,0.228,0.233,12.337,0.392,0.0025,85,435,1634,10826,390,13,0.479,5040,909,1197,6423,766,1355,6408,2.75,10.57,11251,16.6244,66842,13915,360990,2899.2,-0.0,683382,14.563,2631075.518,3.54e-16,0.00058,24.47,36471,19.806,1.573,17.917,0.316,19.806,3990,1922,2617,0.2860,0.892,1.103,1.372,1.185,0.906,1.177,12191.710,12427.310,18425.088,12020.542,18509.954,1238.906,628.101,1203.179,0.670,0.491,0.534,0.556,0.508,0.527,26079,27588,0.5917,0.2383,0.3353,0.9994,0.0487,0.0756,0.5559,0.6971,0.8336,0.1101,0.0258,0.0192,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,5254,0.9984,0.5994,0.7410,0.9989,0.0487,0.0758,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4004,5.1156,5.4115,0.0500,0.0559,0.0490,0.078,0.087,0.110,0.087,786,0.0491,0.0032,0.0041,0.00229,0.00090,0.00081,26.53,27.56,26.72,1702.5442,0.0566,31.1421,7.4720,7.0914,1100367,1522298,0.5733,0.0133,2727.0,1702.5442,21.78,0,0,0,0
8000,7227,2260,47100,98027,89305,50571,356,11804,1317,6,208265,2264030,34699.867,13736.075,0.2550,10416.407,0.063,0.746,0.103,0.089,0.560,0.319,951,0.0834,0.6122,0.071,20.4,52.0,91.4,43.83,3.41,10.54,0.56,29.33,7.57,1.160,0.210,0.228,0.234,11.257,0.330,0.0023,79,398,1512,11174,334,17,0.450,4288,469,717,6041,766,584,5877,4.00,11.82,13868,16.9543,66742,15812,336597,2160.7,-0.0,708475,12.167,2631075.518,3.72e-15,0.00061,7.77,35720,17.454,1.575,15.640,0.240,17.455,2914,1288,3025,0.2260,0.947,1.131,1.417,1.184,0.942,1.229,9995.113,15159.832,12972.959,9856.092,22287.223,1295.074,607.739,1416.855,0.650,0.479,0.524,0.485,0.454,0.561,26262,28883,0.6121,0.2305,0.2825,0.9988,0.0436,0.0624,0.5315,0.8342,0.8171,0.1402,0.0186,0.0213,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,5524,0.9991,0.7423,0.7350,0.9980,0.0436,0.0624,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4751,4.8480,5.3435,0.0468,0.0773,0.0653,0.084,0.162,0.139,0.095,868,0.0617,0.0034,0.0059,0.00229,0.00077,0.00088,24.76,28.00,27.81,1419.7350,0.0549,32.7169,6.2140,5.9526,1103193,1521068,1.0092,0.1035,2802.6,1419.7350,16.84,0,0,0,0
9000,7624,2381,47697,107383,100671,59017,669,9912,850,9,148316,2154068,37294.473,12689.205,0.2432,10435.184,0.077,0.699,0.134,0.089,0.597,0.309,419,0.0539,0.6133,0.077,18.2,42.5,86.3,42.07,3.15,8.03,0.63,30.26,7.40,1.108,0.167,0.195,0.199,11.684,0.370,0.0021,64,356,1309,9030,323,15,0.297,4098,17,951,6656,177,1028,6419,2.00,9.20,14334,18.0274,66734,15265,319476,2221.3,-0.0,728640,10.874,2631075.518,1.77e-14,0.00270,30.68,36754,17.258,1.590,15.385,0.284,17.258,2631,2015,2978,0.3187,0.869,1.084,1.377,1.169,0.893,1.199,11335.428,13889.795,16254.267,11189.161,20286.229,916.241,455.482,882.298,0.665,0.546,0.565,0.609,0.524,0.538,28904,31921,0.6272,0.1823,0.2306,0.9997,0.0534,0.0661,0.5087,0.9035,0.8729,0.1341,0.0249,0.0243,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,3861,0.9986,0.7597,0.7759,0.9989,0.0534,0.0661,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4801,5.3809,5.5800,0.0492,0.0866,0.0711,0.084,0.151,0.140,0.104,747,0.0642,0.0027,0.0038,0.00236,0.00100,0.00099,25.35,27.80,28.23,1388.5917,0.0424,32.0114,5.4738,5.4006,1104204,1519694,1.8244,0.1898,2898.7,1388.5917,18.95,0,0,0,0
10000,8925,2682,55076,118169,109453,62549,544,13755,1257,8,198302,2588762,38895.237,13186.327,0.2348,10276.380,0.065,0.735,0.124,0.076,0.587,0.314,787,0.0599,0.6452,0.052,16.4,45.1,81.4,40.71,2.70,9.09,0.74,28.17,7.29,1.131,0.198,0.187,0.189,11.294,0.360,0.0025,72,315,1276,10547,372,16,0.459,4962,27,983,7915,387,1467,7071,2.25,9.62,17902,20.5754,66731,13510,303627,3189.1,0.0,740614,11.820,2631075.518,6.55e-15,0.00169,11.37,44278,19.718,1.597,17.750,0.371,19.742,3565,2024,3336,0.2779,0.920,1.094,1.398,1.184,0.925,1.198,12768.268,16212.293,12736.649,12637.440,23797.528,994.399,861.514,1054.034,0.670,0.520,0.582,0.542,0.474,0.563,28220,33987,0.6331,0.2219,0.2892,0.9996,0.0326,0.0520,0.5696,0.8554,0.8512,0.1186,0.0115,0.0216,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,4071,0.9986,0.7564,0.7182,0.9987,0.0326,0.0520,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5669,5.5823,5.6475,0.0480,0.1027,0.0861,0.089,0.159,0.212,0.105,697,0.0567,0.0024,0.0043,0.00226,0.00086,0.00105,26.03,28.12,28.20,1271.7646,0.0429,36.9715,4.9487,6.8709,1104869,1518005,2.2215,0.1967,3080.9,1271.7646,19.36,0,0,0,0
11000,7628,2816,50862,126845,118455,75333,650,11419,1132,4,206186,2426887,42221.296,15339.368,0.2612,11973.341,0.058,0.736,0.139,0.067,0.589,0.305,599,0.0702,0.6105,0.073,18.3,52.9,91.4,44.76,3.41,11.59,0.49,29.28,7.65,1.147,0.233,0.256,0.262,13.426,0.373,0.0022,72,343,1309,9957,278,15,0.123,4879,62,1235,6331,457,1818,5353,2.75,9.76,15860,21.7812,66776,13720,286527,2628.6,-0.0,757532,11.398,2631075.518,3.82e-14,0.00125,16.93,45113,19.458,1.568,17.612,0.278,19.458,3936,1236,2456,0.2653,0.914,1.135,1.404,1.161,0.931,1.233,11376.510,14433.918,21896.509,11249.265,21048.864,1647.195,744.998,973.834,0.682,0.483,0.563,0.636,0.519,0.611,25761,34827,0.6061,0.1892,0.3306,0.9993,0.0438,0.0642,0.5330,0.8554,0.8723,0.1080,0.0124,0.0273,0.0000,0.2188,0.9371,0.0473,0.6605,0.9412,0.00249,4152,0.9992,0.7984,0.7692,0.9989,0.0438,0.0642,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6410,5.5063,5.4312,0.0524,0.0589,0.0451,0.054,0.095,0.097,0.050,625,0.0418,0.0018,0.0037,0.00239,0.00094,0.00121,23.62,26.61,27.77,1447.8309,0.0531,32.8284,6.0224,5.3753,1105487,1517481,2.0847,0.1218,3077.6,1447.8309,17.49,0,0,0,0
12000,8944,3439,50546,132251,122034,81316,389,13437,1493,9,276284,2938279,44544.998,16754.723,0.2547,12357.210,0.053,0.779,0.097,0.071,0.593,0.297,767,0.0743,0.6067,0.068,19.9,51.8,84.3,43.35,3.44,11.27,0.52,28.13,7.48,1.137,0.229,0.272,0.280,13.027,0.380,0.0023,88,400,1483,11507,279,21,0.325,5419,235,1586,7123,979,1556,6409,2.50,9.29,11447,19.5276,66998,13438,270331,2503.7,-0.0,778986,13.895,2631075.518,1.77e-15,0.00080,31.67,45702,21.438,1.568,19.549,0.322,21.439,4781,1736,2427,0.2744,0.914,1.119,1.382,1.181,0.943,1.187,12186.904,13951.224,24572.941,12038.005,20291.261,1879.106,847.305,1671.103,0.686,0.494,0.545,0.707,0.526,0.590,26097,29699,0.6185,0.2001,0.2829,0.9994,0.0436,0.0616,0.5506,0.8894,0.8453,0.1141,0.0179,0.0246,0.0000,0.7468,0.9383,0.2621,0.6599,0.9485,0.00244,3712,0.9994,0.7617,0.7874,0.9990,0.0436,0.0616,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6102,5.2329,5.3891,0.0495,0.0527,0.0409,0.055,0.092,0.079,0.069,880,0.0481,0.0027,0.0051,0.00223,0.00088,0.00106,27.96,27.17,27.14,1573.5749,0.0679,32.9058,7.9628,5.9324,1105988,1515873,1.7826,0.0355,2944.8,1573.5749,23.27,0,0,0,0
13000,8365,2975,41598,82560,73490,40648,314,12218,1342,2,233148,2585457,31526.125,12111.244,0.2650,8249.984,0.041,0.809,0.090,0.059,0.580,0.304,854,0.0752,0.6086,0.072,18.3,49.9,89.5,43.02,3.59,9.80,0.35,29.28,7.43,1.144,0.217,0.248,0.259,12.073,0.362,0.0024,85,456,1481,9678,243,24,0.171,4988,282,1512,6571,1038,842,6485,3.50,10.13,11944,16.7399,67041,16933,260839,1907.5,-0.0,796403,13.047,2631075.518,4.42e-15,0.00003,10.33,30749,17.271,1.578,15.400,0.293,17.271,3747,1963,2655,0.3052,0.897,1.126,1.412,1.201,0.929,1.223,9138.168,10472.739,15754.410,9047.587,14974.112,1794.199,732.401,1334.660,0.669,0.469,0.541,0.570,0.417,0.496,31521,24593,0.5967,0.2300,0.2602,0.9994,0.0421,0.0739,0.5233,0.7983,0.8549,0.1298,0.0300,0.0245,0.0000,0.0000,0.8274,0.1762,0.6233,0.9563,0.00248,3092,0.9996,0.7477,0.7922,0.9986,0.0421,0.0739,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5334,5.2362,5.5121,0.0470,0.0452,0.0383,0.034,0.094,0.091,0.036,930,0.0624,0.0039,0.0057,0.00222,0.00065,0.00072,25.22,27.07,26.96,1497.8049,0.0628,24.4463,7.9377,5.1089,1108565,1514329,1.9748,0.0367,2919.8,1497.8049,21.76,0,0,0,0
14000,7607,2644,51079,107735,96657,56084,572,13027,1545,6,246664,2745629,36860.503,14381.252,0.2637,10315.806,0.042,0.806,0.089,0.063,0.564,0.317,1188,0.0920,0.6299,0.069,16.6,44.7,84.8,38.60,3.28,10.76,0.41,24.15,7.39,1.175,0.239,0.246,0.259,11.562,0.365,0.0023,73,372,1345,9945,254,22,0.255,4976,192,1533,5882,686,654,6267,4.50,11.16,13682,16.6374,67073,15586,250949,2298.3,-0.0,808548,12.798,2631075.518,1.40e-14,0.00010,33.24,38218,18.298,1.560,16.473,0.265,18.298,3002,1764,2841,0.2746,0.940,1.166,1.446,1.238,0.951,1.248,12235.824,14428.169,13834.288,12106.427,21235.594,1270.357,1014.041,1781.047,0.664,0.445,0.563,0.515,0.470,0.562,32610,30093,0.6937,0.1576,0.2386,0.9996,0.0400,0.0654,0.5628,0.8502,0.9273,0.1409,0.0370,0.0328,0.0000,0.7572,0.9652,0.0775,0.6548,0.9787,0.00250,6354,0.9978,0.6887,0.7783,0.9985,0.0400,0.0654,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6178,5.5215,5.5964,0.0485,0.0402,0.0344,0.043,0.084,0.081,0.039,812,0.0541,0.0047,0.0061,0.00230,0.00069,0.00079,23.99,26.58,26.86,1488.9716,0.0557,33.8514,6.7043,6.0936,1111350,1512656,2.6419,0.1661,2922.6,1488.9716,23.50,0,0,0,0
