step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry
90000,2,710,31.85,0.00,4.60,0.00,11.32,0.00,1.00,0.000,0.129,392216.0,255249.4,17,117,3.25,1.00,1.00,36.5564,1500.40,29748.3,5.3190,3.1143,5461,23.1246,53,53.9009,364366.6,71.21,24.7066
100000,0,718,31.11,0.00,4.00,0.00,11.55,0.00,1.00,0.000,0.128,256424.9,123200.0,12,95,3.02,1.00,1.00,14.4543,640.34,12963.0,4.4335,7.5871,5462,13.2513,90,23.8056,181294.7,142.23,1.5451
100000,1,733,30.94,0.00,3.82,0.01,11.65,0.00,1.00,0.000,0.130,142994.2,71880.1,10,142,3.16,1.00,1.00,9.4779,704.04,28540.7,0.2684,5.0880,5461,13.2489,60,12.0731,92279.9,86.56,3.4015
100000,2,653,31.07,0.00,4.30,0.00,11.23,0.00,1.00,0.000,0.116,107563.8,47751.0,11,174,3.15,1.00,1.00,6.1471,686.37,42617.2,0.0525,4.5683,5461,13.2489,43,8.1996,62229.1,71.21,5.6294
110000,0,818,31.30,0.01,3.70,0.00,11.93,0.01,1.01,0.002,0.147,355004.6,196006.0,20,123,3.19,1.01,1.00,25.4015,1290.57,13327.4,20.7890,8.8168,5462,23.3654,38,35.6567,269324.9,142.23,3.5494
110000,1,832,30.07,0.01,3.91,0.00,11.12,0.01,1.00,0.005,0.142,419735.8,282387.6,20,152,3.06,1.00,1.00,39.9473,1007.81,24712.8,13.3404,5.0840,5461,23.3612,49,54.1779,372513.3,86.56,13.1175
110000,2,781,29.83,0.02,3.60,0.00,11.28,0.01,1.01,0.005,0.134,382703.4,256610.7,23,150,3.14,1.01,1.01,36.0387,1312.39,32351.1,7.2177,4.9229,5461,23.3612,30,49.8991,336285.0,71.21,24.6975
120000,0,796,30.15,0.01,4.44,0.00,10.61,0.02,1.00,0.008,0.137,252372.7,115305.9,20,101,3.03,1.01,1.00,12.9978,607.28,12021.7,4.9538,8.2596,5462,13.3366,116,22.4194,170843.7,142.23,1.5131
120000,1,755,30.51,0.02,3.67,0.00,11.55,0.02,1.01,0.007,0.133,140853.6,67466.2,21,172,3.13,1.01,1.00,8.3649,908.99,29329.4,0.3317,5.4856,5461,13.3341,53,11.4438,86203.6,86.56,3.4556
120000,2,620,31.20,0.06,3.57,0.00,11.90,0.05,1.02,0.021,0.110,107330.5,50472.3,20,200,3.16,1.03,1.00,6.2828,679.87,44379.6,0.0274,4.7918,5461,13.3341,45,7.7933,59731.8,71.21,5.6639
130000,0,793,30.50,0.03,3.50,0.00,11.70,0.04,1.01,0.018,0.138,326426.4,157396.4,19,148,3.12,1.01,1.00,19.0176,510.13,11520.8,25.7617,9.2229,5462,23.3168,82,30.3618,236009.6,142.23,3.6088
130000,1,785,31.00,0.02,4.51,0.00,10.95,0.02,1.01,0.006,0.139,391631.6,260829.8,23,141,2.92,1.01,1.00,34.4465,1097.98,23169.0,16.5613,5.2350,5461,23.3126,57,47.1430,342059.8,86.56,13.5405
