step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2
1000,2489,0.9948,751.6,952,793,861,835,21,16,38,46114,41308,38430
2000,2421,0.9955,102.5,1949,766,834,821,22,14,38,54874,39374,31303
3000,2343,0.9953,292.3,2944,742,804,797,23,13,37,60998,35561,25379
4000,226,0.6726,582.0,431,94,87,45,8,10,7,67676,32307,20243
5000,834,0.9388,2100.2,617,425,260,149,35,32,35,75090,31822,19422
6000,811,0.9359,1234.9,1365,394,256,161,28,30,38,77846,28559,16246
7000,855,0.9018,1683.4,1653,435,268,152,34,38,43,80128,26310,14108
8000,671,0.8838,2779.8,893,355,214,102,39,28,37,85075,26348,14272
9000,568,0.9173,1041.5,1412,288,186,94,44,28,35,87850,24523,12489
10000,589,0.8913,1594.7,1399,361,166,62,35,36,25,90848,23478,11322
11000,372,0.9516,1013.4,1172,210,116,46,18,25,28,94472,23369,10787
12000,266,0.9699,721.2,1717,166,74,26,8,16,21,97509,21621,8904
13000,239,0.8285,1101.3,1180,159,58,22,12,22,20,100576,20093,7528
14000,128,0.8047,261.3,871,100,17,11,5,11,5,103872,18852,6454
15000,139,0.8345,435.7,1015,109,24,6,6,17,2,106940,17308,5411
16000,149,0.8658,577.7,1102,131,12,6,4,10,5,109032,16263,4835
17000,105,0.9619,320.4,1354,100,2,3,2,2,2,110880,15017,4237
18000,92,0.8696,406.4,1416,85,5,2,0,5,2,111689,13804,3706
19000,175,0.7943,1587.5,668,132,32,11,2,22,11,112114,13437,4089
20000,115,0.9217,1166.7,955,97,13,5,4,8,5,111946,13070,4331
21000,219,0.7260,2052.1,840,176,33,10,9,11,10,111216,12369,4540
22000,252,0.7262,2549.3,826,202,44,6,7,15,6,109078,12117,4973
23000,332,0.8584,2582.9,1045,254,73,5,13,19,4,106811,12450,5810
24000,330,0.7545,2000.5,806,247,66,17,19,22,12,107135,13003,6293
25000,331,0.8157,2038.8,953,258,47,26,31,20,15,106168,12939,6349
26000,365,0.8274,2527.2,1016,258,76,31,24,24,21,105979,12702,6563
27000,389,0.7558,2508.2,879,242,96,51,29,33,38,106812,12406,7040
28000,327,0.7706,1886.8,918,204,87,36,29,31,31,107768,12378,7002
29000,279,0.8387,2587.5,1137,188,69,22,19,27,18,107098,12168,6527
30000,219,0.7854,2385.9,1286,158,41,20,19,26,17,107597,11916,6085
31000,207,0.7681,2141.7,1139,146,38,23,14,23,16,108653,11690,5738
32000,199,0.8894,1067.3,1064,148,39,12,8,16,11,110700,11640,5611
33000,116,0.8879,514.4,1526,87,22,7,10,15,6,112648,10996,4853
34000,89,0.8539,588.6,1443,60,18,11,7,11,9,113981,10157,3998
35000,75,0.6800,445.7,593,62,10,3,3,9,2,115557,9605,3609
36000,67,0.5970,374.1,836,44,17,6,0,14,6,117051,9060,3179
37000,73,0.7260,245.5,895,57,12,4,0,9,4,117801,8310,2638
38000,88,0.6250,772.3,665,71,10,7,0,8,7,118203,7791,2427
39000,85,0.7059,780.8,1035,65,8,12,0,6,12,118749,7651,2681
40000,111,0.6486,1279.3,792,95,12,4,0,8,4,118137,7577,2908
41000,152,0.7237,1439.8,851,101,39,12,4,12,11,117453,7293,2905
42000,177,0.6441,1072.1,801,143,21,13,5,13,8,117454,7535,3388
43000,185,0.8216,1580.0,920,154,22,9,7,13,9,115970,8234,4225
44000,150,0.6667,1151.0,1268,124,20,6,3,10,5,114813,7463,3739
45000,247,0.7611,2122.8,959,156,65,26,13,15,23,114286,7756,4367
46000,215,0.7535,2916.4,868,168,18,29,15,8,28,113206,7698,4308
47000,200,0.8800,2319.9,1433,161,19,20,14,8,19,112474,7654,4178
48000,279,0.6308,3245.4,683,217,43,19,11,24,17,111981,7957,4570
49000,210,0.7857,1432.0,1013,145,47,18,12,26,16,112427,8914,5384
50000,215,0.8372,1540.0,1034,148,43,24,10,25,22,112797,8992,5012
51000,157,0.8599,1366.1,1324,111,30,16,6,12,13,113403,8982,4673
52000,120,0.8167,1210.1,1427,99,9,12,5,8,8,114185,8513,3995
53000,131,0.7939,1044.6,877,92,18,21,2,14,18,115473,8406,3631
54000,101,0.7426,881.1,999,65,27,9,4,18,9,116699,8068,3294
55000,88,0.8977,636.6,1224,69,11,8,3,6,8,117809,8094,3289
56000,73,0.8493,433.8,1046,51,17,5,2,11,5,118517,7737,2929
57000,40,0.9500,420.7,1353,31,6,3,1,3,3,118994,7239,2484
58000,53,0.7358,543.2,988,47,4,2,0,4,2,119461,6811,2213
59000,69,0.8841,839.6,1181,57,11,1,0,10,1,119796,6840,2561
60000,70,0.9571,487.0,1153,64,6,0,0,5,0,119584,6633,2549
61000,90,0.8000,873.0,1106,72,14,4,0,8,4,118704,6476,2567
62000,100,0.8400,1508.6,948,85,11,4,3,9,4,118436,7007,3266
63000,61,0.9016,862.4,1385,57,1,3,2,1,3,117880,6649,2999
64000,117,0.6239,1843.0,825,93,14,10,5,9,9,116765,6147,2877
65000,109,0.8349,1752.1,909,81,19,9,7,9,8,117043,6257,3336
66000,174,0.8506,1783.9,1099,129,29,16,13,10,14,117284,6914,4139
67000,117,0.9316,1506.6,1382,97,15,5,5,4,4,116150,6729,3973
68000,122,0.9016,894.9,1553,90,19,13,4,5,11,116211,6202,3433
69000,125,0.7840,1562.7,1076,93,17,15,12,4,12,116907,6399,3660
70000,112,0.9464,858.0,1269,84,18,10,9,7,10,117864,6675,3698
71000,94,0.8936,616.8,1550,73,15,6,12,7,6,118463,6634,3449
72000,51,0.8039,829.8,1269,31,15,5,4,9,5,119160,6370,3037
73000,37,0.8919,486.4,1383,12,14,11,2,7,9,120177,6003,2695
74000,27,0.8519,492.3,1573,11,12,4,0,4,3,121097,5576,2329
75000,29,0.5517,502.5,715,19,3,7,0,2,5,121933,5393,2348
76000,22,0.8182,434.7,1012,15,5,2,0,5,2,122672,5259,2261
