step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry
10000,0,784,32.94,3.06,3.37,4.99,19.72,0.04,1.70,0.013,0.280,486761.1,180947.6,19,46,4.97,1.67,1.84,35.9011,1677.17,75995.4,0.7019,1.0366,5462,20.6525,152,76.8901,437731.8,166.39,6.5593
10000,1,538,33.18,1.90,2.88,8.48,21.61,0.03,1.48,0.009,0.215,317706.9,110066.5,17,32,5.43,1.50,1.50,19.6048,1310.15,13929.5,16.5369,1.7426,5461,20.6487,257,47.4378,262202.0,81.98,19.8223
10000,2,214,36.75,0.59,4.32,9.73,26.56,0.00,1.16,0.000,0.100,133092.7,27295.3,6,35,6.50,1.12,1.19,4.2194,122.74,706.5,27.0046,3.8970,5461,20.6487,148,10.8395,52927.5,51.61,35.4080
20000,0,800,34.67,2.16,7.63,1.51,14.70,0.12,1.48,0.055,0.238,200046.7,90257.2,8,97,4.56,1.42,1.52,10.8538,1284.25,87358.6,0.0000,2.6128,5462,9.5769,100,30.8508,175245.6,166.39,1.9465
20000,1,584,37.21,1.65,8.65,2.61,16.47,0.08,1.31,0.034,0.196,101182.8,38416.8,6,102,4.91,1.33,1.30,4.1298,533.43,19224.6,1.5746,2.6973,5461,9.5751,184,13.1705,74262.6,81.98,4.7680
20000,2,251,38.28,3.11,7.94,3.52,16.25,0.11,1.58,0.056,0.088,43432.6,12251.9,5,105,5.08,1.60,1.46,0.6789,19.56,816.5,4.0051,3.5955,5461,9.5751,258,1.7269,8074.8,51.61,7.5542
30000,0,1003,34.02,2.21,5.83,1.52,12.83,0.18,1.48,0.074,0.260,487785.9,264709.6,16,65,4.15,1.45,1.67,43.4353,3054.50,73875.2,0.6128,1.0182,5462,16.6808,66,81.0660,481124.8,166.39,4.9208
30000,1,779,32.90,1.13,7.49,1.07,11.51,0.13,1.28,0.050,0.186,300267.2,165493.4,9,63,3.86,1.27,1.30,22.7416,1123.71,11221.7,20.1122,3.0404,5461,16.6777,73,46.5704,272241.0,81.98,17.5043
30000,2,300,30.75,0.65,5.76,1.12,12.79,0.07,1.10,0.030,0.070,93143.7,28611.9,8,75,3.88,1.10,1.13,1.0751,77.94,625.1,26.6712,7.7314,5461,16.6777,154,2.9619,16280.4,51.61,33.6704
40000,0,872,26.46,0.53,5.59,0.30,9.17,0.05,1.16,0.015,0.155,233927.2,156057.8,6,104,3.29,1.12,1.21,14.5631,944.69,89651.6,0.0000,4.1771,5462,10.7784,67,30.3660,193688.2,166.39,2.0877
40000,1,841,24.59,0.55,5.24,0.16,8.33,0.05,1.16,0.015,0.138,111254.1,73488.1,5,109,3.21,1.10,1.22,5.1015,518.53,18261.8,1.1528,4.0238,5461,10.7764,88,11.2125,71336.3,81.98,4.3123
40000,2,327,25.01,0.22,5.44,0.30,8.94,0.04,1.05,0.015,0.056,56739.0,25024.2,5,130,3.27,1.05,1.05,0.6185,26.52,264.9,2.5107,5.2169,5461,10.7764,30,0.6871,4786.8,51.61,7.6368
50000,0,1097,16.86,0.53,3.47,0.03,5.44,0.00,1.24,0.002,0.120,447825.8,458940.9,5,111,2.29,1.22,1.31,40.7144,1363.87,89063.2,0.2241,1.1004,5462,18.4472,53,77.5483,439191.8,166.39,5.9746
50000,1,1058,17.46,0.57,3.23,0.08,5.89,0.00,1.25,0.000,0.118,365722.6,355987.2,5,150,2.39,1.19,1.33,28.1204,1304.87,19387.6,14.8063,2.8657,5461,18.4438,73,59.0841,338710.7,81.98,17.6763
50000,2,387,18.68,0.37,2.99,0.04,8.09,0.00,1.13,0.000,0.051,107139.5,68741.9,3,160,2.77,1.12,1.18,1.6088,36.35,948.6,22.8398,9.1648,5461,18.4438,105,2.4149,16322.6,51.61,31.5144
60000,0,1075,20.01,0.15,4.23,0.07,7.87,0.00,1.07,0.000,0.152,241255.9,196516.2,4,136,2.97,1.07,1.09,12.5765,1114.82,88808.9,0.0000,6.2795,5462,11.2896,46,26.5020,179608.0,166.39,1.8462
60000,1,722,19.82,0.28,3.44,0.03,9.46,0.00,1.09,0.000,0.108,121762.7,90174.7,4,129,3.16,1.04,1.14,4.8209,340.98,19809.0,0.8296,5.1528,5461,11.2876,63,10.5030,70439.3,81.98,4.5513
60000,2,398,18.40,0.00,4.07,0.02,7.62,0.00,1.01,0.000,0.053,56376.4,30224.2,4,198,2.92,1.01,1.01,0.6735,47.55,639.0,2.7762,5.1784,5461,11.2876,65,0.6447,4884.1,51.61,7.7327
70000,0,1163,26.30,0.07,6.36,0.05,8.01,0.00,1.03,0.000,0.192,517162.5,312604.1,16,123,3.09,1.02,1.03,42.0528,1304.75,72001.9,0.8959,1.3849,5462,18.9390,34,89.5504,503866.0,166.39,6.6141
70000,1,751,24.48,0.19,5.80,0.08,8.50,0.00,1.05,0.001,0.126,256722.1,176086.7,13,84,3.14,1.03,1.08,16.6113,711.06,10189.2,18.8479,4.4120,5461,18.9355,32,34.2380,214170.3,81.98,13.6292
70000,2,416,19.92,0.08,4.47,0.07,7.92,0.00,1.04,0.000,0.060,142570.8,88473.9,11,124,2.95,1.03,1.04,1.9054,98.53,803.5,20.8918,12.8046,5461,18.9355,56,1.9571,15104.7,51.61,32.9963
80000,0,1032,22.27,0.25,5.10,0.05,7.73,0.00,1.10,0.000,0.155,249161.7,155336.9,6,136,3.00,1.06,1.13,14.6586,1047.50,83161.6,0.0250,5.4841,5462,11.4403,19,28.8031,195642.4,166.39,1.8892
80000,1,788,19.45,0.27,4.09,0.09,7.81,0.00,1.10,0.000,0.110,110916.3,65135.6,6,108,3.02,1.05,1.11,4.4534,465.25,15077.0,1.3395,5.2740,5461,11.4382,69,8.5115,58595.1,81.98,3.9367
80000,2,432,18.19,0.03,4.23,0.06,7.10,0.00,1.01,0.000,0.057,61994.6,33507.8,5,180,2.82,1.00,1.01,0.8806,46.87,269.7,1.6594,5.8219,5461,11.4382,12,0.5219,4248.4,51.61,7.7910
90000,0,1157,24.95,0.07,6.06,0.00,7.21,0.00,1.02,0.000,0.178,511194.6,305367.7,7,101,3.08,1.02,1.02,44.9544,1937.08,70077.3,1.7854,1.0691,5462,18.4717,53,90.6964,503128.0,166.39,6.7040
90000,1,713,26.64,0.12,6.98,0.00,7.20,0.00,1.03,0.000,0.115,248291.0,152703.8,7,97,3.21,1.04,1.03,15.2874,1117.07,8786.6,20.2224,4.1689,5461,18.4683,89,32.9527,208183.5,81.98,12.2665
90000,2,490,19.35,0.17,4.38,0.00,7.15,0.00,1.07,0.000,0.066,147237.6,96358.9,4,85,2.97,1.07,1.08,1.8365,152.90,545.8,18.9324,13.5152,5461,18.4683,71,1.7127,12851.2,51.61,32.1510
100000,0,965,25.21,0.15,6.48,0.07,8.03,0.00,1.05,0.000,0.163,244192.1,146599.3,6,131,3.19,1.02,1.06,13.8516,653.54,83866.0,0.0000,5.5071,5462,11.4582,42,28.1229,190384.6,166.39,2.2247
100000,1,797,21.77,0.16,5.10,0.03,8.38,0.00,1.05,0.003,0.124,110990.4,61328.8,7,129,3.24,1.04,1.06,4.6335,517.62,15210.7,1.2728,4.9101,5461,11.4561,55,8.9899,62026.5,81.98,4.0646
100000,2,410,20.70,0.00,5.20,0.00,7.39,0.00,1.00,0.000,0.060,62076.2,34001.0,7,156,3.11,1.00,1.00,0.9942,48.03,468.6,1.9577,5.7474,5461,11.4561,36,0.6699,5064.8,51.61,7.7427
