step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed
10000,2696,0.802,0.470,7.90,62525,50004,3323,2280,5652,111982,1203431.0,492484.0,0.272,0.395,0.197,0.136,103,22.80,25.08,1.22,4.77,4.49,8.99,0.73,3.84,13.78,11.58,0.02,0.24,0.103,0.189,1395,0.104,0.101,0.879,0.000,0.020,270914,259398,22,0.434,0.111,0.073,4749907,0.281,3.040,0.029,6.46,81801,459,4.398,0.276,0.307,10509435,1.32,14.09,0.094,0.371,0.006,3.2,10.3,60.1,167.4,54490,0.208,0.00,0.0032,0.069,603,0.826,0.000,0.716,0.771,3.62,4.54,4.87,0.25,0.064,1.25,1.37,1.34,0.829,0.00045,4.24,79.9851,3583.91,85175.2,140185.7,20.475,96.6155,186.138,0.000,1.000,0.011,77.0,82.679,240.294,159,576.9,95.30,22.572,164.318,3155.6,104.659,0.134,2.00,16.2627,43844.3,1.1297,0.6169,20.21,0.968,0.209,1.5345,0.0000,0.412,0.108,0.293,0.0000,8.17,1.08,4,12,49,98,76.8785,4.5900,0.5872,0.0000,0.0000,55.9124,100.00,58.8009,463.8714
20000,2312,0.947,0.409,6.81,37852,29579,1162,4557,2938,190395,446570.3,209293.4,0.102,0.638,0.218,0.042,215,27.11,36.81,0.95,4.35,6.41,14.22,1.40,5.14,13.31,11.81,0.02,0.33,0.080,0.163,855,0.219,0.122,0.846,0.001,0.031,81968,74799,3,0.743,0.050,0.129,1148953,0.198,2.708,0.028,13.12,25035,624,1.099,0.180,0.266,6527764,1.24,14.64,0.060,0.418,0.006,4.2,7.9,94.9,183.1,51005,0.195,0.00,0.0015,0.081,607,0.606,0.000,0.754,0.553,4.03,3.36,7.52,0.18,0.045,1.15,1.25,1.35,0.612,0.00118,4.34,19.7000,2298.39,103981.9,140185.7,0.394,24.2554,79.925,0.000,1.000,0.106,53.3,36.761,55.520,135,462.8,95.10,2.196,46.017,3726.6,31.503,0.133,2.00,11.2462,26001.2,0.8956,0.5737,22.06,0.974,0.270,0.4655,0.0000,0.391,0.093,0.190,0.0000,9.06,0.60,5,10,64,115,31.7436,2.2815,0.5324,0.0000,0.0000,12.4032,100.00,103.8092,247.0034
30000,3091,0.831,0.499,7.50,108257,84758,1900,9142,11678,383996,1106207.2,584963.4,0.072,0.574,0.321,0.033,127,25.15,36.13,0.94,4.18,5.70,12.01,1.67,6.49,10.59,11.36,0.08,0.60,0.169,0.218,1482,0.081,0.092,0.874,0.001,0.034,273304,251232,4,0.471,0.094,0.118,4360764,0.185,2.859,0.037,6.01,73569,569,1.523,0.178,0.337,17061376,1.25,15.56,0.042,0.510,0.020,3.6,8.6,81.6,195.9,58431,0.223,0.00,0.0034,0.082,838,0.830,0.000,0.895,0.606,3.51,4.09,5.55,0.21,0.057,1.22,1.28,1.29,0.836,0.00098,3.71,69.2027,3033.28,88651.4,140185.7,22.294,94.1617,178.025,0.000,1.000,0.059,69.4,75.256,241.755,177,632.7,123.20,4.587,164.937,4291.5,107.456,0.134,2.00,12.6687,39158.9,0.9802,0.6882,18.90,1.126,0.288,1.5345,0.0000,0.439,0.099,0.345,0.0000,8.61,0.78,4,9,53,121,65.6837,6.5356,0.5846,0.0000,0.0000,54.4557,100.00,67.0287,496.6280
40000,3072,0.691,0.404,7.58,48331,39777,1083,3899,3591,178494,439824.9,179432.0,0.076,0.661,0.225,0.038,199,21.10,25.26,0.52,3.49,6.08,10.84,0.94,4.64,9.18,8.76,0.00,0.07,0.212,0.245,1574,0.090,0.097,0.872,0.001,0.030,80422,70996,10,0.431,0.008,0.076,1807394,0.184,2.108,0.030,10.30,24199,648,1.005,0.141,0.321,9118185,1.13,16.86,0.007,0.506,0.000,3.6,12.1,52.0,275.6,51350,0.196,0.00,0.0016,0.097,725,0.719,0.000,0.860,0.417,3.63,4.47,5.95,0.08,0.023,1.07,1.17,1.14,0.724,0.00076,2.98,15.3186,1297.38,102144.2,140185.7,0.260,24.2682,82.679,0.000,1.000,0.122,63.7,37.667,61.445,209,848.1,37.40,3.237,50.288,4216.4,33.823,0.135,2.00,9.0934,27934.8,0.9027,0.5758,16.72,1.142,0.265,0.4655,0.0000,0.441,0.095,0.338,0.0000,9.31,0.67,4,11,38,121,33.3813,1.9593,0.5977,0.0000,0.0000,12.4504,100.00,104.8213,268.2152
50000,3176,0.627,0.666,14.65,169455,127499,970,21808,19074,675527,1057024.5,818659.3,0.123,0.619,0.167,0.091,101,20.49,19.92,1.08,3.75,2.34,4.27,0.26,1.68,6.92,6.95,0.00,0.08,0.116,0.130,1995,0.020,0.063,0.910,0.003,0.024,337742,296863,2,0.897,0.062,0.052,2769579,0.210,2.500,0.056,5.34,135632,519,1.212,0.188,0.311,28281725,1.38,15.90,0.000,0.617,0.003,3.8,13.3,46.0,166.7,33654,0.128,0.00,0.0048,0.099,759,0.853,0.000,0.936,0.501,2.90,5.79,2.85,0.09,0.052,1.44,1.56,1.32,0.866,0.00141,2.39,58.1920,954.67,102149.3,140185.7,13.653,96.2291,208.801,0.000,1.000,0.115,56.8,84.237,246.122,830,3386.9,46.72,7.461,175.124,6290.3,105.177,0.135,2.00,7.4871,23779.0,1.2480,0.7776,10.60,1.795,0.213,1.5345,0.0000,0.293,0.095,0.022,0.0000,7.84,0.88,2,7,23,76,74.9867,4.7844,0.6659,0.0000,0.0000,54.8959,100.00,74.1238,534.2552
60000,3487,0.759,0.338,11.59,48555,40265,1056,3168,3755,177329,390306.0,168128.2,0.129,0.619,0.195,0.058,187,16.69,19.74,0.45,2.57,3.09,6.86,0.30,2.24,7.25,6.27,0.01,0.13,0.113,0.164,1788,0.058,0.085,0.875,0.004,0.036,73137,62504,3,0.519,0.024,0.036,951347,0.225,1.811,0.025,9.31,28212,623,0.948,0.153,0.349,8601665,1.14,19.10,0.000,0.591,0.003,3.4,9.4,39.1,218.1,38655,0.147,0.00,0.0015,0.097,881,0.717,0.000,0.865,0.356,3.02,4.08,5.11,0.07,0.025,1.12,1.17,1.15,0.726,0.00073,2.18,10.8339,994.14,105661.3,140185.7,0.284,26.1266,76.326,0.000,1.000,0.209,70.2,34.615,65.146,198,722.0,29.35,4.664,51.080,3527.2,29.612,0.135,1.99,7.2006,25108.4,1.1199,0.5864,11.09,1.380,0.535,0.4655,0.0000,0.259,0.125,0.001,0.0000,8.97,0.71,3,9,22,107,30.7670,1.2884,0.5159,0.0000,0.0000,13.4211,100.00,107.0613,268.3582
70000,4026,0.722,0.423,16.73,191082,148144,1304,15530,25565,697342,1115536.2,809135.2,0.142,0.588,0.210,0.061,91,18.63,19.95,0.43,2.69,3.24,6.47,0.23,1.94,6.66,6.50,0.00,0.02,0.130,0.166,2295,0.028,0.067,0.894,0.001,0.038,358175,312389,3,0.271,0.476,0.031,1191135,0.266,1.983,0.034,6.62,136936,628,1.160,0.175,0.371,29738679,1.15,20.79,0.000,0.574,0.000,4.0,12.7,39.7,289.4,42496,0.162,0.00,0.0042,0.083,979,0.849,0.000,0.951,0.469,2.88,4.51,3.97,0.02,0.006,1.13,1.14,1.19,0.863,0.00120,3.45,55.7614,1335.57,95897.9,140185.7,21.624,74.7236,227.582,0.000,1.000,0.068,79.3,95.963,243.363,319,1273.0,46.21,7.144,165.046,4077.8,111.625,0.134,2.00,8.1630,32864.2,1.4205,0.6886,10.56,1.681,0.492,1.5345,0.0000,0.177,0.139,0.008,0.0000,9.12,1.23,3,9,20,145,83.7857,7.3512,0.5837,0.0000,0.0000,54.6654,100.00,72.7937,576.1975
80000,3491,0.696,0.295,10.62,66131,55486,743,4432,6005,224467,445521.4,211594.1,0.142,0.606,0.213,0.039,187,12.67,14.33,0.55,2.83,2.08,4.88,0.16,1.53,6.95,6.69,0.06,0.33,0.104,0.173,1377,0.077,0.094,0.861,0.001,0.044,92764,78138,3,0.676,0.003,0.019,528878,0.227,1.746,0.022,11.63,34572,692,0.943,0.145,0.326,9047092,1.17,18.85,0.001,0.539,0.032,3.4,8.6,23.9,147.0,34028,0.130,0.00,0.0018,0.100,828,0.656,0.000,0.860,0.305,2.83,2.89,5.62,0.08,0.038,1.16,1.14,1.22,0.667,0.00082,3.17,11.6745,799.36,105257.3,140185.7,0.270,19.3797,90.571,0.000,1.000,0.199,69.9,41.150,60.909,150,565.0,30.14,3.822,47.962,3221.5,33.031,0.134,2.00,7.6499,26705.7,1.2452,0.6169,9.75,1.232,0.529,0.4655,0.0000,0.276,0.138,0.001,0.0000,8.73,0.62,3,8,18,81,36.0757,2.2205,0.4918,0.0000,0.0000,13.2363,100.00,106.3882,277.6578
90000,3784,0.727,0.438,17.56,191908,148286,1099,17753,24477,853222,1124229.9,863483.6,0.187,0.529,0.225,0.060,81,21.43,23.09,0.41,2.86,4.30,7.78,0.63,4.43,7.20,7.20,0.00,0.11,0.132,0.171,2255,0.034,0.071,0.893,0.001,0.035,348636,290187,4,0.496,0.131,0.052,993183,0.324,2.036,0.035,7.00,141266,603,1.012,0.175,0.373,24792197,1.15,24.34,0.000,0.561,0.001,3.6,12.0,48.0,195.5,47433,0.181,0.00,0.0041,0.081,919,0.817,0.000,0.945,0.452,3.10,4.42,4.44,0.02,0.006,1.13,1.15,1.19,0.834,0.00147,3.65,54.8614,1494.18,92686.7,140185.7,21.507,72.6385,234.379,0.000,1.000,0.058,78.0,97.807,242.308,329,1388.2,53.68,6.868,164.707,4062.2,112.798,0.135,2.00,9.4792,35869.3,1.3348,0.6328,12.54,1.591,0.544,1.5345,0.0000,0.167,0.158,0.000,0.0000,10.26,1.80,3,9,26,130,83.8895,8.3449,0.5885,0.0000,0.0000,54.5494,100.00,72.6629,585.1892
100000,3580,0.810,0.295,11.42,62351,51385,945,3973,6252,271341,448617.4,237451.8,0.180,0.581,0.205,0.033,170,16.36,19.10,0.36,2.48,2.96,6.41,0.11,1.28,8.14,7.03,0.01,0.23,0.093,0.159,1363,0.184,0.104,0.852,0.003,0.041,93484,77969,2,0.663,0.009,0.014,457137,0.282,1.576,0.024,10.40,35289,674,0.875,0.146,0.309,8479193,1.13,22.00,0.001,0.516,0.004,3.4,8.6,36.0,221.8,41414,0.158,0.00,0.0015,0.091,904,0.665,0.000,0.874,0.347,3.14,3.66,5.90,0.02,0.005,1.13,1.12,1.17,0.679,0.00089,2.74,13.5448,1288.33,105677.3,140185.7,0.192,20.4770,91.407,0.000,1.000,0.177,75.5,41.020,62.394,200,759.7,30.75,3.806,49.797,2542.8,34.720,0.137,1.99,7.1304,25526.7,1.0334,0.5702,11.57,1.243,0.538,0.4655,0.0000,0.263,0.153,0.001,0.0000,9.91,1.49,3,10,23,111,35.6653,2.1575,0.4746,0.0000,0.0000,13.1453,100.00,105.6625,279.3449
