step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2
33000,1005,0.5473,7715.3,670,471,303,231,53,149,173,68104,37887,24506
34000,761,0.5677,6665.7,881,385,211,165,33,158,148,64280,40849,26986
35000,430,0.5628,4424.7,878,284,107,39,18,92,38,61233,44404,29259
36000,428,0.5210,5618.8,878,236,122,70,11,107,70,57708,46306,29594
37000,649,0.4607,11142.6,970,294,181,174,7,150,163,53332,46111,28394
38000,1094,0.4799,18752.4,1013,439,339,316,43,242,250,49168,44053,26564
39000,1295,0.5120,9498.1,679,512,419,364,85,168,199,51144,46980,29743
40000,1864,0.4657,14104.7,514,660,651,553,172,191,251,50396,44269,27719
41000,1668,0.5246,11462.6,519,628,596,444,175,127,184,52563,44134,28301
42000,2136,0.4949,14012.8,468,771,741,624,151,163,214,53454,42546,25984
43000,2169,0.4260,13335.2,428,784,766,619,147,182,161,55196,41992,24783
44000,1706,0.4654,10452.8,427,657,600,449,143,158,145,57341,42447,25478
45000,1808,0.4994,10588.0,424,671,570,567,124,113,159,59775,42141,23030
46000,2051,0.4739,11935.3,377,713,710,628,133,176,212,60613,41809,21111
47000,1810,0.4580,10505.5,380,648,645,517,148,161,194,61954,40568,22268
48000,1892,0.4223,12118.6,416,669,647,576,151,172,216,62796,39684,21046
49000,1756,0.4459,10163.6,395,628,618,510,147,162,201,64816,39030,21694
50000,1551,0.4745,8597.3,376,563,534,454,121,162,201,65756,38482,23373
51000,1303,0.4505,8094.3,401,510,422,371,105,117,190,66652,38377,23663
52000,1195,0.4854,7577.7,433,492,404,299,97,145,173,67665,38166,24014
53000,774,0.5556,6692.4,657,331,244,199,60,125,133,67340,38836,25464
54000,735,0.5646,6541.3,741,402,177,156,43,132,134,64149,40531,27686
55000,426,0.5329,5165.1,901,271,103,52,21,93,51,60350,43572,30377
56000,437,0.5057,6303.5,936,250,120,67,15,109,67,56361,45263,31212
57000,613,0.3850,10535.2,1018,276,198,139,14,154,130,53165,44845,30223
58000,1351,0.4382,13251.2,683,539,454,358,97,228,224,50749,43714,29736
59000,1260,0.5040,8870.4,602,435,448,377,105,152,199,52899,44402,31087
60000,1721,0.4759,12065.8,501,601,595,525,162,147,221,54397,41939,28241
61000,1708,0.4485,10743.7,478,553,614,541,140,173,201,56916,41592,26737
62000,1705,0.4686,10413.3,450,585,616,504,148,129,203,59791,40474,25413
63000,1738,0.4804,9687.8,437,618,603,517,144,143,191,62399,38764,24873
64000,1859,0.4309,11990.9,410,614,629,616,146,130,214,64406,35564,23815
65000,1897,0.5445,10470.8,441,649,703,545,169,146,207,67938,33571,23807
66000,2200,0.4695,11970.3,392,839,749,612,183,179,229,68081,31912,23158
67000,2118,0.4495,12150.4,390,725,763,630,180,173,212,70242,30605,22476
68000,2000,0.4355,11356.9,411,648,646,706,166,137,257,72586,29533,22138
69000,1760,0.4761,10360.1,479,643,575,542,144,143,244,74459,28914,22491
70000,1734,0.4619,11359.1,491,651,547,536,155,131,215,75300,27951,21721
71000,1505,0.4757,10062.1,520,585,478,442,116,156,198,75851,28462,22604
72000,1171,0.4876,9145.4,565,469,380,322,99,148,177,74887,29407,24170
73000,1032,0.5271,8000.0,687,481,314,237,73,153,160,72136,31397,26357
74000,670,0.6045,5441.5,845,346,192,132,28,136,108,69256,34866,29304
75000,387,0.5220,5101.5,894,241,97,49,7,91,49,64982,38094,31254
76000,361,0.5374,6814.1,1058,198,107,56,5,102,56,60276,40306,31791
77000,610,0.4672,11240.4,972,265,200,145,23,114,132,56470,40584,30649
78000,1093,0.4392,17587.3,867,444,367,282,58,192,205,53218,38796,28864
79000,1534,0.6160,6604.9,391,614,543,377,114,146,179,55796,41941,32316
80000,1487,0.4923,8425.5,362,497,533,457,106,130,164,56573,40911,30183
81000,1635,0.4752,9468.0,342,617,573,445,152,141,145,56412,40299,29629
82000,1907,0.4830,12337.1,332,617,724,566,138,123,171,57242,37124,27938
83000,1811,0.4776,12466.9,382,587,625,599,138,120,179,59553,35981,26717
84000,1748,0.4342,12549.4,352,605,590,553,121,124,147,61336,34977,25954
85000,2019,0.4121,13673.1,347,659,718,642,132,114,143,63740,33946,23173
86000,2120,0.4156,16550.1,392,738,731,651,163,145,202,64598,31572,22050
87000,1876,0.4392,13000.6,370,614,617,645,127,126,160,67178,32627,21601
88000,1794,0.4175,10667.7,305,643,600,551,107,113,171,68595,33397,21722
89000,1502,0.4108,11674.8,390,572,503,427,100,128,149,70184,33201,20847
90000,1548,0.4528,11238.7,423,527,562,459,122,146,177,71253,32546,21108
91000,1366,0.4466,10511.1,445,505,472,389,113,118,184,72223,32409,21509
92000,1263,0.4632,10103.4,548,508,418,337,94,159,197,71906,32983,22636
93000,894,0.5559,7862.5,670,372,277,245,71,139,167,70742,34938,24805
94000,621,0.5990,6258.3,873,310,191,120,39,143,113,68212,37563,27024
95000,405,0.6025,5072.1,928,243,108,54,19,94,52,64039,41080,29307
96000,355,0.5859,5586.9,1061,190,106,59,9,98,59,60250,43427,29997
97000,511,0.4364,9818.3,987,195,180,136,20,122,122,57470,43106,28504
98000,984,0.4390,16307.3,852,337,380,267,75,167,189,55185,40738,26032
99000,1327,0.4032,9597.2,541,520,421,386,118,138,203,56713,43117,27639
100000,1395,0.4545,9158.7,434,457,495,443,104,141,173,58536,42992,26010
