step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2
1000,2804,0.9472,27020.0,937,938,938,928,14,12,15,27261,28653,32380
2000,2789,0.9312,46463.7,1873,926,922,941,14,13,15,19771,20958,26214
3000,2801,0.9154,63516.8,2763,911,933,957,13,12,13,14025,14809,19856
4000,2151,0.6857,39355.8,660,716,737,698,15,23,12,27180,23858,26773
5000,2295,0.7451,49721.7,1081,753,875,667,16,26,14,23382,19944,24857
6000,2396,0.7325,52210.4,1472,876,841,679,24,34,22,22415,18512,24370
7000,2491,0.6616,50293.7,875,840,906,745,38,42,20,24144,20194,25978
8000,2844,0.6533,49594.0,837,957,908,979,31,52,27,23724,22284,26631
9000,2758,0.6505,33439.8,698,937,953,868,50,52,49,28687,28091,32460
10000,2358,0.7248,26130.1,849,897,773,688,69,79,65,31533,30926,36188
11000,1799,0.7904,20540.5,1071,677,684,438,63,73,66,32357,34679,39770
12000,1135,0.8238,11916.7,1154,551,342,242,43,62,46,33635,39314,44044
13000,688,0.7689,6274.7,971,422,137,129,28,44,31,34879,42513,47500
14000,517,0.8162,5867.3,1005,354,99,64,27,40,33,33424,45247,49921
15000,519,0.6821,6311.7,732,421,68,30,18,45,27,30525,46971,52788
16000,510,0.5667,6580.4,630,417,62,31,18,51,30,27776,47210,54641
17000,728,0.5742,9494.4,639,483,135,110,24,78,69,25005,45432,54359
18000,1208,0.5621,13299.6,516,600,325,283,58,68,107,25343,42651,52177
19000,1575,0.5384,16649.6,463,649,482,444,51,60,100,26012,39367,48506
20000,1988,0.5080,18849.3,411,817,600,571,81,68,108,27986,35518,44314
21000,2196,0.4467,20102.9,378,845,696,655,106,84,93,27441,33242,40818
22000,2575,0.3270,11924.2,182,873,802,900,107,88,116,31848,34999,40056
23000,3198,0.3211,12797.6,157,1052,1182,964,117,156,168,32013,33311,37399
24000,2523,0.3730,13130.3,213,949,847,727,113,102,114,32110,33147,36188
25000,2989,0.4108,23179.8,296,999,1133,857,98,121,132,30140,29425,31589
26000,3137,0.4345,41675.9,478,1000,1241,896,108,102,99,26282,23239,25888
27000,3005,0.4686,48073.2,600,870,1186,949,74,119,113,25661,20286,23239
28000,2863,0.5274,46910.1,678,906,1018,939,71,111,104,26783,22317,24151
29000,2638,0.5648,48101.4,811,835,979,824,76,103,107,27661,22820,23193
30000,2287,0.5689,41026.2,818,858,808,621,71,87,82,28628,26478,28309
31000,1706,0.5815,27660.6,740,731,558,417,69,70,87,32719,32157,35042
32000,1066,0.6848,14196.3,843,616,246,204,68,67,49,34184,38345,42210
33000,697,0.6686,6603.6,885,417,155,125,26,67,41,34116,43027,47322
34000,385,0.7325,3897.1,914,262,70,53,6,50,29,33826,44751,49318
35000,328,0.6707,3956.6,850,264,50,14,4,33,11,33173,45649,50422
36000,407,0.5995,4823.0,629,333,59,15,4,40,12,31303,46150,51356
37000,448,0.6496,5924.2,743,351,69,28,9,48,15,28015,45746,52172
38000,722,0.5263,10146.3,578,449,171,102,28,74,46,24324,43804,52362
39000,1454,0.5206,17758.2,465,607,497,350,57,82,57,22792,40189,49129
40000,1902,0.5026,30973.0,564,759,644,499,83,62,92,20367,33510,42389
41000,2109,0.4789,47563.1,699,752,701,656,88,65,80,16823,25549,34659
42000,2347,0.4661,61227.9,773,744,913,690,92,78,85,14413,18836,26146
43000,2477,0.4590,65674.5,780,824,875,778,91,70,80,14874,14961,22475
44000,2469,0.4856,68003.6,816,786,925,758,92,88,100,14227,14702,21210
45000,2575,0.5087,74772.1,878,895,810,870,99,55,108,13195,12917,17203
46000,2545,0.4715,70047.3,832,915,817,813,114,66,101,16114,13571,17022
47000,2610,0.4724,69211.6,788,907,881,822,96,82,93,16146,15293,18049
48000,2211,0.4853,68178.8,943,791,687,733,103,62,88,16445,15953,18953
49000,2282,0.4952,61032.0,835,845,720,717,82,97,67,18342,19976,22062
50000,1964,0.4929,52287.1,857,779,619,566,72,78,68,21596,25283,25473
51000,1802,0.5610,44231.2,863,747,569,486,79,61,65,23198,29298,31697
52000,1403,0.5674,29445.9,854,629,422,352,70,74,78,27908,35554,38283
53000,943,0.5726,17609.1,863,579,208,156,55,55,58,30182,41051,44648
54000,635,0.5890,12856.1,971,446,111,78,40,45,59,29303,44288,49118
55000,520,0.5096,10198.9,783,436,62,22,30,49,22,27647,46163,52644
56000,524,0.5439,10186.4,733,421,69,34,7,55,34,25540,46082,54065
57000,824,0.5206,13353.5,657,530,190,104,28,117,79,22708,44585,54015
58000,1269,0.4791,19561.3,631,671,321,277,56,129,136,19699,41444,52413
59000,1810,0.4630,30300.3,673,779,558,473,72,150,150,17398,35831,48303
60000,2025,0.4281,46246.3,800,757,686,582,70,108,116,14880,27675,40253
61000,2383,0.4125,62882.8,838,798,820,765,91,106,111,13000,19641,30582
62000,2572,0.4246,71159.0,880,892,885,795,112,101,110,12452,15551,24593
63000,2779,0.4264,76332.6,906,860,1043,876,133,127,115,10290,13723,22308
64000,2742,0.4325,80742.8,983,914,936,892,124,125,116,10707,12820,18513
65000,2855,0.4525,82594.7,939,1012,954,889,144,124,124,9740,12150,18567
66000,2849,0.4524,79122.4,944,902,1032,915,109,165,120,9785,13495,19385
67000,2782,0.4371,77832.7,926,877,1034,871,125,140,121,10448,14303,20529
68000,2660,0.4429,78291.0,983,921,893,846,118,129,144,10017,14978,22082
69000,2475,0.4489,70911.0,972,817,858,800,96,142,123,11596,17853,25511
70000,2413,0.4720,62710.6,956,831,805,777,121,137,126,12340,21775,30900
71000,2038,0.4907,50654.3,951,726,714,598,82,133,108,15365,26513,37911
72000,1662,0.5199,38039.9,978,700,536,426,95,130,110,18204,32518,44234
73000,1229,0.5793,25019.4,1051,663,303,263,110,101,151,20856,38098,51263
74000,806,0.5931,15712.1,1027,532,167,107,48,93,84,21491,43094,56348
75000,608,0.5181,11198.0,874,482,85,41,24,72,40,20262,45878,60119
76000,670,0.5299,10497.4,696,496,113,61,5,106,61,18470,46292,61454
77000,835,0.4874,14042.1,775,554,172,109,25,135,95,16214,44666,60558
78000,1243,0.4739,21753.8,777,615,327,301,31,162,166,14121,40931,57556
79000,1799,0.4769,30866.1,766,742,554,503,67,170,187,13129,35793,52553
80000,2114,0.4470,42248.5,808,802,651,661,85,121,156,12718,29445,45117
81000,2520,0.4345,59416.0,776,852,876,792,86,121,109,11147,21000,35342
82000,2670,0.4247,70451.3,851,847,984,839,112,113,93,9620,15797,28408
83000,2878,0.4510,76617.3,890,882,1015,981,112,136,136,9480,14322,23020
