step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached
10000,836,0.466,0.142,8.46,11604,9316,2184,130,568,36010,300504.0,77104.9,0.304,0.374,0.158,0.164,130,22.82,14.89,0.33,2.51,4.37,9.55,0.30,2.36,20.27,7.41,0.02,0.27,0.100,0.208,389,0.228,0.166,0.829,0.000,0.005,41862,39284,3,0.989,0.000,0.024,2789712,0.271,0.678,0.009,7.88,13169,239,2.141,0.500,0.035,3957634,1.06,5.78,0.031,0.325,0.006,10.4,17.3,50.1,108.6,21127,0.081,0.00,0.0018,0.165,192,0.836,0.000,0.539,0.735,5.15,5.78,7.65,0.03,0.010,1.06,1.06,1.06,0.838,0.00157,4.38,11.5743,61.33,127491.7,140185.7,118.051,14.3395,53.135,0.000,0.963,0.287,28.8,26.315,233.258,307,1220.9,9.64,20.198,20.020,177.9,10.334,0.137,2.00,11.4483,9570.8,0.6261,0.2269,25.27,0.872,0.063,1.5345,0.0000,0.466,0.035,0.183,0.0000,8.11,0.47,12,20,50,81,25.0052,0.0037,0.5921,0.0000,0.0000,101.0672,100.00,233.4418
20000,1065,0.675,0.150,8.30,11466,9152,455,1240,390,127745,211807.5,63502.3,0.035,0.632,0.196,0.137,279,25.80,25.76,0.47,3.02,10.89,18.22,0.01,0.17,13.79,7.38,0.04,0.42,0.201,0.301,626,0.114,0.174,0.820,0.000,0.007,12617,10192,1,1.000,0.000,0.005,71400,0.271,0.723,0.007,17.37,5152,716,0.497,0.115,0.247,1917215,1.11,9.35,0.130,0.528,0.011,3.7,16.2,72.2,120.5,26794,0.102,0.00,0.0014,0.148,292,0.423,0.000,0.475,0.299,4.51,5.04,6.49,0.12,0.025,1.10,1.15,1.10,0.433,0.00296,6.14,2.5770,194.17,127644.8,140185.7,23.929,2.8765,41.975,0.000,0.937,0.127,29.1,20.244,40.541,259,934.7,28.91,2.111,5.736,270.1,3.910,0.134,2.01,8.2517,8788.1,0.7428,0.3796,25.16,0.907,0.161,0.4655,0.0000,0.521,0.057,0.511,0.0000,8.04,0.46,5,19,64,81,16.8906,0.2031,0.5268,0.0000,0.0000,23.0949,100.00,189.8274
30000,771,0.430,0.122,8.82,18328,14328,599,2836,859,222610,291898.3,108687.9,0.074,0.549,0.246,0.132,231,27.92,32.69,0.60,3.24,8.80,18.28,0.02,0.27,15.47,6.75,0.03,0.33,0.125,0.226,460,0.075,0.153,0.846,0.000,0.001,20154,15365,3,0.407,0.327,0.005,105006,0.229,0.649,0.007,23.90,8112,748,0.488,0.094,0.145,3037915,1.07,8.84,0.093,0.471,0.010,5.7,15.7,86.2,171.4,19185,0.073,0.00,0.0024,0.150,193,0.480,0.000,0.488,0.282,4.67,4.96,7.05,0.14,0.035,1.05,1.09,1.07,0.492,0.00540,19.99,3.4778,50.59,129180.2,140185.7,107.505,5.0075,59.830,0.000,0.638,0.128,23.4,28.246,150.407,186,894.0,12.26,4.162,9.198,210.5,5.614,0.133,2.00,10.6544,8214.5,0.8414,0.3952,24.88,0.952,0.268,1.5345,0.0000,0.515,0.055,0.562,0.0000,8.10,0.51,7,19,64,100,23.3043,0.7813,0.6187,0.0000,0.0000,90.8082,100.00,122.8675
40000,1083,0.505,0.135,9.29,9979,6439,428,2268,532,119088,186088.5,72653.2,0.075,0.575,0.215,0.136,280,42.73,45.80,1.40,5.97,16.65,23.27,0.00,0.04,13.53,8.18,0.04,0.34,0.189,0.246,687,0.053,0.223,0.773,0.000,0.005,7869,5512,4,0.536,0.001,0.002,10164,0.203,0.612,0.007,16.71,4227,726,0.610,0.067,0.292,1223625,1.26,9.24,0.139,0.602,0.013,3.4,14.5,116.0,195.0,34208,0.130,0.00,0.0013,0.172,340,0.320,0.000,0.402,0.175,5.02,5.49,6.87,0.21,0.054,1.13,1.39,1.27,0.331,0.00349,6.88,1.7539,65.44,129606.6,140185.7,25.388,2.4698,37.660,0.000,0.825,0.048,32.7,17.941,32.590,262,963.9,12.24,1.191,3.663,129.6,2.009,0.131,2.00,6.3346,6860.4,0.7218,0.5309,31.59,1.076,0.275,0.4655,0.0000,0.521,0.067,0.465,0.0000,8.40,0.55,4,16,81,100,13.5636,0.6019,0.6427,0.0000,0.0000,23.6347,100.00,96.5163
50000,861,0.397,0.169,9.81,12131,8243,891,2555,664,144979,220956.3,82243.6,0.098,0.555,0.245,0.102,238,40.49,42.43,1.75,5.96,15.84,22.67,0.02,0.40,12.55,7.74,0.12,0.62,0.225,0.265,590,0.069,0.157,0.839,0.000,0.005,12474,9347,3,0.489,0.193,0.005,22374,0.227,0.812,0.010,18.89,5848,760,0.567,0.078,0.280,2487664,1.34,8.62,0.115,0.602,0.041,4.3,17.6,117.0,170.0,25972,0.099,0.00,0.0020,0.157,232,0.464,0.000,0.510,0.267,5.06,5.68,6.84,0.36,0.080,1.26,1.40,1.36,0.475,0.00440,19.81,2.5329,103.18,130872.9,140185.7,110.690,4.9313,44.772,0.000,0.574,0.058,20.2,21.287,127.041,285,1171.2,18.73,2.461,7.207,422.7,3.459,0.135,1.99,6.3646,5479.9,0.6499,0.4766,30.16,1.078,0.263,1.5345,0.0000,0.502,0.067,0.354,0.0000,8.31,0.66,5,18,81,100,16.8154,0.6848,0.7445,0.0000,0.0000,94.8156,100.00,66.8552
60000,940,0.507,0.118,9.32,7332,4504,486,1890,373,87188,149701.4,53563.6,0.071,0.611,0.246,0.071,287,41.11,46.43,1.78,7.29,17.06,24.95,0.00,0.00,10.87,6.76,0.07,0.52,0.199,0.263,579,0.055,0.217,0.782,0.000,0.001,4405,2878,3,0.624,0.000,0.000,14581,0.096,0.498,0.004,13.88,2872,690,0.614,0.076,0.290,1017885,1.39,10.19,0.130,0.638,0.023,3.4,13.6,117.0,212.5,27931,0.107,0.00,0.0015,0.190,278,0.298,0.000,0.402,0.087,4.80,5.40,6.62,0.23,0.055,1.34,1.47,1.38,0.308,0.00324,6.67,1.1054,49.82,129883.0,140185.7,29.894,1.7316,29.850,0.000,0.637,0.022,28.2,14.236,28.284,151,597.1,10.01,0.849,2.190,80.2,1.081,0.134,2.00,7.5512,7098.1,0.9101,0.5545,29.71,1.069,0.284,0.4655,0.0000,0.517,0.070,0.411,0.0000,8.47,0.55,4,16,81,100,10.6240,0.5715,0.6170,0.0000,0.0000,23.6430,100.00,53.8863
70000,597,0.393,0.124,9.46,10424,6754,582,2848,583,139692,204267.0,81551.0,0.073,0.576,0.252,0.099,258,39.79,43.99,1.14,4.86,15.19,21.55,0.01,0.20,13.69,7.50,0.09,0.70,0.195,0.251,393,0.092,0.199,0.796,0.000,0.005,7922,5543,2,0.457,0.243,0.003,10053,0.276,0.634,0.007,18.61,4371,781,0.584,0.056,0.229,1593075,1.18,9.35,0.131,0.580,0.023,3.4,15.1,118.8,221.4,17932,0.068,0.00,0.0025,0.154,170,0.342,0.000,0.476,0.169,4.85,5.30,6.95,0.25,0.059,1.14,1.21,1.18,0.354,0.00729,22.99,1.3922,27.46,134051.9,140185.7,112.613,2.2802,41.982,0.000,0.360,0.034,13.1,20.349,85.508,176,837.0,13.63,1.477,3.600,181.1,1.929,0.135,1.97,5.6601,3379.1,0.6999,0.5285,30.04,1.052,0.281,1.5345,0.0000,0.491,0.056,0.399,0.0000,8.37,0.53,4,17,80,100,15.0532,0.9428,0.6667,0.0000,0.0000,93.5961,100.00,36.8645
80000,1087,0.559,0.091,10.28,5728,3870,475,645,248,37173,113949.1,26311.4,0.056,0.645,0.240,0.059,309,20.12,14.84,1.23,3.64,6.55,6.99,0.00,0.00,11.38,7.01,0.11,0.46,0.255,0.253,721,0.057,0.166,0.811,0.001,0.022,4792,3632,2,0.661,0.000,0.000,18344,0.083,0.492,0.003,10.43,2501,802,0.708,0.127,0.330,558465,1.20,7.23,0.015,0.586,0.063,3.4,18.5,41.0,106.4,20829,0.079,0.00,0.0009,0.157,336,0.203,0.000,0.404,0.128,4.33,4.94,5.80,0.21,0.088,1.17,1.19,1.24,0.209,0.00147,5.03,1.3856,309.97,130003.5,140185.7,33.763,1.5575,21.271,0.000,0.667,0.005,35.6,10.164,23.637,51,173.9,27.82,0.634,1.700,72.2,0.904,0.137,2.00,6.9971,7605.9,0.8319,0.5445,19.16,0.950,0.085,0.4655,0.0000,0.531,0.060,0.618,0.0000,7.05,0.84,4,18,36,64,7.9688,0.5961,0.5271,0.0000,0.0000,25.3571,100.00,25.0469
90000,884,0.408,0.136,10.94,16394,12518,417,3114,548,212659,285643.5,119030.8,0.071,0.633,0.187,0.110,260,31.74,25.29,0.77,3.40,10.44,12.98,0.12,1.12,12.04,8.86,0.06,0.42,0.220,0.234,721,0.015,0.160,0.838,0.000,0.002,17028,10790,3,0.621,0.001,0.015,107258,0.183,0.651,0.004,25.92,7794,819,0.560,0.066,0.291,2810694,1.22,8.40,0.100,0.700,0.026,4.2,23.5,69.5,107.0,20654,0.079,0.00,0.0027,0.167,292,0.400,0.000,0.603,0.229,4.52,5.05,5.95,0.13,0.046,1.20,1.23,1.23,0.414,0.00676,36.89,2.6507,124.75,131897.7,140185.7,91.675,2.4258,58.425,0.000,0.451,0.023,25.8,27.832,62.066,180,594.9,39.82,1.027,4.153,154.7,2.916,0.136,1.99,5.7868,5115.5,0.6061,0.4906,23.36,1.207,0.282,1.5345,0.0000,0.462,0.049,0.230,0.0000,7.50,0.78,4,20,49,69,21.0615,0.7979,0.6527,0.0000,0.0000,92.7764,100.00,17.1710
100000,971,0.590,0.115,9.69,8176,5702,252,1867,268,117250,154030.9,62384.0,0.066,0.669,0.173,0.092,294,30.88,27.04,0.17,1.28,9.30,12.46,0.69,2.34,13.89,9.88,0.02,0.19,0.187,0.227,686,0.047,0.188,0.806,0.000,0.005,6056,3413,4,0.483,0.007,0.177,382668,0.101,0.417,0.002,14.45,3447,757,0.532,0.058,0.280,1156705,1.03,9.20,0.067,0.650,0.009,3.3,18.0,70.5,105.7,23355,0.089,0.00,0.0011,0.189,319,0.304,0.000,0.452,0.135,4.59,4.93,6.18,0.07,0.020,1.03,1.04,1.03,0.317,0.00352,7.89,1.1693,113.04,130557.7,140185.7,27.475,1.3397,31.032,0.000,0.492,0.005,28.2,14.716,19.237,90,225.3,29.73,0.536,1.735,90.5,0.983,0.135,1.98,6.7448,6549.2,0.7357,0.4819,24.05,1.137,0.297,0.4655,0.0000,0.475,0.037,0.160,0.0000,7.76,0.66,4,18,49,68,10.9232,0.3741,0.5911,0.0000,0.0000,24.7227,100.00,26.0010
