step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry
10000,0,949,21.04,1.11,4.84,1.22,8.05,0.01,1.33,0.004,0.165,394406.4,173795.0,13,62,3.10,1.23,1.46,24.9294,870.80,34482.8,2.5277,1.3678,5462,26.3088,267,61.6937,342200.6,153.22,2.7714
10000,1,970,21.39,1.12,4.59,1.45,8.48,0.00,1.35,0.000,0.173,401990.7,190053.6,11,96,3.19,1.33,1.51,26.6957,894.34,31966.6,3.9607,1.3458,5461,26.3040,238,63.4695,350233.8,80.85,17.2948
10000,2,729,24.49,0.57,6.21,1.47,10.63,0.01,1.19,0.003,0.158,361888.2,149619.4,5,78,3.39,1.17,1.24,20.9993,747.20,33656.4,4.8020,1.4004,5461,26.3040,160,54.7441,307714.1,65.92,28.6782
20000,0,852,22.25,0.97,2.79,1.55,11.74,0.01,1.30,0.006,0.167,242501.3,171768.0,4,75,3.35,1.26,1.41,15.1598,1065.70,26823.5,0.0091,2.4672,5462,11.4214,110,35.7602,219055.8,153.22,1.0852
20000,1,762,23.00,0.41,3.16,1.76,12.80,0.02,1.13,0.009,0.158,126359.8,80529.6,5,89,3.44,1.08,1.17,5.8840,849.25,31911.8,0.0001,3.3472,5461,11.4193,93,14.8926,92666.2,80.85,4.2742
20000,2,634,22.35,0.46,3.21,2.09,11.64,0.00,1.13,0.002,0.126,84322.4,51037.0,3,71,3.36,1.12,1.18,3.1853,712.04,39735.6,0.0000,2.7525,5461,11.4193,93,10.0247,57082.0,65.92,5.9775
30000,0,1283,17.58,0.43,3.35,0.45,7.40,0.02,1.15,0.013,0.171,440196.5,463687.6,6,103,2.65,1.19,1.15,39.3035,1867.30,35236.1,1.9018,1.8792,5462,26.3168,89,65.6541,425010.7,153.22,2.0747
30000,1,1049,18.44,0.45,3.40,0.46,7.92,0.02,1.21,0.010,0.145,433680.8,434334.3,8,159,2.76,1.21,1.23,37.6080,1253.73,34486.6,3.2447,1.9851,5461,26.3120,109,63.8309,417028.9,80.85,17.6514
30000,2,860,19.62,0.19,3.80,0.77,8.70,0.01,1.09,0.002,0.133,371408.7,368152.7,4,99,2.91,1.09,1.10,29.2060,666.82,34313.6,2.9324,2.3629,5461,26.3120,142,54.6097,350767.2,65.92,25.8689
40000,0,1130,17.01,0.32,3.53,0.60,7.46,0.03,1.11,0.012,0.154,275262.0,269165.9,6,118,2.87,1.11,1.13,18.3317,831.31,27775.7,0.2907,4.2473,5462,13.2378,85,33.5045,234771.5,153.22,0.9553
40000,1,952,15.41,0.19,2.60,0.55,8.24,0.01,1.08,0.005,0.126,136767.2,120552.3,4,120,2.82,1.07,1.10,6.4597,674.51,36315.6,0.0167,4.6522,5461,13.2354,91,13.2736,90270.2,80.85,4.1635
40000,2,878,17.67,0.20,3.45,0.42,7.89,0.06,1.07,0.025,0.120,97241.9,82256.3,4,142,2.92,1.09,1.08,3.4765,634.55,42515.4,0.0025,4.3220,5461,13.2354,58,7.9165,54229.9,65.92,5.8993
50000,0,1495,15.03,0.19,3.39,0.35,5.97,0.03,1.08,0.015,0.169,441118.9,404829.2,11,147,2.44,1.08,1.08,31.3009,848.61,32174.3,2.6861,1.9870,5462,30.2371,52,62.6636,422683.3,153.22,1.8662
50000,1,1327,15.94,0.19,3.37,0.41,6.69,0.03,1.09,0.016,0.162,460140.8,415993.4,13,146,2.64,1.09,1.10,32.9527,737.06,34845.0,4.4682,2.4415,5461,30.2316,112,64.1673,437530.5,80.85,16.4768
50000,2,1091,16.63,0.35,3.77,0.34,5.95,0.04,1.16,0.017,0.130,388811.5,361072.3,10,144,2.59,1.14,1.18,24.9737,419.26,33163.0,5.3093,3.2615,5461,30.2316,85,51.3915,358217.7,65.92,26.0765
60000,0,1182,19.46,0.29,4.16,0.52,7.04,0.06,1.10,0.022,0.162,273351.7,208449.1,9,149,2.51,1.10,1.10,13.7664,832.29,24767.5,0.7689,4.8663,5462,14.4674,82,31.6407,226758.8,153.22,0.9569
60000,1,1039,18.44,0.13,3.83,0.37,7.37,0.02,1.04,0.009,0.139,144361.2,97869.3,9,131,2.58,1.03,1.05,5.4299,738.58,34798.2,0.0183,5.1380,5461,14.4648,60,12.9450,93003.6,80.85,4.1481
60000,2,806,19.85,0.22,4.30,0.60,7.83,0.03,1.07,0.014,0.120,97502.4,58968.7,9,172,2.85,1.07,1.09,2.5706,341.18,44262.2,0.0009,4.4423,5461,14.4648,43,7.6550,53312.5,65.92,5.9029
70000,0,1247,18.12,0.38,3.89,0.53,6.59,0.04,1.12,0.017,0.163,428837.1,347992.3,7,128,2.44,1.13,1.14,28.3674,948.51,26567.8,3.3363,2.1399,5462,28.0969,65,63.9906,408776.5,153.22,2.5088
70000,1,1001,20.32,0.43,4.73,0.53,6.67,0.05,1.16,0.024,0.141,429139.7,337563.8,9,192,2.66,1.17,1.18,28.7555,821.54,31444.4,4.4673,2.3289,5461,28.0917,62,64.0899,406675.8,80.85,16.1193
70000,2,956,20.10,0.56,4.35,0.29,6.59,0.07,1.19,0.032,0.128,352231.8,273818.0,7,181,2.56,1.21,1.21,22.0940,780.25,32951.7,3.4393,2.7871,5461,28.0917,66,51.7272,325644.1,65.92,26.3576
80000,0,1118,19.17,0.32,4.18,0.37,7.21,0.04,1.13,0.021,0.155,274232.2,194963.9,9,114,2.54,1.15,1.14,13.6824,832.26,25519.5,0.9869,5.0921,5462,14.4340,81,32.2357,225512.9,153.22,0.9745
80000,1,897,17.11,0.26,3.84,0.48,6.92,0.04,1.10,0.018,0.117,133995.5,82576.9,9,148,2.57,1.10,1.11,4.8089,354.19,36762.0,0.0259,5.2330,5461,14.4314,55,11.7924,81537.0,80.85,3.9675
80000,2,874,18.90,0.44,4.03,0.31,7.74,0.06,1.14,0.027,0.125,98302.0,54186.7,8,181,2.78,1.13,1.15,2.7845,442.66,44562.0,0.0038,4.6425,5461,14.4314,40,7.4413,52122.2,65.92,5.8897
90000,0,1177,20.76,0.33,4.77,0.12,6.89,0.04,1.14,0.014,0.163,419208.1,320265.4,14,136,2.48,1.12,1.15,28.3508,1268.32,28113.6,3.1352,2.1508,5462,27.2541,91,63.9103,398774.6,153.22,2.0554
90000,1,940,23.92,0.35,5.39,0.29,7.49,0.07,1.13,0.031,0.146,407938.2,295808.9,13,157,2.54,1.15,1.13,26.7255,954.26,29840.4,5.9879,2.5768,5461,27.2491,95,61.3712,383585.8,80.85,15.6113
90000,2,1036,21.21,0.31,4.67,0.17,7.26,0.04,1.12,0.018,0.147,365821.7,271209.6,14,147,2.59,1.12,1.13,22.2505,676.34,29430.8,5.5706,3.2606,5461,27.2491,74,50.9501,334898.4,65.92,25.9508
100000,0,1112,20.59,0.14,4.92,0.15,7.06,0.03,1.05,0.014,0.156,273120.8,191972.3,7,135,2.48,1.05,1.04,13.3889,802.08,25761.6,0.5171,5.1335,5462,14.3137,53,32.7849,223431.1,153.22,1.1779
100000,1,937,19.22,0.25,4.52,0.19,7.23,0.01,1.08,0.007,0.131,135263.3,84324.3,5,123,2.49,1.07,1.09,5.2711,584.53,35563.7,0.0175,5.2137,5461,14.3111,56,11.6045,83179.1,80.85,3.8075
100000,2,855,19.82,0.28,4.16,0.18,7.89,0.04,1.08,0.018,0.122,98884.4,59044.7,5,155,2.75,1.08,1.09,3.1516,290.98,43552.3,0.0117,4.6613,5461,14.3111,46,7.3414,52697.4,65.92,5.9192
110000,0,1202,20.90,0.30,4.53,0.22,6.88,0.06,1.12,0.027,0.164,375544.4,275403.3,11,175,2.35,1.14,1.12,23.9970,1165.85,28391.4,3.5947,2.0336,5462,26.9458,31,56.6268,356110.7,153.22,1.5332
110000,1,1134,22.63,0.19,5.08,0.26,7.50,0.03,1.07,0.012,0.169,448909.2,332080.9,12,122,2.51,1.08,1.07,29.3398,1245.28,29238.2,7.8066,2.7754,5461,26.9409,43,67.8298,422413.2,80.85,16.3398
110000,2,933,21.47,0.24,4.60,0.21,7.94,0.02,1.11,0.012,0.140,349983.7,247510.3,12,153,2.56,1.12,1.11,20.5923,595.17,29547.7,6.0323,3.2773,5461,26.9409,74,48.7167,318749.9,65.92,25.8463
120000,0,1235,19.97,0.17,4.47,0.24,7.63,0.04,1.06,0.017,0.175,271326.2,164101.7,13,124,2.57,1.07,1.06,10.8378,661.16,23719.3,1.2119,5.9583,5462,15.0032,67,29.9058,213724.4,153.22,0.9466
120000,1,870,20.59,0.22,4.35,0.09,8.31,0.06,1.08,0.022,0.130,142225.9,80326.9,14,144,2.70,1.09,1.08,4.8781,584.98,35161.7,0.0332,5.3005,5461,15.0004,66,12.5891,89256.0,80.85,4.1427
120000,2,776,21.65,0.33,4.35,0.19,9.03,0.05,1.13,0.023,0.124,99380.5,55120.2,12,153,2.86,1.17,1.12,3.0880,371.53,45584.5,0.0045,4.3954,5461,15.0004,88,7.7558,55776.6,65.92,5.8602
130000,0,1136,21.37,0.24,4.86,0.05,6.84,0.05,1.10,0.020,0.156,423806.2,273147.4,7,152,2.26,1.12,1.10,25.6175,1205.30,29191.8,4.7044,2.2081,5462,28.4820,81,65.5124,402882.2,153.22,2.0492
130000,1,1027,21.13,0.34,4.40,0.08,7.29,0.03,1.15,0.017,0.142,396560.6,262448.9,9,153,2.39,1.20,1.15,22.0625,784.59,28794.1,6.4780,2.8660,5461,28.4768,71,56.7919,369491.7,80.85,16.0614
130000,2,987,20.94,0.22,4.48,0.18,7.70,0.05,1.08,0.017,0.142,363724.6,246434.8,10,158,2.46,1.10,1.09,18.3450,550.06,27324.5,8.0103,3.6773,5461,28.4768,76,47.9273,328553.9,65.92,26.1728
140000,0,1049,22.30,0.13,5.11,0.05,7.64,0.02,1.06,0.013,0.155,277080.6,169633.4,11,166,2.34,1.08,1.04,11.7020,600.30,23489.9,0.9185,5.6673,5462,14.9975,61,30.9764,222088.1,153.22,0.9435
140000,1,891,20.26,0.12,3.95,0.09,8.50,0.02,1.05,0.011,0.130,140931.5,76775.0,11,128,2.46,1.06,1.04,4.6046,430.34,34977.7,0.0379,5.3377,5461,14.9948,46,12.3544,87497.9,80.85,3.9232
140000,2,830,19.65,0.11,3.85,0.05,8.57,0.02,1.05,0.007,0.119,99692.0,54039.7,9,154,2.49,1.08,1.07,2.6367,287.76,44219.2,0.0227,4.7860,5461,14.9948,55,7.1100,52151.6,65.92,6.0467
150000,0,1234,23.78,0.30,5.10,0.06,7.70,0.03,1.11,0.015,0.185,413136.7,272570.8,5,147,2.29,1.15,1.08,27.5310,1118.68,24993.6,5.1667,2.3717,5462,26.2909,77,64.3195,391699.4,153.22,2.2608
150000,1,869,24.14,0.28,4.45,0.06,9.23,0.02,1.10,0.010,0.139,393290.4,271634.2,6,140,2.44,1.11,1.08,25.6870,747.79,28145.4,6.9421,3.1173,5461,26.2861,92,57.1536,364312.2,80.85,14.9889
150000,2,900,24.94,0.13,5.71,0.03,8.39,0.02,1.07,0.009,0.147,358963.8,247755.5,5,155,2.47,1.08,1.07,20.9877,601.17,27594.0,7.5190,3.5741,5461,26.2861,109,49.3201,325546.1,65.92,26.1288
160000,0,1007,22.96,0.35,4.80,0.03,8.35,0.01,1.13,0.005,0.156,274336.8,162827.8,5,151,2.47,1.14,1.14,13.0261,695.62,22945.2,1.1430,5.4541,5462,14.4350,48,32.1418,221145.8,153.22,0.9453
