step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed
210000,3617,0.579,0.557,26.17,100282,77391,4614,6205,11418,281935,1073855.0,457554.6,0.006,0.657,0.125,0.212,57,33.87,28.05,0.47,2.83,6.88,8.14,1.24,5.00,10.36,9.60,0.04,0.37,0.155,0.159,1748,0.042,0.062,0.923,0.000,0.015,245839,217885,5,0.418,0.044,0.346,12598285,0.100,2.495,0.043,5.84,89060,649,1.623,0.230,0.283,31632316,1.12,27.44,0.001,0.321,0.014,6.0,30.6,61.0,272.0,68538,0.261,0.00,0.0029,0.043,992,0.927,0.000,0.892,0.594,4.04,6.24,5.08,0.07,0.029,1.15,1.10,1.12,0.931,0.00073,3.98,54.2946,1861.53,88626.6,140196.6,19.833,100.4904,190.096,0.000,1.000,0.048,72.6,83.019,242.346,397,1490.9,46.27,6.038,179.020,5514.5,104.922,0.133,2.00,10.4578,37825.9,0.8657,0.6539,18.95,1.687,0.434,1.5288,0.0000,0.326,0.119,0.037,0.0000,12.25,3.43,5,18,31,178,75.2075,5.1610,0.7360,0.0000,0.0000,41.8084,100.00,64.3393,526.5099
220000,3124,0.635,0.363,16.28,35557,29421,2293,1895,2441,131345,429895.2,141011.1,0.008,0.688,0.135,0.169,142,25.72,29.06,0.39,2.75,5.48,9.24,0.74,4.76,9.01,8.45,0.02,0.31,0.114,0.172,1129,0.093,0.089,0.887,0.001,0.024,62655,54279,3,0.645,0.000,0.196,4589760,0.084,2.020,0.027,12.77,21662,737,1.074,0.140,0.289,10644514,1.11,22.15,0.000,0.394,0.007,4.5,13.4,53.0,380.0,48819,0.186,0.00,0.0015,0.085,783,0.735,0.000,0.758,0.446,3.77,4.58,5.99,0.03,0.012,1.10,1.12,1.13,0.739,0.00093,4.67,12.8783,767.37,100365.0,140196.6,0.725,24.5216,82.045,0.000,1.000,0.199,63.2,38.153,59.631,177,652.6,41.95,3.648,48.734,4303.9,30.374,0.135,2.00,9.6755,30226.2,1.0944,0.5458,15.63,1.429,0.425,0.4712,0.0000,0.399,0.067,0.025,0.0000,10.43,3.37,4,12,28,156,34.2343,1.0048,0.6197,0.0000,0.0000,10.3065,100.00,104.0973,283.9582
230000,3758,0.646,0.518,23.63,101083,78849,4592,6629,10379,297406,1064620.8,457187.1,0.009,0.638,0.134,0.219,64,32.82,28.16,0.50,2.82,7.28,9.25,0.93,5.04,9.62,8.47,0.03,0.39,0.150,0.174,1618,0.109,0.072,0.906,0.001,0.022,243642,220840,4,0.544,0.040,0.303,11670875,0.070,2.343,0.041,5.74,80770,692,1.537,0.203,0.299,30788194,1.14,27.10,0.003,0.323,0.009,5.7,25.0,60.0,235.0,68883,0.263,0.00,0.0029,0.048,1124,0.927,0.000,0.886,0.587,3.88,5.87,5.05,0.05,0.017,1.16,1.13,1.15,0.931,0.00072,3.99,52.2196,1488.57,89527.8,140196.6,18.318,101.7974,189.099,0.000,1.000,0.031,69.5,82.824,242.420,370,1421.5,40.69,5.941,179.968,5369.7,103.666,0.133,2.00,9.9025,37213.7,0.9130,0.6575,18.33,1.641,0.434,1.5288,0.0000,0.386,0.089,0.064,0.0000,12.00,3.47,4,16,31,224,74.7258,5.3970,0.7030,0.0000,0.0000,42.4639,100.00,65.3194,535.4612
240000,3101,0.671,0.383,16.17,38058,31643,2227,2269,2576,140636,430318.2,145101.5,0.012,0.689,0.131,0.168,155,26.34,28.17,0.33,2.44,6.46,9.86,0.58,4.21,8.58,8.01,0.01,0.18,0.130,0.182,994,0.160,0.081,0.897,0.000,0.022,64684,57748,2,0.644,0.003,0.224,4494037,0.056,2.168,0.029,12.52,20769,743,1.032,0.148,0.308,10826672,1.10,22.34,0.001,0.391,0.004,4.5,13.4,53.0,340.0,49444,0.189,0.00,0.0016,0.083,752,0.735,0.000,0.785,0.425,3.78,4.44,6.15,0.02,0.008,1.08,1.10,1.11,0.739,0.00097,4.28,12.7770,987.44,102914.7,140196.6,0.785,24.1755,82.787,0.000,1.000,0.230,58.6,38.503,60.430,187,657.4,73.56,3.554,48.821,4390.8,30.652,0.138,2.00,8.7812,27230.4,1.0308,0.5409,15.94,1.429,0.425,0.4712,0.0000,0.405,0.059,0.026,0.0000,10.51,3.31,4,12,27,183,34.5320,0.9523,0.6111,0.0000,0.0000,10.7997,100.00,104.2541,279.6747
250000,3844,0.619,0.626,22.39,98367,75634,4790,7682,9518,299926,1041526.8,438416.6,0.015,0.645,0.140,0.200,73,31.67,29.96,0.45,3.12,7.91,9.79,0.95,4.76,8.42,9.13,0.01,0.21,0.164,0.186,1436,0.169,0.065,0.910,0.001,0.024,231803,214906,2,0.544,0.014,0.307,11943138,0.061,2.881,0.047,5.75,70637,698,1.462,0.200,0.320,30867212,1.14,26.69,0.001,0.344,0.003,4.5,22.0,54.0,348.0,68171,0.260,0.00,0.0032,0.046,1057,0.924,0.000,0.890,0.577,3.87,5.47,5.39,0.02,0.010,1.13,1.14,1.16,0.928,0.00070,4.14,50.2482,2642.63,91743.5,140196.6,13.425,109.4963,183.663,0.000,1.000,0.024,70.8,79.892,242.039,328,1364.8,70.05,5.426,184.750,6043.6,101.085,0.135,2.00,8.6668,33315.0,0.9206,0.6721,17.73,1.611,0.438,1.5288,0.0000,0.391,0.072,0.042,0.0000,11.81,3.49,4,14,29,209,71.1488,6.0534,0.6920,0.0000,0.0000,42.4088,100.00,66.5397,520.9624
260000,3005,0.650,0.381,14.45,35042,29031,2348,2178,2324,132599,422726.7,136492.4,0.013,0.697,0.132,0.158,159,24.56,28.14,0.33,2.46,5.67,9.79,0.52,4.38,8.70,7.64,0.01,0.21,0.118,0.187,904,0.129,0.097,0.875,0.000,0.028,61187,55100,2,0.696,0.000,0.183,4378755,0.053,2.231,0.029,12.04,19013,828,1.029,0.142,0.258,11154661,1.10,20.88,0.000,0.349,0.004,4.5,13.4,53.0,343.0,45713,0.174,0.00,0.0016,0.062,855,0.738,0.000,0.770,0.441,3.76,4.31,6.27,0.03,0.011,1.10,1.09,1.10,0.742,0.00092,4.30,12.0947,1110.08,98707.1,140196.6,0.758,25.4338,80.195,0.000,1.000,0.179,61.0,37.034,60.564,135,494.9,75.70,3.576,49.733,4434.2,30.370,0.135,2.00,10.5674,31755.1,1.2056,0.5525,15.21,1.386,0.407,0.4712,0.0000,0.410,0.061,0.061,0.0000,10.06,3.24,4,12,27,196,33.0773,1.2000,0.6033,0.0000,0.0000,10.3744,100.00,104.1672,279.3457
270000,3846,0.580,0.563,22.70,99702,76968,4569,7349,9975,302992,1037572.6,455741.5,0.014,0.644,0.142,0.199,72,31.29,27.96,0.71,3.54,7.12,9.32,0.79,3.77,8.64,7.87,0.06,0.47,0.150,0.181,1612,0.061,0.065,0.914,0.001,0.021,237434,220240,3,0.547,0.014,0.231,9854084,0.064,2.548,0.043,5.55,73103,706,1.504,0.194,0.304,30765682,1.21,27.03,0.002,0.354,0.021,4.7,22.0,54.0,380.0,66370,0.253,0.00,0.0031,0.047,1029,0.922,0.000,0.885,0.582,3.85,5.55,5.40,0.07,0.027,1.28,1.15,1.22,0.926,0.00072,3.76,51.0071,1759.19,92265.1,140196.6,16.476,106.8592,183.529,0.000,1.000,0.060,70.8,79.922,242.994,372,1464.7,76.80,5.210,181.878,5752.6,100.664,0.135,2.00,8.8383,33992.3,0.9511,0.6867,17.26,1.624,0.437,1.5288,0.0000,0.387,0.096,0.060,0.0000,11.86,3.54,4,14,28,129,70.9688,6.1788,0.6953,0.0000,0.0000,42.8086,100.00,66.1078,520.9681
280000,3094,0.779,0.415,15.78,38396,31933,2347,2339,2529,142838,429208.0,150789.5,0.009,0.688,0.140,0.164,156,25.72,29.50,0.43,2.70,6.13,10.14,0.72,5.48,8.29,8.51,0.04,0.54,0.132,0.192,1144,0.129,0.083,0.884,0.000,0.033,66223,59739,2,0.653,0.002,0.166,3487017,0.060,2.180,0.031,11.70,20476,754,1.056,0.174,0.319,11271760,1.13,21.88,0.000,0.437,0.012,4.5,13.4,53.0,512.0,48200,0.184,0.00,0.0017,0.062,811,0.752,0.000,0.764,0.433,3.77,4.57,5.95,0.07,0.019,1.13,1.13,1.14,0.756,0.00091,4.29,13.0312,1619.06,102047.4,140196.6,0.508,25.1282,82.236,0.000,1.000,0.204,62.4,37.905,61.009,159,614.1,50.06,3.380,50.358,4378.1,31.420,0.133,2.00,8.8183,27283.9,1.0888,0.5676,15.58,1.427,0.418,0.4712,0.0000,0.399,0.062,0.023,0.0000,10.36,3.34,4,12,27,256,33.8237,1.2628,0.5734,0.0000,0.0000,10.3560,100.00,104.2993,283.3934
290000,3974,0.605,0.549,22.45,97123,74961,4582,7183,9517,312287,1036857.1,447896.1,0.010,0.647,0.142,0.202,71,31.26,28.31,0.57,3.04,7.46,9.84,0.73,4.76,8.58,8.23,0.05,0.47,0.162,0.184,1810,0.075,0.062,0.915,0.001,0.022,232920,215257,2,0.537,0.023,0.214,8783361,0.074,2.388,0.043,5.46,72951,667,1.434,0.198,0.317,31451762,1.16,26.32,0.001,0.399,0.015,4.5,24.0,54.0,320.0,68918,0.263,0.00,0.0030,0.056,1087,0.933,0.000,0.895,0.585,3.89,5.82,5.21,0.06,0.021,1.23,1.13,1.16,0.937,0.00066,3.46,49.4070,1936.33,88473.1,140196.6,15.055,106.2424,185.173,0.000,1.000,0.047,75.9,80.727,243.704,377,1453.4,47.65,6.376,182.870,5378.9,101.047,0.136,2.00,9.5043,37770.1,0.9821,0.6507,17.34,1.611,0.440,1.5288,0.0000,0.398,0.080,0.058,0.0000,11.76,3.59,4,15,28,204,73.0162,5.0886,0.6834,0.0000,0.0000,43.6342,100.00,67.0542,524.6957
300000,3132,0.601,0.369,16.89,37632,31117,2328,2580,2449,149622,432582.9,153502.6,0.009,0.700,0.133,0.159,150,26.40,29.03,0.38,2.73,6.16,9.59,0.78,5.58,8.72,8.92,0.02,0.32,0.139,0.190,1162,0.130,0.075,0.906,0.001,0.018,65232,58156,2,0.625,0.002,0.226,3736502,0.068,2.027,0.028,12.26,21597,757,1.026,0.157,0.304,11784091,1.11,22.66,0.003,0.404,0.006,4.5,13.4,53.0,309.0,50218,0.192,0.00,0.0016,0.077,842,0.747,0.000,0.786,0.436,3.83,4.62,5.98,0.03,0.013,1.11,1.11,1.12,0.751,0.00093,4.43,12.8161,809.55,104321.5,140196.6,1.012,24.3028,83.587,0.000,1.000,0.257,59.1,38.692,60.475,157,603.0,33.07,3.649,49.147,4369.7,31.141,0.133,2.00,8.3765,26235.1,0.9837,0.5777,16.03,1.454,0.424,0.4712,0.0000,0.416,0.077,0.071,0.0000,10.55,3.42,4,12,27,256,34.5924,1.1855,0.6632,0.0000,0.0000,10.3488,100.00,104.3046,287.3529
