step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed
110000,3793,0.627,0.535,27.26,107195,83581,4191,7039,11760,356477,1086650.6,477567.3,0.008,0.664,0.107,0.221,54,31.73,26.19,0.28,2.01,6.66,8.29,0.75,3.70,9.75,8.62,0.03,0.37,0.154,0.157,1863,0.073,0.060,0.917,0.001,0.023,242876,210961,4,0.637,0.045,0.305,13674721,0.098,2.855,0.039,6.77,98462,609,1.340,0.204,0.305,31627958,1.10,28.85,0.001,0.314,0.006,5.5,30.0,55.0,282.0,66174,0.252,0.00,0.0029,0.054,1102,0.925,0.000,0.896,0.561,3.78,5.90,4.42,0.03,0.010,1.11,1.11,1.10,0.931,0.00088,4.03,54.1214,1948.02,87157.3,140196.6,20.212,96.9942,195.206,0.000,1.000,0.004,74.0,84.284,242.322,383,1404.8,102.10,7.296,176.289,5105.1,105.646,0.136,2.00,10.3939,39424.0,0.9771,0.5764,17.45,1.715,0.417,1.5288,0.0000,0.270,0.116,0.027,0.0000,12.14,3.35,4,16,28,147,77.0598,3.8866,0.6913,0.0000,0.0000,43.1698,100.00,65.2353,532.9376
120000,3226,0.639,0.363,18.15,41355,34110,1971,2840,3001,156473,438802.4,156127.0,0.005,0.695,0.130,0.169,136,22.13,24.47,0.26,2.14,4.57,7.83,1.03,6.56,7.98,7.06,0.00,0.10,0.127,0.173,1358,0.053,0.086,0.890,0.001,0.024,65244,52922,2,0.605,0.167,0.258,4252948,0.083,2.016,0.027,14.51,25592,709,0.998,0.146,0.310,10381744,1.08,23.27,0.002,0.423,0.002,4.0,12.7,50.0,233.0,44649,0.170,0.00,0.0017,0.075,941,0.693,0.000,0.743,0.385,3.49,4.54,5.19,0.02,0.008,1.07,1.09,1.10,0.699,0.00106,5.13,12.7577,808.52,104185.7,140196.6,1.324,22.6349,85.277,0.000,1.000,0.250,60.3,39.648,57.073,174,564.5,45.44,3.467,46.067,4221.9,29.499,0.134,2.00,8.2194,26515.9,1.0987,0.5590,13.84,1.455,0.442,0.4712,0.0000,0.324,0.108,0.016,0.0000,10.34,3.49,3,11,26,179,34.9426,1.2716,0.6063,0.0000,0.0000,10.1698,100.00,104.3787,287.1871
130000,3959,0.743,0.478,24.41,116722,92183,4046,7201,12559,334662,1087790.9,468443.9,0.007,0.673,0.120,0.200,53,25.96,25.83,0.24,2.02,4.75,7.05,1.20,6.20,8.95,9.00,0.01,0.19,0.130,0.160,1863,0.042,0.069,0.901,0.001,0.029,251745,212300,5,0.546,0.028,0.300,14429527,0.111,2.408,0.037,6.97,97429,623,1.400,0.214,0.307,32893817,1.08,27.34,0.001,0.324,0.003,4.5,18.0,52.0,303.0,59936,0.229,0.00,0.0031,0.049,1129,0.912,0.000,0.881,0.539,3.59,5.33,4.71,0.02,0.006,1.07,1.08,1.09,0.917,0.00082,4.67,51.0075,2097.37,88760.0,140196.6,21.798,93.4849,197.808,0.000,1.000,0.017,72.8,86.677,240.830,275,968.7,68.94,6.682,174.731,4559.9,105.324,0.133,2.00,9.7342,38537.5,1.0682,0.6106,15.14,1.619,0.453,1.5288,0.0000,0.282,0.114,0.016,0.0000,11.56,3.60,4,12,28,229,78.0641,5.3661,0.6135,0.0000,0.0000,42.3001,100.00,65.1149,544.2331
140000,3337,0.694,0.360,19.55,43397,35866,1954,2836,3363,151591,452722.6,164582.6,0.005,0.723,0.125,0.148,127,22.92,25.65,0.61,3.45,4.07,6.83,1.28,6.98,8.00,6.68,0.04,0.43,0.110,0.161,1277,0.128,0.091,0.883,0.001,0.026,73449,61365,4,0.567,0.042,0.245,4605101,0.106,1.985,0.028,14.20,27023,704,1.086,0.170,0.315,11383395,1.18,23.22,0.001,0.410,0.013,4.2,12.2,46.0,262.0,46600,0.178,0.00,0.0017,0.075,942,0.696,0.000,0.745,0.423,3.57,4.54,5.37,0.06,0.023,1.20,1.15,1.20,0.701,0.00096,5.08,14.0010,1094.94,103328.7,140196.6,0.794,22.1667,87.550,0.000,1.000,0.239,64.0,40.565,57.280,127,465.5,38.70,3.234,47.074,4074.8,31.352,0.136,1.99,8.1085,27058.1,1.0545,0.5794,13.96,1.460,0.472,0.4712,0.0000,0.307,0.099,0.005,0.0000,10.44,3.71,4,9,24,200,35.9890,1.3811,0.6068,0.0000,0.0000,10.0530,100.00,103.5483,283.1950
150000,3740,0.650,0.471,24.53,108952,85561,4274,6673,12041,300569,1087603.8,450488.6,0.004,0.679,0.110,0.208,51,27.71,26.42,0.60,3.08,4.91,7.14,0.99,4.60,9.14,8.56,0.03,0.31,0.122,0.152,1635,0.079,0.063,0.915,0.000,0.022,248252,218289,10,0.505,0.037,0.271,14737764,0.139,2.438,0.036,6.58,93379,621,1.499,0.225,0.276,33033369,1.18,26.18,0.001,0.337,0.014,5.1,22.0,52.0,392.0,58495,0.223,0.00,0.0032,0.050,1094,0.909,0.000,0.895,0.563,3.65,5.27,4.83,0.05,0.022,1.22,1.15,1.19,0.914,0.00080,4.32,52.6363,1687.89,86427.6,140196.6,21.125,95.8082,194.709,0.000,1.000,0.035,77.0,85.018,241.435,280,1051.9,80.69,6.088,175.933,4758.5,105.952,0.134,2.00,11.0886,41471.5,1.1408,0.6224,15.64,1.607,0.470,1.5288,0.0000,0.279,0.117,0.023,0.0000,11.37,3.74,4,13,27,196,76.8796,5.1645,0.6583,0.0000,0.0000,42.5183,100.00,63.7116,536.7731
160000,3412,0.678,0.333,17.56,44224,36559,1952,2851,3190,142567,455152.0,159606.4,0.005,0.713,0.121,0.161,135,21.89,25.75,0.44,2.94,4.48,7.54,0.71,4.91,7.86,7.04,0.03,0.35,0.122,0.177,1213,0.131,0.091,0.879,0.001,0.028,72005,61244,2,0.623,0.215,0.161,4090761,0.103,1.879,0.025,14.37,26148,704,1.120,0.157,0.286,11313218,1.12,22.14,0.001,0.399,0.008,4.1,9.4,46.0,272.0,46029,0.176,0.00,0.0017,0.085,896,0.689,0.000,0.747,0.401,3.53,4.35,5.49,0.05,0.016,1.10,1.12,1.13,0.694,0.00092,5.24,13.1802,964.39,103351.2,140196.6,1.533,20.5049,88.638,0.000,1.000,0.280,67.7,41.357,57.412,177,664.1,48.42,3.455,45.797,3523.6,31.433,0.134,2.00,8.0644,27515.9,1.0294,0.6142,13.49,1.410,0.460,0.4712,0.0000,0.330,0.102,0.016,0.0000,10.08,3.55,4,9,26,172,36.7973,1.4328,0.5762,0.0000,0.0000,10.2588,100.00,104.2433,293.6083
170000,3763,0.640,0.508,27.33,113180,89507,4013,6564,12745,299283,1107804.2,465467.2,0.005,0.665,0.106,0.224,53,30.26,28.18,0.57,3.05,5.89,7.61,1.13,6.41,9.00,8.82,0.05,0.45,0.151,0.160,1858,0.047,0.055,0.927,0.001,0.017,255605,223656,7,0.399,0.034,0.237,9865621,0.125,2.410,0.039,6.69,96513,631,1.555,0.215,0.297,32743801,1.17,29.11,0.002,0.362,0.018,5.5,26.0,61.0,385.0,62464,0.238,0.00,0.0033,0.047,1048,0.909,0.000,0.896,0.559,3.77,5.78,4.78,0.07,0.028,1.20,1.14,1.17,0.913,0.00080,4.28,52.6069,1772.40,85641.9,140196.6,22.512,90.9089,201.375,0.000,1.000,0.025,74.9,88.542,241.745,290,1139.3,89.94,6.577,174.530,5192.8,108.403,0.135,2.00,11.0195,41466.5,1.1227,0.6456,16.60,1.700,0.439,1.5288,0.0000,0.291,0.110,0.021,0.0000,12.25,3.43,4,14,31,254,80.4767,5.0396,0.6846,0.0000,0.0000,42.4610,100.00,64.5076,552.5024
180000,3220,0.688,0.338,16.29,41184,34463,2077,2112,3075,131004,444861.9,149963.5,0.004,0.696,0.124,0.176,138,22.76,26.70,0.50,3.18,4.49,8.01,0.79,4.74,8.43,6.94,0.04,0.41,0.104,0.165,1227,0.094,0.077,0.897,0.001,0.025,70208,60773,3,0.666,0.002,0.172,3545015,0.094,1.923,0.026,12.71,25143,731,1.145,0.187,0.278,11009669,1.14,21.11,0.000,0.411,0.012,4.2,10.8,56.0,298.0,45727,0.174,0.00,0.0016,0.073,974,0.717,0.000,0.765,0.427,3.61,4.37,5.73,0.07,0.022,1.14,1.13,1.16,0.722,0.00089,4.50,13.5780,1203.10,102100.6,140196.6,1.527,22.5438,85.779,0.000,1.000,0.251,66.5,39.983,59.764,139,474.7,52.49,3.477,48.168,3562.1,32.010,0.135,2.00,8.9448,28802.3,1.1530,0.5808,14.20,1.376,0.443,0.4712,0.0000,0.338,0.099,0.009,0.0000,9.95,3.41,4,10,29,179,35.7442,1.3620,0.5652,0.0000,0.0000,10.2985,100.00,103.6632,299.3098
190000,3841,0.617,0.507,23.89,111309,88548,4122,6002,12016,279623,1093702.4,456468.4,0.005,0.641,0.122,0.231,54,27.06,26.85,0.60,3.08,4.73,6.88,1.04,4.77,9.17,8.78,0.07,0.55,0.123,0.152,1983,0.038,0.068,0.908,0.000,0.024,256371,223338,4,0.433,0.246,0.242,11395153,0.132,2.397,0.040,7.05,96102,615,1.632,0.230,0.282,30892582,1.17,26.96,0.000,0.360,0.025,5.1,19.3,57.0,259.0,59695,0.228,0.00,0.0031,0.051,1063,0.903,0.000,0.887,0.568,3.66,5.40,4.90,0.10,0.038,1.21,1.15,1.17,0.907,0.00075,4.80,52.4918,1717.10,87608.5,140196.6,22.709,90.7071,198.206,0.000,1.000,0.084,79.5,87.447,240.453,351,1403.2,68.53,6.304,172.551,4970.6,106.323,0.135,2.00,10.3481,39747.2,1.1027,0.6499,15.54,1.597,0.463,1.5288,0.0000,0.300,0.115,0.021,0.0000,11.56,3.59,4,12,30,154,79.3974,5.1605,0.6696,0.0000,0.0000,43.3598,100.00,64.9347,540.4758
200000,2963,0.685,0.367,18.07,39984,33747,1932,2222,2961,134486,451954.0,154830.1,0.004,0.691,0.132,0.173,137,24.66,25.21,0.48,2.86,5.02,7.98,0.82,3.65,8.92,7.65,0.05,0.47,0.125,0.171,1258,0.048,0.093,0.882,0.001,0.025,71774,61034,3,0.598,0.004,0.223,3497750,0.101,1.960,0.029,13.76,25498,754,1.151,0.168,0.296,10601449,1.13,22.47,0.001,0.394,0.012,4.2,13.4,55.0,212.0,45144,0.172,0.00,0.0017,0.063,835,0.703,0.000,0.738,0.456,3.76,4.80,5.72,0.07,0.021,1.12,1.14,1.15,0.708,0.00102,5.08,13.7948,952.97,102093.3,140196.6,1.523,21.3239,86.769,0.000,1.000,0.241,57.5,40.611,57.900,172,687.1,44.24,3.411,46.730,4098.9,31.665,0.135,1.99,9.6347,28547.5,1.0968,0.5807,15.24,1.447,0.455,0.4712,0.0000,0.346,0.091,0.013,0.0000,10.45,3.59,4,12,31,110,36.2075,1.3809,0.6099,0.0000,0.0000,10.1188,100.00,103.9027,301.5721
