step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached
10000,589,0.206,0.751,5.28,10970,8469,2606,71,665,15856,284909.3,73478.4,0.306,0.434,0.122,0.138,91,42.44,14.80,0.77,4.07,0.60,3.39,9.72,10.81,32.33,10.98,0.02,0.29,0.013,0.076,208,0.188,0.092,0.908,0.000,0.000,43723,41269,3,0.995,0.000,0.756,5177706,0.255,2.216,0.080,4.51,13272,140,4.634,0.676,0.036,5989287,1.15,2.46,0.034,0.048,0.005,25.6,43.2,61.5,150.0,25583,0.098,0.00,0.0015,0.121,62,0.967,0.000,0.580,0.755,6.88,8.44,8.44,0.06,0.017,1.12,1.21,1.14,0.967,0.00092,2.57,12.0791,68.35,125647.8,140185.7,147.220,27.9441,50.713,0.000,0.951,0.217,10.0,25.334,234.949,1480,9663.7,24.82,19.243,36.207,2109.8,13.016,0.135,2.00,2.7075,1594.7,0.0983,0.1535,43.43,1.073,0.075,1.5345,0.0000,0.591,0.040,0.975,0.0000,9.05,0.51,26,44,62,100,24.7897,0.0016,0.8913,0.0000,0.0000,60.9039,100.00,244.6172
20000,115,0.114,0.583,4.77,1950,1924,455,3,42,565,49448.4,4568.1,0.188,0.737,0.032,0.044,146,41.38,15.07,1.39,4.63,0.63,3.01,4.87,6.05,32.37,11.96,0.00,0.00,0.011,0.054,34,0.296,0.113,0.887,0.000,0.000,3374,3339,1,1.000,0.000,0.539,1450476,0.306,1.988,0.067,1.94,937,176,8.085,0.333,0.096,1441224,1.32,3.41,0.000,0.026,0.000,22.4,45.1,62.1,87.4,4516,0.017,0.00,0.0013,0.104,5,0.889,0.000,0.748,0.474,6.34,7.30,8.54,0.11,0.043,1.34,1.34,1.30,0.890,0.00347,0.10,0.8370,11.86,129347.2,140185.7,42.892,13.8497,8.972,0.000,0.945,0.138,3.9,4.656,72.271,1206,7965.2,18.66,2.199,16.193,1300.9,2.819,0.135,2.00,10.1453,1166.7,0.3139,0.1469,39.27,1.066,0.073,0.4655,0.0000,0.570,0.032,0.948,0.0000,8.77,0.66,24,44,57,75,4.2557,0.0003,0.9217,0.0000,0.0000,15.1462,100.00,162.9046
30000,219,0.400,0.730,5.87,3956,3359,340,5,148,1139,91005.3,14408.6,0.177,0.725,0.034,0.063,130,32.62,13.43,1.33,4.12,0.48,2.58,8.13,13.34,23.51,10.75,0.02,0.27,0.012,0.065,77,0.187,0.096,0.900,0.000,0.005,9998,9832,1,1.000,0.000,0.566,1810037,0.241,2.194,0.082,3.97,2727,208,12.650,0.600,0.064,2059405,1.25,6.13,0.046,0.041,0.005,15.7,33.3,45.1,97.9,7325,0.028,0.00,0.0018,0.205,20,0.857,0.000,0.819,0.629,5.73,7.39,6.68,0.03,0.009,1.35,1.21,1.23,0.857,0.00311,0.36,2.4764,72.70,125597.6,140185.7,168.595,13.5811,15.596,0.000,0.933,0.111,5.3,7.944,235.646,1464,10091.6,26.80,3.843,17.926,1417.9,5.384,0.134,2.00,10.8944,2385.9,0.3907,0.1925,33.45,1.050,0.081,1.5345,0.0000,0.588,0.052,0.904,0.0000,8.57,0.75,17,33,52,92,7.2517,0.0111,0.7854,0.0000,0.0000,60.5486,100.00,118.0392
40000,111,0.566,0.619,4.92,1606,1483,193,3,35,575,34615.5,3319.8,0.150,0.753,0.047,0.050,141,34.81,24.45,1.09,4.08,0.32,1.57,8.17,11.60,26.22,18.50,0.01,0.09,0.005,0.026,38,0.387,0.126,0.856,0.000,0.018,2472,2445,1,1.000,0.000,0.730,704243,0.260,2.044,0.074,1.69,759,19,5.774,1.000,0.090,751648,1.21,8.63,0.045,0.045,0.009,10.6,28.7,77.2,120.8,3974,0.015,0.00,0.0012,0.072,4,0.749,0.000,0.710,0.442,5.83,8.27,5.56,0.06,0.027,1.25,1.26,1.16,0.749,0.00346,0.08,0.6370,40.38,128621.4,140185.7,48.565,10.6176,6.162,0.000,0.931,0.093,3.2,3.266,71.413,1311,8988.3,24.99,1.816,11.891,890.7,1.647,0.134,2.02,11.5248,1279.3,0.4370,0.2060,35.80,1.032,0.088,0.4655,0.0000,0.590,0.043,0.955,0.0000,9.00,0.57,12,30,77,100,2.8239,0.0582,0.6486,0.0000,0.0000,14.0435,100.00,96.7057
50000,215,0.292,0.710,5.02,3519,3021,234,3,157,858,68671.9,10525.8,0.137,0.770,0.039,0.054,129,34.00,17.98,1.05,3.71,0.46,2.56,9.79,13.41,24.95,14.62,0.00,0.00,0.011,0.050,74,0.284,0.140,0.860,0.000,0.000,8149,8122,1,1.000,0.000,0.716,1395593,0.279,2.156,0.084,3.39,1916,401,12.268,0.667,0.056,1362320,1.20,7.50,0.009,0.023,0.000,20.0,28.7,56.1,106.0,7794,0.030,0.00,0.0013,0.163,24,0.756,0.000,0.731,0.598,6.09,8.68,5.64,0.03,0.005,1.25,1.28,1.14,0.756,0.00299,0.34,1.8525,40.48,126801.3,140185.7,176.382,10.3701,11.726,0.000,0.921,0.076,7.3,6.026,234.804,1500,10431.9,24.44,3.231,13.190,883.8,3.640,0.136,1.99,7.1628,1540.0,0.2867,0.2234,36.25,1.051,0.060,1.5345,0.0000,0.573,0.052,0.874,0.0000,8.98,0.57,19,30,61,99,5.3664,0.0164,0.8372,0.0000,0.0000,58.1047,100.00,76.7861
60000,70,0.079,0.661,5.29,896,843,182,0,16,849,31873.1,2080.3,0.248,0.666,0.046,0.040,138,63.07,28.01,2.67,9.64,7.79,16.27,10.10,12.94,45.40,18.76,0.03,0.24,0.096,0.194,37,0.157,0.129,0.871,0.000,0.000,1339,1331,1,1.000,0.000,0.557,709559,0.288,2.096,0.077,1.71,396,0,2.450,0.000,0.129,515671,1.44,2.77,0.086,0.157,0.014,28.2,72.5,92.7,139.1,4617,0.018,0.00,0.0010,0.071,0,0.726,0.000,0.637,0.423,8.93,9.01,9.86,0.10,0.014,1.08,1.68,1.50,0.727,0.00550,0.08,0.4491,5.38,128765.8,140185.7,50.457,8.8748,5.769,0.000,0.925,0.077,2.7,3.046,71.163,1389,9621.6,20.12,1.759,10.017,894.3,1.404,0.131,1.98,6.9570,487.0,0.1534,0.2141,65.96,1.003,0.085,0.4655,0.0000,0.561,0.059,0.900,0.0000,10.13,0.88,29,73,99,121,2.6574,0.0029,0.9571,0.0000,0.0000,14.0175,100.00,72.8513
70000,112,0.046,0.666,5.06,1158,891,179,7,39,2382,55705.5,5203.2,0.312,0.600,0.031,0.057,133,77.92,21.86,0.69,4.65,8.71,15.79,10.74,9.14,58.52,20.60,0.00,0.00,0.097,0.153,44,0.384,0.071,0.929,0.000,0.000,2832,2821,1,1.000,0.000,0.777,726941,0.291,2.026,0.081,3.28,779,181,2.184,0.857,0.036,576105,1.12,1.07,0.045,0.205,0.000,37.2,85.6,93.6,146.8,8810,0.034,0.00,0.0008,0.143,10,0.783,0.000,0.676,0.623,9.84,10.13,10.26,0.04,0.009,1.00,1.21,1.14,0.784,0.00657,0.24,1.0885,4.87,128236.9,140185.7,180.009,8.8575,9.359,0.000,0.903,0.061,3.6,4.930,233.878,1571,10078.7,14.13,3.061,10.556,535.2,2.335,0.130,2.03,7.6609,858.0,0.1085,0.1370,78.66,1.049,0.058,1.5345,0.0000,0.562,0.041,0.911,0.0000,10.46,0.69,38,88,89,112,4.1861,0.0083,0.9464,0.0000,0.0000,57.3149,100.00,61.2570
80000,37,0.383,0.609,5.16,409,390,92,0,2,570,24537.4,841.3,0.240,0.706,0.017,0.037,150,69.91,15.54,3.38,7.14,4.65,10.09,10.97,6.50,50.41,16.06,0.00,0.00,0.065,0.155,10,0.622,0.108,0.892,0.000,0.000,417,417,1,1.000,0.000,0.865,381255,0.313,2.032,0.071,1.67,122,0,1.476,0.000,0.000,220918,1.62,0.43,0.027,0.081,0.000,50.5,66.3,97.0,115.1,2568,0.010,0.00,0.0013,0.108,1,0.647,0.000,0.582,0.233,10.00,9.95,9.73,0.27,0.054,1.14,2.05,1.62,0.648,0.01223,0.06,0.2595,0.69,129516.2,140185.7,55.060,5.8243,4.269,0.000,0.898,0.056,1.1,2.304,70.740,1324,8774.3,23.91,1.665,6.335,874.4,0.663,0.131,2.01,16.7527,619.8,0.2678,0.1695,69.41,1.039,0.042,0.4655,0.0000,0.557,0.036,0.892,0.0000,9.95,0.32,35,69,90,100,1.8518,0.0000,0.8649,0.0000,0.0000,13.1518,100.00,51.6460
90000,77,0.866,0.753,5.44,1082,839,182,0,21,1425,49228.8,5247.9,0.239,0.627,0.037,0.098,140,66.97,20.20,0.52,2.72,6.57,11.28,11.66,10.13,48.34,17.95,0.00,0.00,0.090,0.152,38,0.299,0.104,0.870,0.000,0.026,2556,2554,1,1.000,0.000,0.831,792692,0.303,2.137,0.087,3.16,712,0,3.683,0.000,0.013,588137,1.12,1.74,0.000,0.143,0.000,34.5,66.3,92.5,113.1,5166,0.020,0.00,0.0013,0.117,13,0.792,0.000,0.839,0.621,9.42,10.19,10.00,0.00,0.000,1.11,1.15,1.11,0.792,0.00831,0.28,1.1423,100.92,127152.2,140185.7,184.645,7.0834,8.216,0.000,0.874,0.044,2.4,4.291,232.436,1770,11022.0,26.02,2.532,8.447,680.4,2.011,0.130,2.00,6.7511,519.8,0.1329,0.1433,67.09,1.076,0.061,1.5345,0.0000,0.554,0.044,0.909,0.0000,10.51,0.86,34,69,86,106,3.6190,0.0329,0.7273,0.0000,0.0000,54.8722,100.00,46.4538
100000,62,0.425,0.551,5.06,509,422,95,0,7,661,26759.4,1316.9,0.198,0.718,0.028,0.056,144,56.20,21.67,2.24,7.23,2.45,8.13,8.26,7.54,41.81,20.90,0.00,0.00,0.035,0.112,16,0.452,0.145,0.855,0.000,0.000,737,736,1,1.000,0.000,0.710,443035,0.313,1.858,0.068,1.67,236,0,1.992,0.000,0.032,294018,1.73,4.94,0.000,0.048,0.000,29.2,66.3,76.3,122.8,3395,0.013,0.00,0.0010,0.065,6,0.693,0.000,0.605,0.426,8.03,8.73,8.95,0.00,0.000,1.40,1.84,1.85,0.694,0.00762,0.08,0.3071,28.78,130151.6,140185.7,55.776,5.2887,4.580,0.000,0.888,0.045,2.4,2.454,70.165,1289,8355.9,24.19,1.814,5.770,337.8,0.714,0.137,1.97,14.6983,911.3,0.2959,0.2382,54.76,1.062,0.043,0.4655,0.0000,0.552,0.023,0.952,0.0000,9.95,0.21,20,69,78,82,1.9819,0.0000,0.7419,0.0000,0.0000,12.9739,100.00,41.2107
