step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry
10000,0,305,45.63,3.63,0.09,6.37,50.57,0.00,1.69,0.000,0.210,137650.8,23966.6,1,67,7.68,1.62,1.80,4.0433,286.77,46346.3,57.1801,6.3583,5462,10.0874,118,5.5918,34993.5,165.42,2.8559
10000,1,255,44.95,2.90,0.11,6.80,50.75,0.00,1.51,0.004,0.178,127720.6,24202.7,1,84,7.64,1.43,1.58,4.0221,147.19,27278.0,56.8086,5.9851,5461,10.0855,100,4.6730,28598.9,81.35,19.1120
10000,2,213,47.91,4.75,0.00,6.48,51.38,0.00,1.95,0.000,0.153,106632.6,24280.9,1,101,7.85,1.86,2.08,4.0227,236.37,24779.4,39.3421,4.5658,5461,10.0855,62,3.3875,20982.2,53.21,38.3915
20000,0,427,33.40,5.43,5.06,3.81,22.49,0.49,2.25,0.133,0.178,160967.8,29312.8,2,83,5.66,2.71,1.35,4.4289,417.34,32700.0,12.8920,12.5677,5462,10.3538,111,4.8818,37262.6,165.42,0.9887
20000,1,409,33.89,6.46,3.92,3.55,23.35,0.54,2.43,0.149,0.175,103514.2,20420.4,2,109,5.83,3.03,1.46,3.1663,70.86,44667.5,3.7448,8.5966,5461,10.3519,92,2.3710,18316.4,81.35,4.1761
20000,2,340,33.84,4.58,3.28,3.13,25.90,0.30,2.00,0.100,0.144,75039.7,15262.8,2,149,5.77,2.35,1.44,2.5360,236.67,34409.6,1.2269,6.4109,5461,10.3519,55,1.4856,11558.7,53.21,7.9880
30000,0,516,27.63,1.91,7.31,0.13,14.04,0.12,1.58,0.033,0.137,144031.9,50277.4,3,104,4.43,1.65,1.49,2.4735,46.39,59909.8,48.3681,10.1695,5462,12.9369,116,6.5084,45798.2,165.42,2.5551
30000,1,468,29.12,2.27,8.43,0.46,13.48,0.20,1.60,0.062,0.132,133012.2,47640.3,3,115,4.67,1.80,1.39,2.2934,45.71,42222.7,52.8958,9.7194,5461,12.9346,109,5.7050,39007.8,81.35,18.8736
30000,2,398,27.25,1.70,7.76,0.39,13.49,0.20,1.43,0.068,0.107,115690.0,41368.3,3,129,4.42,1.55,1.29,1.7688,31.53,24820.3,31.6220,9.6589,5461,12.9346,57,3.0478,21396.9,53.21,35.0987
40000,0,502,28.08,0.99,8.51,0.19,9.67,0.02,1.40,0.006,0.110,137717.0,57773.7,2,106,3.84,1.38,1.40,1.3902,116.35,53419.9,15.4629,11.4412,5462,9.2471,108,3.4839,24250.2,165.42,0.9510
