step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached
10000,1536,0.872,0.608,7.65,26552,20587,3328,270,2261,47113,926370.0,318673.6,0.319,0.365,0.165,0.151,94,33.55,18.40,2.31,6.34,3.33,7.56,6.87,10.52,21.34,13.62,0.03,0.33,0.086,0.183,761,0.023,0.062,0.924,0.000,0.014,175664,169981,21,0.515,0.092,0.463,6568013,0.290,2.913,0.040,6.68,51582,511,6.764,0.367,0.201,8037316,1.55,4.37,0.385,0.173,0.010,7.8,31.1,58.3,110.9,51996,0.198,0.00,0.0028,0.051,214,0.950,0.000,0.591,0.850,5.34,6.26,6.13,0.09,0.029,1.53,1.63,1.55,0.952,0.00061,3.53,59.7253,3110.06,90631.5,140185.7,44.243,88.9567,137.784,638.389,0.933,0.309,50.6,61.950,237.714,557,2252.8,65.79,22.131,135.167,3830.8,75.286,0.134,2.00,24.1971,37166.8,0.8733,0.4074,33.85,1.033,0.154,1.5345,0.0000,0.528,0.086,0.670,0.0000,7.26,1.14,8,36,57,81,58.3114,2.7087,0.6699,0.0000,0.0000,61.7896,100.00,0.0000
20000,1635,1.048,0.483,10.06,14321,12132,1124,710,256,140273,345592.1,140958.2,0.140,0.599,0.160,0.101,169,36.13,19.14,2.13,5.58,8.04,9.46,2.21,4.89,15.57,11.97,0.10,0.51,0.211,0.217,1307,0.012,0.076,0.917,0.000,0.007,50566,45503,8,0.630,0.058,0.313,3942064,0.274,2.266,0.034,8.91,17609,704,1.005,0.145,0.297,5232722,1.44,3.05,0.295,0.656,0.048,10.0,36.3,58.5,140.0,45697,0.174,0.00,0.0014,0.122,251,0.851,0.000,0.571,0.723,4.77,5.66,5.64,0.20,0.085,1.41,1.43,1.46,0.857,0.00125,1.77,15.6625,1837.24,107399.7,140185.7,5.580,27.6035,61.809,321.380,0.958,0.360,41.7,28.727,66.180,542,1925.0,54.98,5.050,45.748,3461.4,25.758,0.135,2.00,13.4208,21943.1,0.7252,0.4199,27.95,1.256,0.199,0.4655,0.0000,0.535,0.076,0.658,0.0000,6.36,0.71,9,29,49,81,26.2320,0.4435,0.6281,0.0000,0.0000,14.2687,100.00,0.0000
30000,2082,1.129,0.556,11.65,27177,20567,2388,1902,1873,228254,874564.6,459063.9,0.066,0.698,0.159,0.077,125,33.13,22.75,1.58,4.12,6.44,9.02,1.30,3.64,12.33,8.11,0.15,0.65,0.140,0.169,1471,0.037,0.066,0.926,0.000,0.008,187769,171821,16,0.161,0.504,0.214,5891555,0.206,3.452,0.031,11.79,71134,729,2.011,0.195,0.288,13904225,1.35,4.32,0.212,0.534,0.059,7.3,30.2,62.9,134.8,45067,0.172,0.00,0.0034,0.061,300,0.895,0.000,0.752,0.857,4.00,4.94,5.10,0.20,0.084,1.33,1.45,1.32,0.899,0.00168,5.53,67.2521,4256.15,85722.0,140185.7,47.396,90.1842,123.392,463.413,0.937,0.283,48.6,50.036,222.104,293,863.0,105.33,6.156,130.598,3236.8,76.965,0.134,2.01,19.9702,41577.9,1.3347,0.6787,21.65,1.442,0.196,1.5345,0.0000,0.480,0.100,0.345,0.0000,6.06,0.86,5,21,36,81,43.7131,2.8266,0.5581,0.0000,0.0000,56.0955,100.00,0.0000
40000,2040,1.128,0.372,12.76,26851,20152,865,4380,1496,261479,403190.6,254512.7,0.075,0.707,0.166,0.051,205,25.45,22.50,0.49,2.38,5.42,9.00,0.24,1.34,8.79,6.08,0.05,0.42,0.117,0.169,1165,0.035,0.113,0.870,0.000,0.017,71232,59824,6,0.624,0.089,0.051,1614804,0.170,2.088,0.025,13.42,29301,588,0.973,0.140,0.267,6680619,1.14,7.31,0.128,0.501,0.015,3.9,16.7,65.1,130.6,30483,0.116,0.00,0.0022,0.104,327,0.680,0.000,0.726,0.637,3.25,3.81,4.77,0.09,0.031,1.10,1.19,1.14,0.689,0.00231,2.89,20.2831,1489.74,108178.3,140185.7,3.663,25.5979,73.417,319.598,0.852,0.366,45.6,32.331,56.546,185,528.1,69.61,3.527,42.266,3300.2,26.981,0.135,2.00,11.0392,22520.0,1.2811,0.5828,14.94,1.567,0.236,0.4655,0.0000,0.404,0.082,0.075,0.0000,6.05,0.59,3,11,36,74,26.9566,0.6689,0.4838,0.0000,0.0000,14.0368,100.00,0.0000
50000,2542,1.055,0.490,20.13,105667,65583,326,29258,9998,778996,898997.5,872315.0,0.096,0.614,0.234,0.057,106,17.39,12.84,0.52,2.50,3.30,4.82,0.05,0.58,6.03,5.30,0.00,0.07,0.137,0.179,1366,0.034,0.078,0.901,0.000,0.020,310127,259107,5,0.193,0.702,0.018,920223,0.195,2.572,0.034,13.13,135943,410,1.120,0.177,0.346,15768473,1.23,7.94,0.188,0.587,0.001,3.0,14.9,32.0,107.1,25180,0.096,0.00,0.0059,0.103,387,0.750,0.000,0.849,0.664,2.41,3.18,3.80,0.00,0.002,1.19,1.30,1.23,0.766,0.00285,6.19,70.4436,2705.09,109399.4,140185.7,37.870,96.9655,150.006,474.694,0.946,0.365,50.5,55.335,220.442,231,902.0,98.64,5.304,139.047,3896.9,79.423,0.136,2.00,7.5311,19144.1,1.3847,0.7267,9.91,1.635,0.360,1.5345,0.0000,0.486,0.176,0.396,0.0000,5.41,1.43,2,9,16,55,45.0203,3.0676,0.4371,0.0000,0.0000,55.1653,100.00,0.0000
60000,2195,1.109,0.322,21.32,48116,36072,207,9746,2438,340865,419802.5,316548.0,0.059,0.680,0.198,0.063,166,19.65,14.10,0.17,1.08,3.94,5.54,0.05,0.82,8.34,6.00,0.00,0.00,0.124,0.157,997,0.186,0.127,0.859,0.000,0.014,98109,74937,4,0.394,0.064,0.010,226019,0.167,1.865,0.022,16.61,49160,434,0.929,0.184,0.302,5861848,1.07,7.94,0.296,0.448,0.000,3.3,16.7,32.0,162.0,27439,0.105,0.00,0.0023,0.121,398,0.522,0.000,0.581,0.526,3.02,3.50,4.63,0.00,0.000,1.05,1.09,1.07,0.536,0.00251,4.28,18.0708,1503.35,109256.9,140185.7,3.606,20.3813,79.853,319.540,0.928,0.368,46.8,33.865,51.367,174,541.5,52.51,2.967,37.650,2586.8,25.493,0.135,2.00,10.1656,22313.6,1.2680,0.6351,12.50,1.464,0.464,0.4655,0.0000,0.413,0.126,0.333,0.0000,5.97,1.64,3,13,20,81,27.5425,0.8207,0.4328,0.0000,0.0000,14.1302,100.00,0.0000
70000,2330,1.148,0.372,26.79,71474,52103,1795,12153,5288,442039,904643.2,576259.6,0.034,0.737,0.189,0.040,94,24.58,13.69,0.11,1.10,5.85,5.58,0.06,0.79,8.15,5.49,0.00,0.02,0.179,0.156,841,0.250,0.083,0.904,0.000,0.013,216773,171882,17,0.318,0.294,0.009,170201,0.233,2.315,0.024,18.60,113543,519,1.304,0.166,0.291,17199103,1.04,4.87,0.500,0.348,0.000,5.1,32.0,32.0,98.0,33012,0.126,0.00,0.0048,0.089,416,0.771,0.000,0.611,0.678,3.08,3.72,4.46,0.00,0.000,1.03,1.05,1.04,0.780,0.00279,13.18,60.5695,2114.34,82994.6,140185.7,40.636,84.9108,147.193,438.069,0.958,0.274,55.9,56.810,196.186,122,387.7,70.65,3.713,125.746,3050.1,73.314,0.135,2.00,20.2643,47215.8,1.6923,0.6836,14.17,1.656,0.461,1.5345,0.0000,0.391,0.169,0.320,0.0000,5.25,1.52,4,16,22,49,46.7766,3.5290,0.4936,0.0000,0.0000,53.2396,100.00,0.0000
80000,2252,1.062,0.326,21.84,37204,28574,925,5747,2036,231862,422977.6,253980.2,0.044,0.724,0.199,0.033,178,20.50,14.18,0.21,1.52,4.58,5.37,0.07,0.87,7.64,5.41,0.00,0.00,0.147,0.163,847,0.222,0.109,0.880,0.000,0.012,80753,62232,6,0.451,0.136,0.011,150723,0.208,2.123,0.021,16.58,40304,538,1.095,0.173,0.312,6752131,1.08,6.87,0.357,0.425,0.000,3.3,17.8,32.0,150.0,28148,0.107,0.00,0.0025,0.108,432,0.580,0.000,0.553,0.557,2.98,3.42,4.50,0.00,0.002,1.05,1.10,1.11,0.589,0.00205,5.22,19.9926,1559.62,98508.2,140185.7,3.024,21.6513,79.512,339.282,0.873,0.343,47.8,34.317,47.928,100,331.5,81.30,1.773,37.837,2834.1,25.849,0.135,2.00,14.6451,32980.8,1.5903,0.6484,12.50,1.516,0.486,0.4655,0.0000,0.354,0.105,0.072,0.0000,5.60,1.48,3,14,18,75,28.6846,1.0052,0.4538,0.0000,0.0000,13.6169,100.00,0.0000
90000,2360,1.232,0.488,27.26,63398,45895,2239,11165,3991,400781,896383.5,554345.9,0.059,0.685,0.196,0.059,100,24.30,13.97,0.10,1.45,5.99,5.28,0.00,0.03,7.19,4.39,0.00,0.00,0.190,0.150,722,0.286,0.067,0.919,0.001,0.012,201718,166459,8,0.438,0.212,0.001,173685,0.230,2.856,0.031,18.75,102573,553,1.383,0.166,0.295,15956182,1.03,4.67,0.538,0.330,0.000,4.3,32.0,32.0,148.0,31359,0.120,0.00,0.0053,0.084,490,0.774,0.000,0.581,0.694,3.09,3.57,4.14,0.00,0.000,1.03,1.04,1.03,0.782,0.00252,15.23,62.0783,3207.05,79409.8,140185.7,40.940,86.7968,144.965,403.381,0.949,0.271,54.5,55.408,187.588,213,671.6,77.40,3.242,125.362,3449.3,72.416,0.134,2.01,20.6252,48675.4,1.7990,0.6968,13.29,1.718,0.440,1.5345,0.0000,0.342,0.138,0.110,0.0000,4.98,1.36,4,16,16,74,45.0608,4.4035,0.4564,0.0000,0.0000,51.1215,100.00,0.0000
100000,2172,1.081,0.297,21.17,35077,26848,979,5503,1935,213248,417938.5,241868.4,0.052,0.694,0.208,0.046,180,23.10,17.97,0.12,1.32,5.73,6.98,0.04,0.60,8.04,5.24,0.00,0.03,0.152,0.167,706,0.101,0.122,0.860,0.000,0.017,74587,58335,7,0.520,0.067,0.011,145222,0.235,1.767,0.021,16.16,36786,576,1.134,0.169,0.284,6742620,1.04,7.12,0.375,0.384,0.001,4.1,17.7,50.0,162.0,30268,0.115,0.00,0.0024,0.120,410,0.600,0.000,0.523,0.551,3.19,3.41,4.86,0.01,0.005,1.03,1.05,1.05,0.609,0.00197,5.06,19.4794,1219.19,99545.2,140185.7,3.231,21.5906,79.321,325.466,0.919,0.341,47.0,34.370,49.365,133,380.2,52.49,2.176,37.783,2730.8,25.748,0.136,2.00,14.9067,32377.4,1.4619,0.6580,13.94,1.492,0.490,0.4655,0.0000,0.316,0.096,0.022,0.0000,5.84,1.39,4,14,25,81,28.9879,1.0991,0.4627,0.0000,0.0000,14.0321,100.00,0.0000
