step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed
10000,2092,0.715,0.558,7.48,29428,22593,3390,676,2107,77075,889332.0,249285.7,0.353,0.335,0.161,0.151,101,27.81,18.13,1.66,5.14,7.39,9.34,0.55,2.82,15.11,14.01,0.01,0.19,0.229,0.259,1297,0.068,0.078,0.909,0.000,0.013,125055,119440,22,0.117,0.597,0.061,4639715,0.269,2.430,0.045,6.21,38309,528,3.234,0.343,0.256,7492162,1.37,6.00,0.071,0.449,0.003,6.4,27.1,48.9,107.3,51699,0.197,0.00,0.0028,0.077,561,0.943,0.000,0.660,0.767,4.44,5.72,5.74,0.13,0.041,1.34,1.39,1.40,0.946,0.00036,2.06,41.5750,1919.14,103281.3,140185.7,44.570,86.4496,150.933,0.000,1.000,0.220,55.0,68.949,245.653,668,2752.6,77.54,26.048,138.864,4104.5,71.619,0.133,2.00,11.9690,25039.1,0.6750,0.4140,24.71,1.062,0.198,1.5345,0.0000,0.411,0.117,0.189,0.0000,7.11,1.22,7,24,46,100,66.9106,1.2981,0.6802,0.0000,0.0000,59.7056,100.00,77.2492,268.4679
20000,2246,1.079,0.405,9.42,27496,19786,1202,5151,1203,267787,354985.9,201856.0,0.089,0.634,0.149,0.128,204,22.86,17.07,0.41,2.46,5.33,6.98,0.06,0.74,8.38,6.22,0.00,0.02,0.155,0.173,1333,0.033,0.098,0.889,0.000,0.012,57218,49333,3,0.527,0.012,0.010,341829,0.248,1.971,0.032,9.60,18826,523,0.754,0.169,0.336,7645842,1.13,8.11,0.072,0.598,0.000,3.7,17.2,45.9,83.3,31833,0.121,0.00,0.0019,0.107,558,0.771,0.000,0.689,0.541,3.17,3.81,4.91,0.01,0.004,1.09,1.18,1.14,0.781,0.00124,2.01,13.3475,1832.32,113112.6,140185.7,6.035,26.7416,67.878,0.000,1.000,0.320,49.3,29.540,64.259,304,1081.2,58.91,4.642,45.703,3363.0,25.919,0.133,2.00,7.5430,16941.6,0.9583,0.5132,14.17,1.482,0.390,0.4655,0.0000,0.360,0.056,0.014,0.0000,6.31,1.27,3,13,25,60,26.2843,0.4678,0.4844,0.0000,0.0000,12.9293,100.00,109.7945,150.5990
30000,2536,0.827,0.372,14.44,102884,71091,145,26129,5229,1059755,850494.9,813667.8,0.071,0.630,0.157,0.142,125,23.80,19.20,0.75,3.21,4.97,7.58,0.07,0.87,8.59,7.53,0.01,0.14,0.136,0.174,1654,0.020,0.092,0.890,0.000,0.018,233143,186449,3,0.540,0.169,0.016,608606,0.213,1.769,0.031,11.24,93907,397,0.768,0.150,0.315,17508031,1.26,8.52,0.125,0.614,0.004,4.5,16.8,50.0,185.4,36492,0.139,0.00,0.0039,0.108,593,0.786,0.000,0.761,0.563,3.22,3.95,5.17,0.02,0.008,1.23,1.30,1.27,0.806,0.00307,3.14,47.4002,1390.64,111864.5,140185.7,63.339,62.8209,167.639,0.000,1.000,0.310,55.7,65.482,242.518,372,1434.1,59.58,12.755,117.185,2928.7,76.129,0.133,2.00,7.4408,18869.9,0.9473,0.5341,14.39,1.504,0.454,1.5345,0.0000,0.287,0.134,0.029,0.0000,6.54,1.51,4,13,25,66,56.8024,0.8834,0.5615,0.0000,0.0000,56.5015,100.00,94.4945,285.1454
40000,2481,0.907,0.313,15.64,37953,29706,419,5673,2210,283193,378273.8,219936.7,0.043,0.651,0.144,0.162,218,19.71,17.82,0.47,2.48,4.14,7.33,0.15,1.31,7.72,7.34,0.00,0.12,0.129,0.179,1286,0.032,0.115,0.868,0.000,0.017,59935,45782,4,0.598,0.392,0.030,328587,0.180,1.496,0.027,14.84,25003,585,0.777,0.130,0.312,5936743,1.16,9.46,0.128,0.592,0.002,3.4,14.6,44.0,275.4,30954,0.118,0.00,0.0020,0.112,694,0.567,0.000,0.653,0.396,2.83,3.30,4.99,0.01,0.007,1.12,1.19,1.17,0.580,0.00196,3.72,10.3381,1198.62,116153.7,140185.7,12.311,13.6438,76.211,0.000,1.000,0.376,52.9,34.000,56.605,325,1173.2,34.62,3.964,32.376,2425.0,23.137,0.133,2.00,6.2961,15620.7,0.9742,0.5655,12.48,1.451,0.453,0.4655,0.0000,0.332,0.089,0.021,0.0000,6.41,1.63,3,11,24,138,28.2143,0.9288,0.4595,0.0000,0.0000,13.0315,100.00,112.1522,149.3168
50000,2454,0.751,0.484,24.64,107843,72438,335,30505,4592,942455,813731.9,733501.1,0.028,0.700,0.159,0.112,93,24.26,13.36,0.58,2.94,6.33,6.21,0.05,0.70,7.39,7.27,0.01,0.15,0.209,0.192,1045,0.175,0.090,0.892,0.000,0.018,217327,167614,2,0.508,0.085,0.008,382025,0.211,2.059,0.040,12.45,110621,337,0.778,0.191,0.320,18493973,1.20,5.76,0.353,0.460,0.002,6.1,28.0,32.0,128.0,35207,0.134,0.00,0.0045,0.113,665,0.764,0.000,0.698,0.510,2.58,3.78,4.75,0.02,0.010,1.16,1.25,1.20,0.783,0.00320,3.38,39.5530,1403.06,104142.4,140185.7,64.764,64.2968,162.390,0.000,1.000,0.216,55.0,63.808,241.073,529,1924.5,52.27,14.338,116.861,4203.2,70.438,0.134,2.00,10.1946,25017.6,0.9216,0.5606,14.35,1.622,0.457,1.5345,0.0000,0.237,0.131,0.013,0.0000,5.63,1.85,5,16,21,64,55.3005,0.6591,0.5831,0.0000,0.0000,53.9550,100.00,93.2919,286.5421
60000,2223,0.936,0.299,25.66,37665,28041,818,7517,1520,252319,385444.2,191136.4,0.027,0.781,0.095,0.098,194,22.85,12.00,0.14,1.36,5.77,5.33,0.06,0.88,7.02,5.49,0.00,0.00,0.190,0.170,729,0.148,0.123,0.855,0.000,0.022,52277,38742,2,0.655,0.068,0.017,123302,0.212,1.299,0.022,16.33,27973,399,0.758,0.212,0.259,7263317,1.05,5.51,0.529,0.327,0.000,4.9,32.0,32.0,94.6,28880,0.110,0.00,0.0025,0.152,590,0.601,0.000,0.566,0.333,2.57,3.46,4.43,0.00,0.001,1.03,1.06,1.04,0.611,0.00222,3.27,9.6986,633.76,107481.1,140185.7,10.250,16.2504,76.728,0.000,1.000,0.318,47.6,34.066,56.012,397,1399.1,21.73,5.061,33.656,2248.5,22.285,0.136,2.00,11.0907,24654.7,1.0618,0.5567,12.99,1.666,0.471,0.4655,0.0000,0.190,0.109,0.004,0.0000,5.26,1.79,4,16,16,100,28.7692,0.3695,0.4944,0.0000,0.0000,12.7695,100.00,110.0610,146.2716
70000,2291,0.999,0.332,26.99,72202,53599,2037,13802,2696,469510,799459.6,407718.1,0.050,0.752,0.095,0.103,120,24.80,10.90,0.13,1.52,5.87,5.03,0.03,0.42,7.98,6.00,0.00,0.00,0.194,0.161,780,0.209,0.119,0.863,0.000,0.018,135803,105759,2,0.708,0.024,0.007,184608,0.212,2.067,0.022,17.52,71242,327,0.868,0.215,0.260,17371778,1.05,4.30,0.584,0.322,0.000,6.6,32.0,32.0,87.3,32089,0.122,0.00,0.0044,0.133,584,0.781,0.000,0.563,0.482,2.67,3.69,4.38,0.00,0.001,1.04,1.05,1.05,0.791,0.00251,5.02,31.8614,1524.10,98663.9,140185.7,80.783,44.7925,153.703,0.000,1.000,0.131,57.7,65.164,234.309,317,1043.8,102.89,13.652,93.321,2209.0,63.700,0.135,2.00,14.2268,32593.6,1.1894,0.5176,14.01,1.723,0.450,1.5345,0.0000,0.177,0.117,0.002,0.0000,5.05,1.73,5,16,16,64,58.8181,0.6049,0.5072,0.0000,0.0000,54.7621,100.00,83.1782,246.7352
80000,2156,0.921,0.281,25.06,35031,26037,868,7233,1028,237013,394762.1,194949.2,0.029,0.804,0.072,0.095,203,22.42,12.06,0.01,0.25,5.51,5.02,0.01,0.12,7.26,5.23,0.00,0.00,0.183,0.160,624,0.151,0.146,0.838,0.000,0.016,49168,35621,2,0.664,0.007,0.003,51351,0.186,1.333,0.018,20.10,26969,413,0.823,0.184,0.275,5911056,1.00,6.03,0.540,0.352,0.000,3.8,32.0,32.0,66.0,27544,0.105,0.00,0.0025,0.160,596,0.489,0.000,0.482,0.352,2.54,3.38,4.37,0.00,0.000,1.00,1.01,1.00,0.499,0.00269,4.72,10.7475,676.57,107640.6,140185.7,12.129,12.3634,78.862,0.000,1.000,0.316,52.4,35.329,49.199,373,1291.1,54.10,3.649,26.690,1813.0,19.569,0.136,2.00,11.5690,24942.8,1.1040,0.5859,12.78,1.653,0.497,0.4655,0.0000,0.184,0.126,0.001,0.0000,5.33,1.90,4,16,16,64,29.1761,0.3522,0.4787,0.0000,0.0000,12.6291,100.00,109.2880,139.6421
90000,1982,1.005,0.357,28.79,62780,45988,2366,13200,1400,438879,774320.9,379842.9,0.056,0.765,0.085,0.094,121,25.93,10.28,0.01,0.31,6.17,4.69,0.00,0.08,8.02,4.87,0.00,0.02,0.200,0.147,599,0.114,0.124,0.869,0.000,0.007,124239,98578,4,0.736,0.039,0.002,41525,0.192,1.933,0.025,17.45,68033,296,0.865,0.226,0.203,15582062,1.01,3.64,0.668,0.256,0.001,7.4,32.0,32.0,60.0,28165,0.107,0.00,0.0049,0.153,540,0.757,0.000,0.509,0.509,2.69,3.68,4.25,0.00,0.002,1.01,1.01,1.00,0.766,0.00303,4.84,33.1064,1560.52,96454.9,140185.7,80.619,48.8721,144.983,0.000,1.000,0.125,51.8,60.785,234.658,340,1219.7,91.44,13.284,93.329,2458.3,61.288,0.135,2.00,17.5619,34807.7,1.3809,0.5011,14.21,1.778,0.438,1.5345,0.0000,0.160,0.119,0.005,0.0000,4.85,1.66,6,16,16,54,54.1825,0.5920,0.5035,0.0000,0.0000,55.1692,100.00,81.0032,237.8956
100000,2048,0.988,0.245,25.66,30618,22460,1032,6459,601,216363,388026.1,178884.3,0.032,0.817,0.068,0.083,204,23.59,12.11,0.03,0.49,5.52,4.95,0.00,0.12,8.08,6.54,0.00,0.07,0.181,0.159,656,0.093,0.137,0.844,0.000,0.019,44735,31424,2,0.623,0.060,0.001,29335,0.123,1.350,0.015,19.71,25571,393,0.827,0.188,0.240,5215287,1.01,5.33,0.559,0.312,0.001,4.7,32.0,32.0,98.0,27905,0.106,0.00,0.0023,0.140,570,0.464,0.000,0.458,0.378,2.75,3.54,4.56,0.00,0.001,1.01,1.01,1.01,0.473,0.00281,4.39,11.4534,675.18,107529.5,140185.7,12.733,13.5944,75.773,0.000,1.000,0.298,50.0,34.028,50.125,278,996.6,65.47,3.684,26.808,1546.1,19.171,0.136,1.99,12.5017,25603.5,1.1103,0.5654,13.63,1.661,0.497,0.4655,0.0000,0.187,0.127,0.001,0.0000,5.32,1.91,4,16,16,64,27.9469,0.3268,0.4829,0.0000,0.0000,12.6361,100.00,108.3713,142.5168
