step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached
10000,1223,0.695,0.238,10.13,14563,11231,2568,400,571,86856,575181.1,147312.6,0.269,0.445,0.162,0.124,116,42.69,27.68,1.47,3.86,9.97,15.92,3.64,4.75,21.18,13.02,0.17,0.84,0.146,0.210,925,0.038,0.110,0.886,0.000,0.003,54112,49214,2,0.669,0.004,0.676,6727756,0.249,1.058,0.012,27.17,17406,557,1.696,0.220,0.276,4808934,1.21,3.00,0.186,0.608,0.047,12.8,34.9,82.9,160.3,44342,0.169,0.00,0.0022,0.147,355,0.693,0.000,0.532,0.740,5.71,6.50,6.48,0.25,0.070,1.19,1.27,1.20,0.696,0.00470,16.29,18.8852,515.44,120138.4,140185.7,117.610,18.7906,102.181,0.000,0.932,0.164,41.6,49.947,192.379,502,1574.5,52.16,22.923,29.552,421.1,18.494,0.135,2.00,11.6159,14206.2,0.4908,0.4236,36.26,1.155,0.129,1.5345,0.0000,0.436,0.112,0.314,0.0000,7.17,1.18,12,32,64,105,44.1740,0.0321,0.6803,0.0000,0.0000,60.7818,100.00,291.1747
20000,1489,0.691,0.206,13.27,14094,10321,664,2706,137,235368,247004.1,122357.7,0.145,0.631,0.103,0.120,221,25.79,21.05,0.37,2.31,6.52,8.36,0.40,1.53,9.51,7.06,0.02,0.25,0.163,0.184,986,0.034,0.155,0.833,0.000,0.012,18223,12882,3,0.494,0.164,0.128,4147108,0.216,0.802,0.008,19.79,8325,575,0.520,0.120,0.314,3081588,1.12,6.08,0.180,0.613,0.009,3.7,19.9,56.2,121.4,25015,0.095,0.00,0.0017,0.157,502,0.564,0.000,0.443,0.354,3.57,4.25,4.76,0.04,0.012,1.10,1.14,1.12,0.579,0.00310,6.28,4.5797,194.96,125429.4,140185.7,27.849,4.8617,50.216,0.000,0.835,0.070,37.7,23.364,43.420,438,1223.6,39.34,2.639,7.908,432.0,5.015,0.131,2.00,6.4082,9541.8,0.7959,0.4077,16.80,1.403,0.342,0.4655,0.0000,0.471,0.170,0.430,0.0000,5.96,0.77,3,15,35,63,18.5950,0.1503,0.5359,0.0000,0.0000,14.4428,100.00,194.3893
30000,1177,0.559,0.144,17.66,38373,28063,62,10005,555,382994,327631.0,236494.5,0.114,0.665,0.124,0.097,207,15.21,12.60,0.07,0.93,3.82,5.38,0.16,1.03,5.45,4.73,0.00,0.00,0.143,0.184,551,0.065,0.110,0.880,0.000,0.010,42965,27132,2,0.573,0.048,0.037,588695,0.195,0.652,0.007,26.46,23889,476,0.617,0.171,0.253,3264956,1.02,7.79,0.216,0.602,0.000,2.0,9.9,32.0,72.0,11177,0.043,0.00,0.0051,0.145,392,0.341,0.000,0.325,0.230,2.67,2.84,4.01,0.00,0.000,1.02,1.02,1.02,0.360,0.00633,19.73,5.9919,104.48,129238.9,140185.7,133.420,7.2305,68.853,0.000,0.450,0.050,26.6,30.399,118.071,216,849.3,15.47,4.006,10.790,269.6,6.389,0.132,1.99,6.4055,7539.2,1.2947,0.5352,9.50,1.438,0.484,1.5345,0.0000,0.385,0.170,0.263,0.0000,5.30,1.08,2,8,16,41,21.5519,1.3946,0.4996,0.0000,0.0000,61.0108,100.00,96.2420
40000,1221,0.677,0.146,20.53,20468,14340,212,5567,305,218005,215297.0,135132.0,0.070,0.733,0.134,0.062,253,19.17,18.07,0.08,0.83,5.36,7.57,0.08,0.54,5.60,4.64,0.00,0.00,0.161,0.187,564,0.073,0.162,0.826,0.001,0.011,19886,11167,2,0.511,0.482,0.029,253384,0.176,0.537,0.006,19.56,12985,545,0.620,0.181,0.301,1265177,1.04,7.29,0.256,0.585,0.000,2.0,11.0,50.0,158.0,13577,0.052,0.00,0.0031,0.152,448,0.192,0.000,0.235,0.155,2.82,3.08,4.13,0.00,0.000,1.01,1.05,1.05,0.208,0.00435,6.61,3.0133,181.81,128238.9,140185.7,31.516,2.5069,43.882,0.000,0.598,0.002,31.2,20.009,28.038,217,756.3,12.81,1.230,3.054,80.2,2.048,0.135,2.00,6.7428,8233.0,1.2821,0.5502,11.12,1.496,0.494,0.4655,0.0000,0.496,0.253,0.452,0.0000,5.38,0.99,2,9,25,79,13.2271,1.4726,0.4513,0.0000,0.0000,15.5278,100.00,57.3202
50000,892,0.529,0.127,20.44,24335,17016,230,7038,380,245564,298701.8,168287.3,0.093,0.715,0.135,0.057,220,21.58,22.09,0.02,0.29,6.17,9.47,0.05,0.54,6.22,4.46,0.00,0.00,0.145,0.174,306,0.120,0.149,0.837,0.000,0.013,21404,11519,3,0.546,0.113,0.015,271942,0.186,0.589,0.006,26.88,15068,622,0.685,0.143,0.240,2979271,1.01,7.07,0.355,0.446,0.000,3.0,10.3,50.0,150.0,11115,0.042,0.00,0.0054,0.201,240,0.332,0.000,0.247,0.132,3.04,3.04,4.45,0.00,0.000,1.01,1.01,1.01,0.344,0.00748,25.24,2.9345,64.60,129253.9,140185.7,131.878,2.9686,61.690,0.000,0.289,0.030,21.4,28.902,83.530,166,729.6,13.41,2.181,4.893,188.7,3.169,0.136,2.00,8.9459,7979.7,1.6534,0.6171,12.46,1.456,0.495,1.5345,0.0000,0.498,0.268,0.437,0.0000,5.48,1.08,3,9,25,75,19.7747,2.4544,0.5157,0.0000,0.0000,62.5217,100.00,41.0688
60000,1259,0.532,0.096,19.20,9438,6128,506,2240,197,80778,174972.9,66237.2,0.051,0.738,0.149,0.062,276,31.61,37.65,0.57,3.77,10.26,15.96,0.09,0.83,6.31,5.86,0.12,0.71,0.146,0.195,443,0.169,0.164,0.828,0.000,0.007,7363,4264,3,0.600,0.216,0.025,137485,0.178,0.327,0.002,16.28,5272,850,0.820,0.124,0.300,1476606,1.16,7.33,0.265,0.454,0.029,2.1,7.9,98.0,288.0,21690,0.083,0.00,0.0022,0.190,385,0.280,0.000,0.181,0.100,3.53,3.47,5.12,0.13,0.030,1.20,1.11,1.18,0.287,0.00253,6.94,1.7071,71.71,126792.4,140185.7,35.142,1.6921,33.093,0.000,0.365,0.003,28.0,16.375,21.296,76,244.2,9.12,0.696,2.031,69.5,1.233,0.137,1.99,8.2011,10325.2,1.5375,0.7181,17.23,1.404,0.488,0.4655,0.0000,0.490,0.282,0.384,0.0000,6.10,0.85,2,7,49,96,10.6858,2.4997,0.5481,0.0000,0.0000,15.8794,100.00,37.8459
70000,1418,0.636,0.112,22.22,26194,15152,928,9342,613,256030,344452.0,192111.1,0.052,0.745,0.149,0.055,217,29.12,28.31,0.18,2.52,9.53,12.11,0.08,0.93,6.11,5.30,0.00,0.00,0.193,0.189,459,0.100,0.184,0.810,0.000,0.006,19854,9383,8,0.456,0.044,0.016,336900,0.194,0.339,0.002,31.44,14708,592,0.750,0.118,0.353,4863171,1.06,7.10,0.439,0.410,0.000,2.0,28.0,72.0,220.0,22547,0.086,0.00,0.0040,0.187,452,0.432,0.000,0.273,0.098,3.32,3.51,4.73,0.00,0.001,1.05,1.07,1.06,0.442,0.00534,37.68,3.3311,90.72,127069.1,140185.7,116.507,2.9206,71.763,0.000,0.357,0.013,36.1,33.290,61.020,64,221.0,11.82,1.233,4.746,117.5,3.230,0.135,2.01,6.7159,9523.2,1.0636,0.6760,15.90,1.535,0.509,1.5345,0.0000,0.553,0.296,0.480,0.0000,5.84,1.21,2,16,36,110,23.1306,2.5938,0.5331,0.0000,0.0000,61.0412,100.00,20.8579
80000,1222,0.389,0.130,20.66,12864,7978,490,4248,344,115513,200683.2,94607.8,0.042,0.717,0.188,0.054,267,35.35,40.05,0.90,4.24,11.39,16.80,0.17,1.53,6.12,6.12,0.04,0.38,0.173,0.200,605,0.110,0.153,0.842,0.000,0.005,8415,3846,3,0.505,0.146,0.026,186294,0.162,0.549,0.005,19.03,6508,626,0.819,0.092,0.339,1847398,1.24,7.97,0.224,0.583,0.019,2.8,14.4,96.0,298.0,22702,0.087,0.00,0.0027,0.188,385,0.300,0.000,0.242,0.071,3.69,3.77,5.34,0.16,0.063,1.23,1.26,1.23,0.309,0.00390,9.06,1.4687,59.87,130667.8,140185.7,31.208,1.3099,41.452,0.000,0.410,0.011,25.1,19.884,17.802,215,787.0,8.76,0.486,1.807,128.8,1.178,0.136,2.00,4.9354,6031.1,0.9599,0.7509,18.58,1.475,0.520,0.4655,0.0000,0.368,0.212,0.232,0.0000,6.48,1.10,3,11,44,142,13.9062,1.2167,0.6678,0.0000,0.0000,15.1732,100.00,35.0978
90000,976,0.479,0.124,18.61,10721,7089,810,2766,302,95377,195799.4,74831.5,0.062,0.624,0.243,0.072,238,34.80,43.71,1.20,4.89,9.81,15.84,0.08,0.66,7.71,7.54,0.11,0.72,0.132,0.186,563,0.079,0.173,0.819,0.000,0.008,8774,5363,6,0.605,0.125,0.023,451808,0.190,0.558,0.005,17.46,5494,918,0.785,0.049,0.283,2118565,1.26,8.88,0.148,0.613,0.033,2.8,10.7,98.0,317.8,18351,0.070,0.00,0.0026,0.194,276,0.353,0.000,0.363,0.169,3.71,3.75,5.58,0.24,0.079,1.26,1.25,1.27,0.361,0.00391,19.77,1.5107,99.18,129800.9,140185.7,146.924,2.4624,38.877,0.000,0.327,0.014,22.6,18.891,94.300,172,674.1,13.33,1.821,3.983,160.0,2.259,0.138,2.00,7.3601,7183.5,1.2679,0.7046,18.80,1.367,0.513,1.5345,0.0000,0.281,0.129,0.083,0.0000,6.81,1.01,3,11,45,124,13.5550,1.5179,0.5799,0.0000,0.0000,63.2765,100.00,33.4478
100000,539,0.393,0.122,13.18,5036,3687,672,933,181,32313,111857.1,28503.7,0.061,0.648,0.233,0.058,285,21.28,31.91,0.21,1.72,5.79,14.41,0.35,1.09,7.98,4.57,0.00,0.04,0.069,0.156,155,0.295,0.187,0.807,0.000,0.006,3561,2349,4,0.827,0.000,0.165,341926,0.156,0.673,0.008,10.13,2310,1043,0.882,0.054,0.115,1089277,1.05,8.91,0.141,0.210,0.002,4.8,7.7,72.0,199.9,7725,0.029,0.00,0.0026,0.180,157,0.313,0.000,0.357,0.113,3.66,3.27,6.43,0.05,0.013,1.01,1.06,1.05,0.317,0.00327,4.59,1.1927,204.50,132452.1,140185.7,43.387,1.9668,21.315,0.000,0.496,0.010,12.8,10.724,29.074,201,891.8,18.22,0.827,2.295,139.5,1.079,0.129,1.99,9.7885,5276.0,1.3789,0.7481,14.33,1.139,0.393,0.4655,0.0000,0.272,0.091,0.032,0.0000,6.89,0.54,5,8,36,100,7.9207,1.0401,0.5547,0.0000,0.0000,15.8698,100.00,32.3821
